# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=20 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,41814326124.394,41814326203.914,41814366979.947,40775.259,40855.553,80.294,79.520,0.774,59144.447,0,0.000,0,20,1048576,0,0.000
1,41814426124.394,41814426350.106,41814467015.040,40663.862,40890.646,226.784,225.712,1.072,59109.354,0,0.000,0,20,1048576,0,0.000
2,41814526124.394,41814526380.912,41814567230.482,40848.154,41106.088,257.934,256.518,1.416,58893.912,0,0.000,0,20,1048576,0,0.000
3,41814626124.394,41814626337.215,41814667249.602,40911.257,41125.208,213.951,212.821,1.130,58874.792,0,0.000,0,20,1048576,0,0.000
4,41814726124.394,41814726335.071,41814767271.595,40935.575,41147.201,211.626,210.677,0.949,58852.799,0,0.000,0,20,1048576,0,0.000
5,41814826124.394,41814826357.624,41814866990.640,40632.086,40866.246,234.160,233.230,0.930,59133.754,0,0.000,0,20,1048576,0,0.000
6,41814926124.394,41814926338.929,41814966832.750,40492.745,40708.356,215.611,214.535,1.076,59291.644,0,0.000,0,20,1048576,0,0.000
7,41815026124.394,41815026351.965,41815067034.981,40681.420,40910.587,229.167,227.571,1.596,59089.413,0,0.000,0,20,1048576,0,0.000
8,41815126124.394,41815126363.470,41815167335.580,40970.919,41211.186,240.267,239.076,1.191,58788.814,0,0.000,0,20,1048576,0,0.000
9,41815226124.394,41815226336.026,41815266484.366,40147.266,40359.972,212.706,211.632,1.074,59640.028,0,0.000,0,20,1048576,0,0.000
10,41815326124.394,41815326343.616,41815366784.792,40439.791,40660.398,220.607,219.222,1.385,59339.602,0,0.000,0,20,1048576,0,0.000
11,41815426124.394,41815426349.713,41815467404.295,41053.291,41279.901,226.610,225.319,1.291,58720.099,0,0.000,0,20,1048576,0,0.000
12,41815526124.394,41815526346.931,41815566859.910,40511.905,40735.516,223.611,222.537,1.074,59264.484,0,0.000,0,20,1048576,0,0.000
13,41815626124.394,41815626354.296,41815667382.863,41027.031,41258.469,231.438,229.902,1.536,58741.531,0,0.000,0,20,1048576,0,0.000
14,41815726124.394,41815726333.318,41815767319.417,40985.149,41195.023,209.874,208.924,0.950,58804.977,0,0.000,0,20,1048576,0,0.000
15,41815826124.394,41815826330.019,41815867363.677,41032.499,41239.283,206.784,205.625,1.159,58760.717,0,0.000,0,20,1048576,0,0.000
16,41815926124.394,41815926217.911,41815966844.438,40625.165,40720.044,94.879,93.517,1.362,59279.956,0,0.000,0,20,1048576,0,0.000
17,41816026124.394,41816026212.648,41816067349.309,41136.051,41224.915,88.864,88.254,0.610,58775.085,0,0.000,0,20,1048576,0,0.000
18,41816126124.394,41816126325.745,41816167087.724,40760.924,40963.330,202.406,201.351,1.055,59036.670,0,0.000,0,20,1048576,0,0.000
19,41816226124.394,41816226202.254,41816266461.482,40258.444,40337.088,78.644,77.860,0.784,59662.912,0,0.000,0,20,1048576,0,0.000
20,41816326124.394,41816326169.558,41816368177.232,42006.587,42052.838,46.251,45.164,1.087,57947.162,0,0.000,0,20,1048576,0,0.000
21,41816426124.394,41816426366.505,41816467324.022,40956.696,41199.628,242.932,242.111,0.821,58800.372,0,0.000,0,20,1048576,0,0.000
22,41816526124.394,41816526197.465,41816567147.462,40949.441,41023.068,73.627,73.071,0.556,58976.932,0,0.000,0,20,1048576,0,0.000
23,41816626124.394,41816626317.678,41816667482.522,41164.239,41358.128,193.889,193.284,0.605,58641.872,0,0.000,0,20,1048576,0,0.000
24,41816726124.394,41816726195.450,41816767494.595,41298.199,41370.201,72.002,71.056,0.946,58629.799,0,0.000,0,20,1048576,0,0.000
25,41816826124.394,41816826166.540,41816867106.190,40939.163,40981.796,42.633,42.146,0.487,59018.204,0,0.000,0,20,1048576,0,0.000
26,41816926124.394,41816926169.260,41816967781.909,41611.952,41657.515,45.563,44.866,0.697,58342.485,0,0.000,0,20,1048576,0,0.000
27,41817026124.394,41817026168.967,41817067195.152,41025.478,41070.758,45.280,44.573,0.707,58929.242,0,0.000,0,20,1048576,0,0.000
28,41817126124.394,41817126168.779,41817167504.903,41335.553,41380.509,44.956,44.385,0.571,58619.491,0,0.000,0,20,1048576,0,0.000
29,41817226124.394,41817226171.185,41817266238.136,40066.582,40113.742,47.160,46.791,0.369,59886.258,0,0.000,0,20,1048576,0,0.000
30,41817326124.394,41817326166.687,41817366651.119,40483.859,40526.725,42.866,42.293,0.573,59473.275,0,0.000,0,20,1048576,0,0.000
31,41817426124.394,41817426166.271,41817467274.337,41107.731,41149.943,42.212,41.877,0.335,58850.057,0,0.000,0,20,1048576,0,0.000
