# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=8 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,4867875722.684,4867875855.569,4867890259.399,14401.604,14536.715,135.111,132.885,2.226,85463.285,0,0.000,0,8,1048576,0,0.000
1,4867975722.684,4867975843.900,4867989804.476,13958.709,14081.792,123.083,121.216,1.867,85918.208,0,0.000,0,8,1048576,0,0.000
2,4868075722.684,4868075835.458,4868089770.827,13933.696,14048.143,114.447,112.774,1.673,85951.857,0,0.000,0,8,1048576,0,0.000
3,4868175722.684,4868175848.267,4868190806.064,14955.616,15083.380,127.764,125.583,2.181,84916.620,0,0.000,0,8,1048576,0,0.000
4,4868275722.684,4868275848.983,4868289822.305,13971.492,14099.621,128.129,126.299,1.830,85900.379,0,0.000,0,8,1048576,0,0.000
5,4868375722.684,4868375844.376,4868389805.042,13958.763,14082.358,123.595,121.692,1.903,85917.642,0,0.000,0,8,1048576,0,0.000
6,4868475722.684,4868475926.455,4868490799.669,14870.970,15076.985,206.015,203.771,2.244,84923.015,0,0.000,0,8,1048576,0,0.000
7,4868575722.684,4868575832.913,4868589927.960,14092.851,14205.276,112.425,110.229,2.196,85794.724,0,0.000,0,8,1048576,0,0.000
8,4868675722.684,4868675883.242,4868690195.016,14309.607,14472.332,162.725,160.558,2.167,85527.668,0,0.000,0,8,1048576,0,0.000
9,4868775722.684,4868775834.516,4868789757.709,13921.527,14035.025,113.498,111.832,1.666,85964.975,0,0.000,0,8,1048576,0,0.000
10,4868875722.684,4868875841.013,4868889786.423,13943.279,14063.739,120.460,118.329,2.131,85936.261,0,0.000,0,8,1048576,0,0.000
11,4868975722.684,4868975834.049,4868989848.371,14012.568,14125.687,113.119,111.365,1.754,85874.313,0,0.000,0,8,1048576,0,0.000
12,4869075722.684,4869075835.866,4869089765.301,13926.893,14042.617,115.724,113.182,2.542,85957.383,0,0.000,0,8,1048576,0,0.000
13,4869175722.684,4869175846.990,4869189936.567,14087.406,14213.883,126.477,124.306,2.171,85786.117,0,0.000,0,8,1048576,0,0.000
14,4869275722.684,4869275834.108,4869289788.674,13952.896,14065.990,113.094,111.424,1.670,85934.010,0,0.000,0,8,1048576,0,0.000
15,4869375722.684,4869375841.910,4869389811.632,13967.654,14088.948,121.294,119.226,2.068,85911.052,0,0.000,0,8,1048576,0,0.000
16,4869475722.684,4869475846.457,4869490163.258,14314.709,14440.574,125.865,123.773,2.092,85559.426,0,0.000,0,8,1048576,0,0.000
17,4869575722.684,4869575866.093,4869591118.003,15249.146,15395.319,146.173,143.409,2.764,84604.681,0,0.000,0,8,1048576,0,0.000
18,4869675722.684,4869675840.759,4869689882.098,14039.515,14159.414,119.899,118.075,1.824,85840.586,0,0.000,0,8,1048576,0,0.000
19,4869775722.684,4869775841.328,4869790745.370,14902.268,15022.686,120.418,118.644,1.774,84977.314,0,0.000,0,8,1048576,0,0.000
20,4869875722.684,4869875836.384,4869889822.057,13983.444,14099.373,115.929,113.700,2.229,85900.627,0,0.000,0,8,1048576,0,0.000
21,4869975722.684,4869975836.350,4869989815.059,13976.233,14092.375,116.142,113.666,2.476,85907.625,0,0.000,0,8,1048576,0,0.000
22,4870075722.684,4870075832.884,4870089836.021,14001.564,14113.337,111.773,110.200,1.573,85886.663,0,0.000,0,8,1048576,0,0.000
23,4870175722.684,4870175833.721,4870189949.234,14113.223,14226.550,113.327,111.037,2.290,85773.450,0,0.000,0,8,1048576,0,0.000
24,4870275722.684,4870275838.832,4870290504.412,14663.558,14781.728,118.170,116.148,2.022,85218.272,0,0.000,0,8,1048576,0,0.000
25,4870375722.684,4870375841.608,4870389801.287,13957.920,14078.603,120.683,118.924,1.759,85921.397,0,0.000,0,8,1048576,0,0.000
26,4870475722.684,4870475846.987,4870490272.160,14423.269,14549.476,126.207,124.303,1.904,85450.524,0,0.000,0,8,1048576,0,0.000
27,4870575722.684,4870575845.721,4870589997.554,14150.194,14274.870,124.676,123.037,1.639,85725.130,0,0.000,0,8,1048576,0,0.000
28,4870675722.684,4870675867.452,4870691679.671,15809.871,15956.987,147.116,144.768,2.348,84043.013,0,0.000,0,8,1048576,0,0.000
29,4870775722.684,4870775843.083,4870789820.875,13975.639,14098.191,122.552,120.399,2.153,85901.809,0,0.000,0,8,1048576,0,0.000
30,4870875722.684,4870875845.519,4870889785.888,13938.210,14063.204,124.994,122.835,2.159,85936.796,0,0.000,0,8,1048576,0,0.000
31,4870975722.684,4870975838.223,4870989755.136,13915.029,14032.452,117.423,115.539,1.884,85967.548,0,0.000,0,8,1048576,0,0.000
32,4871075722.684,4871075861.893,4871089910.568,14046.921,14187.884,140.963,139.209,1.754,85812.116,0,0.000,0,8,1048576,0,0.000
33,4871175722.684,4871175819.884,4871189757.440,13936.026,14034.756,98.730,97.200,1.530,85965.244,0,0.000,0,8,1048576,0,0.000
34,4871275722.684,4871275836.814,4871289775.567,13937.054,14052.883,115.829,114.130,1.699,85947.117,0,0.000,0,8,1048576,0,0.000
35,4871375722.684,4871375835.923,4871389764.858,13926.889,14042.174,115.285,113.239,2.046,85957.826,0,0.000,0,8,1048576,0,0.000
36,4871475722.684,4871475846.799,4871489820.726,13972.089,14098.042,125.953,124.115,1.838,85901.958,0,0.000,0,8,1048576,0,0.000
37,4871575722.684,4871575819.239,4871589798.241,13977.606,14075.557,97.951,96.555,1.396,85924.443,0,0.000,0,8,1048576,0,0.000
38,4871675722.684,4871676103.250,4871692140.718,16035.120,16418.034,382.914,380.566,2.348,83581.966,0,0.000,0,8,1048576,0,0.000
39,4871775722.684,4871775843.393,4871789793.531,13948.255,14070.847,122.592,120.709,1.883,85929.153,0,0.000,0,8,1048576,0,0.000
40,4871875722.684,4871875841.873,4871889790.395,13946.010,14067.711,121.701,119.189,2.512,85932.289,0,0.000,0,8,1048576,0,0.000
41,4871975722.684,4871975841.747,4871989851.697,14008.114,14129.013,120.899,119.063,1.836,85870.987,0,0.000,0,8,1048576,0,0.000
42,4872075722.684,4872075836.519,4872089722.909,13884.432,14000.225,115.793,113.835,1.958,85999.775,0,0.000,0,8,1048576,0,0.000
43,4872175722.684,4872175841.379,4872191802.507,15958.599,16079.823,121.224,118.695,2.529,83920.177,0,0.000,0,8,1048576,0,0.000
44,4872275722.684,4872275838.557,4872291861.285,16020.306,16138.601,118.295,115.873,2.422,83861.399,0,0.000,0,8,1048576,0,0.000
45,4872375722.684,4872375839.561,4872389809.028,13967.660,14086.344,118.684,116.877,1.807,85913.656,0,0.000,0,8,1048576,0,0.000
46,4872475722.684,4872475845.050,4872490181.360,14334.309,14458.676,124.367,122.366,2.001,85541.324,0,0.000,0,8,1048576,0,0.000
47,4872575722.684,4872575813.077,4872589738.906,13924.597,14016.222,91.625,90.393,1.232,85983.778,0,0.000,0,8,1048576,0,0.000
48,4872675722.684,4872675849.667,4872689803.718,13952.260,14081.034,128.774,126.983,1.791,85918.966,0,0.000,0,8,1048576,0,0.000
49,4872775722.684,4872775832.940,4872789755.837,13921.173,14033.153,111.980,110.256,1.724,85966.847,0,0.000,0,8,1048576,0,0.000
50,4872875722.684,4872875840.302,4872889837.561,13995.396,14114.877,119.481,117.618,1.863,85885.123,0,0.000,0,8,1048576,0,0.000
51,4872975722.684,4872975839.658,4872989749.169,13907.063,14026.485,119.422,116.974,2.448,85973.515,0,0.000,0,8,1048576,0,0.000
52,4873075722.684,4873075833.822,4873089803.946,13968.372,14081.262,112.890,111.138,1.752,85918.738,0,0.000,0,8,1048576,0,0.000
53,4873175722.684,4873175844.040,4873189733.644,13888.009,14010.960,122.951,121.356,1.595,85989.040,0,0.000,0,8,1048576,0,0.000
54,4873275722.684,4873275836.604,4873289715.257,13876.703,13992.573,115.870,113.920,1.950,86007.427,0,0.000,0,8,1048576,0,0.000
55,4873375722.684,4873375836.474,4873389779.922,13941.888,14057.238,115.350,113.790,1.560,85942.762,0,0.000,0,8,1048576,0,0.000
56,4873475722.684,4873475797.965,4873489739.884,13941.004,14017.200,76.196,75.281,0.915,85982.800,0,0.000,0,8,1048576,0,0.000
57,4873575722.684,4873575824.291,4873589772.543,13946.681,14049.859,103.178,101.607,1.571,85950.141,0,0.000,0,8,1048576,0,0.000
58,4873675722.684,4873675839.707,4873689796.268,13954.347,14073.584,119.237,117.023,2.214,85926.416,0,0.000,0,8,1048576,0,0.000
