# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=524 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,24747756036.435,24747756105.059,24747761420.394,5314.383,5383.959,69.576,68.624,0.952,4616.041,0,0.000,0,524,8192,0,0.000
1,24747766036.435,24747766080.110,24747771386.437,5305.267,5350.002,44.735,43.675,1.060,4649.998,0,0.000,0,524,8192,0,0.000
2,24747776036.435,24747776085.252,24747781388.230,5302.174,5351.795,49.621,48.817,0.804,4648.205,0,0.000,0,524,8192,0,0.000
3,24747786036.435,24747786079.216,24747791387.599,5307.511,5351.164,43.653,42.781,0.872,4648.836,0,0.000,0,524,8192,0,0.000
4,24747796036.435,24747796072.394,24747801369.477,5296.392,5333.042,36.650,35.959,0.691,4666.958,0,0.000,0,524,8192,0,0.000
5,24747806036.435,24747806079.424,24747811376.877,5296.710,5340.442,43.732,42.989,0.743,4659.558,0,0.000,0,524,8192,0,0.000
6,24747816036.435,24747816075.978,24747821384.474,5307.665,5348.039,40.374,39.543,0.831,4651.961,0,0.000,0,524,8192,0,0.000
7,24747826036.435,24747826077.764,24747831414.215,5335.561,5377.780,42.219,41.329,0.890,4622.220,0,0.000,0,524,8192,0,0.000
8,24747836036.435,24747836075.052,24747841379.045,5303.170,5342.610,39.440,38.617,0.823,4657.390,0,0.000,0,524,8192,0,0.000
9,24747846036.435,24747846079.826,24747851376.477,5295.933,5340.042,44.109,43.391,0.718,4659.958,0,0.000,0,524,8192,0,0.000
10,24747856036.435,24747856075.252,24747861379.882,5303.794,5343.447,39.653,38.817,0.836,4656.553,0,0.000,0,524,8192,0,0.000
11,24747866036.435,24747866075.815,24747871388.870,5312.240,5352.435,40.195,39.380,0.815,4647.565,0,0.000,0,524,8192,0,0.000
12,24747876036.435,24747876074.028,24747881368.686,5294.027,5332.251,38.224,37.593,0.631,4667.749,0,0.000,0,524,8192,0,0.000
13,24747886036.435,24747886074.140,24747891376.059,5301.055,5339.624,38.569,37.705,0.864,4660.376,0,0.000,0,524,8192,0,0.000
14,24747896036.435,24747896077.082,24747901388.297,5310.427,5351.862,41.435,40.647,0.788,4648.138,0,0.000,0,524,8192,0,0.000
15,24747906036.435,24747906076.204,24747911370.459,5293.374,5334.024,40.650,39.769,0.881,4665.976,0,0.000,0,524,8192,0,0.000
16,24747916036.435,24747916075.115,24747921370.940,5295.051,5334.505,39.454,38.680,0.774,4665.495,0,0.000,0,524,8192,0,0.000
17,24747926036.435,24747926077.181,24747931381.443,5303.527,5345.008,41.481,40.746,0.735,4654.992,0,0.000,0,524,8192,0,0.000
18,24747936036.435,24747936075.572,24747941357.841,5281.434,5321.406,39.972,39.137,0.835,4678.594,0,0.000,0,524,8192,0,0.000
19,24747946036.435,24747946080.902,24747951386.785,5305.195,5350.350,45.155,44.467,0.688,4649.650,0,0.000,0,524,8192,0,0.000
20,24747956036.435,24747956074.957,24747961367.880,5292.159,5331.445,39.286,38.522,0.764,4668.555,0,0.000,0,524,8192,0,0.000
21,24747966036.435,24747966082.304,24747971361.614,5278.394,5325.179,46.785,45.869,0.916,4674.821,0,0.000,0,524,8192,0,0.000
22,24747976036.435,24747976086.232,24747981375.021,5287.939,5338.586,50.647,49.797,0.850,4661.414,0,0.000,0,524,8192,0,0.000
23,24747986036.435,24747986077.883,24747991379.112,5300.240,5342.677,42.437,41.448,0.989,4657.323,0,0.000,0,524,8192,0,0.000
24,24747996036.435,24747996074.868,24748001368.216,5292.635,5331.781,39.146,38.433,0.713,4668.219,0,0.000,0,524,8192,0,0.000
25,24748006036.435,24748006074.724,24748011372.385,5296.847,5335.950,39.103,38.289,0.814,4664.050,0,0.000,0,524,8192,0,0.000
26,24748016036.435,24748016083.685,24748021372.112,5287.654,5335.677,48.023,47.250,0.773,4664.323,0,0.000,0,524,8192,0,0.000
27,24748026036.435,24748026076.861,24748031363.520,5285.839,5327.085,41.246,40.426,0.820,4672.915,0,0.000,0,524,8192,0,0.000
