# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=32 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,43331216687.357,43331216813.261,43331277116.707,60301.100,60429.350,128.250,125.904,2.346,39570.650,0,0.000,0,32,1048576,0,0.000
1,43331316687.357,43331316795.094,43331377157.938,60360.665,60470.581,109.916,107.737,2.179,39529.419,0,0.000,0,32,1048576,0,0.000
2,43331416687.357,43331416802.192,43331481624.494,64819.524,64937.137,117.613,114.835,2.778,35062.863,0,0.000,0,32,1048576,0,0.000
3,43331516687.357,43331516775.498,43331578849.536,62071.513,62162.179,90.666,88.141,2.525,37837.821,0,0.000,0,32,1048576,0,0.000
4,43331616687.357,43331616791.417,43331686904.783,70111.309,70217.426,106.117,104.060,2.057,29782.574,0,0.000,0,32,1048576,0,0.000
5,43331716687.357,43331716804.630,43331773229.391,56422.409,56542.034,119.625,117.273,2.352,43457.966,0,0.000,0,32,1048576,0,0.000
6,43331816687.357,43331816801.331,43331877236.246,60432.238,60548.889,116.651,113.974,2.677,39451.111,0,0.000,0,32,1048576,0,0.000
7,43331916687.357,43331916764.786,43331977259.481,60492.777,60572.124,79.347,77.429,1.918,39427.876,0,0.000,0,32,1048576,0,0.000
8,43332016687.357,43332016788.400,43332077184.692,60394.342,60497.335,102.993,101.043,1.950,39502.665,0,0.000,0,32,1048576,0,0.000
9,43332116687.357,43332116799.866,43332177214.690,60412.399,60527.333,114.934,112.509,2.425,39472.667,0,0.000,0,32,1048576,0,0.000
10,43332216687.357,43332216758.785,43332277180.502,60419.792,60493.145,73.353,71.428,1.925,39506.855,0,0.000,0,32,1048576,0,0.000
11,43332316687.357,43332316803.257,43332378181.186,61375.666,61493.829,118.163,115.900,2.263,38506.171,0,0.000,0,32,1048576,0,0.000
12,43332416687.357,43332416749.376,43332477303.766,60552.727,60616.409,63.682,62.019,1.663,39383.591,0,0.000,0,32,1048576,0,0.000
13,43332516687.357,43332516747.874,43332577336.860,60587.702,60649.503,61.801,60.517,1.284,39350.497,0,0.000,0,32,1048576,0,0.000
14,43332616687.357,43332616747.962,43332677310.890,60561.259,60623.533,62.274,60.605,1.669,39376.467,0,0.000,0,32,1048576,0,0.000
15,43332716687.357,43332716798.853,43332782382.647,65581.450,65695.290,113.840,111.496,2.344,34304.710,0,0.000,0,32,1048576,0,0.000
16,43332816687.357,43332816790.830,43332879789.900,62996.338,63102.543,106.205,103.473,2.732,36897.457,0,0.000,0,32,1048576,0,0.000
17,43332916687.357,43332916789.096,43332977128.492,60337.378,60441.135,103.757,101.739,2.018,39558.865,0,0.000,0,32,1048576,0,0.000
18,43333016687.357,43333016802.829,43333077198.134,60392.784,60510.777,117.993,115.472,2.521,39489.223,0,0.000,0,32,1048576,0,0.000
19,43333116687.357,43333116805.502,43333177427.964,60619.775,60740.607,120.832,118.145,2.687,39259.393,0,0.000,0,32,1048576,0,0.000
20,43333216687.357,43333216777.484,43333277267.679,60488.139,60580.322,92.183,90.127,2.056,39419.678,0,0.000,0,32,1048576,0,0.000
21,43333316687.357,43333316798.293,43333377394.103,60593.553,60706.746,113.193,110.936,2.257,39293.254,0,0.000,0,32,1048576,0,0.000
22,43333416687.357,43333416753.552,43333477251.482,60496.343,60564.125,67.782,66.195,1.587,39435.875,0,0.000,0,32,1048576,0,0.000
23,43333516687.357,43333516804.130,43333577942.870,61136.479,61255.513,119.034,116.773,2.261,38744.487,0,0.000,0,32,1048576,0,0.000
24,43333616687.357,43333616812.002,43333677233.207,60419.012,60545.850,126.838,124.645,2.193,39454.150,0,0.000,0,32,1048576,0,0.000
25,43333716687.357,43333716809.573,43333779085.780,62273.526,62398.423,124.897,122.216,2.681,37601.577,0,0.000,0,32,1048576,0,0.000
26,43333816687.357,43333816795.208,43333877600.231,60802.466,60912.874,110.408,107.851,2.557,39087.126,0,0.000,0,32,1048576,0,0.000
27,43333916687.357,43333916801.804,43333978092.766,61288.423,61405.409,116.986,114.447,2.539,38594.591,0,0.000,0,32,1048576,0,0.000
28,43334016687.357,43334016749.053,43334077334.250,60583.202,60646.893,63.691,61.696,1.995,39353.107,0,0.000,0,32,1048576,0,0.000
29,43334116687.357,43334116798.903,43334177504.172,60703.207,60816.815,113.608,111.546,2.062,39183.185,0,0.000,0,32,1048576,0,0.000
30,43334216687.357,43334216757.070,43334277350.110,60590.541,60662.753,72.212,69.713,2.499,39337.247,0,0.000,0,32,1048576,0,0.000
31,43334316687.357,43334316749.978,43334377368.714,60616.505,60681.357,64.852,62.621,2.231,39318.643,0,0.000,0,32,1048576,0,0.000
32,43334416687.357,43334416795.610,43334482714.026,65915.787,66026.669,110.882,108.253,2.629,33973.331,0,0.000,0,32,1048576,0,0.000
33,43334516687.357,43334516793.389,43334577419.556,60623.739,60732.199,108.460,106.032,2.428,39267.801,0,0.000,0,32,1048576,0,0.000
34,43334616687.357,43334616803.239,43334677198.920,60393.278,60511.563,118.285,115.882,2.403,39488.437,0,0.000,0,32,1048576,0,0.000
35,43334716687.357,43334716810.848,43334777176.891,60364.145,60489.534,125.389,123.491,1.898,39510.466,0,0.000,0,32,1048576,0,0.000
36,43334816687.357,43334816805.542,43334877114.561,60306.726,60427.204,120.478,118.185,2.293,39572.796,0,0.000,0,32,1048576,0,0.000
37,43334916687.357,43334916790.292,43334986633.079,69840.111,69945.722,105.611,102.935,2.676,30054.278,0,0.000,0,32,1048576,0,0.000
38,43335016687.357,43335016763.424,43335073678.140,56913.333,56990.783,77.450,76.067,1.383,43009.217,0,0.000,0,32,1048576,0,0.000
39,43335116687.357,43335116797.913,43335177353.052,60552.628,60665.695,113.067,110.556,2.511,39334.305,0,0.000,0,32,1048576,0,0.000
40,43335216687.357,43335216820.598,43335277479.071,60655.844,60791.714,135.870,133.241,2.629,39208.286,0,0.000,0,32,1048576,0,0.000
41,43335316687.357,43335316784.796,43335386102.410,69315.080,69415.053,99.973,97.439,2.534,30584.947,0,0.000,0,32,1048576,0,0.000
