# probe kind=sieve activation=event clock=monotonic sieve_n=1048576 K=8 period_us=100000 priority=90 target_cpu=0 generator_cpu=1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,4795635219.281,4795635309.441,4795649626.678,14315.798,14407.397,91.599,90.160,1.439,85592.603,0,0.000,0,8,1048576,0,0.000
1,4795774150.712,4795774232.980,4795789292.927,15058.204,15142.215,84.011,82.268,1.743,84857.785,0,0.000,0,8,1048576,0,0.000
2,4795892927.563,4795893014.747,4795907300.036,14283.547,14372.473,88.926,87.184,1.742,85627.527,0,0.000,0,8,1048576,0,0.000
3,4795947650.741,4795947731.379,4796001102.747,14439.286,53452.006,39012.720,80.638,38932.082,46547.994,0,0.000,1,8,1048576,0,0.000
4,4796009909.606,4796009951.976,4796096237.753,14355.871,86328.147,71972.276,42.370,71929.906,13671.853,0,0.000,1,8,1048576,0,0.000
5,4796073422.975,4796096315.164,4796110501.436,14185.419,37078.461,22893.042,22892.189,0.853,62921.539,0,0.000,0,8,1048576,0,0.000
6,4796138517.300,4796138590.409,4796204945.184,14423.396,66427.884,52004.488,73.109,51931.379,33572.116,0,0.000,1,8,1048576,0,0.000
7,4796286520.618,4796286593.684,4796300893.175,14297.759,14372.557,74.798,73.066,1.732,85627.443,0,0.000,0,8,1048576,0,0.000
8,4796352762.731,4796352841.568,4796394788.226,14417.896,42025.495,27607.599,78.837,27528.762,57974.505,0,0.000,1,8,1048576,0,0.000
9,4796426698.768,4796426749.606,4796489670.102,14395.575,62971.334,48575.759,50.838,48524.921,37028.666,0,0.000,1,8,1048576,0,0.000
10,4796522306.538,4796522361.457,4796536661.160,14298.461,14354.622,56.161,54.919,1.242,85645.378,0,0.000,0,8,1048576,0,0.000
11,4796599152.116,4796599228.270,4796613520.391,14290.587,14368.275,77.688,76.154,1.534,85631.725,0,0.000,0,8,1048576,0,0.000
12,4796710608.282,4796710681.681,4796724973.137,14289.748,14364.855,75.107,73.399,1.708,85635.145,0,0.000,0,8,1048576,0,0.000
13,4796783482.140,4796783562.477,4796797863.104,14299.005,14380.964,81.959,80.337,1.622,85619.036,0,0.000,0,8,1048576,0,0.000
14,4796910453.207,4796910533.114,4796924846.990,14312.156,14393.783,81.627,79.907,1.720,85606.217,0,0.000,0,8,1048576,0,0.000
15,4797043715.027,4797043795.950,4797059239.031,15441.330,15524.004,82.674,80.923,1.751,84475.996,0,0.000,0,8,1048576,0,0.000
16,4797111423.436,4797111498.592,4797153689.097,14469.941,42265.661,27795.720,75.156,27720.564,57734.339,0,0.000,1,8,1048576,0,0.000
17,4797255749.930,4797255825.057,4797270130.357,14303.682,14380.427,76.745,75.127,1.618,85619.573,0,0.000,0,8,1048576,0,0.000
18,4797382959.102,4797383049.687,4797398816.594,15765.220,15857.492,92.272,90.585,1.687,84142.508,0,0.000,0,8,1048576,0,0.000
19,4797507378.776,4797507461.973,4797522215.873,14752.274,14837.097,84.823,83.197,1.626,85162.903,0,0.000,0,8,1048576,0,0.000
20,4797587083.825,4797587156.491,4797601453.163,14294.333,14369.338,75.005,72.666,2.339,85630.662,0,0.000,0,8,1048576,0,0.000
21,4797709377.589,4797709451.440,4797723758.703,14305.049,14381.114,76.065,73.851,2.214,85618.886,0,0.000,0,8,1048576,0,0.000
22,4797837854.725,4797837937.988,4797854427.075,16487.246,16572.350,85.104,83.263,1.841,83427.650,0,0.000,0,8,1048576,0,0.000
23,4797973443.965,4797973526.517,4797989532.118,16004.150,16088.153,84.003,82.552,1.451,83911.847,0,0.000,0,8,1048576,0,0.000
