# probe kind=sieve activation=event clock=monotonic sieve_n=8192 K=600 period_us=10000 priority=90 target_cpu=1 generator_cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,23709394039.066,23709394121.438,23709399831.027,5708.025,5791.961,83.936,82.372,1.564,4208.039,0,0.000,0,600,8192,0,0.000
1,23709408032.401,23709408070.850,23709413738.657,5666.943,5706.256,39.313,38.449,0.864,4293.744,0,0.000,0,600,8192,0,0.000
2,23709419999.864,23709420043.641,23709425757.290,5712.694,5757.426,44.732,43.777,0.955,4242.574,0,0.000,0,600,8192,0,0.000
3,23709425281.351,23709425786.262,23709432487.025,5683.062,7205.674,1522.612,504.911,1017.701,2794.326,0,0.000,1,600,8192,0,0.000
4,23709431505.456,23709432513.210,23709440169.820,5638.333,8664.364,3026.031,1007.754,2018.277,1335.636,0,0.000,1,600,8192,0,0.000
5,23709437856.329,23709440194.815,23709445842.968,5647.339,7986.639,2339.300,2338.486,0.814,2013.361,0,0.000,0,600,8192,0,0.000
6,23709444365.372,23709445867.441,23709453534.946,5643.547,9169.574,3526.027,1502.069,2023.958,830.426,0,0.000,1,600,8192,0,0.000
7,23709459262.806,23709459294.533,23709464932.386,5637.145,5669.580,32.435,31.727,0.708,4330.420,0,0.000,0,600,8192,0,0.000
8,23709465789.503,23709465814.899,23709471767.719,5683.016,5978.216,295.200,25.396,269.804,4021.784,0,0.000,1,600,8192,0,0.000
9,23709473185.162,23709473210.500,23709480149.000,5670.905,6963.838,1292.933,25.338,1267.595,3036.162,0,0.000,1,600,8192,0,0.000
10,23709482745.313,23709482771.839,23709488384.687,5612.335,5639.374,27.039,26.526,0.513,4360.626,0,0.000,0,600,8192,0,0.000
11,23709490428.190,23709490454.355,23709496236.862,5781.858,5808.672,26.814,26.165,0.649,4191.328,0,0.000,0,600,8192,0,0.000
