# probe kind=sieve activation=event clock=monotonic sieve_n=1048576 K=37 period_us=100000 priority=90 target_cpu=1 generator_cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,33793126483.586,33793126582.087,33793191926.737,65343.455,65443.151,99.696,98.501,1.195,34556.849,0,0.000,0,37,1048576,0,0.000
1,33793265447.712,33793265549.815,33793330253.290,64702.069,64805.578,103.509,102.103,1.406,35194.422,0,0.000,0,37,1048576,0,0.000
2,33793384116.602,33793384206.627,33793451389.277,67181.538,67272.675,91.137,90.025,1.112,32727.325,0,0.000,0,37,1048576,0,0.000
3,33793438853.760,33793451468.670,33793524983.180,64392.065,86129.420,21737.355,12614.910,9122.445,13870.580,0,0.000,1,37,1048576,0,0.000
4,33793501134.461,33793525071.860,33793599700.450,64504.254,98565.989,34061.735,23937.399,10124.336,1434.011,0,0.000,1,37,1048576,0,0.000
5,33793564649.052,33793599769.310,33793664217.773,64448.285,99568.721,35120.436,35120.258,0.178,431.279,0,0.000,0,37,1048576,0,0.000
6,33793629782.668,33793664286.143,33793739108.266,64695.618,109325.598,44629.980,34503.475,10126.505,-9325.598,1,9325.598,1,37,1048576,0,0.000
7,33793777721.897,33793777795.503,33793842489.364,64692.780,64767.467,74.687,73.606,1.081,35232.533,0,0.000,0,37,1048576,0,0.000
8,33793843956.650,33793843996.514,33793916529.205,64805.107,72572.555,7767.448,39.864,7727.584,27427.445,0,0.000,1,37,1048576,0,0.000
9,33793917908.780,33793917949.789,33793993769.145,67100.963,75860.365,8759.402,41.009,8718.393,24139.635,0,0.000,1,37,1048576,0,0.000
10,33794013623.812,33794013692.777,33794079193.810,65499.553,65569.998,70.445,68.965,1.480,34430.002,0,0.000,0,37,1048576,0,0.000
11,33794090352.276,33794090404.042,33794155245.767,64841.066,64893.491,52.425,51.766,0.659,35106.509,0,0.000,0,37,1048576,0,0.000
12,33794201811.563,33794201893.620,33794267041.452,65146.781,65229.889,83.108,82.057,1.051,34770.111,0,0.000,0,37,1048576,0,0.000
13,33794274672.552,33794274716.976,33794339544.866,64827.575,64872.314,44.739,44.424,0.315,35127.686,0,0.000,0,37,1048576,0,0.000
14,33794401647.548,33794401724.049,33794466379.083,64653.703,64731.535,77.832,76.501,1.331,35268.465,0,0.000,0,37,1048576,0,0.000
15,33794534904.237,33794534971.992,33794599257.181,64284.404,64352.944,68.540,67.755,0.785,35647.056,0,0.000,0,37,1048576,0,0.000
16,33794602634.284,33794602675.359,33794672865.257,64277.626,70230.973,5953.347,41.075,5912.272,29769.027,0,0.000,1,37,1048576,0,0.000
17,33794746943.561,33794747054.822,33794811963.705,64907.653,65020.144,112.491,111.261,1.230,34979.856,0,0.000,0,37,1048576,0,0.000
18,33794874198.918,33794874269.225,33794938781.968,64511.129,64583.050,71.921,70.307,1.614,35416.950,0,0.000,0,37,1048576,0,0.000
19,33794998557.441,33794998640.595,33795063213.315,64571.788,64655.874,84.086,83.154,0.932,35344.126,0,0.000,0,37,1048576,0,0.000
20,33795078299.386,33795078348.956,33795143184.880,64835.608,64885.494,49.886,49.570,0.316,35114.506,0,0.000,0,37,1048576,0,0.000
21,33795200567.542,33795200629.890,33795265177.216,64546.678,64609.674,62.996,62.348,0.648,35390.326,0,0.000,0,37,1048576,0,0.000
22,33795329068.131,33795329131.403,33795393453.315,64321.190,64385.184,63.994,63.272,0.722,35614.816,0,0.000,0,37,1048576,0,0.000
23,33795464634.473,33795464721.307,33795529108.281,64385.924,64473.808,87.884,86.834,1.050,35526.192,0,0.000,0,37,1048576,0,0.000
24,33795586792.516,33795586862.213,33795655237.165,68374.076,68444.649,70.573,69.697,0.876,31555.351,0,0.000,0,37,1048576,0,0.000
25,33795717384.976,33795717450.170,33795782063.017,64612.180,64678.041,65.861,65.194,0.667,35321.959,0,0.000,0,37,1048576,0,0.000
26,33795798387.816,33795798433.138,33795862822.595,64388.764,64434.779,46.015,45.322,0.693,35565.221,0,0.000,0,37,1048576,0,0.000
27,33795899683.696,33795899742.144,33795965521.430,65778.478,65837.734,59.256,58.448,0.808,34162.266,0,0.000,0,37,1048576,0,0.000
28,33795974852.676,33795974922.916,33796040997.176,66072.986,66144.500,71.514,70.240,1.274,33855.500,0,0.000,0,37,1048576,0,0.000
29,33796034646.179,33796041117.658,33796116374.511,65398.113,81728.332,16330.219,6471.479,9858.740,18271.668,0,0.000,1,37,1048576,0,0.000
30,33796141140.121,33796141201.075,33796205470.431,64268.528,64330.310,61.782,60.954,0.828,35669.690,0,0.000,0,37,1048576,0,0.000
31,33796267997.114,33796268070.082,33796332933.522,64861.802,64936.408,74.606,72.968,1.638,35063.592,0,0.000,0,37,1048576,0,0.000
32,33796351460.773,33796351517.289,33796415789.550,64271.547,64328.777,57.230,56.516,0.714,35671.223,0,0.000,0,37,1048576,0,0.000
