# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=7 period_us=100000 priority=90 cpu=-1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,9724152500.050,9724152700.906,9724167382.267,14680.229,14882.217,201.988,200.856,1.132,85117.783,0,0.000,0,7,1048576,0,0.000
1,9724252500.050,9724252722.269,9724267620.400,14896.906,15120.350,223.444,222.219,1.225,84879.650,0,0.000,0,7,1048576,0,0.000
2,9724352500.050,9724352724.375,9724367553.750,14827.853,15053.700,225.847,224.325,1.522,84946.300,0,0.000,0,7,1048576,0,0.000
3,9724452500.050,9724452731.461,9724467464.588,14731.885,14964.538,232.653,231.411,1.242,85035.462,0,0.000,0,7,1048576,0,0.000
4,9724552500.050,9724552721.370,9724567566.259,14843.330,15066.209,222.879,221.320,1.559,84933.791,0,0.000,0,7,1048576,0,0.000
5,9724652500.050,9724652724.501,9724667409.428,14683.820,14909.378,225.558,224.451,1.107,85090.622,0,0.000,0,7,1048576,0,0.000
6,9724752500.050,9724752735.619,9724767490.958,14754.110,14990.908,236.798,235.569,1.229,85009.092,0,0.000,0,7,1048576,0,0.000
7,9724852500.050,9724852709.658,9724867447.057,14736.128,14947.007,210.879,209.608,1.271,85052.993,0,0.000,0,7,1048576,0,0.000
8,9724952500.050,9724952717.772,9724967513.044,14793.687,15012.994,219.307,217.722,1.585,84987.006,0,0.000,0,7,1048576,0,0.000
9,9725052500.050,9725052720.575,9725067508.271,14786.422,15008.221,221.799,220.525,1.274,84991.779,0,0.000,0,7,1048576,0,0.000
10,9725152500.050,9725152761.291,9725167363.469,14600.666,14863.419,262.753,261.241,1.512,85136.581,0,0.000,0,7,1048576,0,0.000
11,9725252500.050,9725252718.760,9725267786.578,15066.177,15286.528,220.351,218.710,1.641,84713.472,0,0.000,0,7,1048576,0,0.000
12,9725352500.050,9725352791.045,9725367461.202,14668.771,14961.152,292.381,290.995,1.386,85038.848,0,0.000,0,7,1048576,0,0.000
13,9725452500.050,9725452737.916,9725467614.381,14874.964,15114.331,239.367,237.866,1.501,84885.669,0,0.000,0,7,1048576,0,0.000
14,9725552500.050,9725552712.946,9725567520.101,14805.776,15020.051,214.275,212.896,1.379,84979.949,0,0.000,0,7,1048576,0,0.000
15,9725652500.050,9725652717.635,9725667402.837,14683.921,14902.787,218.866,217.585,1.281,85097.213,0,0.000,0,7,1048576,0,0.000
16,9725752500.050,9725752750.882,9725767600.982,14848.729,15100.932,252.203,250.832,1.371,84899.068,0,0.000,0,7,1048576,0,0.000
17,9725852500.050,9725852764.142,9725867432.443,14666.825,14932.393,265.568,264.092,1.476,85067.607,0,0.000,0,7,1048576,0,0.000
18,9725952500.050,9725952714.548,9725967529.582,14813.565,15029.532,215.967,214.498,1.469,84970.468,0,0.000,0,7,1048576,0,0.000
