# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=66 period_us=10000 priority=90 cpu=-1 seed=20260714 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,13176759335.474,13176759573.438,13176760275.928,700.591,940.454,239.863,237.964,1.899,9059.546,0,0.000,0,66,8192,0,0.000
1,13176769335.474,13176769384.914,13176770084.425,698.498,748.951,50.453,49.440,1.013,9251.049,0,0.000,0,66,8192,0,0.000
2,13176779335.474,13176779385.266,13176780081.835,695.630,746.361,50.731,49.792,0.939,9253.639,0,0.000,0,66,8192,0,0.000
3,13176789335.474,13176789390.085,13176790089.188,698.078,753.714,55.636,54.611,1.025,9246.286,0,0.000,0,66,8192,0,0.000
4,13176799335.474,13176799383.221,13176800078.801,694.615,743.327,48.712,47.747,0.965,9256.673,0,0.000,0,66,8192,0,0.000
5,13176809335.474,13176809384.727,13176810082.823,697.096,747.349,50.253,49.253,1.000,9252.651,0,0.000,0,66,8192,0,0.000
6,13176819335.474,13176819384.789,13176820084.237,698.346,748.763,50.417,49.315,1.102,9251.237,0,0.000,0,66,8192,0,0.000
7,13176829335.474,13176829384.563,13176830083.984,698.330,748.510,50.180,49.089,1.091,9251.490,0,0.000,0,66,8192,0,0.000
8,13176839335.474,13176839387.191,13176840085.368,697.255,749.894,52.639,51.717,0.922,9250.106,0,0.000,0,66,8192,0,0.000
9,13176849335.474,13176849379.430,13176850077.101,696.780,741.627,44.847,43.956,0.891,9258.373,0,0.000,0,66,8192,0,0.000
10,13176859335.474,13176859386.806,13176860087.607,699.674,752.133,52.459,51.332,1.127,9247.867,0,0.000,0,66,8192,0,0.000
11,13176869335.474,13176869386.499,13176870086.871,699.411,751.397,51.986,51.025,0.961,9248.603,0,0.000,0,66,8192,0,0.000
12,13176879335.474,13176879388.955,13176880089.778,699.656,754.304,54.648,53.481,1.167,9245.696,0,0.000,0,66,8192,0,0.000
13,13176889335.474,13176889386.639,13176890085.566,697.822,750.092,52.270,51.165,1.105,9249.908,0,0.000,0,66,8192,0,0.000
14,13176899335.474,13176899386.490,13176900085.552,697.941,750.078,52.137,51.016,1.121,9249.922,0,0.000,0,66,8192,0,0.000
