# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=27 period_us=100000 priority=90 cpu=-1 seed=20260714 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,4016637798.803,4016638114.784,4016694238.761,56123.044,56439.958,316.914,315.981,0.933,43560.042,0,0.000,0,27,1048576,0,0.000
1,4016737798.803,4016737858.092,4016793789.321,55930.854,55990.518,59.664,59.289,0.375,44009.482,0,0.000,0,27,1048576,0,0.000
2,4016837798.803,4016837858.643,4016893933.479,56074.678,56134.676,59.998,59.840,0.158,43865.324,0,0.000,0,27,1048576,0,0.000
3,4016937798.803,4016937852.384,4016993895.228,56042.509,56096.425,53.916,53.581,0.335,43903.575,0,0.000,0,27,1048576,0,0.000
4,4017037798.803,4017037854.213,4017094111.061,56256.564,56312.258,55.694,55.410,0.284,43687.742,0,0.000,0,27,1048576,0,0.000
5,4017137798.803,4017137853.490,4017194344.736,56490.881,56545.933,55.052,54.687,0.365,43454.067,0,0.000,0,27,1048576,0,0.000
6,4017237798.803,4017237851.633,4017294100.706,56248.936,56301.903,52.967,52.830,0.137,43698.097,0,0.000,0,27,1048576,0,0.000
7,4017337798.803,4017337850.647,4017393798.881,55947.825,56000.078,52.253,51.844,0.409,43999.922,0,0.000,0,27,1048576,0,0.000
8,4017437798.803,4017437853.419,4017493765.789,55912.175,55966.986,54.811,54.616,0.195,44033.014,0,0.000,0,27,1048576,0,0.000
9,4017537798.803,4017537858.258,4017594094.471,56235.932,56295.668,59.736,59.455,0.281,43704.332,0,0.000,0,27,1048576,0,0.000
10,4017637798.803,4017637858.140,4017693839.316,55980.861,56040.513,59.652,59.337,0.315,43959.487,0,0.000,0,27,1048576,0,0.000
11,4017737798.803,4017737857.370,4017793685.198,55827.340,55886.395,59.055,58.567,0.488,44113.605,0,0.000,0,27,1048576,0,0.000
12,4017837798.803,4017837858.197,4017893948.166,56089.499,56149.363,59.864,59.394,0.470,43850.637,0,0.000,0,27,1048576,0,0.000
13,4017937798.803,4017937857.205,4017994019.715,56162.163,56220.912,58.749,58.402,0.347,43779.088,0,0.000,0,27,1048576,0,0.000
14,4018037798.803,4018037858.255,4018094038.165,56179.649,56239.362,59.713,59.452,0.261,43760.638,0,0.000,0,27,1048576,0,0.000
15,4018137798.803,4018137857.474,4018194311.375,56453.478,56512.572,59.094,58.671,0.423,43487.428,0,0.000,0,27,1048576,0,0.000
16,4018237798.803,4018237853.801,4018294039.363,56185.241,56240.560,55.319,54.998,0.321,43759.440,0,0.000,0,27,1048576,0,0.000
17,4018337798.803,4018337854.893,4018394185.040,56329.849,56386.237,56.388,56.090,0.298,43613.763,0,0.000,0,27,1048576,0,0.000
18,4018437798.803,4018437857.513,4018494156.936,56299.134,56358.133,58.999,58.710,0.289,43641.867,0,0.000,0,27,1048576,0,0.000
19,4018537798.803,4018537858.493,4018593723.705,55864.722,55924.902,60.180,59.690,0.490,44075.098,0,0.000,0,27,1048576,0,0.000
20,4018637798.803,4018637856.059,4018693750.891,55894.408,55952.088,57.680,57.256,0.424,44047.912,0,0.000,0,27,1048576,0,0.000
21,4018737798.803,4018737857.602,4018793684.089,55825.951,55885.286,59.335,58.799,0.536,44114.714,0,0.000,0,27,1048576,0,0.000
22,4018837798.803,4018837857.590,4018893668.012,55810.209,55869.209,59.000,58.787,0.213,44130.791,0,0.000,0,27,1048576,0,0.000
23,4018937798.803,4018937859.413,4018993801.321,55941.688,56002.518,60.830,60.610,0.220,43997.482,0,0.000,0,27,1048576,0,0.000
24,4019037798.803,4019037859.213,4019093706.109,55846.481,55907.306,60.825,60.410,0.415,44092.694,0,0.000,0,27,1048576,0,0.000
25,4019137798.803,4019137854.326,4019193699.568,55844.869,55900.765,55.896,55.523,0.373,44099.235,0,0.000,0,27,1048576,0,0.000
26,4019237798.803,4019237851.328,4019293829.565,55977.905,56030.762,52.857,52.525,0.332,43969.238,0,0.000,0,27,1048576,0,0.000
27,4019337798.803,4019337850.768,4019393649.561,55798.557,55850.758,52.201,51.965,0.236,44149.242,0,0.000,0,27,1048576,0,0.000
28,4019437798.803,4019437855.095,4019493641.897,55786.640,55843.094,56.454,56.292,0.162,44156.906,0,0.000,0,27,1048576,0,0.000
29,4019537798.803,4019537856.304,4019593589.165,55732.492,55790.362,57.870,57.501,0.369,44209.638,0,0.000,0,27,1048576,0,0.000
30,4019637798.803,4019637858.494,4019694058.058,56199.234,56259.255,60.021,59.691,0.330,43740.745,0,0.000,0,27,1048576,0,0.000
31,4019737798.803,4019737856.162,4019793914.883,56058.315,56116.080,57.765,57.359,0.406,43883.920,0,0.000,0,27,1048576,0,0.000
32,4019837798.803,4019837856.047,4019893703.881,55847.561,55905.078,57.517,57.244,0.273,44094.922,0,0.000,0,27,1048576,0,0.000
33,4019937798.803,4019937851.320,4019993562.221,55710.754,55763.418,52.664,52.517,0.147,44236.582,0,0.000,0,27,1048576,0,0.000
34,4020037798.803,4020037854.866,4020093919.672,56064.601,56120.869,56.268,56.063,0.205,43879.131,0,0.000,0,27,1048576,0,0.000
35,4020137798.803,4020137854.004,4020194124.697,56270.324,56325.894,55.570,55.201,0.369,43674.106,0,0.000,0,27,1048576,0,0.000
36,4020237798.803,4020237855.583,4020294379.649,56523.767,56580.846,57.079,56.780,0.299,43419.154,0,0.000,0,27,1048576,0,0.000
37,4020337798.803,4020337856.496,4020394217.881,56360.960,56419.078,58.118,57.693,0.425,43580.922,0,0.000,0,27,1048576,0,0.000
38,4020437798.803,4020437854.485,4020493659.974,55805.113,55861.171,56.058,55.682,0.376,44138.829,0,0.000,0,27,1048576,0,0.000
39,4020537798.803,4020537854.702,4020593767.502,55912.509,55968.699,56.190,55.899,0.291,44031.301,0,0.000,0,27,1048576,0,0.000
