# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=132 period_us=10000 priority=90 cpu=-1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,21639719161.054,21639719277.786,21639720643.866,1364.380,1482.812,118.432,116.732,1.700,8517.188,0,0.000,0,132,8192,0,0.000
1,21639729161.054,21639729197.932,21639730555.946,1357.280,1394.892,37.612,36.878,0.734,8605.108,0,0.000,0,132,8192,0,0.000
2,21639739161.054,21639739203.862,21639740596.731,1391.893,1435.677,43.784,42.808,0.976,8564.323,0,0.000,0,132,8192,0,0.000
3,21639749161.054,21639749203.501,21639750591.272,1386.908,1430.218,43.310,42.447,0.863,8569.782,0,0.000,0,132,8192,0,0.000
4,21639759161.054,21639759202.834,21639760591.384,1387.381,1430.330,42.949,41.780,1.169,8569.670,0,0.000,0,132,8192,0,0.000
5,21639769161.054,21639769198.892,21639770594.930,1395.287,1433.876,38.589,37.838,0.751,8566.124,0,0.000,0,132,8192,0,0.000
6,21639779161.054,21639779200.977,21639780592.123,1390.298,1431.069,40.771,39.923,0.848,8568.931,0,0.000,0,132,8192,0,0.000
7,21639789161.054,21639789200.483,21639790588.791,1387.437,1427.737,40.300,39.429,0.871,8572.263,0,0.000,0,132,8192,0,0.000
8,21639799161.054,21639799203.356,21639800592.013,1387.690,1430.959,43.269,42.302,0.967,8569.041,0,0.000,0,132,8192,0,0.000
9,21639809161.054,21639809201.059,21639810584.724,1382.918,1423.670,40.752,40.005,0.747,8576.330,0,0.000,0,132,8192,0,0.000
10,21639819161.054,21639819199.295,21639820586.205,1385.761,1425.151,39.390,38.241,1.149,8574.849,0,0.000,0,132,8192,0,0.000
11,21639829161.054,21639829199.742,21639830587.492,1387.022,1426.438,39.416,38.688,0.728,8573.562,0,0.000,0,132,8192,0,0.000
12,21639839161.054,21639839198.420,21639840556.716,1357.458,1395.662,38.204,37.366,0.838,8604.338,0,0.000,0,132,8192,0,0.000
13,21639849161.054,21639849205.187,21639850597.659,1391.383,1436.605,45.222,44.133,1.089,8563.395,0,0.000,0,132,8192,0,0.000
14,21639859161.054,21639859203.597,21639860611.133,1406.398,1450.079,43.681,42.543,1.138,8549.921,0,0.000,0,132,8192,0,0.000
15,21639869161.054,21639869206.876,21639870600.408,1392.533,1439.354,46.821,45.822,0.999,8560.646,0,0.000,0,132,8192,0,0.000
16,21639879161.054,21639879211.076,21639880604.429,1392.373,1443.375,51.002,50.022,0.980,8556.625,0,0.000,0,132,8192,0,0.000
17,21639889161.054,21639889201.096,21639890589.106,1387.263,1428.052,40.789,40.042,0.747,8571.948,0,0.000,0,132,8192,0,0.000
18,21639899161.054,21639899199.895,21639900588.536,1387.678,1427.482,39.804,38.841,0.963,8572.518,0,0.000,0,132,8192,0,0.000
19,21639909161.054,21639909201.851,21639910562.219,1359.393,1401.165,41.772,40.797,0.975,8598.835,0,0.000,0,132,8192,0,0.000
20,21639919161.054,21639919201.397,21639920548.913,1346.566,1387.859,41.293,40.343,0.950,8612.141,0,0.000,0,132,8192,0,0.000
21,21639929161.054,21639929204.890,21639930594.048,1388.118,1432.994,44.876,43.836,1.040,8567.006,0,0.000,0,132,8192,0,0.000
22,21639939161.054,21639939202.520,21639940596.889,1393.483,1435.835,42.352,41.466,0.886,8564.165,0,0.000,0,132,8192,0,0.000
23,21639949161.054,21639949201.121,21639950563.572,1361.472,1402.518,41.046,40.067,0.979,8597.482,0,0.000,0,132,8192,0,0.000
24,21639959161.054,21639959199.312,21639960589.573,1389.430,1428.519,39.089,38.258,0.831,8571.481,0,0.000,0,132,8192,0,0.000
25,21639969161.054,21639969202.523,21639970607.380,1403.893,1446.326,42.433,41.469,0.964,8553.674,0,0.000,0,132,8192,0,0.000
