# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=548 period_us=10000 priority=90 cpu=-1 seed=20260714 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,17612254224.616,17612254327.891,17612260910.858,6581.183,6686.242,105.059,103.275,1.784,3313.758,0,0.000,0,548,8192,0,0.000
1,17612264224.616,17612264268.286,17612274246.729,8099.824,10022.113,1922.289,43.670,1878.619,-22.113,1,22.113,1,548,8192,1,0.000
2,17612284224.616,17612284268.064,17612291263.875,6995.264,7039.259,43.995,43.448,0.547,2960.741,0,0.000,0,548,8192,0,0.000
3,17612294224.616,17612294266.480,17612301262.909,6995.877,7038.293,42.416,41.864,0.552,2961.707,0,0.000,0,548,8192,0,0.000
4,17612304224.616,17612304258.063,17612308825.314,4566.574,4600.698,34.124,33.447,0.677,5399.302,0,0.000,0,548,8192,0,0.000
5,17612314224.616,17612314255.399,17612320763.550,6507.220,6538.934,31.714,30.783,0.931,3461.066,0,0.000,0,548,8192,0,0.000
6,17612324224.616,17612324270.132,17612334245.828,8601.383,10021.212,1419.829,45.516,1374.313,-21.212,1,21.212,1,548,8192,1,0.000
7,17612344224.616,17612344255.016,17612350776.641,6520.965,6552.025,31.060,30.400,0.660,3447.975,0,0.000,0,548,8192,0,0.000
8,17612354224.616,17612354263.548,17612364328.197,8828.272,10103.581,1275.309,38.932,1236.377,-103.581,1,103.581,1,548,8192,1,0.000
9,17612374224.616,17612374256.165,17612379947.931,5691.236,5723.315,32.079,31.549,0.530,4276.685,0,0.000,0,548,8192,0,0.000
10,17612384224.616,17612384262.710,17612394244.893,8120.048,10020.277,1900.229,38.094,1862.135,-20.277,1,20.277,1,548,8192,1,0.000
11,17612404224.616,17612404257.559,17612409531.630,5273.570,5307.014,33.444,32.943,0.501,4692.986,0,0.000,0,548,8192,0,0.000
12,17612414224.616,17612414263.921,17612420876.349,6611.482,6651.733,40.251,39.305,0.946,3348.267,0,0.000,0,548,8192,0,0.000
13,17612424224.616,17612424263.394,17612434369.746,8869.355,10145.130,1275.775,38.778,1236.997,-145.130,1,145.130,1,548,8192,1,0.000
14,17612444224.616,17612444253.679,17612449459.044,5204.782,5234.428,29.646,29.063,0.583,4765.572,0,0.000,0,548,8192,0,0.000
15,17612454224.616,17612454255.201,17612460619.539,6363.650,6394.923,31.273,30.585,0.688,3605.077,0,0.000,0,548,8192,0,0.000
16,17612464224.616,17612464269.077,17612474248.008,8613.163,10023.392,1410.229,44.461,1365.768,-23.392,1,23.392,1,548,8192,1,0.000
17,17612484224.616,17612484254.266,17612490795.977,6541.088,6571.361,30.273,29.650,0.623,3428.639,0,0.000,0,548,8192,0,0.000
