# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=17 period_us=100000 priority=90 cpu=-1 seed=20260714 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,10269370528.127,10269370773.237,10269479599.211,59154.152,109071.084,49916.932,245.110,49671.822,-9071.084,1,9071.084,1,17,1048576,1,0.000
1,10269570528.127,10269570778.202,10269675974.150,55625.831,105446.023,49820.192,250.075,49570.117,-5446.023,1,5446.023,1,17,1048576,1,0.000
2,10269770528.127,10269770666.059,10269872422.404,52209.373,101894.277,49684.904,137.932,49546.972,-1894.277,1,1894.277,1,17,1048576,1,0.000
3,10269970528.127,10269970661.548,10270089434.228,69210.076,118906.101,49696.025,133.421,49562.604,-18906.101,1,18906.101,1,17,1048576,1,0.000
4,10270170528.127,10270170673.548,10270279774.099,59558.178,109245.972,49687.794,145.421,49542.373,-9245.972,1,9245.972,1,17,1048576,1,0.000
5,10270370528.127,10270370665.981,10270487453.671,67230.920,116925.544,49694.624,137.854,49556.770,-16925.544,1,16925.544,1,17,1048576,1,0.000
6,10270570528.127,10270570664.520,10270672979.123,52748.195,102450.996,49702.801,136.393,49566.408,-2450.996,1,2450.996,1,17,1048576,1,0.000
7,10270770528.127,10270770767.981,10270887840.179,67527.683,117312.052,49784.369,239.854,49544.515,-17312.052,1,17312.052,1,17,1048576,1,0.000
8,10270970528.127,10270970664.943,10271081459.621,61256.718,110931.494,49674.776,136.816,49537.960,-10931.494,1,10931.494,1,17,1048576,1,0.000
9,10271170528.127,10271170768.528,10271275546.507,55213.152,105018.380,49805.228,240.401,49564.827,-5018.380,1,5018.380,1,17,1048576,1,0.000
10,10271370528.127,10271370777.540,10271479654.781,59317.486,109126.654,49809.168,249.413,49559.755,-9126.654,1,9126.654,1,17,1048576,1,0.000
11,10271570528.127,10271570664.250,10271690903.441,70701.703,120375.314,49673.611,136.123,49537.488,-20375.314,1,20375.314,1,17,1048576,1,0.000
12,10271770528.127,10271770785.180,10271879976.374,59649.573,109448.247,49798.674,257.053,49541.621,-9448.247,1,9448.247,1,17,1048576,1,0.000
13,10271970528.127,10271970778.879,10272078112.379,57789.844,107584.252,49794.408,250.752,49543.656,-7584.252,1,7584.252,1,17,1048576,1,0.000
14,10272170528.127,10272170779.011,10272286062.525,65617.642,115534.398,49916.756,250.884,49665.872,-15534.398,1,15534.398,1,17,1048576,1,0.000
15,10272370528.127,10272370770.976,10272492216.702,71898.816,121688.575,49789.759,242.849,49546.910,-21688.575,1,21688.575,1,17,1048576,1,0.000
16,10272570528.127,10272570779.331,10272681802.600,61482.265,111274.473,49792.208,251.204,49541.004,-11274.473,1,11274.473,1,17,1048576,1,0.000
17,10272770528.127,10272770666.332,10272890628.516,70416.994,120100.389,49683.395,138.205,49545.190,-20100.389,1,20100.389,1,17,1048576,1,0.000
18,10272970528.127,10272970668.552,10273072900.499,52692.319,102372.372,49680.053,140.425,49539.628,-2372.372,1,2372.372,1,17,1048576,1,0.000
19,10273170528.127,10273170774.470,10273291902.303,71556.099,121374.176,49818.077,246.343,49571.734,-21374.176,1,21374.176,1,17,1048576,1,0.000
20,10273370528.127,10273370658.780,10273472860.173,52643.547,102332.046,49688.499,130.653,49557.846,-2332.046,1,2332.046,1,17,1048576,1,0.000
21,10273570528.127,10273570768.636,10273691421.303,71090.312,120893.176,49802.864,240.509,49562.355,-20893.176,1,20893.176,1,17,1048576,1,0.000
22,10273770528.127,10273770778.634,10273889793.372,69472.198,119265.245,49793.047,250.507,49542.540,-19265.245,1,19265.245,1,17,1048576,1,0.000
23,10273970528.127,10273970661.771,10274089416.819,69213.370,118888.692,49675.322,133.644,49541.678,-18888.692,1,18888.692,1,17,1048576,1,0.000
24,10274170528.127,10274170666.836,10274285978.528,65770.265,115450.401,49680.136,138.709,49541.427,-15450.401,1,15450.401,1,17,1048576,1,0.000
25,10274370528.127,10274370659.028,10274485849.197,65639.424,115321.070,49681.646,130.901,49550.745,-15321.070,1,15321.070,1,17,1048576,1,0.000
26,10274570528.127,10274570664.064,10274690073.064,69852.852,119544.937,49692.085,135.937,49556.148,-19544.937,1,19544.937,1,17,1048576,1,0.000
27,10274770528.127,10274770672.777,10274889774.803,69559.178,119246.676,49687.498,144.650,49542.848,-19246.676,1,19246.676,1,17,1048576,1,0.000
28,10274970528.127,10274970780.702,10275092134.759,71796.408,121606.632,49810.224,252.575,49557.649,-21606.632,1,21606.632,1,17,1048576,1,0.000
