# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=479 period_us=10000 priority=90 cpu=-1 seed=20260714 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,15366646065.537,15366646112.323,15366656087.625,7547.529,10022.088,2474.559,46.786,2427.773,-22.088,1,22.088,1,479,8192,1,0.000
1,15366666065.537,15366666099.211,15366676105.691,7932.262,10040.154,2107.892,33.674,2074.218,-40.154,1,40.154,1,479,8192,1,0.000
2,15366686065.537,15366686100.919,15366696194.926,8021.864,10129.389,2107.525,35.382,2072.143,-129.389,1,129.389,1,479,8192,1,0.000
3,15366706065.537,15366706100.496,15366716087.006,7842.128,10021.469,2179.341,34.959,2144.382,-21.469,1,21.469,1,479,8192,1,0.000
4,15366726065.537,15366726097.424,15366736085.402,7688.255,10019.865,2331.610,31.887,2299.723,-19.865,1,19.865,1,479,8192,1,0.000
5,15366746065.537,15366746102.151,15366756101.365,7838.587,10035.828,2197.241,36.614,2160.627,-35.828,1,35.828,1,479,8192,1,0.000
6,15366766065.537,15366766099.393,15366776138.784,7965.857,10073.247,2107.390,33.856,2073.534,-73.247,1,73.247,1,479,8192,1,0.000
7,15366786065.537,15366786096.236,15366796099.837,7728.735,10034.300,2305.565,30.699,2274.866,-34.300,1,34.300,1,479,8192,1,0.000
8,15366806065.537,15366806099.415,15366816087.915,7446.154,10022.378,2576.224,33.878,2542.346,-22.378,1,22.378,1,479,8192,1,0.000
9,15366826065.537,15366826098.280,15366836084.788,7505.909,10019.251,2513.342,32.743,2480.599,-19.251,1,19.251,1,479,8192,1,0.000
10,15366846065.537,15366846098.474,15366856085.837,7632.839,10020.300,2387.461,32.937,2354.524,-20.300,1,20.300,1,479,8192,1,0.000
11,15366866065.537,15366866096.556,15366876084.935,7250.439,10019.398,2768.959,31.019,2737.940,-19.398,1,19.398,1,479,8192,1,0.000
12,15366886065.537,15366886096.359,15366896085.801,7328.661,10020.264,2691.603,30.822,2660.781,-20.264,1,20.264,1,479,8192,1,0.000
13,15366906065.537,15366906096.454,15366916088.162,7084.580,10022.625,2938.045,30.917,2907.128,-22.625,1,22.625,1,479,8192,1,0.000
14,15366926065.537,15366926096.910,15366936084.859,7175.524,10019.322,2843.798,31.373,2812.425,-19.322,1,19.322,1,479,8192,1,0.000
15,15366946065.537,15366946118.902,15366956189.318,7897.732,10123.781,2226.049,53.365,2172.684,-123.781,1,123.781,1,479,8192,1,0.000
16,15366966065.537,15366966107.180,15366976387.952,7647.201,10322.415,2675.214,41.643,2633.571,-322.415,1,322.415,1,479,8192,1,0.000
