# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=411 period_us=10000 priority=90 cpu=-1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,6681439618.852,6681439724.336,6681444054.830,4328.634,4435.978,107.344,105.484,1.860,5564.022,0,0.000,0,411,8192,0,0.000
1,6681449618.852,6681449654.036,6681453990.558,4335.821,4371.706,35.885,35.184,0.701,5628.294,0,0.000,0,411,8192,0,0.000
2,6681459618.852,6681459651.437,6681463996.956,4344.670,4378.104,33.434,32.585,0.849,5621.896,0,0.000,0,411,8192,0,0.000
3,6681469618.852,6681469650.437,6681474032.216,4381.260,4413.364,32.104,31.585,0.519,5586.636,0,0.000,0,411,8192,0,0.000
4,6681479618.852,6681479650.605,6681484023.732,4372.615,4404.880,32.265,31.753,0.512,5595.120,0,0.000,0,411,8192,0,0.000
5,6681489618.852,6681489649.451,6681493983.618,4333.489,4364.766,31.277,30.599,0.678,5635.234,0,0.000,0,411,8192,0,0.000
6,6681499618.852,6681499648.297,6681503979.205,4330.337,4360.353,30.016,29.445,0.571,5639.647,0,0.000,0,411,8192,0,0.000
7,6681509618.852,6681509649.538,6681513993.233,4343.118,4374.381,31.263,30.686,0.577,5625.619,0,0.000,0,411,8192,0,0.000
8,6681519618.852,6681519649.819,6681523976.830,4326.386,4357.978,31.592,30.967,0.625,5642.022,0,0.000,0,411,8192,0,0.000
9,6681529618.852,6681529648.921,6681533866.872,4217.289,4248.020,30.731,30.069,0.662,5751.980,0,0.000,0,411,8192,0,0.000
10,6681539618.852,6681539649.953,6681544049.138,4398.664,4430.286,31.622,31.101,0.521,5569.714,0,0.000,0,411,8192,0,0.000
11,6681549618.852,6681549648.979,6681553542.103,3892.529,3923.251,30.722,30.127,0.595,6076.749,0,0.000,0,411,8192,0,0.000
12,6681559618.852,6681559649.811,6681563982.705,4332.192,4363.853,31.661,30.959,0.702,5636.147,0,0.000,0,411,8192,0,0.000
13,6681569618.852,6681569647.940,6681573981.315,4332.633,4362.463,29.830,29.088,0.742,5637.537,0,0.000,0,411,8192,0,0.000
14,6681579618.852,6681579650.063,6681584091.616,4441.038,4472.764,31.726,31.211,0.515,5527.236,0,0.000,0,411,8192,0,0.000
15,6681589618.852,6681589649.274,6681594061.334,4411.553,4442.482,30.929,30.422,0.507,5557.518,0,0.000,0,411,8192,0,0.000
16,6681599618.852,6681599649.861,6681604019.319,4369.014,4400.467,31.453,31.009,0.444,5599.533,0,0.000,0,411,8192,0,0.000
17,6681609618.852,6681609648.913,6681613889.554,4239.707,4270.702,30.995,30.061,0.934,5729.298,0,0.000,0,411,8192,0,0.000
18,6681619618.852,6681619648.646,6681623833.852,4184.698,4215.000,30.302,29.794,0.508,5785.000,0,0.000,0,411,8192,0,0.000
19,6681629618.852,6681629647.991,6681634061.997,4413.592,4443.145,29.553,29.139,0.414,5556.855,0,0.000,0,411,8192,0,0.000
20,6681639618.852,6681639648.702,6681643969.599,4320.273,4350.747,30.474,29.850,0.624,5649.253,0,0.000,0,411,8192,0,0.000
21,6681649618.852,6681649648.663,6681653994.165,4344.791,4375.313,30.522,29.811,0.711,5624.687,0,0.000,0,411,8192,0,0.000
22,6681659618.852,6681659648.090,6681663975.021,4326.154,4356.169,30.015,29.238,0.777,5643.831,0,0.000,0,411,8192,0,0.000
23,6681669618.852,6681669648.662,6681673982.607,4333.271,4363.755,30.484,29.810,0.674,5636.245,0,0.000,0,411,8192,0,0.000
24,6681679618.852,6681679647.245,6681684007.721,4359.966,4388.869,28.903,28.393,0.510,5611.131,0,0.000,0,411,8192,0,0.000
25,6681689618.852,6681689649.924,6681693979.168,4328.505,4360.316,31.811,31.072,0.739,5639.684,0,0.000,0,411,8192,0,0.000
26,6681699618.852,6681699649.792,6681703947.101,4296.743,4328.249,31.506,30.940,0.566,5671.751,0,0.000,0,411,8192,0,0.000
27,6681709618.852,6681709648.999,6681714094.944,4445.395,4476.092,30.697,30.147,0.550,5523.908,0,0.000,0,411,8192,0,0.000
28,6681719618.852,6681719649.201,6681724018.600,4368.852,4399.748,30.896,30.349,0.547,5600.252,0,0.000,0,411,8192,0,0.000
29,6681729618.852,6681729649.977,6681733829.967,4179.418,4211.115,31.697,31.125,0.572,5788.885,0,0.000,0,411,8192,0,0.000
30,6681739618.852,6681739649.509,6681743840.637,4190.564,4221.785,31.221,30.657,0.564,5778.215,0,0.000,0,411,8192,0,0.000
31,6681749618.852,6681749649.353,6681753975.841,4325.791,4356.989,31.198,30.501,0.697,5643.011,0,0.000,0,411,8192,0,0.000
32,6681759618.852,6681759647.489,6681763980.443,4332.175,4361.591,29.416,28.637,0.779,5638.409,0,0.000,0,411,8192,0,0.000
33,6681769618.852,6681769648.854,6681774029.910,4380.557,4411.058,30.501,30.002,0.499,5588.942,0,0.000,0,411,8192,0,0.000
34,6681779618.852,6681779649.842,6681783994.112,4343.570,4375.260,31.690,30.990,0.700,5624.740,0,0.000,0,411,8192,0,0.000
35,6681789618.852,6681789648.759,6681793203.659,3554.166,3584.807,30.641,29.907,0.734,6415.193,0,0.000,0,411,8192,0,0.000
36,6681799618.852,6681799649.157,6681803457.915,3807.973,3839.063,31.090,30.305,0.785,6160.937,0,0.000,0,411,8192,0,0.000
37,6681809618.852,6681809648.709,6681813260.253,3610.981,3641.401,30.420,29.857,0.563,6358.599,0,0.000,0,411,8192,0,0.000
38,6681819618.852,6681819649.985,6681823324.915,3674.327,3706.063,31.736,31.133,0.603,6293.937,0,0.000,0,411,8192,0,0.000
39,6681829618.852,6681829649.597,6681834027.397,4377.194,4408.545,31.351,30.745,0.606,5591.455,0,0.000,0,411,8192,0,0.000
40,6681839618.852,6681839673.965,6681844056.718,4382.030,4437.866,55.836,55.113,0.723,5562.134,0,0.000,0,411,8192,0,0.000
41,6681849618.852,6681849654.319,6681853997.966,4342.913,4379.114,36.201,35.467,0.734,5620.886,0,0.000,0,411,8192,0,0.000
42,6681859618.852,6681859650.380,6681863996.934,4346.042,4378.082,32.040,31.528,0.512,5621.918,0,0.000,0,411,8192,0,0.000
43,6681869618.852,6681869649.655,6681873996.614,4346.350,4377.762,31.412,30.803,0.609,5622.238,0,0.000,0,411,8192,0,0.000
44,6681879618.852,6681879648.947,6681883975.064,4325.374,4356.212,30.838,30.095,0.743,5643.788,0,0.000,0,411,8192,0,0.000
45,6681889618.852,6681889649.426,6681893985.880,4335.900,4367.028,31.128,30.574,0.554,5632.972,0,0.000,0,411,8192,0,0.000
46,6681899618.852,6681899649.373,6681904038.920,4389.033,4420.068,31.035,30.521,0.514,5579.932,0,0.000,0,411,8192,0,0.000
47,6681909618.852,6681909649.750,6681914018.745,4368.453,4399.893,31.440,30.898,0.542,5600.107,0,0.000,0,411,8192,0,0.000
48,6681919618.852,6681919648.871,6681924053.337,4403.969,4434.485,30.516,30.019,0.497,5565.515,0,0.000,0,411,8192,0,0.000
49,6681929618.852,6681929650.401,6681934020.330,4369.396,4401.478,32.082,31.549,0.533,5598.522,0,0.000,0,411,8192,0,0.000
50,6681939618.852,6681939649.683,6681943864.577,4214.085,4245.725,31.640,30.831,0.809,5754.275,0,0.000,0,411,8192,0,0.000
51,6681949618.852,6681949649.311,6681953427.018,3777.190,3808.166,30.976,30.459,0.517,6191.834,0,0.000,0,411,8192,0,0.000
52,6681959618.852,6681959650.697,6681964123.153,4471.962,4504.301,32.339,31.845,0.494,5495.699,0,0.000,0,411,8192,0,0.000
53,6681969618.852,6681969646.344,6681974010.557,4363.667,4391.705,28.038,27.492,0.546,5608.295,0,0.000,0,411,8192,0,0.000
54,6681979618.852,6681979650.104,6681984046.556,4395.956,4427.704,31.748,31.252,0.496,5572.296,0,0.000,0,411,8192,0,0.000
55,6681989618.852,6681989654.536,6681993998.974,4343.608,4380.122,36.514,35.684,0.830,5619.878,0,0.000,0,411,8192,0,0.000
56,6681999618.852,6681999650.764,6682003996.464,4345.038,4377.612,32.574,31.912,0.662,5622.388,0,0.000,0,411,8192,0,0.000
