# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=3 period_us=100000 priority=90 cpu=-1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,7875993723.264,7875993838.864,7876000109.536,6269.136,6386.272,117.136,115.600,1.536,93613.728,0,0.000,0,3,1048576,0,0.000
1,7876093723.264,7876093814.015,7876101544.444,7729.091,7821.180,92.089,90.751,1.338,92178.820,0,0.000,0,3,1048576,0,0.000
2,7876193723.264,7876193816.584,7876201347.151,7529.252,7623.887,94.635,93.320,1.315,92376.113,0,0.000,0,3,1048576,0,0.000
3,7876293723.264,7876293835.563,7876301720.527,7883.257,7997.263,114.006,112.299,1.707,92002.737,0,0.000,0,3,1048576,0,0.000
4,7876393723.264,7876393814.329,7876401375.581,7560.066,7652.317,92.251,91.065,1.186,92347.683,0,0.000,0,3,1048576,0,0.000
5,7876493723.264,7876493817.815,7876501564.875,7745.799,7841.611,95.812,94.551,1.261,92158.389,0,0.000,0,3,1048576,0,0.000
6,7876593723.264,7876593814.744,7876601545.614,7729.619,7822.350,92.731,91.480,1.251,92177.650,0,0.000,0,3,1048576,0,0.000
7,7876693723.264,7876693819.084,7876701571.873,7751.378,7848.609,97.231,95.820,1.411,92151.391,0,0.000,0,3,1048576,0,0.000
8,7876793723.264,7876793816.313,7876801543.995,7726.283,7820.731,94.448,93.049,1.399,92179.269,0,0.000,0,3,1048576,0,0.000
9,7876893723.264,7876893821.747,7876901529.284,7706.095,7806.020,99.925,98.483,1.442,92193.980,0,0.000,0,3,1048576,0,0.000
10,7876993723.264,7876993820.182,7877001582.928,7761.527,7859.664,98.137,96.918,1.219,92140.336,0,0.000,0,3,1048576,0,0.000
11,7877093723.264,7877093832.777,7877101649.008,7814.216,7925.744,111.528,109.513,2.015,92074.256,0,0.000,0,3,1048576,0,0.000
12,7877193723.264,7877193817.488,7877201791.594,7972.637,8068.330,95.693,94.224,1.469,91931.670,0,0.000,0,3,1048576,0,0.000
13,7877293723.264,7877293813.103,7877301190.892,7376.321,7467.628,91.307,89.839,1.468,92532.372,0,0.000,0,3,1048576,0,0.000
14,7877393723.264,7877393818.305,7877401561.736,7742.051,7838.472,96.421,95.041,1.380,92161.528,0,0.000,0,3,1048576,0,0.000
15,7877493723.264,7877493817.360,7877501535.526,7716.825,7812.262,95.437,94.096,1.341,92187.738,0,0.000,0,3,1048576,0,0.000
16,7877593723.264,7877593816.701,7877601577.068,7758.822,7853.804,94.982,93.437,1.545,92146.196,0,0.000,0,3,1048576,0,0.000
17,7877693723.264,7877693844.620,7877701758.983,7912.810,8035.719,122.909,121.356,1.553,91964.281,0,0.000,0,3,1048576,0,0.000
18,7877793723.264,7877793836.919,7877801726.364,7887.656,8003.100,115.444,113.655,1.789,91996.900,0,0.000,0,3,1048576,0,0.000
19,7877893723.264,7877893815.959,7877901349.128,7532.113,7625.864,93.751,92.695,1.056,92374.136,0,0.000,0,3,1048576,0,0.000
20,7877993723.264,7877993821.056,7878001568.702,7746.025,7845.438,99.413,97.792,1.621,92154.562,0,0.000,0,3,1048576,0,0.000
21,7878093723.264,7878093826.414,7878101545.471,7717.809,7822.207,104.398,103.150,1.248,92177.793,0,0.000,0,3,1048576,0,0.000
22,7878193723.264,7878193821.255,7878201419.389,7596.941,7696.125,99.184,97.991,1.193,92303.875,0,0.000,0,3,1048576,0,0.000
23,7878293723.264,7878293818.958,7878301671.109,7850.810,7947.845,97.035,95.694,1.341,92052.155,0,0.000,0,3,1048576,0,0.000
24,7878393723.264,7878393816.465,7878401529.323,7711.208,7806.059,94.851,93.201,1.650,92193.941,0,0.000,0,3,1048576,0,0.000
25,7878493723.264,7878493817.148,7878501560.969,7742.497,7837.705,95.208,93.884,1.324,92162.295,0,0.000,0,3,1048576,0,0.000
26,7878593723.264,7878593815.960,7878601549.258,7731.934,7825.994,94.060,92.696,1.364,92174.006,0,0.000,0,3,1048576,0,0.000
27,7878693723.264,7878693814.137,7878701625.665,7810.043,7902.401,92.358,90.873,1.485,92097.599,0,0.000,0,3,1048576,0,0.000
28,7878793723.264,7878793821.925,7878801490.956,7667.474,7767.692,100.218,98.661,1.557,92232.308,0,0.000,0,3,1048576,0,0.000
29,7878893723.264,7878893808.644,7878901525.619,7715.567,7802.355,86.788,85.380,1.408,92197.645,0,0.000,0,3,1048576,0,0.000
30,7878993723.264,7878993830.309,7879001459.848,7627.940,7736.584,108.644,107.045,1.599,92263.416,0,0.000,0,3,1048576,0,0.000
31,7879093723.264,7879093827.175,7879101537.214,7708.486,7813.950,105.464,103.911,1.553,92186.050,0,0.000,0,3,1048576,0,0.000
32,7879193723.264,7879193809.598,7879201559.316,7748.498,7836.052,87.554,86.334,1.220,92163.948,0,0.000,0,3,1048576,0,0.000
33,7879293723.264,7879293814.155,7879301536.727,7720.979,7813.463,92.484,90.891,1.593,92186.537,0,0.000,0,3,1048576,0,0.000
34,7879393723.264,7879393813.838,7879401562.091,7746.718,7838.827,92.109,90.574,1.535,92161.173,0,0.000,0,3,1048576,0,0.000
35,7879493723.264,7879493815.614,7879501619.937,7803.133,7896.673,93.540,92.350,1.190,92103.327,0,0.000,0,3,1048576,0,0.000
36,7879593723.264,7879593820.756,7879601884.410,8062.238,8161.146,98.908,97.492,1.416,91838.854,0,0.000,0,3,1048576,0,0.000
37,7879693723.264,7879693813.195,7879701607.389,7793.004,7884.125,91.121,89.931,1.190,92115.875,0,0.000,0,3,1048576,0,0.000
38,7879793723.264,7879793823.089,7879801591.056,7766.607,7867.792,101.185,99.825,1.360,92132.208,0,0.000,0,3,1048576,0,0.000
39,7879893723.264,7879893828.567,7879901387.588,7557.175,7664.324,107.149,105.303,1.846,92335.676,0,0.000,0,3,1048576,0,0.000
40,7879993723.264,7879993812.434,7880001568.220,7754.500,7844.956,90.456,89.170,1.286,92155.044,0,0.000,0,3,1048576,0,0.000
41,7880093723.264,7880093809.243,7880101594.370,7783.604,7871.106,87.502,85.979,1.523,92128.894,0,0.000,0,3,1048576,0,0.000
42,7880193723.264,7880193817.009,7880201550.448,7732.081,7827.184,95.103,93.745,1.358,92172.816,0,0.000,0,3,1048576,0,0.000
43,7880293723.264,7880293811.964,7880301543.441,7730.054,7820.177,90.123,88.700,1.423,92179.823,0,0.000,0,3,1048576,0,0.000
44,7880393723.264,7880393818.561,7880401606.285,7786.167,7883.021,96.854,95.297,1.557,92116.979,0,0.000,0,3,1048576,0,0.000
45,7880493723.264,7880493825.714,7880501566.993,7739.568,7843.729,104.161,102.450,1.711,92156.271,0,0.000,0,3,1048576,0,0.000
46,7880593723.264,7880593826.988,7880601559.598,7731.272,7836.334,105.062,103.724,1.338,92163.666,0,0.000,0,3,1048576,0,0.000
47,7880693723.264,7880693829.315,7880701544.730,7713.816,7821.466,107.650,106.051,1.599,92178.534,0,0.000,0,3,1048576,0,0.000
48,7880793723.264,7880793813.808,7880801557.537,7742.077,7834.273,92.196,90.544,1.652,92165.727,0,0.000,0,3,1048576,0,0.000
49,7880893723.264,7880893825.542,7880901476.576,7649.766,7753.312,103.546,102.278,1.268,92246.688,0,0.000,0,3,1048576,0,0.000
50,7880993723.264,7880993814.831,7881001594.015,7777.972,7870.751,92.779,91.567,1.212,92129.249,0,0.000,0,3,1048576,0,0.000
51,7881093723.264,7881093815.573,7881101580.233,7762.874,7856.969,94.095,92.309,1.786,92143.031,0,0.000,0,3,1048576,0,0.000
52,7881193723.264,7881193807.266,7881201576.605,7768.162,7853.341,85.179,84.002,1.177,92146.659,0,0.000,0,3,1048576,0,0.000
53,7881293723.264,7881293825.117,7881301573.244,7746.730,7849.980,103.250,101.853,1.397,92150.020,0,0.000,0,3,1048576,0,0.000
54,7881393723.264,7881393819.314,7881401566.666,7746.040,7843.402,97.362,96.050,1.312,92156.598,0,0.000,0,3,1048576,0,0.000
55,7881493723.264,7881493845.268,7881501586.112,7738.744,7862.848,124.104,122.004,2.100,92137.152,0,0.000,0,3,1048576,0,0.000
56,7881593723.264,7881593816.937,7881601386.910,7568.616,7663.646,95.030,93.673,1.357,92336.354,0,0.000,0,3,1048576,0,0.000
57,7881693723.264,7881693816.047,7881701591.862,7774.626,7868.598,93.972,92.783,1.189,92131.402,0,0.000,0,3,1048576,0,0.000
58,7881793723.264,7881793901.343,7881803594.830,9691.577,9871.566,179.989,178.079,1.910,90128.434,0,0.000,0,3,1048576,0,0.000
59,7881893723.264,7881893820.063,7881901187.800,7366.392,7464.536,98.144,96.799,1.345,92535.464,0,0.000,0,3,1048576,0,0.000
60,7881993723.264,7881993819.800,7882001546.438,7725.285,7823.174,97.889,96.536,1.353,92176.826,0,0.000,0,3,1048576,0,0.000
61,7882093723.264,7882093814.967,7882101561.109,7744.960,7837.845,92.885,91.703,1.182,92162.155,0,0.000,0,3,1048576,0,0.000
62,7882193723.264,7882193816.257,7882201614.748,7797.141,7891.484,94.343,92.993,1.350,92108.516,0,0.000,0,3,1048576,0,0.000
63,7882293723.264,7882293812.804,7882301563.100,7749.085,7839.836,90.751,89.540,1.211,92160.164,0,0.000,0,3,1048576,0,0.000
64,7882393723.264,7882393814.025,7882401551.855,7736.485,7828.591,92.106,90.761,1.345,92171.409,0,0.000,0,3,1048576,0,0.000
65,7882493723.264,7882493822.414,7882501550.211,7726.416,7826.947,100.531,99.150,1.381,92173.053,0,0.000,0,3,1048576,0,0.000
66,7882593723.264,7882593842.895,7882601570.562,7726.079,7847.298,121.219,119.631,1.588,92152.702,0,0.000,0,3,1048576,0,0.000
67,7882693723.264,7882693791.756,7882701323.642,7530.810,7600.378,69.568,68.492,1.076,92399.622,0,0.000,0,3,1048576,0,0.000
68,7882793723.264,7882793825.324,7882801556.457,7729.850,7833.193,103.343,102.060,1.283,92166.807,0,0.000,0,3,1048576,0,0.000
69,7882893723.264,7882893812.107,7882901576.497,7762.966,7853.233,90.267,88.843,1.424,92146.767,0,0.000,0,3,1048576,0,0.000
70,7882993723.264,7882993816.375,7883001475.021,7657.207,7751.757,94.550,93.111,1.439,92248.243,0,0.000,0,3,1048576,0,0.000
71,7883093723.264,7883093810.564,7883101565.191,7753.095,7841.927,88.832,87.300,1.532,92158.073,0,0.000,0,3,1048576,0,0.000
72,7883193723.264,7883193812.300,7883201579.547,7765.924,7856.283,90.359,89.036,1.323,92143.717,0,0.000,0,3,1048576,0,0.000
73,7883293723.264,7883293817.394,7883301540.379,7721.742,7817.115,95.373,94.130,1.243,92182.885,0,0.000,0,3,1048576,0,0.000
74,7883393723.264,7883393814.640,7883401549.849,7734.048,7826.585,92.537,91.376,1.161,92173.415,0,0.000,0,3,1048576,0,0.000
75,7883493723.264,7883493813.076,7883501580.747,7765.801,7857.483,91.682,89.812,1.870,92142.517,0,0.000,0,3,1048576,0,0.000
76,7883593723.264,7883593815.048,7883601413.316,7596.930,7690.052,93.122,91.784,1.338,92309.948,0,0.000,0,3,1048576,0,0.000
77,7883693723.264,7883693811.861,7883701579.391,7766.082,7856.127,90.045,88.597,1.448,92143.873,0,0.000,0,3,1048576,0,0.000
78,7883793723.264,7883793825.222,7883801564.931,7738.361,7841.667,103.306,101.958,1.348,92158.333,0,0.000,0,3,1048576,0,0.000
79,7883893723.264,7883893821.045,7883901556.444,7734.181,7833.180,98.999,97.781,1.218,92166.820,0,0.000,0,3,1048576,0,0.000
80,7883993723.264,7883993820.517,7884001747.775,7925.916,8024.511,98.595,97.253,1.342,91975.489,0,0.000,0,3,1048576,0,0.000
81,7884093723.264,7884093819.565,7884101586.512,7765.603,7863.248,97.645,96.301,1.344,92136.752,0,0.000,0,3,1048576,0,0.000
82,7884193723.264,7884193812.805,7884201626.850,7812.707,7903.586,90.879,89.541,1.338,92096.414,0,0.000,0,3,1048576,0,0.000
83,7884293723.264,7884293834.360,7884301635.273,7799.416,7912.009,112.593,111.096,1.497,92087.991,0,0.000,0,3,1048576,0,0.000
84,7884393723.264,7884393822.032,7884401577.385,7753.994,7854.121,100.127,98.768,1.359,92145.879,0,0.000,0,3,1048576,0,0.000
85,7884493723.264,7884493818.769,7884501571.446,7751.142,7848.182,97.040,95.505,1.535,92151.818,0,0.000,0,3,1048576,0,0.000
86,7884593723.264,7884593821.212,7884601567.803,7745.417,7844.539,99.122,97.948,1.174,92155.461,0,0.000,0,3,1048576,0,0.000
87,7884693723.264,7884693829.085,7884701432.892,7601.933,7709.628,107.695,105.821,1.874,92290.372,0,0.000,0,3,1048576,0,0.000
88,7884793723.264,7884793822.846,7884801600.429,7776.135,7877.165,101.030,99.582,1.448,92122.835,0,0.000,0,3,1048576,0,0.000
89,7884893723.264,7884893820.530,7884901349.335,7527.537,7626.071,98.534,97.266,1.268,92373.929,0,0.000,0,3,1048576,0,0.000
90,7884993723.264,7884993817.561,7885001560.194,7741.287,7836.930,95.643,94.297,1.346,92163.070,0,0.000,0,3,1048576,0,0.000
