scale,,,soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms)
stat,,,median,p99,p99_9,max,variability,miss_pct,median,p99,p99_9,max,variability,miss_pct
workload,label,U,,,,,,,,,,,,
single-core,baseline (full isolation),0.1,8.23,8.463,8.578,10.119,1.23,0.015,0.792,0.818,0.834,0.916,1.157,0.01
single-core,baseline (full isolation),0.5,41.054,42.646,42.938,50.234,1.224,0.005,3.941,4.024,4.083,5.926,1.504,0.01
single-core,baseline (full isolation),0.7,55.701,56.591,57.373,62.999,1.131,0.005,5.532,5.629,5.668,6.94,1.255,0.005
single-core,baseline (full isolation),0.94,76.707,77.446,78.479,86.522,1.128,0.005,7.338,7.513,7.603,9.115,1.242,0.02
single-core,isolcpus removed,0.1,8.329,10.64,12.766,20.344,2.443,2.48,0.775,0.906,1.527,3.747,4.835,1.22
single-core,isolcpus removed,0.5,41.698,50.946,59.024,66.067,1.584,1.44,3.866,4.686,6.133,8.687,2.247,0.71
single-core,isolcpus removed,0.7,55.096,66.615,73.411,82.862,1.504,0.44,5.38,6.228,7.946,10.338,1.922,0.4
single-core,isolcpus removed,0.94,,,,,,,,,,,,
single-core,nohz_full removed,0.1,8.407,9.152,11.987,16.42,1.953,0.54,0.7,0.826,0.971,2.42,3.457,0.125
single-core,nohz_full removed,0.5,34.619,36.526,40.694,48.724,1.407,0.0,3.486,3.512,3.932,11.345,3.254,0.025
single-core,nohz_full removed,0.7,48.067,49.082,56.095,61.83,1.286,0.0,4.883,4.915,5.523,7.934,1.625,0.015
single-core,nohz_full removed,0.94,67.408,68.868,73.903,79.599,1.181,0.0,6.56,6.812,8.36,12.878,1.963,0.03
single-core,rcu_nocbs removed,0.1,6.285,6.598,6.611,7.187,1.144,0.0,0.696,0.701,0.731,0.747,1.073,0.0
single-core,rcu_nocbs removed,0.5,35.224,35.488,35.711,37.752,1.072,0.0,3.49,3.527,3.583,5.036,1.443,0.015
single-core,rcu_nocbs removed,0.7,47.754,49.433,51.089,53.445,1.119,0.0,4.867,4.946,5.026,6.374,1.31,0.015
single-core,rcu_nocbs removed,0.94,66.562,67.556,68.768,72.147,1.084,0.0,6.531,6.58,6.64,8.585,1.315,0.005
single-core,systemd containment removed,0.1,8.271,9.213,12.428,15.832,1.914,0.55,0.79,0.826,1.22,3.223,4.08,0.41
single-core,systemd containment removed,0.5,41.083,42.337,44.341,56.679,1.38,0.015,3.943,4.002,5.068,7.722,1.958,0.13
single-core,systemd containment removed,0.7,54.516,56.031,60.588,76.5,1.403,0.005,5.502,5.609,6.263,9.449,1.717,0.035
single-core,systemd containment removed,0.94,76.345,77.321,79.703,87.212,1.142,0.0,7.391,7.477,8.421,12.195,1.65,0.035
single-core,IRQ steering removed,0.1,8.329,8.488,8.587,9.71,1.166,0.005,0.788,0.816,0.822,0.841,1.067,0.025
single-core,IRQ steering removed,0.5,41.331,41.947,42.705,46.419,1.123,0.0,3.922,4.009,4.063,5.905,1.506,0.01
single-core,IRQ steering removed,0.7,55.777,56.391,56.82,61.888,1.11,0.0,5.536,5.636,5.686,7.605,1.374,0.01
single-core,IRQ steering removed,0.94,76.488,78.372,80.11,83.644,1.094,0.005,7.4,7.529,7.91,8.585,1.16,0.015
single-core,boot-params bundle removed,0.1,6.269,6.419,6.515,7.215,1.151,0.0,0.688,0.716,0.725,1.312,1.907,0.015
single-core,boot-params bundle removed,0.5,34.748,36.03,36.216,40.318,1.16,0.0,3.472,3.544,3.614,4.989,1.437,0.005
single-core,boot-params bundle removed,0.7,49.373,50.485,51.286,52.078,1.055,0.0,4.813,4.992,5.06,5.773,1.199,0.005
single-core,boot-params bundle removed,0.94,63.933,66.134,67.032,72.221,1.13,0.0,6.361,6.612,6.701,8.471,1.332,0.005
single-core,frequency pinning removed,0.1,6.221,6.392,6.542,9.448,1.519,0.0,0.674,0.713,0.726,0.74,1.098,0.01
single-core,frequency pinning removed,0.5,34.331,35.32,35.551,44.197,1.287,0.0,3.374,3.503,3.573,4.243,1.258,0.01
single-core,frequency pinning removed,0.7,49.722,51.341,52.324,62.647,1.26,0.0,4.729,4.939,5.01,7.243,1.532,0.01
single-core,frequency pinning removed,0.94,62.782,64.48,65.626,79.312,1.263,0.0,6.427,6.676,6.738,7.817,1.216,0.005
multi-core on physical cores,baseline (full isolation),0.1,6.277,6.581,8.451,9.173,1.461,0.0,0.701,0.811,1.134,1.232,1.757,0.008
multi-core on physical cores,baseline (full isolation),0.5,35.273,38.003,41.424,49.368,1.4,0.0,3.514,4.33,5.477,5.846,1.664,0.015
multi-core on physical cores,baseline (full isolation),0.7,50.095,53.271,60.354,67.442,1.346,0.0,4.875,5.172,7.542,8.019,1.645,0.012
multi-core on physical cores,baseline (full isolation),0.94,66.856,71.627,93.477,97.751,1.462,0.085,6.562,7.325,10.189,11.142,1.698,0.335
multi-core on physical cores,isolcpus removed,0.1,6.165,6.62,8.234,8.955,1.453,0.0,0.688,0.844,1.146,1.262,1.834,0.04
multi-core on physical cores,isolcpus removed,0.5,34.647,37.599,42.025,44.916,1.296,0.005,3.438,3.724,5.388,5.905,1.718,0.04
multi-core on physical cores,isolcpus removed,0.7,49.879,53.341,56.562,63.592,1.275,0.0,4.87,5.639,7.538,8.036,1.65,0.29
multi-core on physical cores,isolcpus removed,0.94,,,,,,,,,,,,
multi-core on physical cores,nohz_full removed,0.1,6.151,7.222,8.419,9.317,1.515,0.0,0.695,0.732,1.004,1.581,2.275,0.005
multi-core on physical cores,nohz_full removed,0.5,34.244,36.332,41.805,47.595,1.39,0.0,3.499,4.01,5.542,5.788,1.654,0.0
multi-core on physical cores,nohz_full removed,0.7,48.335,50.461,52.922,63.667,1.317,0.0,4.929,5.471,7.727,8.218,1.667,0.0
multi-core on physical cores,nohz_full removed,0.94,67.786,71.168,80.554,88.968,1.312,0.0,6.573,7.184,10.132,10.944,1.665,0.225
multi-core on physical cores,rcu_nocbs removed,0.1,7.743,10.71,14.065,26.404,3.41,0.23,0.725,1.257,2.426,11.271,15.546,1.555
multi-core on physical cores,rcu_nocbs removed,0.5,36.684,47.35,55.844,113.317,3.089,0.02,3.554,5.539,6.515,8.724,2.455,0.065
multi-core on physical cores,rcu_nocbs removed,0.7,52.42,63.846,77.242,158.808,3.03,0.02,4.957,7.001,9.031,11.939,2.409,0.525
multi-core on physical cores,rcu_nocbs removed,0.94,71.342,84.276,99.779,288.587,4.045,0.155,6.654,9.005,11.985,24.055,3.615,0.94
multi-core on physical cores,systemd containment removed,0.1,6.281,7.458,9.157,13.301,2.118,0.0,0.696,0.804,1.221,4.673,6.714,0.09
multi-core on physical cores,systemd containment removed,0.5,35.204,37.198,41.039,47.165,1.34,0.005,3.505,3.908,5.526,6.521,1.86,0.01
