scale,,,soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms)
stat,,,median,p99,p99_9,max,p99_ratio,median,p99,p99_9,max,p99_ratio
workload,label,U,,,,,,,,,,
single-core,baseline (full isolation),0.1,8.23,8.463,8.578,10.119,1.0,0.792,0.818,0.834,0.916,1.0
single-core,baseline (full isolation),0.5,41.054,42.646,42.938,50.234,1.0,3.941,4.024,4.083,5.926,1.0
single-core,baseline (full isolation),0.7,55.701,56.591,57.373,62.999,1.0,5.532,5.629,5.668,6.94,1.0
single-core,baseline (full isolation),0.94,76.707,77.446,78.479,86.522,1.0,7.338,7.513,7.603,9.115,1.0
single-core,isolcpus removed,0.1,8.329,10.64,12.766,20.344,1.257,0.775,0.906,1.527,3.747,1.108
single-core,isolcpus removed,0.5,41.698,50.946,59.024,66.067,1.195,3.866,4.686,6.133,8.687,1.165
single-core,isolcpus removed,0.7,55.096,66.615,73.411,82.862,1.177,5.38,6.228,7.946,10.338,1.106
single-core,isolcpus removed,0.94,,,,,,,,,,
single-core,nohz_full removed,0.1,8.407,9.152,11.987,16.42,1.081,0.7,0.826,0.971,2.42,1.009
single-core,nohz_full removed,0.5,34.619,36.526,40.694,48.724,0.856,3.486,3.512,3.932,11.345,0.873
single-core,nohz_full removed,0.7,48.067,49.082,56.095,61.83,0.867,4.883,4.915,5.523,7.934,0.873
single-core,nohz_full removed,0.94,67.408,68.868,73.903,79.599,0.889,6.56,6.812,8.36,12.878,0.907
single-core,rcu_nocbs removed,0.1,6.285,6.598,6.611,7.187,0.78,0.696,0.701,0.731,0.747,0.856
single-core,rcu_nocbs removed,0.5,35.224,35.488,35.711,37.752,0.832,3.49,3.527,3.583,5.036,0.876
single-core,rcu_nocbs removed,0.7,47.754,49.433,51.089,53.445,0.874,4.867,4.946,5.026,6.374,0.879
single-core,rcu_nocbs removed,0.94,66.562,67.556,68.768,72.147,0.872,6.531,6.58,6.64,8.585,0.876
single-core,systemd containment removed,0.1,8.271,9.213,12.428,15.832,1.089,0.79,0.826,1.22,3.223,1.01
single-core,systemd containment removed,0.5,41.083,42.337,44.341,56.679,0.993,3.943,4.002,5.068,7.722,0.994
single-core,systemd containment removed,0.7,54.516,56.031,60.588,76.5,0.99,5.502,5.609,6.263,9.449,0.996
single-core,systemd containment removed,0.94,76.345,77.321,79.703,87.212,0.998,7.391,7.477,8.421,12.195,0.995
single-core,IRQ steering removed,0.1,8.329,8.488,8.587,9.71,1.003,0.788,0.816,0.822,0.841,0.997
single-core,IRQ steering removed,0.5,41.331,41.947,42.705,46.419,0.984,3.922,4.009,4.063,5.905,0.996
single-core,IRQ steering removed,0.7,55.777,56.391,56.82,61.888,0.996,5.536,5.636,5.686,7.605,1.001
single-core,IRQ steering removed,0.94,76.488,78.372,80.11,83.644,1.012,7.4,7.529,7.91,8.585,1.002
single-core,boot-params bundle removed,0.1,6.269,6.419,6.515,7.215,0.758,0.688,0.716,0.725,1.312,0.875
