scale,,,soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms)
stat,,,median,p99,p99_9,max,n_ge_2x,p99_ratio,median,p99,p99_9,max,n_ge_2x,p99_ratio
workload,label,U,,,,,,,,,,,,
single-core,baseline (full isolation),0.1,0.082,0.085,0.086,0.101,0.0,1.0,0.079,0.082,0.083,0.092,0.0,1.0
single-core,baseline (full isolation),0.5,0.411,0.426,0.429,0.502,0.0,1.0,0.394,0.402,0.408,0.593,0.0,1.0
single-core,baseline (full isolation),0.7,0.557,0.566,0.574,0.63,0.0,1.0,0.553,0.563,0.567,0.694,0.0,1.0
single-core,baseline (full isolation),0.94,0.767,0.774,0.785,0.865,0.0,1.0,0.734,0.751,0.76,0.912,0.0,1.0
single-core,isolcpus removed,0.1,0.083,0.106,0.128,0.203,0.0,1.257,0.078,0.091,0.153,0.375,0.0,1.108
single-core,isolcpus removed,0.5,0.417,0.509,0.59,0.661,0.0,1.195,0.387,0.469,0.613,0.869,0.0,1.165
single-core,isolcpus removed,0.7,0.551,0.666,0.734,0.829,0.0,1.177,0.538,0.623,0.795,1.034,0.0,1.106
single-core,isolcpus removed,0.94,,,,,,,,,,,,
single-core,nohz_full removed,0.1,0.084,0.092,0.12,0.164,0.0,1.081,0.07,0.083,0.097,0.242,0.0,1.009
single-core,nohz_full removed,0.5,0.346,0.365,0.407,0.487,0.0,0.856,0.349,0.351,0.393,1.135,0.0,0.873
single-core,nohz_full removed,0.7,0.481,0.491,0.561,0.618,0.0,0.867,0.488,0.491,0.552,0.793,0.0,0.873
single-core,nohz_full removed,0.94,0.674,0.689,0.739,0.796,0.0,0.889,0.656,0.681,0.836,1.288,0.0,0.907
single-core,rcu_nocbs removed,0.1,0.063,0.066,0.066,0.072,0.0,0.78,0.07,0.07,0.073,0.075,0.0,0.856
single-core,rcu_nocbs removed,0.5,0.352,0.355,0.357,0.378,0.0,0.832,0.349,0.353,0.358,0.504,0.0,0.876
single-core,rcu_nocbs removed,0.7,0.478,0.494,0.511,0.534,0.0,0.874,0.487,0.495,0.503,0.637,0.0,0.879
single-core,rcu_nocbs removed,0.94,0.666,0.676,0.688,0.721,0.0,0.872,0.653,0.658,0.664,0.859,0.0,0.876
single-core,systemd containment removed,0.1,0.083,0.092,0.124,0.158,0.0,1.089,0.079,0.083,0.122,0.322,0.0,1.01
single-core,systemd containment removed,0.5,0.411,0.423,0.443,0.567,0.0,0.993,0.394,0.4,0.507,0.772,0.0,0.994
single-core,systemd containment removed,0.7,0.545,0.56,0.606,0.765,0.0,0.99,0.55,0.561,0.626,0.945,0.0,0.996
