scale,,,soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms)
stat,,,median,p99,p99_9,max,variability,miss_pct,median,p99,p99_9,max,variability,miss_pct
workload,label,U,,,,,,,,,,,,
single-core,baseline (full isolation),0.1,8.49,8.741,8.862,100.239,11.807,0.015,0.824,0.855,4.346,19.667,23.868,0.01
single-core,baseline (full isolation),0.5,41.165,42.693,43.143,100.033,2.43,0.005,3.973,4.065,4.223,10.412,2.621,0.01
single-core,baseline (full isolation),0.7,55.79,56.64,57.617,638.711,11.448,0.005,5.563,5.661,5.702,201.402,36.204,0.005
single-core,baseline (full isolation),0.94,76.744,77.49,78.555,109.901,1.432,0.005,7.368,7.542,7.644,17.598,2.388,0.02
single-core,isolcpus removed,0.1,8.415,100.23,102.417,200.314,23.804,2.48,0.809,10.041,10.666,20.871,25.799,1.22
single-core,isolcpus removed,0.5,41.801,100.774,108.819,296.916,7.103,1.44,3.9,4.814,10.932,16.424,4.211,0.71
single-core,isolcpus removed,0.7,55.168,66.742,103.411,112.551,2.04,0.44,5.411,6.347,10.619,13.028,2.408,0.4
single-core,isolcpus removed,0.94,,,,,,,,,,,,
single-core,nohz_full removed,0.1,8.577,9.447,101.437,103.819,12.104,0.54,0.725,0.895,10.038,20.446,28.201,0.125
single-core,nohz_full removed,0.5,34.776,36.664,40.799,48.835,1.404,0.0,3.512,3.542,4.117,11.417,3.251,0.025
single-core,nohz_full removed,0.7,48.106,49.268,56.212,61.923,1.287,0.0,4.908,4.951,5.574,10.232,2.085,0.015
single-core,nohz_full removed,0.94,67.445,68.955,74.0,79.708,1.182,0.0,6.585,6.865,8.428,12.941,1.965,0.03
single-core,rcu_nocbs removed,0.1,6.534,6.858,6.912,18.157,2.779,0.0,0.727,0.737,0.774,8.606,11.838,0.0
single-core,rcu_nocbs removed,0.5,35.472,35.73,35.957,60.594,1.708,0.0,3.52,3.562,3.689,12.284,3.49,0.015
single-core,rcu_nocbs removed,0.7,47.869,49.482,51.507,62.242,1.3,0.0,4.897,4.979,5.143,44.911,9.171,0.015
single-core,rcu_nocbs removed,0.94,66.597,67.604,68.939,91.169,1.369,0.0,6.56,6.611,6.677,13.801,2.104,0.005
single-core,systemd containment removed,0.1,8.47,9.38,101.722,104.65,12.355,0.55,0.821,0.911,10.09,30.04,36.59,0.41
single-core,systemd containment removed,0.5,41.174,42.403,44.828,106.751,2.593,0.015,3.973,4.043,10.044,26.266,6.611,0.13
single-core,systemd containment removed,0.7,54.773,56.262,60.739,106.507,1.945,0.005,5.532,5.641,6.449,12.394,2.24,0.035
single-core,systemd containment removed,0.94,76.383,77.364,79.777,87.261,1.142,0.0,7.42,7.51,8.603,29.246,3.942,0.035
single-core,IRQ steering removed,0.1,8.588,8.793,8.983,506.792,59.012,0.005,0.817,0.85,0.9,19.215,23.519,0.025
single-core,IRQ steering removed,0.5,41.393,42.005,42.761,46.453,1.122,0.0,3.958,4.188,4.323,11.635,2.94,0.01
single-core,IRQ steering removed,0.7,55.896,56.483,57.633,70.968,1.27,0.0,5.566,5.668,5.727,10.353,1.86,0.01
single-core,IRQ steering removed,0.94,76.521,78.422,80.359,1160.87,15.171,0.005,7.429,7.56,7.978,15.526,2.09,0.015
single-core,boot-params bundle removed,0.1,6.528,6.712,6.809,13.457,2.061,0.0,0.722,0.752,0.788,26.528,36.742,0.015
single-core,boot-params bundle removed,0.5,35.011,36.301,36.519,44.047,1.258,0.0,3.504,3.594,3.798,10.053,2.869,0.005
single-core,boot-params bundle removed,0.7,49.519,50.528,51.357,56.872,1.148,0.0,4.845,5.024,5.097,13.204,2.725,0.005
single-core,boot-params bundle removed,0.94,63.974,66.181,67.284,72.3,1.13,0.0,6.392,6.645,6.745,35.673,5.581,0.005
single-core,frequency pinning removed,0.1,6.48,6.667,6.893,17.072,2.635,0.0,0.704,0.746,0.765,13.378,19.003,0.01
single-core,frequency pinning removed,0.5,34.581,35.591,35.878,57.972,1.676,0.0,3.403,3.538,3.712,285.163,83.798,0.01
single-core,frequency pinning removed,0.7,49.817,51.383,52.635,64.496,1.295,0.0,4.76,4.976,5.122,13.104,2.753,0.01
single-core,frequency pinning removed,0.94,62.82,64.521,65.782,91.405,1.455,0.0,6.456,6.706,6.771,19.596,3.035,0.005
multi-core on physical cores,baseline (full isolation),0.1,6.421,6.7,8.774,16.382,2.551,0.0,0.756,0.964,8.409,65.435,86.554,0.008
multi-core on physical cores,baseline (full isolation),0.5,35.493,38.244,41.659,64.538,1.818,0.0,3.568,4.473,5.656,34.762,9.743,0.015
multi-core on physical cores,baseline (full isolation),0.7,50.179,53.376,60.571,91.095,1.815,0.0,4.924,5.231,7.724,36.525,7.418,0.012
multi-core on physical cores,baseline (full isolation),0.94,66.933,71.893,93.568,103.717,1.55,0.085,6.614,7.392,10.66,150.442,22.746,0.335
multi-core on physical cores,isolcpus removed,0.1,6.226,6.682,8.331,9.059,1.455,0.0,0.74,0.933,8.753,10.16,13.73,0.04
multi-core on physical cores,isolcpus removed,0.5,34.762,37.774,42.611,894.127,25.721,0.005,3.485,3.806,5.984,18.153,5.209,0.04
multi-core on physical cores,isolcpus removed,0.7,49.967,53.435,56.771,63.926,1.279,0.0,4.919,5.718,10.356,35.559,7.229,0.29
multi-core on physical cores,isolcpus removed,0.94,,,,,,,,,,,,
multi-core on physical cores,nohz_full removed,0.1,6.223,7.307,8.515,9.423,1.514,0.0,0.733,0.782,8.312,10.031,13.685,0.005
multi-core on physical cores,nohz_full removed,0.5,34.37,36.473,43.803,68.125,1.982,0.0,3.539,4.093,5.644,6.548,1.85,0.0
multi-core on physical cores,nohz_full removed,0.7,48.4,50.523,52.992,63.776,1.318,0.0,4.963,5.525,7.816,8.259,1.664,0.0
multi-core on physical cores,nohz_full removed,0.94,67.846,71.235,80.66,89.027,1.312,0.0,6.606,7.228,10.626,11.607,1.757,0.225
multi-core on physical cores,rcu_nocbs removed,0.1,7.921,17.214,100.551,123.508,15.592,0.23,0.807,10.045,17.768,20.508,25.413,1.555
multi-core on physical cores,rcu_nocbs removed,0.5,36.857,47.74,80.986,151.454,4.109,0.02,3.618,6.008,9.439,15.291,4.226,0.065
multi-core on physical cores,rcu_nocbs removed,0.7,52.61,64.093,84.237,218.595,4.155,0.02,5.027,8.013,11.337,20.227,4.024,0.525
multi-core on physical cores,rcu_nocbs removed,0.94,71.437,84.429,104.076,305.879,4.282,0.155,6.723,9.405,12.396,24.422,3.633,0.94
multi-core on physical cores,systemd containment removed,0.1,6.427,7.635,10.145,89.923,13.991,0.0,0.745,8.778,9.766,19.229,25.811,0.09
multi-core on physical cores,systemd containment removed,0.5,35.402,37.442,47.077,2375.273,67.094,0.005,3.556,4.166,6.029,59.682,16.783,0.01
