scale,,,soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms)
stat,,,median,p99,p99_9,max,p99_ratio,median,p99,p99_9,max,p99_ratio
workload,label,U,,,,,,,,,,
single-core,baseline (full isolation),0.1,8.49,8.741,8.862,100.239,1.0,0.824,0.855,4.346,19.667,1.0
single-core,baseline (full isolation),0.5,41.165,42.693,43.143,100.033,1.0,3.973,4.065,4.223,10.412,1.0
single-core,baseline (full isolation),0.7,55.79,56.64,57.617,638.711,1.0,5.563,5.661,5.702,201.402,1.0
single-core,baseline (full isolation),0.94,76.744,77.49,78.555,109.901,1.0,7.368,7.542,7.644,17.598,1.0
single-core,isolcpus removed,0.1,8.415,100.23,102.417,200.314,11.467,0.809,10.041,10.666,20.871,11.741
single-core,isolcpus removed,0.5,41.801,100.774,108.819,296.916,2.36,3.9,4.814,10.932,16.424,1.184
single-core,isolcpus removed,0.7,55.168,66.742,103.411,112.551,1.178,5.411,6.347,10.619,13.028,1.121
single-core,isolcpus removed,0.94,,,,,,,,,,
single-core,nohz_full removed,0.1,8.577,9.447,101.437,103.819,1.081,0.725,0.895,10.038,20.446,1.046
single-core,nohz_full removed,0.5,34.776,36.664,40.799,48.835,0.859,3.512,3.542,4.117,11.417,0.871
single-core,nohz_full removed,0.7,48.106,49.268,56.212,61.923,0.87,4.908,4.951,5.574,10.232,0.875
single-core,nohz_full removed,0.94,67.445,68.955,74.0,79.708,0.89,6.585,6.865,8.428,12.941,0.91
single-core,rcu_nocbs removed,0.1,6.534,6.858,6.912,18.157,0.785,0.727,0.737,0.774,8.606,0.862
single-core,rcu_nocbs removed,0.5,35.472,35.73,35.957,60.594,0.837,3.52,3.562,3.689,12.284,0.876
single-core,rcu_nocbs removed,0.7,47.869,49.482,51.507,62.242,0.874,4.897,4.979,5.143,44.911,0.88
single-core,rcu_nocbs removed,0.94,66.597,67.604,68.939,91.169,0.872,6.56,6.611,6.677,13.801,0.877
single-core,systemd containment removed,0.1,8.47,9.38,101.722,104.65,1.073,0.821,0.911,10.09,30.04,1.066
single-core,systemd containment removed,0.5,41.174,42.403,44.828,106.751,0.993,3.973,4.043,10.044,26.266,0.995
single-core,systemd containment removed,0.7,54.773,56.262,60.739,106.507,0.993,5.532,5.641,6.449,12.394,0.996
single-core,systemd containment removed,0.94,76.383,77.364,79.777,87.261,0.998,7.42,7.51,8.603,29.246,0.996
single-core,IRQ steering removed,0.1,8.588,8.793,8.983,506.792,1.006,0.817,0.85,0.9,19.215,0.993
single-core,IRQ steering removed,0.5,41.393,42.005,42.761,46.453,0.984,3.958,4.188,4.323,11.635,1.03
single-core,IRQ steering removed,0.7,55.896,56.483,57.633,70.968,0.997,5.566,5.668,5.727,10.353,1.001
single-core,IRQ steering removed,0.94,76.521,78.422,80.359,1160.87,1.012,7.429,7.56,7.978,15.526,1.002
single-core,boot-params bundle removed,0.1,6.528,6.712,6.809,13.457,0.768,0.722,0.752,0.788,26.528,0.88
