scale,,,soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),soft (100ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms),tight (10ms)
stat,,,median,p99,p99_9,max,n_ge_2x,p99_ratio,median,p99,p99_9,max,n_ge_2x,p99_ratio
workload,label,U,,,,,,,,,,,,
single-core,baseline (full isolation),0.1,0.085,0.087,0.089,1.002,0.0,1.0,0.082,0.086,0.435,1.967,0.0,1.0
single-core,baseline (full isolation),0.5,0.412,0.427,0.431,1.0,0.0,1.0,0.397,0.406,0.422,1.041,0.0,1.0
single-core,baseline (full isolation),0.7,0.558,0.566,0.576,6.387,1.0,1.0,0.556,0.566,0.57,20.14,1.0,1.0
single-core,baseline (full isolation),0.94,0.767,0.775,0.786,1.099,0.0,1.0,0.737,0.754,0.764,1.76,0.0,1.0
single-core,isolcpus removed,0.1,0.084,1.002,1.024,2.003,1.0,11.467,0.081,1.004,1.067,2.087,10.0,11.741
single-core,isolcpus removed,0.5,0.418,1.008,1.088,2.969,1.0,2.36,0.39,0.481,1.093,1.642,0.0,1.184
single-core,isolcpus removed,0.7,0.552,0.667,1.034,1.126,0.0,1.178,0.541,0.635,1.062,1.303,0.0,1.121
single-core,isolcpus removed,0.94,,,,,,,,,,,,
single-core,nohz_full removed,0.1,0.086,0.094,1.014,1.038,0.0,1.081,0.073,0.089,1.004,2.045,3.0,1.046
single-core,nohz_full removed,0.5,0.348,0.367,0.408,0.488,0.0,0.859,0.351,0.354,0.412,1.142,0.0,0.871
single-core,nohz_full removed,0.7,0.481,0.493,0.562,0.619,0.0,0.87,0.491,0.495,0.557,1.023,0.0,0.875
single-core,nohz_full removed,0.94,0.674,0.69,0.74,0.797,0.0,0.89,0.659,0.687,0.843,1.294,0.0,0.91
single-core,rcu_nocbs removed,0.1,0.065,0.069,0.069,0.182,0.0,0.785,0.073,0.074,0.077,0.861,0.0,0.862
single-core,rcu_nocbs removed,0.5,0.355,0.357,0.36,0.606,0.0,0.837,0.352,0.356,0.369,1.228,0.0,0.876
single-core,rcu_nocbs removed,0.7,0.479,0.495,0.515,0.622,0.0,0.874,0.49,0.498,0.514,4.491,2.0,0.88
single-core,rcu_nocbs removed,0.94,0.666,0.676,0.689,0.912,0.0,0.872,0.656,0.661,0.668,1.38,0.0,0.877
single-core,systemd containment removed,0.1,0.085,0.094,1.017,1.046,0.0,1.073,0.082,0.091,1.009,3.004,2.0,1.066
single-core,systemd containment removed,0.5,0.412,0.424,0.448,1.068,0.0,0.993,0.397,0.404,1.004,2.627,1.0,0.995
single-core,systemd containment removed,0.7,0.548,0.563,0.607,1.065,0.0,0.993,0.553,0.564,0.645,1.239,0.0,0.996
