# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=3 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,16966006031.368,16966006290.690,16966012568.028,6275.358,6536.660,261.302,259.322,1.980,93463.340,0,0.000,0,3,1048576,0,0.000
1,16966106031.368,16966106275.231,16966112521.761,6244.510,6490.393,245.883,243.863,2.020,93509.607,0,0.000,0,3,1048576,0,0.000
2,16966206031.368,16966206314.056,16966212597.566,6281.511,6566.198,284.687,282.688,1.999,93433.802,0,0.000,0,3,1048576,0,0.000
3,16966306031.368,16966306266.513,16966312492.478,6224.522,6461.110,236.588,235.145,1.443,93538.890,0,0.000,0,3,1048576,0,0.000
4,16966406031.368,16966406318.343,16966412601.531,6281.155,6570.163,289.008,286.975,2.033,93429.837,0,0.000,0,3,1048576,0,0.000
5,16966506031.368,16966506273.770,16966512328.112,6052.457,6296.744,244.287,242.402,1.885,93703.256,0,0.000,0,3,1048576,0,0.000
6,16966606031.368,16966606262.323,16966612481.904,6217.720,6450.536,232.816,230.955,1.861,93549.464,0,0.000,0,3,1048576,0,0.000
7,16966706031.368,16966706282.375,16966712632.856,6348.533,6601.488,252.955,251.007,1.948,93398.512,0,0.000,0,3,1048576,0,0.000
8,16966806031.368,16966806282.994,16966812436.794,6151.629,6405.426,253.797,251.626,2.171,93594.574,0,0.000,0,3,1048576,0,0.000
9,16966906031.368,16966906313.587,16966912361.442,6045.886,6330.074,284.188,282.219,1.969,93669.926,0,0.000,0,3,1048576,0,0.000
10,16967006031.368,16967006273.141,16967012402.122,6127.082,6370.754,243.672,241.773,1.899,93629.246,0,0.000,0,3,1048576,0,0.000
11,16967106031.368,16967106272.423,16967112550.251,6275.866,6518.883,243.017,241.055,1.962,93481.117,0,0.000,0,3,1048576,0,0.000
12,16967206031.368,16967206269.119,16967212545.242,6274.315,6513.874,239.559,237.751,1.808,93486.126,0,0.000,0,3,1048576,0,0.000
13,16967306031.368,16967306273.713,16967312547.196,6271.723,6515.828,244.105,242.345,1.760,93484.172,0,0.000,0,3,1048576,0,0.000
14,16967406031.368,16967406278.857,16967412555.302,6274.612,6523.934,249.322,247.489,1.833,93476.066,0,0.000,0,3,1048576,0,0.000
15,16967506031.368,16967506278.124,16967512341.359,6061.430,6309.991,248.561,246.756,1.805,93690.009,0,0.000,0,3,1048576,0,0.000
16,16967606031.368,16967606288.772,16967612562.659,6272.050,6531.291,259.241,257.404,1.837,93468.709,0,0.000,0,3,1048576,0,0.000
17,16967706031.368,16967706278.424,16967712557.693,6277.469,6526.325,248.856,247.056,1.800,93473.675,0,0.000,0,3,1048576,0,0.000
18,16967806031.368,16967806270.175,16967812544.732,6272.691,6513.364,240.673,238.807,1.866,93486.636,0,0.000,0,3,1048576,0,0.000
19,16967906031.368,16967906278.999,16967912558.269,6277.511,6526.901,249.390,247.631,1.759,93473.099,0,0.000,0,3,1048576,0,0.000
20,16968006031.368,16968006278.671,16968012554.807,6274.503,6523.439,248.936,247.303,1.633,93476.561,0,0.000,0,3,1048576,0,0.000
21,16968106031.368,16968106271.383,16968112547.205,6273.527,6515.837,242.310,240.015,2.295,93484.163,0,0.000,0,3,1048576,0,0.000
22,16968206031.368,16968206276.013,16968212555.074,6277.258,6523.706,246.448,244.645,1.803,93476.294,0,0.000,0,3,1048576,0,0.000
23,16968306031.368,16968306271.272,16968312550.534,6277.275,6519.166,241.891,239.904,1.987,93480.834,0,0.000,0,3,1048576,0,0.000
24,16968406031.368,16968406274.332,16968412548.923,6272.853,6517.555,244.702,242.964,1.738,93482.445,0,0.000,0,3,1048576,0,0.000
25,16968506031.368,16968506269.880,16968512549.357,6277.494,6517.989,240.495,238.512,1.983,93482.011,0,0.000,0,3,1048576,0,0.000
26,16968606031.368,16968606277.562,16968612557.852,6278.601,6526.484,247.883,246.194,1.689,93473.516,0,0.000,0,3,1048576,0,0.000
27,16968706031.368,16968706274.404,16968712545.484,6269.461,6514.116,244.655,243.036,1.619,93485.884,0,0.000,0,3,1048576,0,0.000
28,16968806031.368,16968806279.745,16968812633.078,6351.529,6601.710,250.181,248.377,1.804,93398.290,0,0.000,0,3,1048576,0,0.000
29,16968906031.368,16968906274.308,16968912555.727,6279.330,6524.359,245.029,242.940,2.089,93475.641,0,0.000,0,3,1048576,0,0.000
30,16969006031.368,16969006275.440,16969012564.900,6287.702,6533.532,245.830,244.072,1.758,93466.468,0,0.000,0,3,1048576,0,0.000
31,16969106031.368,16969106274.169,16969112553.181,6277.029,6521.813,244.784,242.801,1.983,93478.187,0,0.000,0,3,1048576,0,0.000
32,16969206031.368,16969206289.534,16969212579.037,6287.580,6547.669,260.089,258.166,1.923,93452.331,0,0.000,0,3,1048576,0,0.000
33,16969306031.368,16969306280.870,16969312557.602,6274.748,6526.234,251.486,249.502,1.984,93473.766,0,0.000,0,3,1048576,0,0.000
34,16969406031.368,16969406272.928,16969412562.217,6286.989,6530.849,243.860,241.560,2.300,93469.151,0,0.000,0,3,1048576,0,0.000
35,16969506031.368,16969506360.817,16969512632.532,6269.842,6601.164,331.322,329.449,1.873,93398.836,0,0.000,0,3,1048576,0,0.000
36,16969606031.368,16969606274.141,16969612552.691,6276.673,6521.323,244.650,242.773,1.877,93478.677,0,0.000,0,3,1048576,0,0.000
37,16969706031.368,16969706272.368,16969712552.458,6278.489,6521.090,242.601,241.000,1.601,93478.910,0,0.000,0,3,1048576,0,0.000
38,16969806031.368,16969806270.597,16969812574.285,6301.823,6542.917,241.094,239.229,1.865,93457.083,0,0.000,0,3,1048576,0,0.000
39,16969906031.368,16969906299.080,16969912577.558,6276.495,6546.190,269.695,267.712,1.983,93453.810,0,0.000,0,3,1048576,0,0.000
40,16970006031.368,16970006281.429,16970012559.832,6276.390,6528.464,252.074,250.061,2.013,93471.536,0,0.000,0,3,1048576,0,0.000
41,16970106031.368,16970106282.739,16970112556.076,6271.540,6524.708,253.168,251.371,1.797,93475.292,0,0.000,0,3,1048576,0,0.000
42,16970206031.368,16970206271.117,16970212549.434,6276.406,6518.066,241.660,239.749,1.911,93481.934,0,0.000,0,3,1048576,0,0.000
43,16970306031.368,16970306289.170,16970312571.080,6279.956,6539.712,259.756,257.802,1.954,93460.288,0,0.000,0,3,1048576,0,0.000
44,16970406031.368,16970406270.336,16970412545.053,6272.737,6513.685,240.948,238.968,1.980,93486.315,0,0.000,0,3,1048576,0,0.000
45,16970506031.368,16970506280.349,16970512571.753,6289.639,6540.385,250.746,248.981,1.765,93459.615,0,0.000,0,3,1048576,0,0.000
46,16970606031.368,16970606289.634,16970612574.277,6282.659,6542.909,260.250,258.266,1.984,93457.091,0,0.000,0,3,1048576,0,0.000
47,16970706031.368,16970706278.721,16970712551.171,6270.439,6519.803,249.364,247.353,2.011,93480.197,0,0.000,0,3,1048576,0,0.000
48,16970806031.368,16970806282.256,16970812615.893,6331.893,6584.525,252.632,250.888,1.744,93415.475,0,0.000,0,3,1048576,0,0.000
49,16970906031.368,16970906273.641,16970912552.332,6276.773,6520.964,244.191,242.273,1.918,93479.036,0,0.000,0,3,1048576,0,0.000
50,16971006031.368,16971006277.538,16971012550.351,6271.072,6518.983,247.911,246.170,1.741,93481.017,0,0.000,0,3,1048576,0,0.000
51,16971106031.368,16971106278.333,16971112555.403,6275.327,6524.035,248.708,246.965,1.743,93475.965,0,0.000,0,3,1048576,0,0.000
52,16971206031.368,16971206270.649,16971212551.653,6279.232,6520.285,241.053,239.281,1.772,93479.715,0,0.000,0,3,1048576,0,0.000
53,16971306031.368,16971306274.960,16971312547.808,6270.890,6516.440,245.550,243.592,1.958,93483.560,0,0.000,0,3,1048576,0,0.000
54,16971406031.368,16971406274.325,16971412552.496,6276.033,6521.128,245.095,242.957,2.138,93478.872,0,0.000,0,3,1048576,0,0.000
55,16971506031.368,16971506275.964,16971512549.924,6272.038,6518.556,246.518,244.596,1.922,93481.444,0,0.000,0,3,1048576,0,0.000
56,16971606031.368,16971606329.886,16971612609.023,6277.349,6577.655,300.306,298.518,1.788,93422.345,0,0.000,0,3,1048576,0,0.000
57,16971706031.368,16971706274.540,16971712502.771,6226.306,6471.403,245.097,243.172,1.925,93528.597,0,0.000,0,3,1048576,0,0.000
58,16971806031.368,16971806274.766,16971812548.131,6271.531,6516.763,245.232,243.398,1.834,93483.237,0,0.000,0,3,1048576,0,0.000
59,16971906031.368,16971906276.615,16971912521.758,6243.237,6490.390,247.153,245.247,1.906,93509.610,0,0.000,0,3,1048576,0,0.000
60,16972006031.368,16972006286.391,16972012571.450,6283.187,6540.082,256.895,255.023,1.872,93459.918,0,0.000,0,3,1048576,0,0.000
61,16972106031.368,16972106287.126,16972112560.346,6271.290,6528.978,257.688,255.758,1.930,93471.022,0,0.000,0,3,1048576,0,0.000
62,16972206031.368,16972206273.106,16972212553.340,6278.437,6521.972,243.535,241.738,1.797,93478.028,0,0.000,0,3,1048576,0,0.000
63,16972306031.368,16972306266.022,16972312542.356,6274.489,6510.988,236.499,234.654,1.845,93489.012,0,0.000,0,3,1048576,0,0.000
64,16972406031.368,16972406273.345,16972412549.119,6273.534,6517.751,244.217,241.977,2.240,93482.249,0,0.000,0,3,1048576,0,0.000
65,16972506031.368,16972506276.734,16972512555.088,6276.346,6523.720,247.374,245.366,2.008,93476.280,0,0.000,0,3,1048576,0,0.000
66,16972606031.368,16972606272.745,16972612565.943,6291.336,6534.575,243.239,241.377,1.862,93465.425,0,0.000,0,3,1048576,0,0.000
67,16972706031.368,16972706293.345,16972712569.290,6274.061,6537.922,263.861,261.977,1.884,93462.078,0,0.000,0,3,1048576,0,0.000
68,16972806031.368,16972806272.267,16972812553.547,6279.224,6522.179,242.955,240.899,2.056,93477.821,0,0.000,0,3,1048576,0,0.000
69,16972906031.368,16972906272.218,16972912553.515,6279.318,6522.147,242.829,240.850,1.979,93477.853,0,0.000,0,3,1048576,0,0.000
70,16973006031.368,16973006303.412,16973012580.732,6275.353,6549.364,274.011,272.044,1.967,93450.636,0,0.000,0,3,1048576,0,0.000
71,16973106031.368,16973106152.547,16973112431.452,6277.070,6400.084,123.014,121.179,1.835,93599.916,0,0.000,0,3,1048576,0,0.000
72,16973206031.368,16973206265.048,16973212306.658,6039.906,6275.290,235.384,233.680,1.704,93724.710,0,0.000,0,3,1048576,0,0.000
73,16973306031.368,16973306305.386,16973312582.586,6275.574,6551.218,275.644,274.018,1.626,93448.782,0,0.000,0,3,1048576,0,0.000
74,16973406031.368,16973406336.807,16973412616.040,6277.536,6584.672,307.136,305.439,1.697,93415.328,0,0.000,0,3,1048576,0,0.000
75,16973506031.368,16973506280.344,16973512554.937,6272.797,6523.569,250.772,248.976,1.796,93476.431,0,0.000,0,3,1048576,0,0.000
76,16973606031.368,16973606304.278,16973612586.355,6280.387,6554.987,274.600,272.910,1.690,93445.013,0,0.000,0,3,1048576,0,0.000
77,16973706031.368,16973706268.350,16973712576.280,6306.270,6544.912,238.642,236.982,1.660,93455.088,0,0.000,0,3,1048576,0,0.000
78,16973806031.368,16973806298.327,16973812577.203,6276.908,6545.835,268.927,266.959,1.968,93454.165,0,0.000,0,3,1048576,0,0.000
79,16973906031.368,16973906277.889,16973912554.730,6275.127,6523.362,248.235,246.521,1.714,93476.638,0,0.000,0,3,1048576,0,0.000
80,16974006031.368,16974006308.300,16974012590.341,6279.996,6558.973,278.977,276.932,2.045,93441.027,0,0.000,0,3,1048576,0,0.000
81,16974106031.368,16974106276.440,16974112550.975,6272.599,6519.607,247.008,245.072,1.936,93480.393,0,0.000,0,3,1048576,0,0.000
82,16974206031.368,16974206278.416,16974212558.761,6278.300,6527.393,249.093,247.048,2.045,93472.607,0,0.000,0,3,1048576,0,0.000
83,16974306031.368,16974306291.961,16974312572.351,6278.580,6540.983,262.403,260.593,1.810,93459.017,0,0.000,0,3,1048576,0,0.000
84,16974406031.368,16974406277.575,16974412480.491,6200.877,6449.123,248.246,246.207,2.039,93550.877,0,0.000,0,3,1048576,0,0.000
85,16974506031.368,16974506273.268,16974512553.998,6279.040,6522.630,243.590,241.900,1.690,93477.370,0,0.000,0,3,1048576,0,0.000
86,16974606031.368,16974606287.571,16974612405.070,6115.644,6373.702,258.058,256.203,1.855,93626.298,0,0.000,0,3,1048576,0,0.000
87,16974706031.368,16974706275.969,16974712553.944,6276.392,6522.576,246.184,244.601,1.583,93477.424,0,0.000,0,3,1048576,0,0.000
88,16974806031.368,16974806276.461,16974812557.147,6278.599,6525.779,247.180,245.093,2.087,93474.221,0,0.000,0,3,1048576,0,0.000
89,16974906031.368,16974906272.843,16974912555.943,6281.319,6524.575,243.256,241.475,1.781,93475.425,0,0.000,0,3,1048576,0,0.000
90,16975006031.368,16975006274.568,16975012569.852,6293.273,6538.484,245.211,243.200,2.011,93461.516,0,0.000,0,3,1048576,0,0.000
