# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=451 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,5995087426.644,5995087519.402,5995091701.447,4180.241,4274.803,94.562,92.758,1.804,5725.197,0,0.000,0,451,8192,0,0.000
1,5995097426.644,5995097461.460,5995101640.340,4178.126,4213.696,35.570,34.816,0.754,5786.304,0,0.000,0,451,8192,0,0.000
2,5995107426.644,5995107459.353,5995111639.102,4178.863,4212.458,33.595,32.709,0.886,5787.542,0,0.000,0,451,8192,0,0.000
3,5995117426.644,5995117460.344,5995121642.038,4180.634,4215.394,34.760,33.700,1.060,5784.606,0,0.000,0,451,8192,0,0.000
4,5995127426.644,5995127457.229,5995131633.594,4175.500,4206.950,31.450,30.585,0.865,5793.050,0,0.000,0,451,8192,0,0.000
5,5995137426.644,5995137468.629,5995141648.943,4179.444,4222.299,42.855,41.985,0.870,5777.701,0,0.000,0,451,8192,0,0.000
6,5995147426.644,5995147461.661,5995151642.488,4179.891,4215.844,35.953,35.017,0.936,5784.156,0,0.000,0,451,8192,0,0.000
7,5995157426.644,5995157459.838,5995161638.709,4177.987,4212.065,34.078,33.194,0.884,5787.935,0,0.000,0,451,8192,0,0.000
8,5995167426.644,5995167461.214,5995171648.051,4186.020,4221.407,35.387,34.570,0.817,5778.593,0,0.000,0,451,8192,0,0.000
9,5995177426.644,5995177458.143,5995181645.979,4187.257,4219.335,32.078,31.499,0.579,5780.665,0,0.000,0,451,8192,0,0.000
10,5995187426.644,5995187459.747,5995191647.117,4186.555,4220.473,33.918,33.103,0.815,5779.527,0,0.000,0,451,8192,0,0.000
11,5995197426.644,5995197459.534,5995201649.103,4188.856,4222.459,33.603,32.890,0.713,5777.541,0,0.000,0,451,8192,0,0.000
12,5995207426.644,5995207463.586,5995211652.477,4187.939,4225.833,37.894,36.942,0.952,5774.167,0,0.000,0,451,8192,0,0.000
13,5995217426.644,5995217462.927,5995221650.942,4186.625,4224.298,37.673,36.283,1.390,5775.702,0,0.000,0,451,8192,0,0.000
14,5995227426.644,5995227457.766,5995231648.903,4190.345,4222.259,31.914,31.122,0.792,5777.741,0,0.000,0,451,8192,0,0.000
15,5995237426.644,5995237458.017,5995241643.759,4184.924,4217.115,32.191,31.373,0.818,5782.885,0,0.000,0,451,8192,0,0.000
16,5995247426.644,5995247463.313,5995251649.327,4185.111,4222.683,37.572,36.669,0.903,5777.317,0,0.000,0,451,8192,0,0.000
17,5995257426.644,5995257459.262,5995261648.924,4188.942,4222.280,33.338,32.618,0.720,5777.720,0,0.000,0,451,8192,0,0.000
18,5995267426.644,5995267459.451,5995271645.355,4185.047,4218.711,33.664,32.807,0.857,5781.289,0,0.000,0,451,8192,0,0.000
19,5995277426.644,5995277459.840,5995281649.715,4188.767,4223.071,34.304,33.196,1.108,5776.929,0,0.000,0,451,8192,0,0.000
20,5995287426.644,5995287456.909,5995291644.371,4186.373,4217.727,31.354,30.265,1.089,5782.273,0,0.000,0,451,8192,0,0.000
21,5995297426.644,5995297459.102,5995301643.253,4183.143,4216.609,33.466,32.458,1.008,5783.391,0,0.000,0,451,8192,0,0.000
22,5995307426.644,5995307458.648,5995311649.648,4190.084,4223.004,32.920,32.004,0.916,5776.996,0,0.000,0,451,8192,0,0.000
23,5995317426.644,5995317458.328,5995321644.972,4185.535,4218.328,32.793,31.684,1.109,5781.672,0,0.000,0,451,8192,0,0.000
24,5995327426.644,5995327458.451,5995331648.007,4188.685,4221.363,32.678,31.807,0.871,5778.637,0,0.000,0,451,8192,0,0.000
25,5995337426.644,5995337457.168,5995341645.387,4187.272,4218.743,31.471,30.524,0.947,5781.257,0,0.000,0,451,8192,0,0.000
26,5995347426.644,5995347457.728,5995351645.558,4186.661,4218.914,32.253,31.084,1.169,5781.086,0,0.000,0,451,8192,0,0.000
27,5995357426.644,5995357460.374,5995361652.236,4190.932,4225.592,34.660,33.730,0.930,5774.408,0,0.000,0,451,8192,0,0.000
28,5995367426.644,5995367458.300,5995371647.540,4188.460,4220.896,32.436,31.656,0.780,5779.104,0,0.000,0,451,8192,0,0.000
29,5995377426.644,5995377459.337,5995381649.077,4188.926,4222.433,33.507,32.693,0.814,5777.567,0,0.000,0,451,8192,0,0.000
30,5995387426.644,5995387457.823,5995391647.158,4188.486,4220.514,32.028,31.179,0.849,5779.486,0,0.000,0,451,8192,0,0.000
31,5995397426.644,5995397460.470,5995401655.481,4194.163,4228.837,34.674,33.826,0.848,5771.163,0,0.000,0,451,8192,0,0.000
32,5995407426.644,5995407462.553,5995411652.145,4188.757,4225.501,36.744,35.909,0.835,5774.499,0,0.000,0,451,8192,0,0.000
33,5995417426.644,5995417457.583,5995421647.499,4188.163,4220.855,32.692,30.939,1.753,5779.145,0,0.000,0,451,8192,0,0.000
34,5995427426.644,5995427463.101,5995431652.769,4189.017,4226.125,37.108,36.457,0.651,5773.875,0,0.000,0,451,8192,0,0.000
35,5995437426.644,5995437459.873,5995441648.582,4187.675,4221.938,34.263,33.229,1.034,5778.062,0,0.000,0,451,8192,0,0.000
