# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=27 period_us=100000 priority=90 cpu=-1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,4049649609.723,4049649711.563,4049704623.210,54910.468,55013.487,103.019,101.840,1.179,44986.513,0,0.000,0,27,1048576,0,0.000
1,4049749609.723,4049749676.820,4049805391.758,55713.669,55782.035,68.366,67.097,1.269,44217.965,0,0.000,0,27,1048576,0,0.000
2,4049849609.723,4049849672.656,4049904275.385,54602.379,54665.662,63.283,62.933,0.350,45334.338,0,0.000,0,27,1048576,0,0.000
3,4049949609.723,4049949671.697,4050004866.480,55194.170,55256.757,62.587,61.974,0.613,44743.243,0,0.000,0,27,1048576,0,0.000
4,4050049609.723,4050049708.219,4050107732.237,58022.238,58122.514,100.276,98.496,1.780,41877.486,0,0.000,0,27,1048576,0,0.000
5,4050149609.723,4050149708.897,4050204748.016,55037.060,55138.293,101.233,99.174,2.059,44861.707,0,0.000,0,27,1048576,0,0.000
6,4050249609.723,4050249717.101,4050305265.953,55546.650,55656.230,109.580,107.378,2.202,44343.770,0,0.000,0,27,1048576,0,0.000
7,4050349609.723,4050349718.415,4050404761.693,55041.707,55151.970,110.263,108.692,1.571,44848.030,0,0.000,0,27,1048576,0,0.000
8,4050449609.723,4050449714.000,4050505101.159,55385.986,55491.436,105.450,104.277,1.173,44508.564,0,0.000,0,27,1048576,0,0.000
9,4050549609.723,4050549717.453,4050605062.945,55344.299,55453.222,108.923,107.730,1.193,44546.778,0,0.000,0,27,1048576,0,0.000
10,4050649609.723,4050649695.411,4050704519.924,54823.021,54910.201,87.180,85.688,1.492,45089.799,0,0.000,0,27,1048576,0,0.000
11,4050749609.723,4050749717.660,4050804435.654,54716.574,54825.931,109.357,107.937,1.420,45174.069,0,0.000,0,27,1048576,0,0.000
12,4050849609.723,4050849702.785,4050904240.645,54537.012,54630.922,93.910,93.062,0.848,45369.078,0,0.000,0,27,1048576,0,0.000
13,4050949609.723,4050949713.370,4051004758.091,55043.533,55148.368,104.835,103.647,1.188,44851.632,0,0.000,0,27,1048576,0,0.000
14,4051049609.723,4051049695.436,4051104837.698,55140.532,55227.975,87.443,85.713,1.730,44772.025,0,0.000,0,27,1048576,0,0.000
15,4051149609.723,4051149746.902,4051206952.057,57203.343,57342.334,138.991,137.179,1.812,42657.666,0,0.000,0,27,1048576,0,0.000
16,4051249609.723,4051249740.978,4051304587.504,54844.656,54977.781,133.125,131.255,1.870,45022.219,0,0.000,0,27,1048576,0,0.000
17,4051349609.723,4051349727.196,4051404601.011,54872.403,54991.288,118.885,117.473,1.412,45008.712,0,0.000,0,27,1048576,0,0.000
18,4051449609.723,4051449706.173,4051504412.406,54704.616,54802.683,98.067,96.450,1.617,45197.317,0,0.000,0,27,1048576,0,0.000
19,4051549609.723,4051549720.198,4051604755.967,55034.195,55146.244,112.049,110.475,1.574,44853.756,0,0.000,0,27,1048576,0,0.000
20,4051649609.723,4051649693.766,4051704632.156,54937.069,55022.433,85.364,84.043,1.321,44977.567,0,0.000,0,27,1048576,0,0.000
21,4051749609.723,4051749725.293,4051804377.103,54650.498,54767.380,116.882,115.570,1.312,45232.620,0,0.000,0,27,1048576,0,0.000
22,4051849609.723,4051849695.229,4051904995.381,55298.712,55385.658,86.946,85.506,1.440,44614.342,0,0.000,0,27,1048576,0,0.000
23,4051949609.723,4051949724.319,4052004379.930,54654.166,54770.207,116.041,114.596,1.445,45229.793,0,0.000,0,27,1048576,0,0.000
24,4052049609.723,4052049710.773,4052105217.057,55504.293,55607.334,103.041,101.050,1.991,44392.666,0,0.000,0,27,1048576,0,0.000
25,4052149609.723,4052149716.564,4052204349.442,54631.433,54739.719,108.286,106.841,1.445,45260.281,0,0.000,0,27,1048576,0,0.000
26,4052249609.723,4052249702.684,4052304747.340,55043.067,55137.617,94.550,92.961,1.589,44862.383,0,0.000,0,27,1048576,0,0.000
27,4052349609.723,4052349704.741,4052404612.876,54906.504,55003.153,96.649,95.018,1.631,44996.847,0,0.000,0,27,1048576,0,0.000
28,4052449609.723,4052449712.416,4052504855.348,55141.426,55245.625,104.199,102.693,1.506,44754.375,0,0.000,0,27,1048576,0,0.000
29,4052549609.723,4052549701.128,4052604686.651,54984.490,55076.928,92.438,91.405,1.033,44923.072,0,0.000,0,27,1048576,0,0.000
30,4052649609.723,4052649722.293,4052704794.606,55070.437,55184.883,114.446,112.570,1.876,44815.117,0,0.000,0,27,1048576,0,0.000
31,4052749609.723,4052749704.025,4052804617.894,54911.878,55008.171,96.293,94.302,1.991,44991.829,0,0.000,0,27,1048576,0,0.000
