# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=622 period_us=10000 priority=90 cpu=-1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,34125050544.702,34125050643.472,34125057068.614,6423.451,6523.912,100.461,98.770,1.691,3476.088,0,0.000,0,622,8192,0,0.000
1,34125060544.702,34125060588.398,34125067262.866,6673.881,6718.164,44.283,43.696,0.587,3281.836,0,0.000,0,622,8192,0,0.000
2,34125070544.702,34125070581.251,34125077215.473,6633.800,6670.771,36.971,36.549,0.422,3329.229,0,0.000,0,622,8192,0,0.000
3,34125080544.702,34125080576.979,34125087241.361,6663.923,6696.659,32.736,32.277,0.459,3303.341,0,0.000,0,622,8192,0,0.000
4,34125090544.702,34125090575.578,34125097228.522,6652.557,6683.820,31.263,30.876,0.387,3316.180,0,0.000,0,622,8192,0,0.000
5,34125100544.702,34125100590.763,34125107304.221,6712.947,6759.519,46.572,46.061,0.511,3240.481,0,0.000,0,622,8192,0,0.000
6,34125110544.702,34125110580.893,34125117122.189,6540.869,6577.487,36.618,36.191,0.427,3422.513,0,0.000,0,622,8192,0,0.000
7,34125120544.702,34125120583.937,34125127129.568,6545.094,6584.866,39.772,39.235,0.537,3415.134,0,0.000,0,622,8192,0,0.000
8,34125130544.702,34125130594.379,34125137263.499,6668.669,6718.797,50.128,49.677,0.451,3281.203,0,0.000,0,622,8192,0,0.000
9,34125140544.702,34125140581.088,34125148123.864,7541.667,7579.162,37.495,36.386,1.109,2420.838,0,0.000,0,622,8192,0,0.000
10,34125150544.702,34125150591.214,34125157326.507,6734.708,6781.805,47.097,46.512,0.585,3218.195,0,0.000,0,622,8192,0,0.000
11,34125160544.702,34125160581.280,34125167931.621,7349.539,7386.919,37.380,36.578,0.802,2613.081,0,0.000,0,622,8192,0,0.000
12,34125170544.702,34125170618.737,34125180628.679,9736.763,10083.977,347.214,74.035,273.179,-83.977,1,83.977,1,622,8192,1,0.000
13,34125190544.702,34125190577.901,34125197237.273,6658.853,6692.571,33.718,33.199,0.519,3307.429,0,0.000,0,622,8192,0,0.000
14,34125200544.702,34125200577.743,34125206973.755,6395.383,6429.053,33.670,33.041,0.629,3570.947,0,0.000,0,622,8192,0,0.000
15,34125210544.702,34125210579.861,34125217119.172,6538.783,6574.470,35.687,35.159,0.528,3425.530,0,0.000,0,622,8192,0,0.000
16,34125220544.702,34125220578.274,34125227115.641,6536.850,6570.939,34.089,33.572,0.517,3429.061,0,0.000,0,622,8192,0,0.000
17,34125230544.702,34125230578.560,34125237108.183,6529.079,6563.481,34.402,33.858,0.544,3436.519,0,0.000,0,622,8192,0,0.000
18,34125240544.702,34125240578.126,34125247105.979,6527.251,6561.277,34.026,33.424,0.602,3438.723,0,0.000,0,622,8192,0,0.000
19,34125250544.702,34125250578.181,34125257109.335,6530.623,6564.633,34.010,33.479,0.531,3435.367,0,0.000,0,622,8192,0,0.000
20,34125260544.702,34125260578.053,34125267104.442,6525.820,6559.740,33.920,33.351,0.569,3440.260,0,0.000,0,622,8192,0,0.000
21,34125270544.702,34125270578.129,34125277111.396,6532.754,6566.694,33.940,33.427,0.513,3433.306,0,0.000,0,622,8192,0,0.000
22,34125280544.702,34125280577.307,34125287107.531,6529.642,6562.829,33.187,32.605,0.582,3437.171,0,0.000,0,622,8192,0,0.000
23,34125290544.702,34125290577.942,34125297113.023,6534.568,6568.321,33.753,33.240,0.513,3431.679,0,0.000,0,622,8192,0,0.000
24,34125300544.702,34125300577.907,34125307112.044,6533.537,6567.342,33.805,33.205,0.600,3432.658,0,0.000,0,622,8192,0,0.000
25,34125310544.702,34125310579.365,34125317110.139,6530.237,6565.437,35.200,34.663,0.537,3434.563,0,0.000,0,622,8192,0,0.000
26,34125320544.702,34125320578.793,34125327125.138,6545.843,6580.436,34.593,34.091,0.502,3419.564,0,0.000,0,622,8192,0,0.000
27,34125330544.702,34125330577.840,34125337127.385,6548.983,6582.683,33.700,33.138,0.562,3417.317,0,0.000,0,622,8192,0,0.000
28,34125340544.702,34125340580.252,34125347094.944,6514.192,6550.242,36.050,35.550,0.500,3449.758,0,0.000,0,622,8192,0,0.000
29,34125350544.702,34125350581.317,34125357093.045,6511.135,6548.343,37.208,36.615,0.593,3451.657,0,0.000,0,622,8192,0,0.000
