# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=463 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,5519895478.126,5519895570.176,5519900463.103,4891.372,4984.977,93.605,92.050,1.555,5015.023,0,0.000,0,463,8192,0,0.000
1,5519905478.126,5519905501.699,5519910373.225,4870.910,4895.099,24.189,23.573,0.616,5104.901,0,0.000,0,463,8192,0,0.000
2,5519915478.126,5519915506.660,5519920421.834,4914.543,4943.708,29.165,28.534,0.631,5056.292,0,0.000,0,463,8192,0,0.000
3,5519925478.126,5519925504.377,5519930350.951,4846.244,4872.825,26.581,26.251,0.330,5127.175,0,0.000,0,463,8192,0,0.000
4,5519935478.126,5519935504.893,5519940330.901,4825.680,4852.775,27.095,26.767,0.328,5147.225,0,0.000,0,463,8192,0,0.000
5,5519945478.126,5519945504.437,5519950296.277,4791.300,4818.151,26.851,26.311,0.540,5181.849,0,0.000,0,463,8192,0,0.000
6,5519955478.126,5519955499.846,5519960379.300,4879.013,4901.174,22.161,21.720,0.441,5098.826,0,0.000,0,463,8192,0,0.000
7,5519965478.126,5519965499.893,5519970356.211,4855.974,4878.085,22.111,21.767,0.344,5121.915,0,0.000,0,463,8192,0,0.000
8,5519975478.126,5519975501.589,5519980416.286,4914.187,4938.160,23.973,23.463,0.510,5061.840,0,0.000,0,463,8192,0,0.000
9,5519985478.126,5519985501.230,5519990409.500,4907.851,4931.374,23.523,23.104,0.419,5068.626,0,0.000,0,463,8192,0,0.000
10,5519995478.126,5519995503.083,5520000454.228,4950.709,4976.102,25.393,24.957,0.436,5023.898,0,0.000,0,463,8192,0,0.000
11,5520005478.126,5520005503.555,5520010432.525,4928.501,4954.399,25.898,25.429,0.469,5045.601,0,0.000,0,463,8192,0,0.000
12,5520015478.126,5520015498.790,5520020297.089,4797.962,4818.963,21.001,20.664,0.337,5181.037,0,0.000,0,463,8192,0,0.000
