# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=24 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,13063440195.393,13063440295.045,13063489059.390,48762.791,48863.997,101.206,99.652,1.554,51136.003,0,0.000,0,24,1048576,0,0.000
1,13063540195.393,13063540292.741,13063589814.307,49520.005,49618.914,98.909,97.348,1.561,50381.086,0,0.000,0,24,1048576,0,0.000
2,13063640195.393,13063640242.836,13063688443.173,48200.008,48247.780,47.772,47.443,0.329,51752.220,0,0.000,0,24,1048576,0,0.000
3,13063740195.393,13063740308.033,13063789904.081,49593.631,49708.688,115.057,112.640,2.417,50291.312,0,0.000,0,24,1048576,0,0.000
4,13063840195.393,13063840280.740,13063889340.096,49057.738,49144.703,86.965,85.347,1.618,50855.297,0,0.000,0,24,1048576,0,0.000
5,13063940195.393,13063940300.100,13063989532.948,49231.332,49337.555,106.223,104.707,1.516,50662.445,0,0.000,0,24,1048576,0,0.000
6,13064040195.393,13064040276.756,13064097351.545,57073.976,57156.152,82.176,81.363,0.813,42843.848,0,0.000,0,24,1048576,0,0.000
7,13064140195.393,13064140255.563,13064189634.071,49377.013,49438.678,61.665,60.170,1.495,50561.322,0,0.000,0,24,1048576,0,0.000
8,13064240195.393,13064240312.056,13064289766.545,49453.200,49571.152,117.952,116.663,1.289,50428.848,0,0.000,0,24,1048576,0,0.000
9,13064340195.393,13064340314.389,13064389733.027,49417.397,49537.634,120.237,118.996,1.241,50462.366,0,0.000,0,24,1048576,0,0.000
10,13064440195.393,13064440290.302,13064490503.782,50212.034,50308.389,96.355,94.909,1.446,49691.611,0,0.000,0,24,1048576,0,0.000
11,13064540195.393,13064540259.892,13064589220.243,48959.070,49024.850,65.780,64.499,1.281,50975.150,0,0.000,0,24,1048576,0,0.000
12,13064640195.393,13064640273.691,13064689550.188,49275.418,49354.795,79.377,78.298,1.079,50645.205,0,0.000,0,24,1048576,0,0.000
13,13064740195.393,13064740289.683,13064789456.355,49165.090,49260.962,95.872,94.290,1.582,50739.038,0,0.000,0,24,1048576,0,0.000
14,13064840195.393,13064840283.764,13064890173.386,49888.306,49977.993,89.687,88.371,1.316,50022.007,0,0.000,0,24,1048576,0,0.000
15,13064940195.393,13064940267.660,13064989654.780,49385.833,49459.387,73.554,72.267,1.287,50540.613,0,0.000,0,24,1048576,0,0.000
16,13065040195.393,13065040302.310,13065089030.187,48726.929,48834.794,107.865,106.917,0.948,51165.206,0,0.000,0,24,1048576,0,0.000
17,13065140195.393,13065140270.617,13065189241.158,48969.282,49045.765,76.483,75.224,1.259,50954.235,0,0.000,0,24,1048576,0,0.000
18,13065240195.393,13065240292.788,13065288570.918,48276.471,48375.525,99.054,97.395,1.659,51624.475,0,0.000,0,24,1048576,0,0.000
19,13065340195.393,13065340308.469,13065390045.809,49735.022,49850.416,115.394,113.076,2.318,50149.584,0,0.000,0,24,1048576,0,0.000
20,13065440195.393,13065440290.284,13065489612.492,49321.014,49417.099,96.085,94.891,1.194,50582.901,0,0.000,0,24,1048576,0,0.000
21,13065540195.393,13065540283.441,13065589233.648,48948.888,49038.255,89.367,88.048,1.319,50961.745,0,0.000,0,24,1048576,0,0.000
22,13065640195.393,13065640232.404,13065689056.265,48823.256,48860.872,37.616,37.011,0.605,51139.128,0,0.000,0,24,1048576,0,0.000
23,13065740195.393,13065740296.899,13065789147.701,48849.424,48952.308,102.884,101.506,1.378,51047.692,0,0.000,0,24,1048576,0,0.000
24,13065840195.393,13065840302.595,13065889232.305,48928.186,49036.912,108.726,107.202,1.524,50963.088,0,0.000,0,24,1048576,0,0.000
25,13065940195.393,13065940249.710,13065988396.046,48145.754,48200.653,54.899,54.317,0.582,51799.347,0,0.000,0,24,1048576,0,0.000
26,13066040195.393,13066040306.702,13066089665.695,49357.703,49470.302,112.599,111.309,1.290,50529.698,0,0.000,0,24,1048576,0,0.000
27,13066140195.393,13066140285.601,13066188962.078,48675.514,48766.685,91.171,90.208,0.963,51233.315,0,0.000,0,24,1048576,0,0.000
28,13066240195.393,13066240283.694,13066289759.993,49474.846,49564.600,89.754,88.301,1.453,50435.400,0,0.000,0,24,1048576,0,0.000
29,13066340195.393,13066340241.401,13066389215.066,48972.884,49019.673,46.789,46.008,0.781,50980.327,0,0.000,0,24,1048576,0,0.000
30,13066440195.393,13066440288.320,13066490132.150,49842.661,49936.757,94.096,92.927,1.169,50063.243,0,0.000,0,24,1048576,0,0.000
31,13066540195.393,13066540250.077,13066590293.390,50043.312,50097.997,54.685,54.684,0.001,49902.003,0,0.000,0,24,1048576,0,0.000
32,13066640195.393,13066640255.556,13066689950.672,49693.960,49755.279,61.319,60.163,1.156,50244.721,0,0.000,0,24,1048576,0,0.000
33,13066740195.393,13066740301.452,13066789738.464,49435.697,49543.071,107.374,106.059,1.315,50456.929,0,0.000,0,24,1048576,0,0.000
34,13066840195.393,13066840289.428,13066890378.367,50087.797,50182.974,95.177,94.035,1.142,49817.026,0,0.000,0,24,1048576,0,0.000
35,13066940195.393,13066940250.395,13066989933.343,49682.623,49737.950,55.327,55.002,0.325,50262.050,0,0.000,0,24,1048576,0,0.000
36,13067040195.393,13067040231.634,13067090094.441,49862.534,49899.048,36.514,36.241,0.273,50100.952,0,0.000,0,24,1048576,0,0.000
37,13067140195.393,13067140289.479,13067189732.227,49441.324,49536.834,95.510,94.086,1.424,50463.166,0,0.000,0,24,1048576,0,0.000
38,13067240195.393,13067240259.907,13067289933.166,49672.104,49737.773,65.669,64.514,1.155,50262.227,0,0.000,0,24,1048576,0,0.000
39,13067340195.393,13067340281.183,13067389856.346,49574.191,49660.953,86.762,85.790,0.972,50339.047,0,0.000,0,24,1048576,0,0.000
40,13067440195.393,13067440254.583,13067489796.338,49540.822,49600.945,60.123,59.190,0.933,50399.055,0,0.000,0,24,1048576,0,0.000
41,13067540195.393,13067540288.321,13067589312.161,49022.404,49116.768,94.364,92.928,1.436,50883.232,0,0.000,0,24,1048576,0,0.000
42,13067640195.393,13067640240.620,13067688804.437,48563.273,48609.044,45.771,45.227,0.544,51390.956,0,0.000,0,24,1048576,0,0.000
43,13067740195.393,13067740325.859,13067789709.960,49382.405,49514.567,132.162,130.466,1.696,50485.433,0,0.000,0,24,1048576,0,0.000
44,13067840195.393,13067840263.292,13067890068.002,49804.058,49872.609,68.551,67.899,0.652,50127.391,0,0.000,0,24,1048576,0,0.000
45,13067940195.393,13067940288.864,13067990147.692,49857.290,49952.299,95.009,93.471,1.538,50047.701,0,0.000,0,24,1048576,0,0.000
46,13068040195.393,13068040228.620,13068089669.424,49440.360,49474.031,33.671,33.227,0.444,50525.969,0,0.000,0,24,1048576,0,0.000
47,13068140195.393,13068140238.130,13068190254.677,50015.914,50059.284,43.370,42.737,0.633,49940.716,0,0.000,0,24,1048576,0,0.000
48,13068240195.393,13068240230.543,13068290147.162,49916.132,49951.769,35.637,35.150,0.487,50048.231,0,0.000,0,24,1048576,0,0.000
49,13068340195.393,13068340230.976,13068389541.547,49309.970,49346.154,36.184,35.583,0.601,50653.846,0,0.000,0,24,1048576,0,0.000
50,13068440195.393,13068440256.598,13068490142.590,49884.950,49947.197,62.247,61.205,1.042,50052.803,0,0.000,0,24,1048576,0,0.000
51,13068540195.393,13068540284.951,13068589490.088,49203.558,49294.695,91.137,89.558,1.579,50705.305,0,0.000,0,24,1048576,0,0.000
52,13068640195.393,13068640252.896,13068689507.952,49254.519,49312.559,58.040,57.503,0.537,50687.441,0,0.000,0,24,1048576,0,0.000
53,13068740195.393,13068740307.382,13068789686.640,49377.404,49491.247,113.843,111.989,1.854,50508.753,0,0.000,0,24,1048576,0,0.000
54,13068840195.393,13068840275.180,13068889879.803,49603.781,49684.410,80.629,79.787,0.842,50315.590,0,0.000,0,24,1048576,0,0.000
55,13068940195.393,13068940286.288,13068990268.339,49980.636,50072.946,92.310,90.895,1.415,49927.054,0,0.000,0,24,1048576,0,0.000
56,13069040195.393,13069040247.432,13069089835.102,49587.216,49639.709,52.493,52.039,0.454,50360.291,0,0.000,0,24,1048576,0,0.000
57,13069140195.393,13069140241.746,13069189938.381,49696.295,49742.988,46.693,46.353,0.340,50257.012,0,0.000,0,24,1048576,0,0.000
58,13069240195.393,13069240283.599,13069290023.388,49738.893,49827.995,89.102,88.206,0.896,50172.005,0,0.000,0,24,1048576,0,0.000
59,13069340195.393,13069340250.302,13069392159.064,51908.433,51963.671,55.238,54.909,0.329,48036.329,0,0.000,0,24,1048576,0,0.000
60,13069440195.393,13069440239.077,13069490252.386,50012.373,50056.993,44.620,43.684,0.936,49943.007,0,0.000,0,24,1048576,0,0.000
61,13069540195.393,13069540252.103,13069590335.046,50081.943,50139.653,57.710,56.710,1.000,49860.347,0,0.000,0,24,1048576,0,0.000
62,13069640195.393,13069640232.411,13069688876.443,48643.544,48681.050,37.506,37.018,0.488,51318.950,0,0.000,0,24,1048576,0,0.000
63,13069740195.393,13069740244.001,13069789598.161,49353.676,49402.768,49.092,48.608,0.484,50597.232,0,0.000,0,24,1048576,0,0.000
64,13069840195.393,13069840292.214,13069889778.841,49485.021,49583.448,98.427,96.821,1.606,50416.552,0,0.000,0,24,1048576,0,0.000
65,13069940195.393,13069940233.961,13069990011.882,49777.869,49816.489,38.620,38.568,0.052,50183.511,0,0.000,0,24,1048576,0,0.000
66,13070040195.393,13070040286.928,13070089721.478,49433.239,49526.085,92.846,91.535,1.311,50473.915,0,0.000,0,24,1048576,0,0.000
67,13070140195.393,13070140253.318,13070189572.738,49318.790,49377.345,58.555,57.925,0.630,50622.655,0,0.000,0,24,1048576,0,0.000
68,13070240195.393,13070240229.206,13070289079.765,48850.373,48884.372,33.999,33.813,0.186,51115.628,0,0.000,0,24,1048576,0,0.000
69,13070340195.393,13070340282.989,13070389465.648,49181.141,49270.255,89.114,87.596,1.518,50729.745,0,0.000,0,24,1048576,0,0.000
70,13070440195.393,13070440291.256,13070489724.746,49432.042,49529.353,97.311,95.863,1.448,50470.647,0,0.000,0,24,1048576,0,0.000
71,13070540195.393,13070540304.502,13070589220.119,48913.945,49024.726,110.781,109.109,1.672,50975.274,0,0.000,0,24,1048576,0,0.000
72,13070640195.393,13070640297.281,13070689410.102,49111.484,49214.709,103.225,101.888,1.337,50785.291,0,0.000,0,24,1048576,0,0.000
73,13070740195.393,13070740242.523,13070789777.025,49534.088,49581.632,47.544,47.130,0.414,50418.368,0,0.000,0,24,1048576,0,0.000
74,13070840195.393,13070840318.026,13070895402.476,55082.274,55207.083,124.809,122.633,2.176,44792.917,0,0.000,0,24,1048576,0,0.000
75,13070940195.393,13070940285.373,13070989519.468,49232.729,49324.075,91.346,89.980,1.366,50675.925,0,0.000,0,24,1048576,0,0.000
76,13071040195.393,13071040295.135,13071089499.317,49202.879,49303.924,101.045,99.742,1.303,50696.076,0,0.000,0,24,1048576,0,0.000
77,13071140195.393,13071140232.522,13071189489.909,49256.678,49294.516,37.838,37.129,0.709,50705.484,0,0.000,0,24,1048576,0,0.000
78,13071240195.393,13071240290.037,13071289354.981,49063.746,49159.588,95.842,94.644,1.198,50840.412,0,0.000,0,24,1048576,0,0.000
79,13071340195.393,13071340246.850,13071388986.154,48738.740,48790.761,52.021,51.457,0.564,51209.239,0,0.000,0,24,1048576,0,0.000
80,13071440195.393,13071440290.271,13071489359.827,49068.140,49164.434,96.294,94.878,1.416,50835.566,0,0.000,0,24,1048576,0,0.000
81,13071540195.393,13071540304.908,13071589506.592,49200.192,49311.199,111.007,109.515,1.492,50688.801,0,0.000,0,24,1048576,0,0.000
82,13071640195.393,13071640293.776,13071689961.019,49665.593,49765.626,100.033,98.383,1.650,50234.374,0,0.000,0,24,1048576,0,0.000
83,13071740195.393,13071740239.814,13071788992.560,48752.268,48797.167,44.899,44.421,0.478,51202.833,0,0.000,0,24,1048576,0,0.000
84,13071840195.393,13071840294.158,13071889336.031,49039.856,49140.638,100.782,98.765,2.017,50859.362,0,0.000,0,24,1048576,0,0.000
85,13071940195.393,13071940298.930,13071989778.783,49478.754,49583.390,104.636,103.537,1.099,50416.610,0,0.000,0,24,1048576,0,0.000
86,13072040195.393,13072040352.384,13072089973.301,49619.109,49777.908,158.799,156.991,1.808,50222.092,0,0.000,0,24,1048576,0,0.000
87,13072140195.393,13072140245.472,13072189354.442,49108.278,49159.049,50.771,50.079,0.692,50840.951,0,0.000,0,24,1048576,0,0.000
88,13072240195.393,13072240294.685,13072289483.477,49186.938,49288.084,101.146,99.292,1.854,50711.916,0,0.000,0,24,1048576,0,0.000
89,13072340195.393,13072340252.667,13072389907.698,49654.123,49712.305,58.182,57.274,0.908,50287.695,0,0.000,0,24,1048576,0,0.000
90,13072440195.393,13072440292.795,13072489401.998,49107.739,49206.605,98.866,97.402,1.464,50793.395,0,0.000,0,24,1048576,0,0.000
91,13072540195.393,13072540245.707,13072589358.695,49112.482,49163.302,50.820,50.314,0.506,50836.698,0,0.000,0,24,1048576,0,0.000
92,13072640195.393,13072640300.846,13072689534.712,49232.196,49339.319,107.123,105.453,1.670,50660.681,0,0.000,0,24,1048576,0,0.000
93,13072740195.393,13072740299.062,13072789369.449,49068.937,49174.056,105.119,103.669,1.450,50825.944,0,0.000,0,24,1048576,0,0.000
94,13072840195.393,13072840308.655,13072890093.699,49783.631,49898.306,114.675,113.262,1.413,50101.694,0,0.000,0,24,1048576,0,0.000
95,13072940195.393,13072940247.043,13072989948.011,49700.271,49752.618,52.347,51.650,0.697,50247.382,0,0.000,0,24,1048576,0,0.000
96,13073040195.393,13073040279.440,13073089831.603,49550.630,49636.210,85.580,84.047,1.533,50363.790,0,0.000,0,24,1048576,0,0.000
97,13073140195.393,13073140267.599,13073189499.495,49230.662,49304.102,73.440,72.206,1.234,50695.898,0,0.000,0,24,1048576,0,0.000
98,13073240195.393,13073240244.217,13073289668.630,49423.887,49473.237,49.350,48.824,0.526,50526.763,0,0.000,0,24,1048576,0,0.000
99,13073340195.393,13073340291.697,13073389234.120,48941.240,49038.727,97.487,96.304,1.183,50961.273,0,0.000,0,24,1048576,0,0.000
100,13073440195.393,13073440298.331,13073489685.043,49384.715,49489.650,104.935,102.938,1.997,50510.350,0,0.000,0,24,1048576,0,0.000
101,13073540195.393,13073540287.259,13073589690.123,49401.892,49494.730,92.838,91.866,0.972,50505.270,0,0.000,0,24,1048576,0,0.000
102,13073640195.393,13073640311.454,13073689366.565,49053.269,49171.172,117.903,116.061,1.842,50828.828,0,0.000,0,24,1048576,0,0.000
103,13073740195.393,13073740235.324,13073788959.886,48724.093,48764.493,40.400,39.931,0.469,51235.507,0,0.000,0,24,1048576,0,0.000
104,13073840195.393,13073840288.888,13073889876.275,49585.632,49680.882,95.250,93.495,1.755,50319.118,0,0.000,0,24,1048576,0,0.000
105,13073940195.393,13073940322.715,13073989543.839,49219.436,49348.446,129.010,127.322,1.688,50651.554,0,0.000,0,24,1048576,0,0.000
106,13074040195.393,13074040281.370,13074089456.247,49173.281,49260.854,87.573,85.977,1.596,50739.146,0,0.000,0,24,1048576,0,0.000
107,13074140195.393,13074140293.738,13074189780.275,49485.185,49584.882,99.697,98.345,1.352,50415.118,0,0.000,0,24,1048576,0,0.000
108,13074240195.393,13074240268.472,13074289193.982,48924.202,48998.589,74.387,73.079,1.308,51001.411,0,0.000,0,24,1048576,0,0.000
109,13074340195.393,13074340280.277,13074389284.245,49002.086,49088.852,86.766,84.884,1.882,50911.148,0,0.000,0,24,1048576,0,0.000
110,13074440195.393,13074440282.322,13074489467.877,49184.230,49272.484,88.254,86.929,1.325,50727.516,0,0.000,0,24,1048576,0,0.000
