# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=17 period_us=100000 priority=90 cpu=-1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,3350544569.722,3350544683.308,3350579900.400,35214.886,35330.678,115.792,113.586,2.206,64669.322,0,0.000,0,17,1048576,0,0.000
1,3350644569.722,3350644683.177,3350680107.348,35422.487,35537.626,115.139,113.455,1.684,64462.374,0,0.000,0,17,1048576,0,0.000
2,3350744569.722,3350744675.603,3350780177.182,35500.083,35607.460,107.377,105.881,1.496,64392.540,0,0.000,0,17,1048576,0,0.000
3,3350844569.722,3350844661.785,3350880363.846,35700.378,35794.124,93.746,92.063,1.683,64205.876,0,0.000,0,17,1048576,0,0.000
4,3350944569.722,3350944684.926,3350980061.459,35374.775,35491.737,116.962,115.204,1.758,64508.263,0,0.000,0,17,1048576,0,0.000
5,3351044569.722,3351044640.608,3351080131.379,35489.288,35561.657,72.369,70.886,1.483,64438.343,0,0.000,0,17,1048576,0,0.000
6,3351144569.722,3351144673.898,3351179981.845,35306.125,35412.123,105.998,104.176,1.822,64587.877,0,0.000,0,17,1048576,0,0.000
7,3351244569.722,3351244656.801,3351279667.185,35008.998,35097.463,88.465,87.079,1.386,64902.537,0,0.000,0,17,1048576,0,0.000
8,3351344569.722,3351344688.307,3351380225.408,35534.880,35655.686,120.806,118.585,2.221,64344.314,0,0.000,0,17,1048576,0,0.000
9,3351444569.722,3351444655.791,3351480140.210,35482.475,35570.488,88.013,86.069,1.944,64429.512,0,0.000,0,17,1048576,0,0.000
10,3351544569.722,3351544678.213,3351579947.225,35267.153,35377.503,110.350,108.491,1.859,64622.497,0,0.000,0,17,1048576,0,0.000
11,3351644569.722,3351644672.909,3351679897.614,35222.994,35327.892,104.898,103.187,1.711,64672.108,0,0.000,0,17,1048576,0,0.000
12,3351744569.722,3351744678.923,3351780117.865,35437.313,35548.143,110.830,109.201,1.629,64451.857,0,0.000,0,17,1048576,0,0.000
13,3351844569.722,3351844649.088,3351880213.760,35563.501,35644.038,80.537,79.366,1.171,64355.962,0,0.000,0,17,1048576,0,0.000
14,3351944569.722,3351944680.990,3351980073.433,35390.239,35503.711,113.472,111.268,2.204,64496.289,0,0.000,0,17,1048576,0,0.000
