# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=133 period_us=10000 priority=90 cpu=-1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,5003686040.879,5003686112.508,5003687543.303,1429.590,1502.424,72.834,71.629,1.205,8497.576,0,0.000,0,133,8192,0,0.000
1,5003696040.879,5003696076.528,5003697493.157,1415.565,1452.278,36.713,35.649,1.064,8547.722,0,0.000,0,133,8192,0,0.000
2,5003706040.879,5003706074.170,5003707505.972,1431.075,1465.093,34.018,33.291,0.727,8534.907,0,0.000,0,133,8192,0,0.000
3,5003716040.879,5003716076.545,5003717416.846,1339.576,1375.967,36.391,35.666,0.725,8624.033,0,0.000,0,133,8192,0,0.000
4,5003726040.879,5003726076.749,5003727491.923,1414.474,1451.044,36.570,35.870,0.700,8548.956,0,0.000,0,133,8192,0,0.000
5,5003736040.879,5003736076.788,5003737441.033,1363.654,1400.154,36.500,35.909,0.591,8599.846,0,0.000,0,133,8192,0,0.000
6,5003746040.879,5003746079.241,5003747508.475,1428.530,1467.596,39.066,38.362,0.704,8532.404,0,0.000,0,133,8192,0,0.000
7,5003756040.879,5003756076.280,5003757381.708,1304.648,1340.829,36.181,35.401,0.780,8659.171,0,0.000,0,133,8192,0,0.000
8,5003766040.879,5003766078.873,5003767483.442,1403.801,1442.563,38.762,37.994,0.768,8557.437,0,0.000,0,133,8192,0,0.000
9,5003776040.879,5003776076.222,5003777365.306,1288.070,1324.427,36.357,35.343,1.014,8675.573,0,0.000,0,133,8192,0,0.000
10,5003786040.879,5003786077.755,5003787506.078,1427.505,1465.199,37.694,36.876,0.818,8534.801,0,0.000,0,133,8192,0,0.000
11,5003796040.879,5003796076.596,5003797323.880,1246.653,1283.001,36.348,35.717,0.631,8716.999,0,0.000,0,133,8192,0,0.000
12,5003806040.879,5003806077.908,5003807466.461,1387.717,1425.582,37.865,37.029,0.836,8574.418,0,0.000,0,133,8192,0,0.000
13,5003816040.879,5003816077.758,5003817461.907,1383.470,1421.028,37.558,36.879,0.679,8578.972,0,0.000,0,133,8192,0,0.000
14,5003826040.879,5003826076.401,5003827473.400,1396.001,1432.521,36.520,35.522,0.998,8567.479,0,0.000,0,133,8192,0,0.000
15,5003836040.879,5003836080.777,5003837496.643,1414.696,1455.764,41.068,39.898,1.170,8544.236,0,0.000,0,133,8192,0,0.000
16,5003846040.879,5003846073.488,5003847502.779,1428.585,1461.900,33.315,32.609,0.706,8538.100,0,0.000,0,133,8192,0,0.000
17,5003856040.879,5003856087.274,5003857517.819,1429.278,1476.940,47.662,46.395,1.267,8523.060,0,0.000,0,133,8192,0,0.000
18,5003866040.879,5003866079.295,5003867370.875,1290.649,1329.996,39.347,38.416,0.931,8670.004,0,0.000,0,133,8192,0,0.000
19,5003876040.879,5003876081.814,5003877425.636,1342.946,1384.757,41.811,40.935,0.876,8615.243,0,0.000,0,133,8192,0,0.000
20,5003886040.879,5003886083.373,5003887501.051,1416.916,1460.172,43.256,42.494,0.762,8539.828,0,0.000,0,133,8192,0,0.000
21,5003896040.879,5003896078.778,5003897422.826,1343.172,1381.947,38.775,37.899,0.876,8618.053,0,0.000,0,133,8192,0,0.000
22,5003906040.879,5003906079.244,5003907553.320,1473.160,1512.441,39.281,38.365,0.916,8487.559,0,0.000,0,133,8192,0,0.000
23,5003916040.879,5003916076.855,5003917334.989,1257.269,1294.110,36.841,35.976,0.865,8705.890,0,0.000,0,133,8192,0,0.000
