# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=12 period_us=100000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,5358711405.406,5358711542.370,5358733487.514,21942.777,22082.108,139.331,136.964,2.367,77917.892,0,0.000,0,12,1048576,0,0.000
1,5358811405.406,5358811509.113,5358832432.402,20920.762,21026.996,106.234,103.707,2.527,78973.004,0,0.000,0,12,1048576,0,0.000
2,5358911405.406,5358911506.296,5358932534.595,21026.541,21129.189,102.648,100.890,1.758,78870.811,0,0.000,0,12,1048576,0,0.000
3,5359011405.406,5359011512.250,5359032428.883,20914.169,21023.477,109.308,106.844,2.464,78976.523,0,0.000,0,12,1048576,0,0.000
4,5359111405.406,5359111516.067,5359132450.925,20932.573,21045.519,112.946,110.661,2.285,78954.481,0,0.000,0,12,1048576,0,0.000
5,5359211405.406,5359211511.843,5359232452.702,20938.484,21047.296,108.812,106.437,2.375,78952.704,0,0.000,0,12,1048576,0,0.000
6,5359311405.406,5359311516.424,5359332437.489,20918.470,21032.083,113.613,111.018,2.595,78967.917,0,0.000,0,12,1048576,0,0.000
7,5359411405.406,5359411513.576,5359432464.634,20948.416,21059.228,110.812,108.170,2.642,78940.772,0,0.000,0,12,1048576,0,0.000
8,5359511405.406,5359511513.006,5359532528.932,21013.393,21123.526,110.133,107.600,2.533,78876.474,0,0.000,0,12,1048576,0,0.000
9,5359611405.406,5359611508.111,5359632626.348,21116.004,21220.942,104.938,102.705,2.233,78779.058,0,0.000,0,12,1048576,0,0.000
10,5359711405.406,5359711516.669,5359732429.970,20911.311,21024.564,113.253,111.263,1.990,78975.436,0,0.000,0,12,1048576,0,0.000
11,5359811405.406,5359811512.941,5359832437.616,20915.196,21032.210,117.014,107.535,9.479,78967.790,0,0.000,0,12,1048576,0,0.000
12,5359911405.406,5359911520.176,5359932469.968,20947.417,21064.562,117.145,114.770,2.375,78935.438,0,0.000,0,12,1048576,0,0.000
13,5360011405.406,5360011508.559,5360032435.628,20924.984,21030.222,105.238,103.153,2.085,78969.778,0,0.000,0,12,1048576,0,0.000
14,5360111405.406,5360111506.328,5360132464.186,20955.117,21058.780,103.663,100.922,2.741,78941.220,0,0.000,0,12,1048576,0,0.000
15,5360211405.406,5360211518.511,5360232450.836,20929.803,21045.430,115.627,113.105,2.522,78954.570,0,0.000,0,12,1048576,0,0.000
16,5360311405.406,5360311513.596,5360332516.408,20999.782,21111.002,111.220,108.190,3.030,78888.998,0,0.000,0,12,1048576,0,0.000
17,5360411405.406,5360411520.706,5360432744.624,21209.073,21339.218,130.145,115.300,14.845,78660.782,0,0.000,1,12,1048576,0,0.000
18,5360511405.406,5360511520.108,5360532479.427,20956.368,21074.021,117.653,114.702,2.951,78925.979,0,0.000,0,12,1048576,0,0.000
19,5360611405.406,5360611518.518,5360632435.825,20915.313,21030.419,115.106,113.112,1.994,78969.581,0,0.000,0,12,1048576,0,0.000
20,5360711405.406,5360711515.929,5360732461.519,20942.840,21056.113,113.273,110.523,2.750,78943.887,0,0.000,0,12,1048576,0,0.000
21,5360811405.406,5360811517.562,5360832455.049,20935.447,21049.643,114.196,112.156,2.040,78950.357,0,0.000,0,12,1048576,0,0.000
22,5360911405.406,5360911509.588,5360932421.088,20909.078,21015.682,106.604,104.182,2.422,78984.318,0,0.000,0,12,1048576,0,0.000
23,5361011405.406,5361011474.865,5361034073.017,22595.218,22667.611,72.393,69.459,2.934,77332.389,0,0.000,0,12,1048576,0,0.000
24,5361111405.406,5361111519.138,5361132452.142,20930.627,21046.736,116.109,113.732,2.377,78953.264,0,0.000,0,12,1048576,0,0.000
25,5361211405.406,5361211507.494,5361232435.974,20926.431,21030.568,104.137,102.088,2.049,78969.432,0,0.000,0,12,1048576,0,0.000
26,5361311405.406,5361311514.645,5361332495.006,20978.097,21089.600,111.503,109.239,2.264,78910.400,0,0.000,0,12,1048576,0,0.000
27,5361411405.406,5361411516.654,5361433913.499,22394.148,22508.093,113.945,111.248,2.697,77491.907,0,0.000,0,12,1048576,0,0.000
28,5361511405.406,5361511517.106,5361532503.701,20983.723,21098.295,114.572,111.700,2.872,78901.705,0,0.000,0,12,1048576,0,0.000
29,5361611405.406,5361611505.772,5361632424.861,20916.343,21019.455,103.112,100.366,2.746,78980.545,0,0.000,0,12,1048576,0,0.000
30,5361711405.406,5361711522.971,5361732530.131,21005.099,21124.725,119.626,117.565,2.061,78875.275,0,0.000,0,12,1048576,0,0.000
31,5361811405.406,5361811622.705,5361833445.238,21819.320,22039.832,220.512,217.299,3.213,77960.168,0,0.000,0,12,1048576,0,0.000
32,5361911405.406,5361911527.043,5361932688.330,21158.410,21282.924,124.514,121.637,2.877,78717.076,0,0.000,0,12,1048576,0,0.000
33,5362011405.406,5362011521.991,5362032495.333,20970.720,21089.927,119.207,116.585,2.622,78910.073,0,0.000,0,12,1048576,0,0.000
34,5362111405.406,5362111525.559,5362132584.968,21056.345,21179.562,123.217,120.153,3.064,78820.438,0,0.000,0,12,1048576,0,0.000
35,5362211405.406,5362211517.093,5362232438.459,20919.280,21033.053,113.773,111.687,2.086,78966.947,0,0.000,0,12,1048576,0,0.000
36,5362311405.406,5362311510.958,5362332432.073,20918.890,21026.667,107.777,105.552,2.225,78973.333,0,0.000,0,12,1048576,0,0.000
37,5362411405.406,5362411513.447,5362432439.896,20924.101,21034.490,110.389,108.041,2.348,78965.510,0,0.000,0,12,1048576,0,0.000
38,5362511405.406,5362511515.172,5362532462.442,20944.607,21057.036,112.429,109.766,2.663,78942.964,0,0.000,0,12,1048576,0,0.000
39,5362611405.406,5362611494.434,5362632455.191,20958.114,21049.785,91.671,89.028,2.643,78950.215,0,0.000,0,12,1048576,0,0.000
40,5362711405.406,5362711492.514,5362732428.524,20933.738,21023.118,89.380,87.108,2.272,78976.882,0,0.000,0,12,1048576,0,0.000
