# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=33 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,20801342821.391,20801342978.573,20801400813.596,57832.911,57992.205,159.294,157.182,2.112,42007.795,0,0.000,0,33,1048576,0,0.000
1,20801442821.391,20801443110.920,20801500121.064,57008.233,57299.673,291.440,289.529,1.911,42700.327,0,0.000,0,33,1048576,0,0.000
2,20801542821.391,20801542960.993,20801600340.886,57377.759,57519.495,141.736,139.602,2.134,42480.505,0,0.000,0,33,1048576,0,0.000
3,20801642821.391,20801642962.301,20801699973.734,57008.816,57152.343,143.527,140.910,2.617,42847.657,0,0.000,0,33,1048576,0,0.000
4,20801742821.391,20801742968.475,20801800136.227,57165.696,57314.836,149.140,147.084,2.056,42685.164,0,0.000,0,33,1048576,0,0.000
5,20801842821.391,20801842966.769,20801900095.674,57126.766,57274.283,147.517,145.378,2.139,42725.717,0,0.000,0,33,1048576,0,0.000
6,20801942821.391,20801942982.427,20802000142.766,57158.405,57321.375,162.970,161.036,1.934,42678.625,0,0.000,0,33,1048576,0,0.000
7,20802042821.391,20802043114.442,20802100136.317,57020.118,57314.926,294.808,293.051,1.757,42685.074,0,0.000,0,33,1048576,0,0.000
8,20802142821.391,20802142969.498,20802200080.118,57108.759,57258.727,149.968,148.107,1.861,42741.273,0,0.000,0,33,1048576,0,0.000
9,20802242821.391,20802243104.806,20802300093.705,56987.100,57272.314,285.214,283.415,1.799,42727.686,0,0.000,0,33,1048576,0,0.000
10,20802342821.391,20802343154.391,20802400109.136,56952.853,57287.745,334.892,333.000,1.892,42712.255,0,0.000,0,33,1048576,0,0.000
11,20802442821.391,20802442959.795,20802499922.946,56961.251,57101.555,140.304,138.404,1.900,42898.445,0,0.000,0,33,1048576,0,0.000
12,20802542821.391,20802543124.935,20802600219.919,57093.094,57398.528,305.434,303.544,1.890,42601.472,0,0.000,0,33,1048576,0,0.000
13,20802642821.391,20802642964.354,20802700204.425,57238.129,57383.034,144.905,142.963,1.942,42616.966,0,0.000,0,33,1048576,0,0.000
