# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=600 period_us=10000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,44455849214.703,44455849316.624,44455854899.281,5580.757,5684.578,103.821,101.921,1.900,4315.422,0,0.000,0,600,8192,0,0.000
1,44455859214.703,44455859289.499,44455865329.384,6038.956,6114.681,75.725,74.796,0.929,3885.319,0,0.000,0,600,8192,0,0.000
2,44455869214.703,44455869232.861,44455874805.836,5572.662,5591.133,18.471,18.158,0.313,4408.867,0,0.000,0,600,8192,0,0.000
3,44455879214.703,44455879233.949,44455884797.471,5563.150,5582.768,19.618,19.246,0.372,4417.232,0,0.000,0,600,8192,0,0.000
4,44455889214.703,44455889232.052,44455894803.945,5571.587,5589.242,17.655,17.349,0.306,4410.758,0,0.000,0,600,8192,0,0.000
5,44455899214.703,44455899236.831,44455904813.769,5576.532,5599.066,22.534,22.128,0.406,4400.934,0,0.000,0,600,8192,0,0.000
6,44455909214.703,44455909244.574,44455914811.955,5566.967,5597.252,30.285,29.871,0.414,4402.748,0,0.000,0,600,8192,0,0.000
7,44455919214.703,44455919232.007,44455924793.875,5561.565,5579.172,17.607,17.304,0.303,4420.828,0,0.000,0,600,8192,0,0.000
8,44455929214.703,44455929231.630,44455934795.261,5563.302,5580.558,17.256,16.927,0.329,4419.442,0,0.000,0,600,8192,0,0.000
9,44455939214.703,44455939232.419,44455944795.448,5562.664,5580.745,18.081,17.716,0.365,4419.255,0,0.000,0,600,8192,0,0.000
10,44455949214.703,44455949231.906,44455954826.961,5594.670,5612.258,17.588,17.203,0.385,4387.742,0,0.000,0,600,8192,0,0.000
