# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=4 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,4462784712.276,4462784972.288,4462793386.910,8413.380,8674.634,261.254,260.012,1.242,91325.366,0,0.000,0,4,1048576,0,0.000
1,4462884712.276,4462884942.053,4462893032.797,8089.494,8320.521,231.027,229.777,1.250,91679.479,0,0.000,0,4,1048576,0,0.000
2,4462984712.276,4462984924.367,4462993107.336,8181.697,8395.060,213.363,212.091,1.272,91604.940,0,0.000,0,4,1048576,0,0.000
3,4463084712.276,4463084903.475,4463093329.902,8425.239,8617.626,192.387,191.199,1.188,91382.374,0,0.000,0,4,1048576,0,0.000
4,4463184712.276,4463184804.049,4463193136.716,8331.089,8424.440,93.351,91.773,1.578,91575.560,0,0.000,0,4,1048576,0,0.000
5,4463284712.276,4463284951.782,4463293169.803,8216.643,8457.527,240.884,239.506,1.378,91542.473,0,0.000,0,4,1048576,0,0.000
6,4463384712.276,4463384892.629,4463393086.211,8192.425,8373.935,181.510,180.353,1.157,91626.065,0,0.000,0,4,1048576,0,0.000
7,4463484712.276,4463485009.981,4463493156.016,8144.311,8443.740,299.429,297.705,1.724,91556.260,0,0.000,0,4,1048576,0,0.000
8,4463584712.276,4463584816.972,4463593008.029,8189.327,8295.753,106.426,104.696,1.730,91704.247,0,0.000,0,4,1048576,0,0.000
9,4463684712.276,4463684823.327,4463693286.930,8461.796,8574.654,112.858,111.051,1.807,91425.346,0,0.000,0,4,1048576,0,0.000
10,4463784712.276,4463784965.016,4463793134.841,8168.597,8422.565,253.968,252.740,1.228,91577.435,0,0.000,0,4,1048576,0,0.000
11,4463884712.276,4463884983.206,4463893224.284,8239.744,8512.008,272.264,270.930,1.334,91487.992,0,0.000,0,4,1048576,0,0.000
12,4463984712.276,4463984955.633,4463993286.918,8329.615,8574.642,245.027,243.357,1.670,91425.358,0,0.000,0,4,1048576,0,0.000
13,4464084712.276,4464084909.264,4464093119.488,8209.109,8407.212,198.103,196.988,1.115,91592.788,0,0.000,0,4,1048576,0,0.000
14,4464184712.276,4464184896.350,4464193215.041,8317.533,8502.765,185.232,184.074,1.158,91497.235,0,0.000,0,4,1048576,0,0.000
15,4464284712.276,4464284944.577,4464293374.748,8428.969,8662.472,233.503,232.301,1.202,91337.528,0,0.000,0,4,1048576,0,0.000
16,4464384712.276,4464384815.077,4464393296.180,8479.493,8583.904,104.411,102.801,1.610,91416.096,0,0.000,0,4,1048576,0,0.000
17,4464484712.276,4464484907.641,4464493136.774,8227.993,8424.498,196.505,195.365,1.140,91575.502,0,0.000,0,4,1048576,0,0.000
18,4464584712.276,4464584817.891,4464593187.556,8368.208,8475.280,107.072,105.615,1.457,91524.720,0,0.000,0,4,1048576,0,0.000
19,4464684712.276,4464684975.361,4464693237.404,8260.097,8525.128,265.031,263.085,1.946,91474.872,0,0.000,0,4,1048576,0,0.000
20,4464784712.276,4464784970.563,4464793357.775,8385.466,8645.499,260.033,258.287,1.746,91354.501,0,0.000,0,4,1048576,0,0.000
21,4464884712.276,4464884979.767,4464893430.159,8448.963,8717.883,268.920,267.491,1.429,91282.117,0,0.000,0,4,1048576,0,0.000
22,4464984712.276,4464984983.122,4464993426.780,8441.561,8714.504,272.943,270.846,2.097,91285.496,0,0.000,0,4,1048576,0,0.000
23,4465084712.276,4465084966.945,4465093357.051,8388.867,8644.775,255.908,254.669,1.239,91355.225,0,0.000,0,4,1048576,0,0.000
24,4465184712.276,4465184960.242,4465193291.675,8330.087,8579.399,249.312,247.966,1.346,91420.601,0,0.000,0,4,1048576,0,0.000
25,4465284712.276,4465284899.465,4465293250.291,8349.804,8538.015,188.211,187.189,1.022,91461.985,0,0.000,0,4,1048576,0,0.000
26,4465384712.276,4465384947.520,4465393316.012,8366.993,8603.736,236.743,235.244,1.499,91396.264,0,0.000,0,4,1048576,0,0.000
27,4465484712.276,4465485031.698,4465493365.552,8332.310,8653.276,320.966,319.422,1.544,91346.724,0,0.000,0,4,1048576,0,0.000
28,4465584712.276,4465584944.696,4465593197.211,8250.820,8484.935,234.115,232.420,1.695,91515.065,0,0.000,0,4,1048576,0,0.000
29,4465684712.276,4465685141.053,4465693509.768,8367.376,8797.492,430.116,428.777,1.339,91202.508,0,0.000,0,4,1048576,0,0.000
30,4465784712.276,4465784934.537,4465793236.691,8300.893,8524.415,223.522,222.261,1.261,91475.585,0,0.000,0,4,1048576,0,0.000
31,4465884712.276,4465885050.196,4465894036.298,8983.923,9324.022,340.099,337.920,2.179,90675.978,0,0.000,0,4,1048576,0,0.000
32,4465984712.276,4465984911.227,4465993296.836,8384.451,8584.560,200.109,198.951,1.158,91415.440,0,0.000,0,4,1048576,0,0.000
33,4466084712.276,4466084991.942,4466093130.170,8137.189,8417.894,280.705,279.666,1.039,91582.106,0,0.000,0,4,1048576,0,0.000
34,4466184712.276,4466184888.825,4466193182.204,8292.298,8469.928,177.630,176.549,1.081,91530.072,0,0.000,0,4,1048576,0,0.000
35,4466284712.276,4466285038.361,4466293987.984,8947.582,9275.708,328.126,326.085,2.041,90724.292,0,0.000,0,4,1048576,0,0.000
36,4466384712.276,4466385018.969,4466393265.436,8245.206,8553.160,307.954,306.693,1.261,91446.840,0,0.000,0,4,1048576,0,0.000
37,4466484712.276,4466484891.406,4466493152.247,8259.597,8439.971,180.374,179.130,1.244,91560.029,0,0.000,0,4,1048576,0,0.000
38,4466584712.276,4466584933.205,4466593364.842,8430.409,8652.566,222.157,220.929,1.228,91347.434,0,0.000,0,4,1048576,0,0.000
39,4466684712.276,4466684965.717,4466693186.973,8219.685,8474.697,255.012,253.441,1.571,91525.303,0,0.000,0,4,1048576,0,0.000
40,4466784712.276,4466784951.976,4466793242.434,8288.948,8530.158,241.210,239.700,1.510,91469.842,0,0.000,0,4,1048576,0,0.000
41,4466884712.276,4466884939.732,4466893576.155,8635.050,8863.879,228.829,227.456,1.373,91136.121,0,0.000,0,4,1048576,0,0.000
42,4466984712.276,4466984898.188,4466993179.126,8279.693,8466.850,187.157,185.912,1.245,91533.150,0,0.000,0,4,1048576,0,0.000
43,4467084712.276,4467084979.345,4467093444.783,8463.802,8732.507,268.705,267.069,1.636,91267.493,0,0.000,0,4,1048576,0,0.000
44,4467184712.276,4467184932.225,4467193224.743,8291.328,8512.467,221.139,219.949,1.190,91487.533,0,0.000,0,4,1048576,0,0.000
45,4467284712.276,4467284906.375,4467293233.277,8325.824,8521.001,195.177,194.099,1.078,91478.999,0,0.000,0,4,1048576,0,0.000
46,4467384712.276,4467384975.918,4467393168.353,8191.351,8456.077,264.726,263.642,1.084,91543.923,0,0.000,0,4,1048576,0,0.000
47,4467484712.276,4467484905.944,4467493190.494,8283.273,8478.218,194.945,193.668,1.277,91521.782,0,0.000,0,4,1048576,0,0.000
48,4467584712.276,4467584887.971,4467593144.093,8254.698,8431.817,177.119,175.695,1.424,91568.183,0,0.000,0,4,1048576,0,0.000
49,4467684712.276,4467685061.387,4467693254.898,8191.702,8542.622,350.920,349.111,1.809,91457.378,0,0.000,0,4,1048576,0,0.000
50,4467784712.276,4467784943.163,4467793192.574,8247.949,8480.298,232.349,230.887,1.462,91519.702,0,0.000,0,4,1048576,0,0.000
51,4467884712.276,4467884901.552,4467893619.225,8716.554,8906.949,190.395,189.276,1.119,91093.051,0,0.000,0,4,1048576,0,0.000
52,4467984712.276,4467984911.840,4467993305.415,8392.329,8593.139,200.810,199.564,1.246,91406.861,0,0.000,0,4,1048576,0,0.000
53,4468084712.276,4468084912.761,4468093356.638,8442.596,8644.362,201.766,200.485,1.281,91355.638,0,0.000,0,4,1048576,0,0.000
54,4468184712.276,4468184909.531,4468193390.475,8479.538,8678.199,198.661,197.255,1.406,91321.801,0,0.000,0,4,1048576,0,0.000
55,4468284712.276,4468284977.076,4468293213.653,8235.483,8501.377,265.894,264.800,1.094,91498.623,0,0.000,0,4,1048576,0,0.000
56,4468384712.276,4468384981.550,4468393343.919,8361.224,8631.643,270.419,269.274,1.145,91368.357,0,0.000,0,4,1048576,0,0.000
57,4468484712.276,4468484883.901,4468493023.100,8138.220,8310.824,172.604,171.625,0.979,91689.176,0,0.000,0,4,1048576,0,0.000
58,4468584712.276,4468584978.136,4468593116.939,8137.751,8404.663,266.912,265.860,1.052,91595.337,0,0.000,0,4,1048576,0,0.000
59,4468684712.276,4468684804.346,4468693043.592,8238.197,8331.316,93.119,92.070,1.049,91668.684,0,0.000,0,4,1048576,0,0.000
60,4468784712.276,4468784905.736,4468793134.945,8227.832,8422.669,194.837,193.460,1.377,91577.331,0,0.000,0,4,1048576,0,0.000
61,4468884712.276,4468885010.263,4468893410.617,8399.125,8698.341,299.216,297.987,1.229,91301.659,0,0.000,0,4,1048576,0,0.000
62,4468984712.276,4468984966.992,4468993178.914,8210.248,8466.638,256.390,254.716,1.674,91533.362,0,0.000,0,4,1048576,0,0.000
63,4469084712.276,4469084913.243,4469093356.921,8442.366,8644.645,202.279,200.967,1.312,91355.355,0,0.000,0,4,1048576,0,0.000
64,4469184712.276,4469185056.156,4469193163.187,8105.606,8450.911,345.305,343.880,1.425,91549.089,0,0.000,0,4,1048576,0,0.000
65,4469284712.276,4469284803.574,4469293108.585,8303.523,8396.309,92.786,91.298,1.488,91603.691,0,0.000,0,4,1048576,0,0.000
66,4469384712.276,4469384804.861,4469392560.280,7754.118,7848.004,93.886,92.585,1.301,92151.996,0,0.000,0,4,1048576,0,0.000
67,4469484712.276,4469484919.005,4469493219.293,8298.659,8507.017,208.358,206.729,1.629,91492.983,0,0.000,0,4,1048576,0,0.000
68,4469584712.276,4469584915.335,4469593030.942,8114.189,8318.666,204.477,203.059,1.418,91681.334,0,0.000,0,4,1048576,0,0.000
69,4469684712.276,4469684952.461,4469693066.560,8112.903,8354.284,241.381,240.185,1.196,91645.716,0,0.000,0,4,1048576,0,0.000
70,4469784712.276,4469784979.922,4469793434.213,8453.002,8721.937,268.935,267.646,1.289,91278.063,0,0.000,0,4,1048576,0,0.000
71,4469884712.276,4469884907.935,4469893418.228,8509.023,8705.952,196.929,195.659,1.270,91294.048,0,0.000,0,4,1048576,0,0.000
72,4469984712.276,4469984942.818,4469993500.446,8556.058,8788.170,232.112,230.542,1.570,91211.830,0,0.000,0,4,1048576,0,0.000
73,4470084712.276,4470084924.818,4470093134.591,8207.824,8422.315,214.491,212.542,1.949,91577.685,0,0.000,0,4,1048576,0,0.000
74,4470184712.276,4470184800.236,4470192951.311,8149.743,8239.035,89.292,87.960,1.332,91760.965,0,0.000,0,4,1048576,0,0.000
75,4470284712.276,4470284908.735,4470293024.369,8114.383,8312.093,197.710,196.459,1.251,91687.907,0,0.000,0,4,1048576,0,0.000
76,4470384712.276,4470384888.561,4470393043.391,8153.589,8331.115,177.526,176.285,1.241,91668.885,0,0.000,0,4,1048576,0,0.000
77,4470484712.276,4470484913.821,4470493081.717,8166.527,8369.441,202.914,201.545,1.369,91630.559,0,0.000,0,4,1048576,0,0.000
78,4470584712.276,4470584984.418,4470593032.776,8047.236,8320.500,273.264,272.142,1.122,91679.500,0,0.000,0,4,1048576,0,0.000
79,4470684712.276,4470684910.493,4470693129.218,8217.718,8416.942,199.224,198.217,1.007,91583.058,0,0.000,0,4,1048576,0,0.000
80,4470784712.276,4470784939.797,4470793335.209,8393.835,8622.933,229.098,227.521,1.577,91377.067,0,0.000,0,4,1048576,0,0.000
81,4470884712.276,4470884908.078,4470893230.200,8320.637,8517.924,197.287,195.802,1.485,91482.076,0,0.000,0,4,1048576,0,0.000
82,4470984712.276,4470984906.520,4470993035.105,8127.288,8322.829,195.541,194.244,1.297,91677.171,0,0.000,0,4,1048576,0,0.000
83,4471084712.276,4471084910.689,4471093114.088,8201.666,8401.812,200.146,198.413,1.733,91598.188,0,0.000,0,4,1048576,0,0.000
84,4471184712.276,4471184925.067,4471193431.028,8504.299,8718.752,214.453,212.791,1.662,91281.248,0,0.000,0,4,1048576,0,0.000
85,4471284712.276,4471284933.519,4471293318.274,8383.752,8605.998,222.246,221.243,1.003,91394.002,0,0.000,0,4,1048576,0,0.000
86,4471384712.276,4471384961.436,4471393230.037,8267.044,8517.761,250.717,249.160,1.557,91482.239,0,0.000,0,4,1048576,0,0.000
87,4471484712.276,4471485013.610,4471493318.399,8303.028,8606.123,303.095,301.334,1.761,91393.877,0,0.000,0,4,1048576,0,0.000
88,4471584712.276,4471584928.955,4471593202.179,8272.098,8489.903,217.805,216.679,1.126,91510.097,0,0.000,0,4,1048576,0,0.000
89,4471684712.276,4471684931.302,4471693029.998,8097.615,8317.722,220.107,219.026,1.081,91682.278,0,0.000,0,4,1048576,0,0.000
90,4471784712.276,4471784932.918,4471793314.991,8381.052,8602.715,221.663,220.642,1.021,91397.285,0,0.000,0,4,1048576,0,0.000
