# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=12 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,27653173142.862,27653173377.539,27653195536.654,22157.489,22393.792,236.303,234.677,1.626,77606.208,0,0.000,0,12,1048576,0,0.000
1,27653273142.862,27653273381.054,27653295599.133,22216.057,22456.271,240.214,238.192,2.022,77543.729,0,0.000,0,12,1048576,0,0.000
2,27653373142.862,27653373357.847,27653395329.508,21970.069,22186.646,216.577,214.985,1.592,77813.354,0,0.000,0,12,1048576,0,0.000
3,27653473142.862,27653473370.933,27653495440.043,22067.407,22297.181,229.774,228.071,1.703,77702.819,0,0.000,0,12,1048576,0,0.000
4,27653573142.862,27653573393.402,27653595603.040,22207.895,22460.178,252.283,250.540,1.743,77539.822,0,0.000,0,12,1048576,0,0.000
5,27653673142.862,27653673357.874,27653695371.877,22011.728,22229.015,217.287,215.012,2.275,77770.985,0,0.000,0,12,1048576,0,0.000
6,27653773142.862,27653773472.097,27653795716.849,22241.889,22573.987,332.098,329.235,2.863,77426.013,0,0.000,0,12,1048576,0,0.000
7,27653873142.862,27653873356.692,27653895332.493,21974.130,22189.631,215.501,213.830,1.671,77810.369,0,0.000,0,12,1048576,0,0.000
8,27653973142.862,27653973405.897,27653995349.926,21942.494,22207.064,264.570,263.035,1.535,77792.936,0,0.000,0,12,1048576,0,0.000
9,27654073142.862,27654073380.473,27654095337.999,21955.912,22195.137,239.225,237.611,1.614,77804.863,0,0.000,0,12,1048576,0,0.000
10,27654173142.862,27654173407.506,27654195457.430,22048.287,22314.568,266.281,264.644,1.637,77685.432,0,0.000,0,12,1048576,0,0.000
11,27654273142.862,27654273383.063,27654295371.124,21986.443,22228.262,241.819,240.201,1.618,77771.738,0,0.000,0,12,1048576,0,0.000
12,27654373142.862,27654373457.830,27654395781.692,22322.338,22638.830,316.492,314.968,1.524,77361.170,0,0.000,0,12,1048576,0,0.000
13,27654473142.862,27654473399.727,27654495600.647,22198.721,22457.785,259.064,256.865,2.199,77542.215,0,0.000,0,12,1048576,0,0.000
14,27654573142.862,27654573250.183,27654594747.342,21495.386,21604.480,109.094,107.321,1.773,78395.520,0,0.000,0,12,1048576,0,0.000
15,27654673142.862,27654673347.510,27654695427.981,22078.960,22285.119,206.159,204.648,1.511,77714.881,0,0.000,0,12,1048576,0,0.000
16,27654773142.862,27654773383.082,27654795331.939,21947.145,22189.077,241.932,240.220,1.712,77810.923,0,0.000,0,12,1048576,0,0.000
17,27654873142.862,27654873354.511,27654895068.983,21712.977,21926.121,213.144,211.649,1.495,78073.879,0,0.000,0,12,1048576,0,0.000
18,27654973142.862,27654973353.982,27654995428.130,22072.660,22285.268,212.608,211.120,1.488,77714.732,0,0.000,0,12,1048576,0,0.000
19,27655073142.862,27655073252.959,27655095196.588,21941.787,22053.726,111.939,110.097,1.842,77946.274,0,0.000,0,12,1048576,0,0.000
20,27655173142.862,27655173386.429,27655195185.434,21797.073,22042.572,245.499,243.567,1.932,77957.428,0,0.000,0,12,1048576,0,0.000
21,27655273142.862,27655273255.595,27655295244.701,21987.376,22101.839,114.463,112.733,1.730,77898.161,0,0.000,0,12,1048576,0,0.000
22,27655373142.862,27655373247.211,27655394221.535,20972.775,21078.673,105.898,104.349,1.549,78921.327,0,0.000,0,12,1048576,0,0.000
23,27655473142.862,27655473435.313,27655495671.764,22234.651,22528.902,294.251,292.451,1.800,77471.098,0,0.000,0,12,1048576,0,0.000
24,27655573142.862,27655573360.419,27655595764.759,22402.315,22621.897,219.582,217.557,2.025,77378.103,0,0.000,0,12,1048576,0,0.000
25,27655673142.862,27655673371.921,27655695671.417,22297.686,22528.555,230.869,229.059,1.810,77471.445,0,0.000,0,12,1048576,0,0.000
26,27655773142.862,27655773386.541,27655795367.472,21979.109,22224.610,245.501,243.679,1.822,77775.390,0,0.000,0,12,1048576,0,0.000
27,27655873142.862,27655873343.222,27655895202.356,21857.621,22059.494,201.873,200.360,1.513,77940.506,0,0.000,0,12,1048576,0,0.000
28,27655973142.862,27655973369.438,27655995302.110,21931.318,22159.248,227.930,226.576,1.354,77840.752,0,0.000,0,12,1048576,0,0.000
29,27656073142.862,27656073370.207,27656095645.347,22273.539,22502.485,228.946,227.345,1.601,77497.515,0,0.000,0,12,1048576,0,0.000
30,27656173142.862,27656173332.221,27656195077.485,21743.853,21934.623,190.770,189.359,1.411,78065.377,0,0.000,0,12,1048576,0,0.000
31,27656273142.862,27656273402.864,27656295315.840,21911.337,22172.978,261.641,260.002,1.639,77827.022,0,0.000,0,12,1048576,0,0.000
32,27656373142.862,27656373380.607,27656395293.999,21911.889,22151.137,239.248,237.745,1.503,77848.863,0,0.000,0,12,1048576,0,0.000
33,27656473142.862,27656473427.604,27656495414.158,21985.109,22271.296,286.187,284.742,1.445,77728.704,0,0.000,0,12,1048576,0,0.000
34,27656573142.862,27656573361.560,27656595443.903,22080.817,22301.041,220.224,218.698,1.526,77698.959,0,0.000,0,12,1048576,0,0.000
35,27656673142.862,27656673397.426,27656695521.007,22121.447,22378.145,256.698,254.564,2.134,77621.855,0,0.000,0,12,1048576,0,0.000
36,27656773142.862,27656773358.145,27656795263.483,21903.603,22120.621,217.018,215.283,1.735,77879.379,0,0.000,0,12,1048576,0,0.000
