# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=601 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,44488518790.568,44488518864.985,44488524435.326,5569.092,5644.758,75.666,74.417,1.249,4355.242,0,0.000,0,601,8192,0,0.000
1,44488528790.568,44488528822.580,44488534395.172,5572.008,5604.604,32.596,32.012,0.584,4395.396,0,0.000,0,601,8192,0,0.000
2,44488538790.568,44488538828.692,44488544403.732,5574.048,5613.164,39.116,38.124,0.992,4386.836,0,0.000,0,601,8192,0,0.000
3,44488548790.568,44488548821.612,44488554391.946,5569.791,5601.378,31.587,31.044,0.543,4398.622,0,0.000,0,601,8192,0,0.000
4,44488558790.568,44488558820.208,44488564389.173,5568.217,5598.605,30.388,29.640,0.748,4401.395,0,0.000,0,601,8192,0,0.000
5,44488568790.568,44488568836.243,44488574406.066,5568.941,5615.498,46.557,45.675,0.882,4384.502,0,0.000,0,601,8192,0,0.000
6,44488578790.568,44488578831.759,44488584403.531,5570.916,5612.963,42.047,41.191,0.856,4387.037,0,0.000,0,601,8192,0,0.000
7,44488588790.568,44488588823.541,44488594391.758,5567.608,5601.190,33.582,32.973,0.609,4398.810,0,0.000,0,601,8192,0,0.000
8,44488598790.568,44488598822.699,44488604398.332,5574.756,5607.764,33.008,32.131,0.877,4392.236,0,0.000,0,601,8192,0,0.000
9,44488608790.568,44488608831.306,44488614406.081,5574.038,5615.513,41.475,40.738,0.737,4384.487,0,0.000,0,601,8192,0,0.000
10,44488618790.568,44488618824.414,44488624392.860,5567.575,5602.292,34.717,33.846,0.871,4397.708,0,0.000,0,601,8192,0,0.000
11,44488628790.568,44488628827.670,44488634405.189,5576.730,5614.621,37.891,37.102,0.789,4385.379,0,0.000,0,601,8192,0,0.000
12,44488638790.568,44488638832.288,44488644408.539,5575.147,5617.971,42.824,41.720,1.104,4382.029,0,0.000,0,601,8192,0,0.000
13,44488648790.568,44488648831.237,44488654401.755,5569.675,5611.187,41.512,40.669,0.843,4388.813,0,0.000,0,601,8192,0,0.000
14,44488658790.568,44488658847.491,44488664563.586,5715.167,5773.018,57.851,56.923,0.928,4226.982,0,0.000,0,601,8192,0,0.000
15,44488668790.568,44488668829.618,44488674399.247,5568.729,5608.679,39.950,39.050,0.900,4391.321,0,0.000,0,601,8192,0,0.000
16,44488678790.568,44488678854.300,44488684642.481,5787.025,5851.913,64.888,63.732,1.156,4148.087,0,0.000,0,601,8192,0,0.000
17,44488688790.568,44488688828.974,44488694386.437,5556.744,5595.869,39.125,38.406,0.719,4404.131,0,0.000,0,601,8192,0,0.000
18,44488698790.568,44488698824.422,44488704386.989,5561.498,5596.421,34.923,33.854,1.069,4403.579,0,0.000,0,601,8192,0,0.000
19,44488708790.568,44488708824.038,44488714386.274,5561.577,5595.706,34.129,33.470,0.659,4404.294,0,0.000,0,601,8192,0,0.000
20,44488718790.568,44488718821.876,44488724390.594,5568.055,5600.026,31.971,31.308,0.663,4399.974,0,0.000,0,601,8192,0,0.000
21,44488728790.568,44488728823.083,44488734394.495,5570.688,5603.927,33.239,32.515,0.724,4396.073,0,0.000,0,601,8192,0,0.000
22,44488738790.568,44488738825.022,44488744395.581,5569.713,5605.013,35.300,34.454,0.846,4394.987,0,0.000,0,601,8192,0,0.000
23,44488748790.568,44488748827.857,44488754392.523,5564.036,5601.955,37.919,37.289,0.630,4398.045,0,0.000,0,601,8192,0,0.000
