# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=3 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,4373756994.921,4373757296.313,4373763402.312,6104.281,6407.391,303.110,301.392,1.718,93592.609,0,0.000,0,3,1048576,0,0.000
1,4373856994.921,4373857117.474,4373863411.350,6292.227,6416.429,124.202,122.553,1.649,93583.571,0,0.000,0,3,1048576,0,0.000
2,4373956994.921,4373957103.500,4373963357.989,6252.578,6363.068,110.490,108.579,1.911,93636.932,0,0.000,0,3,1048576,0,0.000
3,4374056994.921,4374057112.109,4374063175.390,6061.519,6180.469,118.950,117.188,1.762,93819.531,0,0.000,0,3,1048576,0,0.000
4,4374156994.921,4374157114.014,4374163383.845,6268.009,6388.924,120.915,119.093,1.822,93611.076,0,0.000,0,3,1048576,0,0.000
5,4374256994.921,4374257111.768,4374263382.405,6268.757,6387.484,118.727,116.847,1.880,93612.516,0,0.000,0,3,1048576,0,0.000
6,4374356994.921,4374357085.241,4374363321.883,6235.088,6326.962,91.874,90.320,1.554,93673.038,0,0.000,0,3,1048576,0,0.000
7,4374456994.921,4374457069.943,4374462935.423,5864.332,5940.502,76.170,75.022,1.148,94059.498,0,0.000,0,3,1048576,0,0.000
8,4374556994.921,4374557099.586,4374563431.797,6330.756,6436.876,106.120,104.665,1.455,93563.124,0,0.000,0,3,1048576,0,0.000
9,4374656994.921,4374657259.745,4374663499.383,6238.060,6504.462,266.402,264.824,1.578,93495.538,0,0.000,0,3,1048576,0,0.000
10,4374756994.921,4374757086.540,4374763219.066,6131.376,6224.145,92.769,91.619,1.150,93775.855,0,0.000,0,3,1048576,0,0.000
11,4374856994.921,4374857126.598,4374863397.728,6269.041,6402.807,133.766,131.677,2.089,93597.193,0,0.000,0,3,1048576,0,0.000
12,4374956994.921,4374957112.120,4374963372.152,6258.484,6377.231,118.747,117.199,1.548,93622.769,0,0.000,0,3,1048576,0,0.000
13,4375056994.921,4375057105.118,4375063385.848,6278.994,6390.927,111.933,110.197,1.736,93609.073,0,0.000,0,3,1048576,0,0.000
14,4375156994.921,4375157095.060,4375163449.717,6353.204,6454.796,101.592,100.139,1.453,93545.204,0,0.000,0,3,1048576,0,0.000
15,4375256994.921,4375257103.935,4375263175.877,6070.526,6180.956,110.430,109.014,1.416,93819.044,0,0.000,0,3,1048576,0,0.000
16,4375356994.921,4375357113.646,4375363391.460,6276.199,6396.539,120.340,118.725,1.615,93603.461,0,0.000,0,3,1048576,0,0.000
17,4375456994.921,4375457099.147,4375463374.498,6273.744,6379.577,105.833,104.226,1.607,93620.423,0,0.000,0,3,1048576,0,0.000
18,4375556994.921,4375557210.183,4375563396.279,6184.465,6401.358,216.893,215.262,1.631,93598.642,0,0.000,0,3,1048576,0,0.000
19,4375656994.921,4375657091.357,4375663491.226,6398.598,6496.305,97.707,96.436,1.271,93503.695,0,0.000,0,3,1048576,0,0.000
20,4375756994.921,4375757278.458,4375763374.418,6094.217,6379.497,285.280,283.537,1.743,93620.503,0,0.000,0,3,1048576,0,0.000
21,4375856994.921,4375857101.289,4375863269.324,6166.420,6274.403,107.983,106.368,1.615,93725.597,0,0.000,0,3,1048576,0,0.000
22,4375956994.921,4375957096.442,4375963209.420,6111.749,6214.499,102.750,101.521,1.229,93785.501,0,0.000,0,3,1048576,0,0.000
23,4376056994.921,4376057087.204,4376062997.535,5908.976,6002.614,93.638,92.283,1.355,93997.386,0,0.000,0,3,1048576,0,0.000
24,4376156994.921,4376157096.713,4376163356.710,6258.621,6361.789,103.168,101.792,1.376,93638.211,0,0.000,0,3,1048576,0,0.000
25,4376256994.921,4376257077.361,4376263322.923,6244.368,6328.002,83.634,82.440,1.194,93671.998,0,0.000,0,3,1048576,0,0.000
26,4376356994.921,4376357231.898,4376363412.859,6179.738,6417.938,238.200,236.977,1.223,93582.062,0,0.000,0,3,1048576,0,0.000
27,4376456994.921,4376457210.560,4376463317.393,6105.547,6322.472,216.925,215.639,1.286,93677.528,0,0.000,0,3,1048576,0,0.000
28,4376556994.921,4376557089.920,4376563652.740,6561.265,6657.819,96.554,94.999,1.555,93342.181,0,0.000,0,3,1048576,0,0.000
29,4376656994.921,4376657096.078,4376663471.290,6373.872,6476.369,102.497,101.157,1.340,93523.631,0,0.000,0,3,1048576,0,0.000
30,4376756994.921,4376757099.323,4376763177.475,6076.706,6182.554,105.848,104.402,1.446,93817.446,0,0.000,0,3,1048576,0,0.000
31,4376856994.921,4376857110.387,4376863384.982,6272.917,6390.061,117.144,115.466,1.678,93609.939,0,0.000,0,3,1048576,0,0.000
32,4376956994.921,4376957093.677,4376963351.411,6256.427,6356.490,100.063,98.756,1.307,93643.510,0,0.000,0,3,1048576,0,0.000
33,4377056994.921,4377057076.584,4377063292.440,6214.164,6297.519,83.355,81.663,1.692,93702.481,0,0.000,0,3,1048576,0,0.000
34,4377156994.921,4377157095.065,4377163317.316,6220.747,6322.395,101.648,100.144,1.504,93677.605,0,0.000,0,3,1048576,0,0.000
35,4377256994.921,4377257287.433,4377263565.691,6276.833,6570.770,293.937,292.512,1.425,93429.230,0,0.000,0,3,1048576,0,0.000
36,4377356994.921,4377357082.069,4377363215.956,6132.589,6221.035,88.446,87.148,1.298,93778.965,0,0.000,0,3,1048576,0,0.000
37,4377456994.921,4377457092.698,4377463347.941,6253.831,6353.020,99.189,97.777,1.412,93646.980,0,0.000,0,3,1048576,0,0.000
38,4377556994.921,4377557067.242,4377563116.688,6048.329,6121.767,73.438,72.321,1.117,93878.233,0,0.000,0,3,1048576,0,0.000
39,4377656994.921,4377657272.326,4377663537.096,6263.074,6542.175,279.101,277.405,1.696,93457.825,0,0.000,0,3,1048576,0,0.000
40,4377756994.921,4377757097.335,4377763323.264,6224.340,6328.343,104.003,102.414,1.589,93671.657,0,0.000,0,3,1048576,0,0.000
41,4377856994.921,4377857110.929,4377863391.065,6278.564,6396.144,117.580,116.008,1.572,93603.856,0,0.000,0,3,1048576,0,0.000
42,4377956994.921,4377957098.114,4377962974.360,5874.907,5979.439,104.532,103.193,1.339,94020.561,0,0.000,0,3,1048576,0,0.000
43,4378056994.921,4378057092.754,4378063249.683,6155.706,6254.762,99.056,97.833,1.223,93745.238,0,0.000,0,3,1048576,0,0.000
44,4378156994.921,4378157090.931,4378163160.856,6068.812,6165.935,97.123,96.010,1.113,93834.065,0,0.000,0,3,1048576,0,0.000
45,4378256994.921,4378257084.593,4378263171.778,6086.032,6176.857,90.825,89.672,1.153,93823.143,0,0.000,0,3,1048576,0,0.000
46,4378356994.921,4378357205.251,4378363409.905,6203.325,6414.984,211.659,210.330,1.329,93585.016,0,0.000,0,3,1048576,0,0.000
47,4378456994.921,4378457235.565,4378463313.199,6076.267,6318.278,242.011,240.644,1.367,93681.722,0,0.000,0,3,1048576,0,0.000
48,4378556994.921,4378557201.636,4378563273.142,6070.302,6278.221,207.919,206.715,1.204,93721.779,0,0.000,0,3,1048576,0,0.000
49,4378656994.921,4378657078.949,4378663240.337,6160.165,6245.416,85.251,84.028,1.223,93754.584,0,0.000,0,3,1048576,0,0.000
50,4378756994.921,4378757096.238,4378763511.222,6413.627,6516.301,102.674,101.317,1.357,93483.699,0,0.000,0,3,1048576,0,0.000
51,4378856994.921,4378857118.577,4378863412.862,6291.936,6417.941,126.005,123.656,2.349,93582.059,0,0.000,0,3,1048576,0,0.000
52,4378956994.921,4378957099.918,4378963228.039,6126.554,6233.118,106.564,104.997,1.567,93766.882,0,0.000,0,3,1048576,0,0.000
53,4379056994.921,4379057098.078,4379063387.873,6288.164,6392.952,104.788,103.157,1.631,93607.048,0,0.000,0,3,1048576,0,0.000
54,4379156994.921,4379157104.167,4379163508.184,6401.988,6513.263,111.275,109.246,2.029,93486.737,0,0.000,0,3,1048576,0,0.000
55,4379256994.921,4379257099.274,4379263344.275,6243.267,6349.354,106.087,104.353,1.734,93650.646,0,0.000,0,3,1048576,0,0.000
56,4379356994.921,4379357077.957,4379363293.606,6214.128,6298.685,84.557,83.036,1.521,93701.315,0,0.000,0,3,1048576,0,0.000
57,4379456994.921,4379457108.640,4379463030.225,5920.088,6035.304,115.216,113.719,1.497,93964.696,0,0.000,0,3,1048576,0,0.000
58,4379556994.921,4379557072.744,4379563287.925,6213.837,6293.004,79.167,77.823,1.344,93706.996,0,0.000,0,3,1048576,0,0.000
59,4379656994.921,4379657096.491,4379663421.366,6323.228,6426.445,103.217,101.570,1.647,93573.555,0,0.000,0,3,1048576,0,0.000
60,4379756994.921,4379757101.726,4379763227.998,6124.542,6233.077,108.535,106.805,1.730,93766.923,0,0.000,0,3,1048576,0,0.000
61,4379856994.921,4379857115.369,4379863380.195,6263.040,6385.274,122.234,120.448,1.786,93614.726,0,0.000,0,3,1048576,0,0.000
62,4379956994.921,4379957091.931,4379963356.015,6262.638,6361.094,98.456,97.010,1.446,93638.906,0,0.000,0,3,1048576,0,0.000
63,4380056994.921,4380057100.605,4380063251.292,6149.225,6256.371,107.146,105.684,1.462,93743.629,0,0.000,0,3,1048576,0,0.000
64,4380156994.921,4380157095.713,4380163249.708,6152.549,6254.787,102.238,100.792,1.446,93745.213,0,0.000,0,3,1048576,0,0.000
65,4380256994.921,4380257099.651,4380263300.589,6199.295,6305.668,106.373,104.730,1.643,93694.332,0,0.000,0,3,1048576,0,0.000
66,4380356994.921,4380357106.800,4380363285.788,6177.264,6290.867,113.603,111.879,1.724,93709.133,0,0.000,0,3,1048576,0,0.000
67,4380456994.921,4380457099.677,4380463220.732,6119.602,6225.811,106.209,104.756,1.453,93774.189,0,0.000,0,3,1048576,0,0.000
68,4380556994.921,4380557092.691,4380563207.521,6113.492,6212.600,99.108,97.770,1.338,93787.400,0,0.000,0,3,1048576,0,0.000
69,4380656994.921,4380657094.866,4380663313.487,6217.209,6318.566,101.357,99.945,1.412,93681.434,0,0.000,0,3,1048576,0,0.000
70,4380756994.921,4380757089.140,4380763199.990,6109.436,6205.069,95.633,94.219,1.414,93794.931,0,0.000,0,3,1048576,0,0.000
71,4380856994.921,4380857116.959,4380863429.965,6310.788,6435.044,124.256,122.038,2.218,93564.956,0,0.000,0,3,1048576,0,0.000
