# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=133 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,12192583237.370,12192583318.633,12192584687.283,1367.392,1449.913,82.521,81.263,1.258,8550.087,0,0.000,0,133,8192,0,0.000
1,12192593237.370,12192593271.590,12192594622.687,1350.358,1385.317,34.959,34.220,0.739,8614.683,0,0.000,0,133,8192,0,0.000
2,12192603237.370,12192603272.347,12192604638.661,1365.568,1401.291,35.723,34.977,0.746,8598.709,0,0.000,0,133,8192,0,0.000
3,12192613237.370,12192613277.123,12192614646.158,1368.226,1408.788,40.562,39.753,0.809,8591.212,0,0.000,0,133,8192,0,0.000
4,12192623237.370,12192623272.048,12192624624.425,1351.598,1387.055,35.457,34.678,0.779,8612.945,0,0.000,0,133,8192,0,0.000
5,12192633237.370,12192633272.391,12192634625.275,1352.011,1387.905,35.894,35.021,0.873,8612.095,0,0.000,0,133,8192,0,0.000
6,12192643237.370,12192643277.740,12192644646.225,1367.500,1408.855,41.355,40.370,0.985,8591.145,0,0.000,0,133,8192,0,0.000
7,12192653237.370,12192653272.760,12192654631.953,1358.445,1394.583,36.138,35.390,0.748,8605.417,0,0.000,0,133,8192,0,0.000
8,12192663237.370,12192663275.567,12192664675.930,1399.730,1438.560,38.830,38.197,0.633,8561.440,0,0.000,0,133,8192,0,0.000
9,12192673237.370,12192673274.812,12192674671.172,1395.546,1433.802,38.256,37.442,0.814,8566.198,0,0.000,0,133,8192,0,0.000
10,12192683237.370,12192683278.936,12192684689.796,1409.895,1452.426,42.531,41.566,0.965,8547.574,0,0.000,0,133,8192,0,0.000
11,12192693237.370,12192693276.802,12192694636.691,1358.956,1399.321,40.365,39.432,0.933,8600.679,0,0.000,0,133,8192,0,0.000
12,12192703237.370,12192703275.298,12192704676.017,1399.651,1438.647,38.996,37.928,1.068,8561.353,0,0.000,0,133,8192,0,0.000
13,12192713237.370,12192713275.135,12192714672.911,1397.080,1435.541,38.461,37.765,0.696,8564.459,0,0.000,0,133,8192,0,0.000
14,12192723237.370,12192723272.964,12192724656.505,1382.797,1419.135,36.338,35.594,0.744,8580.865,0,0.000,0,133,8192,0,0.000
15,12192733237.370,12192733277.817,12192734630.887,1351.996,1393.517,41.521,40.447,1.074,8606.483,0,0.000,0,133,8192,0,0.000
16,12192743237.370,12192743273.510,12192744673.105,1398.534,1435.735,37.201,36.140,1.061,8564.265,0,0.000,0,133,8192,0,0.000
17,12192753237.370,12192753277.667,12192754644.658,1366.222,1407.288,41.066,40.297,0.769,8592.712,0,0.000,0,133,8192,0,0.000
18,12192763237.370,12192763276.846,12192764639.888,1362.326,1402.518,40.192,39.476,0.716,8597.482,0,0.000,0,133,8192,0,0.000
19,12192773237.370,12192773275.723,12192774636.323,1359.852,1398.953,39.101,38.353,0.748,8601.047,0,0.000,0,133,8192,0,0.000
20,12192783237.370,12192783282.565,12192784605.371,1321.719,1368.001,46.282,45.195,1.087,8631.999,0,0.000,0,133,8192,0,0.000
21,12192793237.370,12192793277.275,12192794646.210,1368.284,1408.840,40.556,39.905,0.651,8591.160,0,0.000,0,133,8192,0,0.000
22,12192803237.370,12192803284.675,12192804700.556,1414.806,1463.186,48.380,47.305,1.075,8536.814,0,0.000,0,133,8192,0,0.000
23,12192813237.370,12192813284.537,12192814687.627,1402.267,1450.257,47.990,47.167,0.823,8549.743,0,0.000,0,133,8192,0,0.000
24,12192823237.370,12192823287.072,12192824690.241,1402.004,1452.871,50.867,49.702,1.165,8547.129,0,0.000,0,133,8192,0,0.000
