# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=20 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,41268362909.455,41268362993.338,41268403406.400,40411.788,40496.945,85.157,83.883,1.274,59503.055,0,0.000,0,20,1048576,0,0.000
1,41268462909.455,41268463129.601,41268503182.573,40052.009,40273.118,221.109,220.146,0.963,59726.882,0,0.000,0,20,1048576,0,0.000
2,41268562909.455,41268563143.191,41268603330.124,40185.568,40420.669,235.101,233.736,1.365,59579.331,0,0.000,0,20,1048576,0,0.000
3,41268662909.455,41268663118.131,41268703937.882,40819.076,41028.427,209.351,208.676,0.675,58971.573,0,0.000,0,20,1048576,0,0.000
4,41268762909.455,41268763124.562,41268803524.333,40398.811,40614.878,216.067,215.107,0.960,59385.122,0,0.000,0,20,1048576,0,0.000
5,41268862909.455,41268863220.616,41268903590.032,40367.528,40680.577,313.049,311.161,1.888,59319.423,0,0.000,0,20,1048576,0,0.000
6,41268962909.455,41268963184.786,41269003719.035,40532.889,40809.580,276.691,275.331,1.360,59190.420,0,0.000,0,20,1048576,0,0.000
7,41269062909.455,41269063145.410,41269104508.048,41361.361,41598.593,237.232,235.955,1.277,58401.407,0,0.000,0,20,1048576,0,0.000
8,41269162909.455,41269163188.134,41269204503.233,41313.852,41593.778,279.926,278.679,1.247,58406.222,0,0.000,0,20,1048576,0,0.000
9,41269262909.455,41269263130.738,41269304181.467,41049.555,41272.012,222.457,221.283,1.174,58727.988,0,0.000,0,20,1048576,0,0.000
10,41269362909.455,41269363148.954,41269403480.966,40331.365,40571.511,240.146,239.499,0.647,59428.489,0,0.000,0,20,1048576,0,0.000
11,41269462909.455,41269463113.826,41269503111.645,39996.926,40202.190,205.264,204.371,0.893,59797.810,0,0.000,0,20,1048576,0,0.000
12,41269562909.455,41269563126.938,41269603807.185,40679.164,40897.730,218.566,217.483,1.083,59102.270,0,0.000,0,20,1048576,0,0.000
13,41269662909.455,41269663143.918,41269703195.966,40051.180,40286.511,235.331,234.463,0.868,59713.489,0,0.000,0,20,1048576,0,0.000
14,41269762909.455,41269763128.441,41269803922.868,40793.589,41013.413,219.824,218.986,0.838,58986.587,0,0.000,0,20,1048576,0,0.000
15,41269862909.455,41269863159.965,41269903851.568,40690.082,40942.113,252.031,250.510,1.521,59057.887,0,0.000,0,20,1048576,0,0.000
16,41269962909.455,41269963141.981,41270003106.134,39962.840,40196.679,233.839,232.526,1.313,59803.321,0,0.000,0,20,1048576,0,0.000
17,41270062909.455,41270063166.964,41270103827.474,40659.762,40918.019,258.257,257.509,0.748,59081.981,0,0.000,0,20,1048576,0,0.000
18,41270162909.455,41270163138.849,41270203997.396,40857.235,41087.941,230.706,229.394,1.312,58912.059,0,0.000,0,20,1048576,0,0.000
19,41270262909.455,41270263156.195,41270303541.460,40384.299,40632.005,247.706,246.740,0.966,59367.995,0,0.000,0,20,1048576,0,0.000
20,41270362909.455,41270363123.473,41270403509.450,40385.124,40599.995,214.871,214.018,0.853,59400.005,0,0.000,0,20,1048576,0,0.000
21,41270462909.455,41270463127.353,41270503052.631,39924.237,40143.176,218.939,217.898,1.041,59856.824,0,0.000,0,20,1048576,0,0.000
22,41270562909.455,41270563107.667,41270603175.426,40066.565,40265.971,199.406,198.212,1.194,59734.029,0,0.000,0,20,1048576,0,0.000
23,41270662909.455,41270663131.591,41270703731.249,40598.247,40821.794,223.547,222.136,1.411,59178.206,0,0.000,0,20,1048576,0,0.000
24,41270762909.455,41270763121.677,41270803216.612,40093.777,40307.157,213.380,212.222,1.158,59692.843,0,0.000,0,20,1048576,0,0.000
25,41270862909.455,41270863215.568,41270904417.363,41200.196,41507.908,307.712,306.113,1.599,58492.092,0,0.000,0,20,1048576,0,0.000
26,41270962909.455,41270963139.876,41271003262.797,40121.341,40353.342,232.001,230.421,1.580,59646.658,0,0.000,0,20,1048576,0,0.000
27,41271062909.455,41271063159.714,41271103923.868,40763.318,41014.413,251.095,250.259,0.836,58985.587,0,0.000,0,20,1048576,0,0.000
28,41271162909.455,41271163146.807,41271204364.805,41216.971,41455.350,238.379,237.352,1.027,58544.650,0,0.000,0,20,1048576,0,0.000
29,41271262909.455,41271263157.446,41271303478.200,40319.963,40568.745,248.782,247.991,0.791,59431.255,0,0.000,0,20,1048576,0,0.000
30,41271362909.455,41271363123.045,41271404265.576,41141.528,41356.121,214.593,213.590,1.003,58643.879,0,0.000,0,20,1048576,0,0.000
31,41271462909.455,41271463171.956,41271503444.794,40271.874,40535.339,263.465,262.501,0.964,59464.661,0,0.000,0,20,1048576,0,0.000
32,41271562909.455,41271563115.791,41271603108.172,39991.573,40198.717,207.144,206.336,0.808,59801.283,0,0.000,0,20,1048576,0,0.000
33,41271662909.455,41271663139.557,41271703336.823,40196.394,40427.368,230.974,230.102,0.872,59572.632,0,0.000,0,20,1048576,0,0.000
34,41271762909.455,41271763140.694,41271803863.177,40721.355,40953.722,232.367,231.239,1.128,59046.278,0,0.000,0,20,1048576,0,0.000
35,41271862909.455,41271863151.602,41271903380.632,40227.753,40471.177,243.424,242.147,1.277,59528.823,0,0.000,0,20,1048576,0,0.000
36,41271962909.455,41271963115.237,41272003431.067,40314.872,40521.612,206.740,205.782,0.958,59478.388,0,0.000,0,20,1048576,0,0.000
37,41272062909.455,41272063128.904,41272104058.104,40928.349,41148.649,220.300,219.449,0.851,58851.351,0,0.000,0,20,1048576,0,0.000
38,41272162909.455,41272163125.779,41272203319.929,40193.159,40410.474,217.315,216.324,0.991,59589.526,0,0.000,0,20,1048576,0,0.000
39,41272262909.455,41272263117.441,41272303398.956,40280.848,40489.501,208.653,207.986,0.667,59510.499,0,0.000,0,20,1048576,0,0.000
40,41272362909.455,41272363113.841,41272403202.662,40087.968,40293.207,205.239,204.386,0.853,59706.793,0,0.000,0,20,1048576,0,0.000
41,41272462909.455,41272463126.204,41272503174.152,40047.025,40264.697,217.672,216.749,0.923,59735.303,0,0.000,0,20,1048576,0,0.000
42,41272562909.455,41272563132.707,41272603192.195,40058.666,40282.740,224.074,223.252,0.822,59717.260,0,0.000,0,20,1048576,0,0.000
43,41272662909.455,41272663204.413,41272702976.666,39771.357,40067.211,295.854,294.958,0.896,59932.789,0,0.000,0,20,1048576,0,0.000
44,41272762909.455,41272763133.045,41272803363.328,40228.790,40453.873,225.083,223.590,1.493,59546.127,0,0.000,0,20,1048576,0,0.000
45,41272862909.455,41272863145.014,41272903067.370,39920.627,40157.915,237.288,235.559,1.729,59842.085,0,0.000,0,20,1048576,0,0.000
46,41272962909.455,41272963137.237,41273003680.221,40541.956,40770.766,228.810,227.782,1.028,59229.234,0,0.000,0,20,1048576,0,0.000
47,41273062909.455,41273063146.466,41273103652.583,40505.123,40743.128,238.005,237.011,0.994,59256.872,0,0.000,0,20,1048576,0,0.000
48,41273162909.455,41273163121.116,41273204237.772,41115.972,41328.317,212.345,211.661,0.684,58671.683,0,0.000,0,20,1048576,0,0.000
49,41273262909.455,41273263124.623,41273304074.112,40948.429,41164.657,216.228,215.168,1.060,58835.343,0,0.000,0,20,1048576,0,0.000
50,41273362909.455,41273363112.270,41273403768.737,40655.765,40859.282,203.517,202.815,0.702,59140.718,0,0.000,0,20,1048576,0,0.000
51,41273462909.455,41273463117.817,41273504238.721,41120.062,41329.266,209.204,208.362,0.842,58670.734,0,0.000,0,20,1048576,0,0.000
52,41273562909.455,41273563152.061,41273603359.579,40206.875,40450.124,243.249,242.606,0.643,59549.876,0,0.000,0,20,1048576,0,0.000
53,41273662909.455,41273663130.544,41273703346.667,40215.094,40437.212,222.118,221.089,1.029,59562.788,0,0.000,0,20,1048576,0,0.000
54,41273762909.455,41273763123.228,41273803287.362,40163.408,40377.907,214.499,213.773,0.726,59622.093,0,0.000,0,20,1048576,0,0.000
55,41273862909.455,41273863144.124,41273903864.406,40718.604,40954.951,236.347,234.669,1.678,59045.049,0,0.000,0,20,1048576,0,0.000
56,41273962909.455,41273963197.543,41274003725.243,40526.566,40815.788,289.222,288.088,1.134,59184.212,0,0.000,0,20,1048576,0,0.000
57,41274062909.455,41274063142.226,41274103574.523,40430.967,40665.068,234.101,232.771,1.330,59334.932,0,0.000,0,20,1048576,0,0.000
58,41274162909.455,41274163129.483,41274203464.381,40333.687,40554.926,221.239,220.028,1.211,59445.074,0,0.000,0,20,1048576,0,0.000
59,41274262909.455,41274263118.455,41274303606.436,40486.845,40696.981,210.136,209.000,1.136,59303.019,0,0.000,0,20,1048576,0,0.000
60,41274362909.455,41274363009.279,41274403127.029,40116.734,40217.574,100.840,99.824,1.016,59782.426,0,0.000,0,20,1048576,0,0.000
61,41274462909.455,41274463014.266,41274503848.103,40832.848,40938.648,105.800,104.811,0.989,59061.352,0,0.000,0,20,1048576,0,0.000
62,41274562909.455,41274562950.632,41274603410.490,40459.572,40501.035,41.463,41.177,0.286,59498.965,0,0.000,0,20,1048576,0,0.000
63,41274662909.455,41274662954.865,41274703216.152,40260.793,40306.697,45.904,45.410,0.494,59693.303,0,0.000,0,20,1048576,0,0.000
64,41274762909.455,41274762950.898,41274803211.219,40260.080,40301.764,41.684,41.443,0.241,59698.236,0,0.000,0,20,1048576,0,0.000
65,41274862909.455,41274862963.418,41274903119.091,40155.026,40209.636,54.610,53.963,0.647,59790.364,0,0.000,0,20,1048576,0,0.000
66,41274962909.455,41274962951.474,41275002990.899,40038.996,40081.444,42.448,42.019,0.429,59918.556,0,0.000,0,20,1048576,0,0.000
67,41275062909.455,41275062955.979,41275103207.345,40250.870,40297.890,47.020,46.524,0.496,59702.110,0,0.000,0,20,1048576,0,0.000
68,41275162909.455,41275162960.289,41275204348.035,41386.758,41438.580,51.822,50.834,0.988,58561.420,0,0.000,0,20,1048576,0,0.000
69,41275262909.455,41275262968.408,41275304450.631,41481.293,41541.176,59.883,58.953,0.930,58458.824,0,0.000,0,20,1048576,0,0.000
70,41275362909.455,41275362957.914,41275404551.109,41592.743,41641.654,48.911,48.459,0.452,58358.346,0,0.000,0,20,1048576,0,0.000
71,41275462909.455,41275462957.407,41275504502.088,41543.967,41592.633,48.666,47.952,0.714,58407.367,0,0.000,0,20,1048576,0,0.000
72,41275562909.455,41275562958.515,41275604127.092,41167.969,41217.637,49.668,49.060,0.608,58782.363,0,0.000,0,20,1048576,0,0.000
73,41275662909.455,41275662956.988,41275703207.677,40250.251,40298.222,47.971,47.533,0.438,59701.778,0,0.000,0,20,1048576,0,0.000
74,41275762909.455,41275762955.962,41275804125.014,41168.630,41215.559,46.929,46.507,0.422,58784.441,0,0.000,0,20,1048576,0,0.000
75,41275862909.455,41275862966.685,41275903097.471,40130.094,40188.016,57.922,57.230,0.692,59811.984,0,0.000,0,20,1048576,0,0.000
76,41275962909.455,41275962958.614,41276003075.670,40116.336,40166.215,49.879,49.159,0.720,59833.785,0,0.000,0,20,1048576,0,0.000
77,41276062909.455,41276062955.084,41276104126.838,41171.316,41217.383,46.067,45.629,0.438,58782.617,0,0.000,0,20,1048576,0,0.000
78,41276162909.455,41276162953.131,41276204474.821,41521.369,41565.366,43.997,43.676,0.321,58434.634,0,0.000,0,20,1048576,0,0.000
79,41276262909.455,41276262958.519,41276303478.948,40519.692,40569.493,49.801,49.064,0.737,59430.507,0,0.000,0,20,1048576,0,0.000
80,41276362909.455,41276362955.203,41276403579.119,40623.515,40669.664,46.149,45.748,0.401,59330.336,0,0.000,0,20,1048576,0,0.000
81,41276462909.455,41276462956.080,41276503332.391,40375.598,40422.936,47.338,46.625,0.713,59577.064,0,0.000,0,20,1048576,0,0.000
82,41276562909.455,41276562958.441,41276603310.517,40351.504,40401.062,49.558,48.986,0.572,59598.938,0,0.000,0,20,1048576,0,0.000
83,41276662909.455,41276662953.077,41276703394.081,40440.751,40484.626,43.875,43.622,0.253,59515.374,0,0.000,0,20,1048576,0,0.000
84,41276762909.455,41276762966.097,41276803350.750,40384.084,40441.295,57.211,56.642,0.569,59558.705,0,0.000,0,20,1048576,0,0.000
85,41276862909.455,41276862962.374,41276903316.208,40353.218,40406.753,53.535,52.919,0.616,59593.247,0,0.000,0,20,1048576,0,0.000
86,41276962909.455,41276962957.636,41277003012.533,40054.092,40103.078,48.986,48.181,0.805,59896.922,0,0.000,0,20,1048576,0,0.000
87,41277062909.455,41277062952.965,41277103181.653,40227.965,40272.198,44.233,43.510,0.723,59727.802,0,0.000,0,20,1048576,0,0.000
88,41277162909.455,41277162959.524,41277204735.199,41774.981,41825.744,50.763,50.069,0.694,58174.256,0,0.000,0,20,1048576,0,0.000
89,41277262909.455,41277262951.352,41277303499.441,40547.546,40589.986,42.440,41.897,0.543,59410.014,0,0.000,0,20,1048576,0,0.000
90,41277362909.455,41277362952.271,41277403251.900,40298.812,40342.445,43.633,42.816,0.817,59657.555,0,0.000,0,20,1048576,0,0.000
91,41277462909.455,41277462949.238,41277503121.961,40172.356,40212.506,40.150,39.783,0.367,59787.494,0,0.000,0,20,1048576,0,0.000
92,41277562909.455,41277562950.462,41277603155.220,40204.468,40245.765,41.297,41.007,0.290,59754.235,0,0.000,0,20,1048576,0,0.000
93,41277662909.455,41277662956.211,41277703102.736,40146.134,40193.281,47.147,46.756,0.391,59806.719,0,0.000,0,20,1048576,0,0.000
94,41277762909.455,41277762961.556,41277803336.513,40374.423,40427.058,52.635,52.101,0.534,59572.942,0,0.000,0,20,1048576,0,0.000
95,41277862909.455,41277862957.895,41277903276.219,40317.881,40366.764,48.883,48.440,0.443,59633.236,0,0.000,0,20,1048576,0,0.000
96,41277962909.455,41277962967.037,41278004087.060,41119.328,41177.605,58.277,57.582,0.695,58822.395,0,0.000,0,20,1048576,0,0.000
97,41278062909.455,41278062950.974,41278103219.083,40267.849,40309.628,41.779,41.519,0.260,59690.372,0,0.000,0,20,1048576,0,0.000
98,41278162909.455,41278162954.945,41278204089.527,41134.133,41180.072,45.939,45.490,0.449,58819.928,0,0.000,0,20,1048576,0,0.000
99,41278262909.455,41278262951.163,41278303293.702,40342.290,40384.247,41.957,41.708,0.249,59615.753,0,0.000,0,20,1048576,0,0.000
100,41278362909.455,41278362956.981,41278403272.116,40314.600,40362.661,48.061,47.526,0.535,59637.339,0,0.000,0,20,1048576,0,0.000
101,41278462909.455,41278462955.448,41278503262.917,40307.116,40353.462,46.346,45.993,0.353,59646.538,0,0.000,0,20,1048576,0,0.000
102,41278562909.455,41278562959.829,41278603181.856,40221.500,40272.401,50.901,50.374,0.527,59727.599,0,0.000,0,20,1048576,0,0.000
103,41278662909.455,41278662955.313,41278703174.593,40218.854,40265.138,46.284,45.858,0.426,59734.862,0,0.000,0,20,1048576,0,0.000
104,41278762909.455,41278762952.768,41278803341.718,40388.639,40432.263,43.624,43.313,0.311,59567.737,0,0.000,0,20,1048576,0,0.000
105,41278862909.455,41278862961.134,41278903147.095,40185.418,40237.640,52.222,51.679,0.543,59762.360,0,0.000,0,20,1048576,0,0.000
106,41278962909.455,41278962950.841,41279003018.457,40067.272,40109.002,41.730,41.386,0.344,59890.998,0,0.000,0,20,1048576,0,0.000
107,41279062909.455,41279062961.111,41279103267.572,40305.517,40358.117,52.600,51.656,0.944,59641.883,0,0.000,0,20,1048576,0,0.000
108,41279162909.455,41279162958.517,41279204220.009,41261.022,41310.554,49.532,49.062,0.470,58689.446,0,0.000,0,20,1048576,0,0.000
109,41279262909.455,41279262952.543,41279304243.580,41290.634,41334.125,43.491,43.088,0.403,58665.875,0,0.000,0,20,1048576,0,0.000
110,41279362909.455,41279362956.906,41279403610.646,40652.977,40701.191,48.214,47.451,0.763,59298.809,0,0.000,0,20,1048576,0,0.000
111,41279462909.455,41279462956.995,41279503083.376,40125.713,40173.921,48.208,47.540,0.668,59826.079,0,0.000,0,20,1048576,0,0.000
112,41279562909.455,41279562958.575,41279603035.826,40076.610,40126.371,49.761,49.120,0.641,59873.629,0,0.000,0,20,1048576,0,0.000
113,41279662909.455,41279662950.821,41279703044.598,40093.270,40135.143,41.873,41.366,0.507,59864.857,0,0.000,0,20,1048576,0,0.000
114,41279762909.455,41279762951.871,41279803295.126,40342.739,40385.671,42.932,42.416,0.516,59614.329,0,0.000,0,20,1048576,0,0.000
115,41279862909.455,41279862960.305,41279903334.561,40373.662,40425.106,51.444,50.850,0.594,59574.894,0,0.000,0,20,1048576,0,0.000
116,41279962909.455,41279962949.989,41280004081.297,41131.161,41171.842,40.681,40.534,0.147,58828.158,0,0.000,0,20,1048576,0,0.000
117,41280062909.455,41280062959.433,41280104277.117,41317.251,41367.662,50.411,49.978,0.433,58632.338,0,0.000,0,20,1048576,0,0.000
118,41280162909.455,41280163020.240,41280204128.313,41106.868,41218.858,111.990,110.785,1.205,58781.142,0,0.000,0,20,1048576,0,0.000
119,41280262909.455,41280262952.959,41280303864.797,40910.976,40955.342,44.366,43.504,0.862,59044.658,0,0.000,0,20,1048576,0,0.000
120,41280362909.455,41280362962.382,41280403681.282,40718.166,40771.827,53.661,52.927,0.734,59228.173,0,0.000,0,20,1048576,0,0.000
121,41280462909.455,41280462950.919,41280503403.043,40451.843,40493.588,41.745,41.464,0.281,59506.412,0,0.000,0,20,1048576,0,0.000
122,41280562909.455,41280562956.023,41280603159.315,40202.574,40249.860,47.286,46.568,0.718,59750.140,0,0.000,0,20,1048576,0,0.000
123,41280662909.455,41280662950.591,41280703240.900,40289.987,40331.445,41.458,41.136,0.322,59668.555,0,0.000,0,20,1048576,0,0.000
124,41280762909.455,41280762951.600,41280803327.595,40375.393,40418.140,42.747,42.145,0.602,59581.860,0,0.000,0,20,1048576,0,0.000
125,41280862909.455,41280862963.114,41280903302.132,40338.322,40392.677,54.355,53.659,0.696,59607.323,0,0.000,0,20,1048576,0,0.000
126,41280962909.455,41280962953.687,41281003039.484,40085.218,40130.029,44.811,44.232,0.579,59869.971,0,0.000,0,20,1048576,0,0.000
127,41281062909.455,41281062954.460,41281103592.774,40637.921,40683.319,45.398,45.005,0.393,59316.681,0,0.000,0,20,1048576,0,0.000
128,41281162909.455,41281162957.487,41281204243.113,41285.248,41333.658,48.410,48.032,0.378,58666.342,0,0.000,0,20,1048576,0,0.000
129,41281262909.455,41281262953.421,41281304144.841,41190.866,41235.386,44.520,43.966,0.554,58764.614,0,0.000,0,20,1048576,0,0.000
130,41281362909.455,41281362953.837,41281403732.921,40778.659,40823.466,44.807,44.382,0.425,59176.534,0,0.000,0,20,1048576,0,0.000
131,41281462909.455,41281462951.387,41281503337.623,40385.814,40428.168,42.354,41.932,0.422,59571.832,0,0.000,0,20,1048576,0,0.000
132,41281562909.455,41281562950.609,41281602968.914,40017.878,40059.459,41.581,41.154,0.427,59940.541,0,0.000,0,20,1048576,0,0.000
133,41281662909.455,41281662949.010,41281703059.808,40110.581,40150.353,39.772,39.555,0.217,59849.647,0,0.000,0,20,1048576,0,0.000
134,41281762909.455,41281762951.545,41281803192.901,40240.825,40283.446,42.621,42.090,0.531,59716.554,0,0.000,0,20,1048576,0,0.000
135,41281862909.455,41281862962.659,41281902917.514,39954.191,40008.059,53.868,53.204,0.664,59991.941,0,0.000,0,20,1048576,0,0.000
136,41281962909.455,41281962952.492,41282002959.280,40006.356,40049.825,43.469,43.037,0.432,59950.175,0,0.000,0,20,1048576,0,0.000
137,41282062909.455,41282062950.887,41282103466.586,40515.276,40557.131,41.855,41.432,0.423,59442.869,0,0.000,0,20,1048576,0,0.000
138,41282162909.455,41282162958.485,41282203977.199,41018.268,41067.744,49.476,49.030,0.446,58932.256,0,0.000,0,20,1048576,0,0.000
139,41282262909.455,41282262948.640,41282303116.140,40167.248,40206.685,39.437,39.185,0.252,59793.315,0,0.000,0,20,1048576,0,0.000
140,41282362909.455,41282362950.803,41282403147.185,40195.700,40237.730,42.030,41.348,0.682,59762.270,0,0.000,0,20,1048576,0,0.000
141,41282462909.455,41282462951.280,41282503276.625,40325.003,40367.170,42.167,41.825,0.342,59632.830,0,0.000,0,20,1048576,0,0.000
142,41282562909.455,41282562952.562,41282603076.369,40123.306,40166.914,43.608,43.107,0.501,59833.086,0,0.000,0,20,1048576,0,0.000
143,41282662909.455,41282662950.885,41282703026.929,40075.728,40117.474,41.746,41.430,0.316,59882.526,0,0.000,0,20,1048576,0,0.000
144,41282762909.455,41282762954.107,41282802953.621,39999.013,40044.166,45.153,44.652,0.501,59955.834,0,0.000,0,20,1048576,0,0.000
145,41282862909.455,41282862961.089,41282903084.403,40122.610,40174.948,52.338,51.634,0.704,59825.052,0,0.000,0,20,1048576,0,0.000
146,41282962909.455,41282962957.456,41283002944.945,39986.969,40035.490,48.521,48.001,0.520,59964.510,0,0.000,0,20,1048576,0,0.000
147,41283062909.455,41283062960.517,41283103531.092,40569.822,40621.637,51.815,51.062,0.753,59378.363,0,0.000,0,20,1048576,0,0.000
148,41283162909.455,41283162952.805,41283204345.105,41391.913,41435.650,43.737,43.350,0.387,58564.350,0,0.000,0,20,1048576,0,0.000
149,41283262909.455,41283262950.479,41283303634.452,40683.649,40724.997,41.348,41.024,0.324,59275.003,0,0.000,0,20,1048576,0,0.000
150,41283362909.455,41283362952.905,41283403286.233,40332.819,40376.778,43.959,43.450,0.509,59623.222,0,0.000,0,20,1048576,0,0.000
151,41283462909.455,41283462954.579,41283503325.562,40370.401,40416.107,45.706,45.124,0.582,59583.893,0,0.000,0,20,1048576,0,0.000
152,41283562909.455,41283562953.418,41283603187.742,40234.082,40278.287,44.205,43.963,0.242,59721.713,0,0.000,0,20,1048576,0,0.000
153,41283662909.455,41283662953.527,41283703006.386,40052.537,40096.931,44.394,44.072,0.322,59903.069,0,0.000,0,20,1048576,0,0.000
154,41283762909.455,41283762957.334,41283802975.526,40017.394,40066.071,48.677,47.879,0.798,59933.929,0,0.000,0,20,1048576,0,0.000
155,41283862909.455,41283862963.214,41283903534.295,40570.292,40624.840,54.548,53.759,0.789,59375.160,0,0.000,0,20,1048576,0,0.000
156,41283962909.455,41283962957.334,41284003011.882,40053.757,40102.427,48.670,47.879,0.791,59897.573,0,0.000,0,20,1048576,0,0.000
157,41284062909.455,41284062961.133,41284103798.076,40836.457,40888.621,52.164,51.678,0.486,59111.379,0,0.000,0,20,1048576,0,0.000
158,41284162909.455,41284163158.992,41284204534.422,41374.183,41624.967,250.784,249.537,1.247,58375.033,0,0.000,0,20,1048576,0,0.000
159,41284262909.455,41284263127.713,41284303509.972,40381.363,40600.517,219.154,218.258,0.896,59399.483,0,0.000,0,20,1048576,0,0.000
160,41284362909.455,41284363104.302,41284403440.114,40334.918,40530.659,195.741,194.847,0.894,59469.341,0,0.000,0,20,1048576,0,0.000
161,41284462909.455,41284463161.530,41284504198.955,41035.877,41289.500,253.623,252.075,1.548,58710.500,0,0.000,0,20,1048576,0,0.000
162,41284562909.455,41284563241.202,41284603265.031,40022.893,40355.576,332.683,331.747,0.936,59644.424,0,0.000,0,20,1048576,0,0.000
163,41284662909.455,41284663117.047,41284703113.557,39995.631,40204.102,208.471,207.592,0.879,59795.898,0,0.000,0,20,1048576,0,0.000
164,41284762909.455,41284763115.938,41284803388.652,40271.658,40479.197,207.539,206.483,1.056,59520.803,0,0.000,0,20,1048576,0,0.000
165,41284862909.455,41284863161.860,41284903118.927,39955.696,40209.472,253.776,252.405,1.371,59790.528,0,0.000,0,20,1048576,0,0.000
166,41284962909.455,41284963123.087,41285003271.407,40147.052,40361.952,214.900,213.632,1.268,59638.048,0,0.000,0,20,1048576,0,0.000
167,41285062909.455,41285063107.484,41285104238.787,41130.546,41329.332,198.786,198.029,0.757,58670.668,0,0.000,0,20,1048576,0,0.000
168,41285162909.455,41285163134.407,41285204466.955,41331.124,41557.500,226.376,224.952,1.424,58442.500,0,0.000,0,20,1048576,0,0.000
