# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=3 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,4412862601.727,4412862849.071,4412870732.167,7881.005,8130.440,249.435,247.344,2.091,91869.560,0,0.000,0,3,1048576,0,0.000
1,4412962601.727,4412962837.219,4412970962.209,8122.880,8360.482,237.602,235.492,2.110,91639.518,0,0.000,0,3,1048576,0,0.000
2,4413062601.727,4413062879.221,4413070540.868,7659.412,7939.141,279.729,277.494,2.235,92060.859,0,0.000,0,3,1048576,0,0.000
3,4413162601.727,4413162845.589,4413170491.584,7643.767,7889.857,246.090,243.862,2.228,92110.143,0,0.000,0,3,1048576,0,0.000
4,4413262601.727,4413262845.849,4413270381.027,7533.053,7779.300,246.247,244.122,2.125,92220.700,0,0.000,0,3,1048576,0,0.000
5,4413362601.727,4413362856.145,4413371657.107,8798.858,9055.380,256.522,254.418,2.104,90944.620,0,0.000,0,3,1048576,0,0.000
6,4413462601.727,4413462901.465,4413472177.462,9274.193,9575.735,301.542,299.738,1.804,90424.265,0,0.000,0,3,1048576,0,0.000
7,4413562601.727,4413562852.012,4413570555.031,7700.854,7953.304,252.450,250.285,2.165,92046.696,0,0.000,0,3,1048576,0,0.000
8,4413662601.727,4413662841.068,4413670774.115,7930.966,8172.388,241.422,239.341,2.081,91827.612,0,0.000,0,3,1048576,0,0.000
9,4413762601.727,4413762870.069,4413862709.364,10192.045,100107.637,89915.592,268.342,89647.250,-107.637,1,107.637,1,3,1048576,1,0.000
10,4413962601.727,4413962847.314,4414062813.387,9860.343,100211.660,90351.317,245.587,90105.730,-211.660,1,211.660,1,3,1048576,1,0.000
11,4414162601.727,4414162860.112,4414170790.477,7928.247,8188.750,260.503,258.385,2.118,91811.250,0,0.000,0,3,1048576,0,0.000
12,4414262601.727,4414262901.166,4414271386.341,8483.168,8784.614,301.446,299.439,2.007,91215.386,0,0.000,0,3,1048576,0,0.000
13,4414362601.727,4414362847.469,4414371387.820,8538.136,8786.093,247.957,245.742,2.215,91213.907,0,0.000,0,3,1048576,0,0.000
14,4414462601.727,4414462893.954,4414471317.048,8421.324,8715.321,293.997,292.227,1.770,91284.679,0,0.000,0,3,1048576,0,0.000
15,4414562601.727,4414562938.480,4414570759.578,7818.819,8157.851,339.032,336.753,2.279,91842.149,0,0.000,0,3,1048576,0,0.000
16,4414662601.727,4414662863.300,4414671567.991,8702.781,8966.264,263.483,261.573,1.910,91033.736,0,0.000,0,3,1048576,0,0.000
17,4414762601.727,4414762845.052,4414770205.877,7358.641,7604.150,245.509,243.325,2.184,92395.850,0,0.000,0,3,1048576,0,0.000
