# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=7 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,17601655282.659,17601655550.314,17601670029.573,14477.168,14746.914,269.746,267.655,2.091,85253.086,0,0.000,0,7,1048576,0,0.000
1,17601755282.659,17601755515.583,17601770056.443,14539.400,14773.784,234.384,232.924,1.460,85226.216,0,0.000,0,7,1048576,0,0.000
2,17601855282.659,17601855511.195,17601870098.189,14584.862,14815.530,230.668,228.536,2.132,85184.470,0,0.000,0,7,1048576,0,0.000
3,17601955282.659,17601955558.115,17601970063.516,14503.834,14780.857,277.023,275.456,1.567,85219.143,0,0.000,0,7,1048576,0,0.000
4,17602055282.659,17602055516.645,17602069845.179,14326.560,14562.520,235.960,233.986,1.974,85437.480,0,0.000,0,7,1048576,0,0.000
5,17602155282.659,17602155528.939,17602169991.573,14460.804,14708.914,248.110,246.280,1.830,85291.086,0,0.000,0,7,1048576,0,0.000
6,17602255282.659,17602255520.380,17602270069.858,14547.538,14787.199,239.661,237.721,1.940,85212.801,0,0.000,0,7,1048576,0,0.000
7,17602355282.659,17602355588.334,17602370086.902,14497.113,14804.243,307.130,305.675,1.455,85195.757,0,0.000,0,7,1048576,0,0.000
8,17602455282.659,17602455574.984,17602469804.006,14227.268,14521.347,294.079,292.325,1.754,85478.653,0,0.000,0,7,1048576,0,0.000
9,17602555282.659,17602555520.264,17602569870.369,14348.292,14587.710,239.418,237.605,1.813,85412.290,0,0.000,0,7,1048576,0,0.000
10,17602655282.659,17602655524.434,17602670099.264,14573.358,14816.605,243.247,241.775,1.472,85183.395,0,0.000,0,7,1048576,0,0.000
11,17602755282.659,17602755505.729,17602769982.658,14475.247,14699.999,224.752,223.070,1.682,85300.001,0,0.000,0,7,1048576,0,0.000
12,17602855282.659,17602855545.594,17602870262.389,14715.310,14979.730,264.420,262.935,1.485,85020.270,0,0.000,0,7,1048576,0,0.000
13,17602955282.659,17602955515.012,17602969995.462,14478.925,14712.803,233.878,232.353,1.525,85287.197,0,0.000,0,7,1048576,0,0.000
14,17603055282.659,17603055518.603,17603069742.991,14222.922,14460.332,237.410,235.944,1.466,85539.668,0,0.000,0,7,1048576,0,0.000
15,17603155282.659,17603155494.491,17603169966.003,14470.279,14683.344,213.065,211.832,1.233,85316.656,0,0.000,0,7,1048576,0,0.000
16,17603255282.659,17603255490.413,17603270057.665,14565.606,14775.006,209.400,207.754,1.646,85224.994,0,0.000,0,7,1048576,0,0.000
17,17603355282.659,17603355495.121,17603369702.384,14205.440,14419.725,214.285,212.462,1.823,85580.275,0,0.000,0,7,1048576,0,0.000
18,17603455282.659,17603455513.208,17603469645.348,14130.416,14362.689,232.273,230.549,1.724,85637.311,0,0.000,0,7,1048576,0,0.000
19,17603555282.659,17603555510.159,17603569749.711,14237.985,14467.052,229.067,227.500,1.567,85532.948,0,0.000,0,7,1048576,0,0.000
20,17603655282.659,17603655529.361,17603669981.722,14450.818,14699.063,248.245,246.702,1.543,85300.937,0,0.000,0,7,1048576,0,0.000
21,17603755282.659,17603755513.223,17603770041.012,14525.756,14758.353,232.597,230.564,2.033,85241.647,0,0.000,0,7,1048576,0,0.000
22,17603855282.659,17603855515.723,17603869735.348,14217.420,14452.689,235.269,233.064,2.205,85547.311,0,0.000,0,7,1048576,0,0.000
23,17603955282.659,17603955502.585,17603969930.589,14426.271,14647.930,221.659,219.926,1.733,85352.070,0,0.000,0,7,1048576,0,0.000
24,17604055282.659,17604055493.424,17604070035.247,14539.923,14752.588,212.665,210.765,1.900,85247.412,0,0.000,0,7,1048576,0,0.000
25,17604155282.659,17604155533.608,17604169604.434,14068.980,14321.775,252.795,250.949,1.846,85678.225,0,0.000,0,7,1048576,0,0.000
26,17604255282.659,17604255515.417,17604270081.064,14563.376,14798.405,235.029,232.758,2.271,85201.595,0,0.000,0,7,1048576,0,0.000
27,17604355282.659,17604355531.848,17604370053.983,14520.387,14771.324,250.937,249.189,1.748,85228.676,0,0.000,0,7,1048576,0,0.000
28,17604455282.659,17604455511.581,17604469843.183,14330.048,14560.524,230.476,228.922,1.554,85439.476,0,0.000,0,7,1048576,0,0.000
29,17604555282.659,17604555547.399,17604570145.569,14596.101,14862.910,266.809,264.740,2.069,85137.090,0,0.000,0,7,1048576,0,0.000
30,17604655282.659,17604655529.245,17604670023.132,14492.283,14740.473,248.190,246.586,1.604,85259.527,0,0.000,0,7,1048576,0,0.000
31,17604755282.659,17604755427.337,17604769915.841,14486.756,14633.182,146.426,144.678,1.748,85366.818,0,0.000,0,7,1048576,0,0.000
