# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=601 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,45651922773.719,45651922832.352,45651931747.368,8914.276,8973.649,59.373,58.633,0.740,1026.351,0,0.000,0,601,8192,0,0.000
1,45651932773.719,45651932802.704,45651942795.856,9011.328,10022.137,1010.809,28.985,981.824,-22.137,1,22.137,1,601,8192,1,0.000
2,45651952773.719,45651952803.821,45651961662.985,8858.436,8889.266,30.830,30.102,0.728,1110.734,0,0.000,0,601,8192,0,0.000
3,45651962773.719,45651962798.841,45651971688.768,8889.334,8915.049,25.715,25.122,0.593,1084.951,0,0.000,0,601,8192,0,0.000
4,45651972773.719,45651972799.116,45651981652.770,8853.080,8879.051,25.971,25.397,0.574,1120.949,0,0.000,0,601,8192,0,0.000
5,45651982773.719,45651982799.156,45651991590.352,8790.098,8816.633,26.535,25.437,1.098,1183.367,0,0.000,0,601,8192,0,0.000
6,45651992773.719,45651992799.954,45652001734.275,8933.568,8960.556,26.988,26.235,0.753,1039.444,0,0.000,0,601,8192,0,0.000
7,45652002773.719,45652002797.287,45652011664.778,8866.670,8891.059,24.389,23.568,0.821,1108.941,0,0.000,0,601,8192,0,0.000
8,45652012773.719,45652012799.795,45652021709.107,8908.524,8935.388,26.864,26.076,0.788,1064.612,0,0.000,0,601,8192,0,0.000
9,45652022773.719,45652022799.532,45652031595.229,8795.171,8821.510,26.339,25.813,0.526,1178.490,0,0.000,0,601,8192,0,0.000
10,45652032773.719,45652032798.943,45652041606.116,8806.683,8832.397,25.714,25.224,0.490,1167.603,0,0.000,0,601,8192,0,0.000
11,45652042773.719,45652042799.036,45652051588.110,8788.421,8814.391,25.970,25.317,0.653,1185.609,0,0.000,0,601,8192,0,0.000
12,45652052773.719,45652052802.113,45652061570.691,8767.986,8796.972,28.986,28.394,0.592,1203.028,0,0.000,0,601,8192,0,0.000
13,45652062773.719,45652062801.589,45652071391.231,8589.133,8617.512,28.379,27.870,0.509,1382.488,0,0.000,0,601,8192,0,0.000
14,45652072773.719,45652072801.839,45652081459.646,8657.388,8685.927,28.539,28.120,0.419,1314.073,0,0.000,0,601,8192,0,0.000
15,45652082773.719,45652082799.397,45652091742.694,8942.734,8968.975,26.241,25.678,0.563,1031.025,0,0.000,0,601,8192,0,0.000
16,45652092773.719,45652092799.443,45652101656.239,8856.281,8882.520,26.239,25.724,0.515,1117.480,0,0.000,0,601,8192,0,0.000
17,45652102773.719,45652102798.719,45652112794.111,9019.053,10020.392,1001.339,25.000,976.339,-20.392,1,20.392,1,601,8192,1,0.000
18,45652122773.719,45652122805.206,45652132793.458,9035.067,10019.739,984.672,31.487,953.185,-19.739,1,19.739,1,601,8192,1,0.000
19,45652142773.719,45652142803.565,45652151551.810,8747.694,8778.091,30.397,29.846,0.551,1221.909,0,0.000,0,601,8192,0,0.000
20,45652152773.719,45652152800.843,45652161537.950,8736.526,8764.231,27.705,27.124,0.581,1235.769,0,0.000,0,601,8192,0,0.000
21,45652162773.719,45652162800.659,45652172793.887,9001.906,10020.168,1018.262,26.940,991.322,-20.168,1,20.168,1,601,8192,1,0.000
22,45652182773.719,45652182807.544,45652191668.925,8860.658,8895.206,34.548,33.825,0.723,1104.794,0,0.000,0,601,8192,0,0.000
23,45652192773.719,45652192801.264,45652202794.266,9048.128,10020.547,972.419,27.545,944.874,-20.547,1,20.547,1,601,8192,1,0.000
24,45652212773.719,45652212804.633,45652222792.861,9018.174,10019.142,1000.968,30.914,970.054,-19.142,1,19.142,1,601,8192,1,0.000
25,45652232773.719,45652232805.599,45652242794.828,9020.176,10021.109,1000.933,31.880,969.053,-21.109,1,21.109,1,601,8192,1,0.000
26,45652252773.719,45652252803.270,45652261588.322,8784.401,8814.603,30.202,29.551,0.651,1185.397,0,0.000,0,601,8192,0,0.000
27,45652262773.719,45652262799.899,45652271558.853,8758.470,8785.134,26.664,26.180,0.484,1214.866,0,0.000,0,601,8192,0,0.000
