# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=4 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,4300203154.884,4300203277.194,4300210190.791,6911.784,7035.907,124.123,122.310,1.813,92964.093,0,0.000,0,4,1048576,0,0.000
1,4300303154.884,4300303264.016,4300310093.104,6827.186,6938.220,111.034,109.132,1.902,93061.780,0,0.000,0,4,1048576,0,0.000
2,4300403154.884,4300403272.986,4300410102.518,6827.824,6947.634,119.810,118.102,1.708,93052.366,0,0.000,0,4,1048576,0,0.000
3,4300503154.884,4300503268.551,4300510117.992,6847.532,6963.108,115.576,113.667,1.909,93036.892,0,0.000,0,4,1048576,0,0.000
4,4300603154.884,4300603273.375,4300610099.680,6824.212,6944.796,120.584,118.491,2.093,93055.204,0,0.000,0,4,1048576,0,0.000
5,4300703154.884,4300703273.039,4300710875.163,7599.517,7720.279,120.762,118.155,2.607,92279.721,0,0.000,0,4,1048576,0,0.000
6,4300803154.884,4300803268.650,4300810085.121,6814.625,6930.237,115.612,113.766,1.846,93069.763,0,0.000,0,4,1048576,0,0.000
7,4300903154.884,4300903289.296,4300911490.869,8199.651,8335.985,136.334,134.412,1.922,91664.015,0,0.000,0,4,1048576,0,0.000
8,4301003154.884,4301003269.034,4301010104.578,6833.748,6949.694,115.946,114.150,1.796,93050.306,0,0.000,0,4,1048576,0,0.000
9,4301103154.884,4301103276.066,4301110097.437,6819.755,6942.553,122.798,121.182,1.616,93057.447,0,0.000,0,4,1048576,0,0.000
10,4301203154.884,4301203263.801,4301210089.941,6824.349,6935.057,110.708,108.917,1.791,93064.943,0,0.000,0,4,1048576,0,0.000
11,4301303154.884,4301303267.974,4301310091.911,6822.095,6937.027,114.932,113.090,1.842,93062.973,0,0.000,0,4,1048576,0,0.000
12,4301403154.884,4301403270.192,4301410148.750,6876.107,6993.866,117.759,115.308,2.451,93006.134,0,0.000,0,4,1048576,0,0.000
13,4301503154.884,4301503269.324,4301510140.549,6869.075,6985.665,116.590,114.440,2.150,93014.335,0,0.000,0,4,1048576,0,0.000
14,4301603154.884,4301603257.758,4301610081.140,6821.684,6926.256,104.572,102.874,1.698,93073.744,0,0.000,0,4,1048576,0,0.000
15,4301703154.884,4301703278.878,4301710106.001,6825.479,6951.117,125.638,123.994,1.644,93048.883,0,0.000,0,4,1048576,0,0.000
16,4301803154.884,4301803273.861,4301810101.765,6825.537,6946.881,121.344,118.977,2.367,93053.119,0,0.000,0,4,1048576,0,0.000
17,4301903154.884,4301903271.843,4301910101.787,6827.917,6946.903,118.986,116.959,2.027,93053.097,0,0.000,0,4,1048576,0,0.000
18,4302003154.884,4302003243.358,4302010061.089,6816.041,6906.205,90.164,88.474,1.690,93093.795,0,0.000,0,4,1048576,0,0.000
19,4302103154.884,4302103265.301,4302110080.055,6812.923,6925.171,112.248,110.417,1.831,93074.829,0,0.000,0,4,1048576,0,0.000
20,4302203154.884,4302203262.034,4302210086.208,6822.275,6931.324,109.049,107.150,1.899,93068.676,0,0.000,0,4,1048576,0,0.000
21,4302303154.884,4302303314.381,4302310209.733,6893.562,7054.849,161.287,159.497,1.790,92945.151,0,0.000,0,4,1048576,0,0.000
22,4302403154.884,4302403272.593,4302410125.583,6851.102,6970.699,119.597,117.709,1.888,93029.301,0,0.000,0,4,1048576,0,0.000
23,4302503154.884,4302503276.581,4302510094.617,6816.156,6939.733,123.577,121.697,1.880,93060.267,0,0.000,0,4,1048576,0,0.000
24,4302603154.884,4302604734.685,4302611577.664,6840.991,8422.780,1581.789,1579.801,1.988,91577.220,0,0.000,0,4,1048576,0,0.000
25,4302703154.884,4302703277.167,4302710187.821,6907.756,7032.937,125.181,122.283,2.898,92967.063,0,0.000,0,4,1048576,0,0.000
26,4302803154.884,4302803270.785,4302810112.930,6840.469,6958.046,117.577,115.901,1.676,93041.954,0,0.000,0,4,1048576,0,0.000
27,4302903154.884,4302903261.230,4302910098.422,6835.537,6943.538,108.001,106.346,1.655,93056.462,0,0.000,0,4,1048576,0,0.000
28,4303003154.884,4303003278.339,4303010107.301,6827.370,6952.417,125.047,123.455,1.592,93047.583,0,0.000,0,4,1048576,0,0.000
29,4303103154.884,4303103258.937,4303110087.569,6827.010,6932.685,105.675,104.053,1.622,93067.315,0,0.000,0,4,1048576,0,0.000
