# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=705 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,24962886792.316,24962886860.224,24962893413.865,6552.484,6621.549,69.065,67.908,1.157,3378.451,0,0.000,0,705,8192,0,0.000
1,24962896792.316,24962896827.971,24962903378.619,6549.868,6586.303,36.435,35.655,0.780,3413.697,0,0.000,0,705,8192,0,0.000
2,24962906792.316,24962906820.421,24962913372.252,6551.202,6579.936,28.734,28.105,0.629,3420.064,0,0.000,0,705,8192,0,0.000
3,24962916792.316,24962916821.804,24962923375.519,6552.881,6583.203,30.322,29.488,0.834,3416.797,0,0.000,0,705,8192,0,0.000
4,24962926792.316,24962926825.038,24962933373.662,6547.816,6581.346,33.530,32.722,0.808,3418.654,0,0.000,0,705,8192,0,0.000
5,24962936792.316,24962936823.259,24962943379.538,6555.612,6587.222,31.610,30.943,0.667,3412.778,0,0.000,0,705,8192,0,0.000
6,24962946792.316,24962946831.894,24962953382.499,6549.873,6590.183,40.310,39.578,0.732,3409.817,0,0.000,0,705,8192,0,0.000
7,24962956792.316,24962956824.553,24962963388.465,6563.226,6596.149,32.923,32.237,0.686,3403.851,0,0.000,0,705,8192,0,0.000
8,24962966792.316,24962966831.507,24962973385.320,6553.163,6593.004,39.841,39.191,0.650,3406.996,0,0.000,0,705,8192,0,0.000
9,24962976792.316,24962976823.416,24962983365.959,6541.891,6573.643,31.752,31.100,0.652,3426.357,0,0.000,0,705,8192,0,0.000
10,24962986792.316,24962986825.304,24962993390.321,6564.354,6598.005,33.651,32.988,0.663,3401.995,0,0.000,0,705,8192,0,0.000
11,24962996792.316,24962996842.254,24963003400.777,6557.647,6608.461,50.814,49.938,0.876,3391.539,0,0.000,0,705,8192,0,0.000
