# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=36 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,43871220374.470,43871220502.419,43871294774.948,74269.702,74400.478,130.776,127.949,2.827,25599.522,0,0.000,0,36,1048576,0,0.000
1,43871320374.470,43871320489.336,43871381888.881,61397.053,61514.411,117.358,114.866,2.492,38485.589,0,0.000,0,36,1048576,0,0.000
2,43871420374.470,43871420431.424,43871494718.270,74284.980,74343.800,58.820,56.954,1.866,25656.200,0,0.000,0,36,1048576,0,0.000
3,43871520374.470,43871520465.036,43871581737.725,61270.296,61363.255,92.959,90.566,2.393,38636.745,0,0.000,0,36,1048576,0,0.000
4,43871620374.470,43871620494.707,43871694478.474,73981.302,74104.004,122.702,120.237,2.465,25895.996,0,0.000,0,36,1048576,0,0.000
5,43871720374.470,43871720481.020,43871794429.849,73946.686,74055.379,108.693,106.550,2.143,25944.621,0,0.000,0,36,1048576,0,0.000
6,43871820374.470,43871820490.403,43871894464.531,73971.782,74090.061,118.279,115.933,2.346,25909.939,0,0.000,0,36,1048576,0,0.000
7,43871920374.470,43871920475.523,43871981622.272,61144.421,61247.802,103.381,101.053,2.328,38752.198,0,0.000,0,36,1048576,0,0.000
8,43872020374.470,43872020471.059,43872094521.612,74047.652,74147.142,99.490,96.589,2.901,25852.858,0,0.000,0,36,1048576,0,0.000
9,43872120374.470,43872120493.372,43872181906.125,61410.558,61531.655,121.097,118.902,2.195,38468.345,0,0.000,0,36,1048576,0,0.000
10,43872220374.470,43872220490.781,43872294351.330,73858.140,73976.860,118.720,116.311,2.409,26023.140,0,0.000,0,36,1048576,0,0.000
11,43872320374.470,43872320479.047,43872394283.141,73802.402,73908.671,106.269,104.577,1.692,26091.329,0,0.000,0,36,1048576,0,0.000
12,43872420374.470,43872420441.640,43872494256.546,73812.913,73882.076,69.163,67.170,1.993,26117.924,0,0.000,0,36,1048576,0,0.000
13,43872520374.470,43872520471.070,43872594310.856,73837.410,73936.386,98.976,96.600,2.376,26063.614,0,0.000,0,36,1048576,0,0.000
14,43872620374.470,43872620482.233,43872694316.345,73831.944,73941.875,109.931,107.763,2.168,26058.125,0,0.000,0,36,1048576,0,0.000
15,43872720374.470,43872720489.889,43872794395.826,73902.073,74021.356,119.283,115.419,3.864,25978.644,0,0.000,0,36,1048576,0,0.000
16,43872820374.470,43872820471.513,43872908587.965,88114.098,88213.495,99.397,97.043,2.354,11786.505,0,0.000,0,36,1048576,0,0.000
