# probe kind=sieve activation=event clock=monotonic sieve_n=1048576 K=12 period_us=100000 priority=90 target_cpu=1 generator_cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,5327972445.565,5327972553.232,5327994928.155,22373.328,22482.590,109.262,107.667,1.595,77517.410,0,0.000,0,12,1048576,0,0.000
1,5328111374.299,5328111464.497,5328132522.207,21056.057,21147.908,91.851,90.198,1.653,78852.092,0,0.000,0,12,1048576,0,0.000
2,5328230147.285,5328230249.040,5328253026.485,22775.813,22879.200,103.387,101.755,1.632,77120.800,0,0.000,0,12,1048576,0,0.000
3,5328284871.944,5328284964.666,5328344248.275,21115.313,59376.331,38261.018,92.722,38168.296,40623.669,0,0.000,1,12,1048576,0,0.000
4,5328347133.676,5328347211.004,5328435792.344,21411.408,88658.668,67247.260,77.328,67169.932,11341.332,0,0.000,1,12,1048576,0,0.000
5,5328410647.118,5328435873.197,5328456844.130,20969.998,46197.012,25227.014,25226.079,0.935,53802.988,0,0.000,0,12,1048576,0,0.000
6,5328475738.591,5328475832.326,5328548089.990,21083.653,72351.399,51267.746,93.735,51174.011,27648.601,0,0.000,1,12,1048576,0,0.000
7,5328623980.463,5328624088.835,5328646188.709,22098.397,22208.246,109.849,108.372,1.477,77791.754,0,0.000,0,12,1048576,0,0.000
8,5328689987.533,5328690080.188,5328737339.139,21259.987,47351.606,26091.619,92.655,25998.964,52648.394,0,0.000,1,12,1048576,0,0.000
9,5328763919.106,5328764022.703,5328828461.406,21421.189,64542.300,43121.111,103.597,43017.514,35457.700,0,0.000,1,12,1048576,0,0.000
10,5328859723.807,5328859808.439,5328881074.284,21264.489,21350.477,85.988,84.632,1.356,78649.523,0,0.000,0,12,1048576,0,0.000
11,5328936375.815,5328936469.489,5328957491.798,21020.475,21115.983,95.508,93.674,1.834,78884.017,0,0.000,0,12,1048576,0,0.000
12,5329047834.233,5329047932.009,5329069358.554,21424.593,21524.321,99.728,97.776,1.952,78475.679,0,0.000,0,12,1048576,0,0.000
13,5329120704.367,5329120802.011,5329141896.325,21092.491,21191.958,99.467,97.644,1.823,78808.042,0,0.000,0,12,1048576,0,0.000
14,5329247673.074,5329247768.247,5329269542.225,21772.545,21869.151,96.606,95.173,1.433,78130.849,0,0.000,0,12,1048576,0,0.000
15,5329380938.260,5329381057.507,5329404561.008,23501.910,23622.748,120.838,119.247,1.591,76377.252,0,0.000,0,12,1048576,0,0.000
16,5329448644.312,5329448738.539,5329495899.865,21205.213,47255.553,26050.340,94.227,25956.113,52744.447,0,0.000,1,12,1048576,0,0.000
17,5329592972.081,5329593096.466,5329615656.372,22557.836,22684.291,126.455,124.385,2.070,77315.709,0,0.000,0,12,1048576,0,0.000
18,5329720179.930,5329720282.702,5329742817.783,22533.457,22637.853,104.396,102.772,1.624,77362.147,0,0.000,0,12,1048576,0,0.000
19,5329844593.950,5329844694.827,5329867031.060,22334.555,22437.110,102.555,100.877,1.678,77562.890,0,0.000,0,12,1048576,0,0.000
20,5329924307.192,5329924406.533,5329945489.273,21080.520,21182.081,101.561,99.341,2.220,78817.919,0,0.000,0,12,1048576,0,0.000
21,5330046595.300,5330046698.873,5330068990.121,22289.278,22394.821,105.543,103.573,1.970,77605.179,0,0.000,0,12,1048576,0,0.000
22,5330175076.438,5330175180.517,5330197809.855,22627.716,22733.417,105.701,104.079,1.622,77266.583,0,0.000,0,12,1048576,0,0.000
23,5330310671.084,5330310773.394,5330335820.348,25044.967,25149.264,104.297,102.310,1.987,74850.736,0,0.000,0,12,1048576,0,0.000
24,5330432827.526,5330432930.857,5330455305.080,22372.082,22477.554,105.472,103.331,2.141,77522.446,0,0.000,0,12,1048576,0,0.000
25,5330563420.884,5330563525.163,5330586276.564,22749.480,22855.680,106.200,104.279,1.921,77144.320,0,0.000,0,12,1048576,0,0.000
26,5330644417.629,5330644511.158,5330665687.828,21174.917,21270.199,95.282,93.529,1.753,78729.801,0,0.000,0,12,1048576,0,0.000
27,5330745720.981,5330745824.352,5330768251.261,22423.943,22530.280,106.337,103.371,2.966,77469.720,0,0.000,0,12,1048576,0,0.000
28,5330820808.102,5330820902.356,5330859024.290,21385.469,38216.188,16830.719,94.254,16736.465,61783.812,0,0.000,1,12,1048576,0,0.000
29,5330880631.771,5330880721.474,5330950970.819,21507.711,70339.048,48831.337,89.703,48741.634,29660.952,0,0.000,1,12,1048576,0,0.000
30,5330987132.023,5330987207.992,5331008231.300,21021.421,21099.277,77.856,75.969,1.887,78900.723,0,0.000,0,12,1048576,0,0.000
31,5331114025.469,5331114119.956,5331136711.492,22589.682,22686.023,96.341,94.487,1.854,77313.977,0,0.000,0,12,1048576,0,0.000
32,5331197493.144,5331197591.101,5331218607.191,21013.948,21114.047,100.099,97.957,2.142,78885.953,0,0.000,0,12,1048576,0,0.000
