# probe kind=sieve activation=event clock=monotonic sieve_n=1048576 K=8 period_us=100000 priority=90 target_cpu=0 generator_cpu=1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,39106195104.521,39106195192.015,39106210131.397,14937.936,15026.876,88.940,87.494,1.446,84973.124,0,0.000,0,8,1048576,0,0.000
1,39106334036.696,39106334116.171,39106349067.118,14949.225,15030.422,81.197,79.475,1.722,84969.578,0,0.000,0,8,1048576,0,0.000
2,39106452807.207,39106452894.593,39106467637.574,14741.106,14830.367,89.261,87.386,1.875,85169.633,0,0.000,0,8,1048576,0,0.000
3,39106507534.602,39106507607.816,39106561505.656,14085.714,53971.054,39885.340,73.214,39812.126,46028.946,0,0.000,1,8,1048576,0,0.000
4,39106569791.883,39106569829.058,39106655816.856,14175.950,86024.973,71849.023,37.175,71811.848,13975.027,0,0.000,1,8,1048576,0,0.000
5,39106633313.217,39106655892.317,39106669864.999,13971.967,36551.782,22579.815,22579.100,0.715,63448.218,0,0.000,0,8,1048576,0,0.000
6,39106698406.339,39106698481.096,39106763432.809,14138.476,65026.470,50887.994,74.757,50813.237,34973.530,0,0.000,1,8,1048576,0,0.000
7,39106846402.317,39106846478.173,39106860556.481,14076.581,14154.164,77.583,75.856,1.727,85845.836,0,0.000,0,8,1048576,0,0.000
8,39106912646.202,39106912714.142,39106954360.653,14239.441,41714.451,27475.010,67.940,27407.070,58285.549,0,0.000,1,8,1048576,0,0.000
9,39106986572.584,39106986641.387,39107049253.532,14204.072,62680.948,48476.876,68.803,48408.073,37319.052,0,0.000,1,8,1048576,0,0.000
10,39107082183.299,39107082248.144,39107096415.188,14165.537,14231.889,66.352,64.845,1.507,85768.111,0,0.000,0,8,1048576,0,0.000
11,39107159033.152,39107159108.711,39107173268.466,14158.340,14235.314,76.974,75.559,1.415,85764.686,0,0.000,0,8,1048576,0,0.000
12,39107270483.298,39107270558.865,39107285050.354,14489.760,14567.056,77.296,75.567,1.729,85432.944,0,0.000,0,8,1048576,0,0.000
13,39107343355.870,39107343428.266,39107379052.212,14133.251,35696.342,21563.091,72.396,21490.695,64303.658,0,0.000,1,8,1048576,0,0.000
