# probe kind=sieve activation=event clock=monotonic sieve_n=8192 K=525 period_us=10000 priority=90 target_cpu=3 generator_cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,44296970109.796,44296970203.530,44296975124.141,4919.155,5014.345,95.190,93.734,1.456,4985.655,0,0.000,0,525,8192,0,0.000
1,44296984009.661,44296984061.565,44296988973.945,4911.195,4964.284,53.089,51.904,1.185,5035.716,0,0.000,0,525,8192,0,0.000
2,44296995878.558,44296995963.092,44297002084.811,6120.203,6206.253,86.050,84.534,1.516,3793.747,0,0.000,0,525,8192,0,0.000
3,44297001351.421,44297002149.808,44297010118.226,5067.858,8766.805,3698.947,798.387,2900.560,1233.195,0,0.000,1,525,8192,0,0.000
4,44297007577.994,44297010184.774,44297017961.843,4884.895,10383.849,5498.954,2606.780,2892.174,-383.849,1,383.849,1,525,8192,0,0.000
5,44297013927.816,44297017999.638,44297025901.546,4870.412,11973.730,7103.318,4071.822,3031.496,-1973.730,1,1973.730,1,525,8192,0,0.000
6,44297020440.633,44297025938.299,44297030809.302,4870.281,10368.669,5498.388,5497.666,0.722,-368.669,1,368.669,0,525,8192,0,0.000
7,44297035239.063,44297035269.789,44297040156.314,4885.832,4917.251,31.419,30.726,0.693,5082.749,0,0.000,0,525,8192,0,0.000
8,44297041861.560,44297041888.285,44297048027.629,4889.992,6166.069,1276.077,26.725,1249.352,3833.931,0,0.000,1,525,8192,0,0.000
9,44297049255.678,44297049281.229,44297055419.810,4887.273,6164.132,1276.859,25.551,1251.308,3835.868,0,0.000,1,525,8192,0,0.000
10,44297058817.682,44297058899.885,44297063914.543,5013.064,5096.861,83.797,82.203,1.594,4903.139,0,0.000,0,525,8192,0,0.000
11,44297066501.894,44297066542.872,44297071416.008,4872.382,4914.114,41.732,40.978,0.754,5085.886,0,0.000,0,525,8192,0,0.000
12,44297077645.859,44297077701.563,44297082662.293,4959.417,5016.434,57.017,55.704,1.313,4983.566,0,0.000,0,525,8192,0,0.000
13,44297084932.745,44297084962.088,44297090050.575,5087.482,5117.830,30.348,29.343,1.005,4882.170,0,0.000,0,525,8192,0,0.000
14,44297097632.882,44297097683.808,44297102557.974,4873.360,4925.092,51.732,50.926,0.806,5074.908,0,0.000,0,525,8192,0,0.000
15,44297110958.509,44297111020.962,44297116059.822,5037.852,5101.313,63.461,62.453,1.008,4898.687,0,0.000,0,525,8192,0,0.000
16,44297117728.932,44297117764.929,44297123700.620,4962.602,5971.688,1009.086,35.997,973.089,4028.312,0,0.000,1,525,8192,0,0.000
17,44297132164.236,44297132217.254,44297137514.426,5295.968,5350.190,54.222,53.018,1.204,4649.810,0,0.000,0,525,8192,0,0.000
18,44297144879.287,44297144933.118,44297149807.723,4873.722,4928.436,54.714,53.831,0.883,5071.564,0,0.000,0,525,8192,0,0.000
19,44297157321.027,44297157367.045,44297162241.314,4873.315,4920.287,46.972,46.018,0.954,5079.713,0,0.000,0,525,8192,0,0.000
20,44297165293.175,44297165319.950,44297170519.674,5198.908,5226.499,27.591,26.775,0.816,4773.501,0,0.000,0,525,8192,0,0.000
21,44297177521.961,44297177555.910,44297182422.546,4866.084,4900.585,34.501,33.949,0.552,5099.415,0,0.000,0,525,8192,0,0.000
22,44297190370.500,44297190416.120,44297195567.138,5150.270,5196.638,46.368,45.620,0.748,4803.362,0,0.000,0,525,8192,0,0.000
23,44297203929.683,44297203980.450,44297208889.256,4907.864,4959.573,51.709,50.767,0.942,5040.427,0,0.000,0,525,8192,0,0.000
24,44297216146.107,44297216195.836,44297221067.983,4871.310,4921.876,50.566,49.729,0.837,5078.124,0,0.000,0,525,8192,0,0.000
25,44297229204.370,44297229234.927,44297234293.434,5057.588,5089.064,31.476,30.557,0.919,4910.936,0,0.000,0,525,8192,0,0.000
26,44297237305.171,44297237342.284,44297242273.803,4930.488,4968.632,38.144,37.113,1.031,5031.368,0,0.000,0,525,8192,0,0.000
27,44297247437.662,44297247502.590,44297252376.919,4873.403,4939.257,65.854,64.928,0.926,5060.743,0,0.000,0,525,8192,0,0.000
28,44297254943.217,44297254968.459,44297260042.023,5072.895,5098.806,25.911,25.242,0.669,4901.194,0,0.000,0,525,8192,0,0.000
