# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=3 period_us=100000 priority=90 cpu=-1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,2129891078.194,2129891156.947,2129897507.578,6349.325,6429.384,80.059,78.753,1.306,93570.616,0,0.000,0,3,1048576,0,0.000
1,2129991078.194,2129991151.530,2129997504.387,6351.493,6426.193,74.700,73.336,1.364,93573.807,0,0.000,0,3,1048576,0,0.000
2,2130091078.194,2130091144.779,2130097417.737,6271.900,6339.543,67.643,66.585,1.058,93660.457,0,0.000,0,3,1048576,0,0.000
3,2130191078.194,2130191145.368,2130197501.037,6354.664,6422.843,68.179,67.174,1.005,93577.157,0,0.000,0,3,1048576,0,0.000
4,2130291078.194,2130291150.227,2130297475.738,6324.375,6397.544,73.169,72.033,1.136,93602.456,0,0.000,0,3,1048576,0,0.000
5,2130391078.194,2130391185.986,2130397475.983,6288.822,6397.789,108.967,107.792,1.175,93602.211,0,0.000,0,3,1048576,0,0.000
6,2130491078.194,2130491158.207,2130497508.905,6349.612,6430.711,81.099,80.013,1.086,93569.289,0,0.000,0,3,1048576,0,0.000
7,2130591078.194,2130591147.119,2130597516.913,6368.861,6438.719,69.858,68.925,0.933,93561.281,0,0.000,0,3,1048576,0,0.000
8,2130691078.194,2130691128.271,2130697462.828,6333.461,6384.634,51.173,50.077,1.096,93615.366,0,0.000,0,3,1048576,0,0.000
9,2130791078.194,2130791159.629,2130797492.464,6331.486,6414.270,82.784,81.435,1.349,93585.730,0,0.000,0,3,1048576,0,0.000
10,2130891078.194,2130891194.387,2130897586.673,6391.120,6508.479,117.359,116.193,1.166,93491.521,0,0.000,0,3,1048576,0,0.000
11,2130991078.194,2130991159.176,2130997512.078,6351.602,6433.884,82.282,80.982,1.300,93566.116,0,0.000,0,3,1048576,0,0.000
12,2131091078.194,2131091146.781,2131097305.967,6158.176,6227.773,69.597,68.587,1.010,93772.227,0,0.000,0,3,1048576,0,0.000
13,2131191078.194,2131191154.007,2131197313.694,6158.660,6235.500,76.840,75.813,1.027,93764.500,0,0.000,0,3,1048576,0,0.000
14,2131291078.194,2131291177.368,2131297681.015,6502.421,6602.821,100.400,99.174,1.226,93397.179,0,0.000,0,3,1048576,0,0.000
15,2131391078.194,2131391147.919,2131397265.993,6117.014,6187.799,70.785,69.725,1.060,93812.201,0,0.000,0,3,1048576,0,0.000
16,2131491078.194,2131491149.717,2131497459.316,6307.997,6381.122,73.125,71.523,1.602,93618.878,0,0.000,0,3,1048576,0,0.000
17,2131591078.194,2131591141.840,2131597314.633,6171.724,6236.439,64.715,63.646,1.069,93763.561,0,0.000,0,3,1048576,0,0.000
18,2131691078.194,2131691168.937,2131697388.631,6218.563,6310.437,91.874,90.743,1.131,93689.563,0,0.000,0,3,1048576,0,0.000
19,2131791078.194,2131791184.970,2131797665.688,6479.555,6587.494,107.939,106.776,1.163,93412.506,0,0.000,0,3,1048576,0,0.000
20,2131891078.194,2131891170.238,2131897398.567,6227.141,6320.373,93.232,92.044,1.188,93679.627,0,0.000,0,3,1048576,0,0.000
21,2131991078.194,2131991142.054,2131997427.406,6284.374,6349.212,64.838,63.860,0.978,93650.788,0,0.000,0,3,1048576,0,0.000
22,2132091078.194,2132091190.888,2132097542.595,6350.379,6464.401,114.022,112.694,1.328,93535.599,0,0.000,0,3,1048576,0,0.000
23,2132191078.194,2132191144.093,2132197343.065,6197.783,6264.871,67.088,65.899,1.189,93735.129,0,0.000,0,3,1048576,0,0.000
24,2132291078.194,2132291146.492,2132297421.336,6273.290,6343.142,69.852,68.298,1.554,93656.858,0,0.000,0,3,1048576,0,0.000
25,2132391078.194,2132391187.681,2132397596.968,6407.930,6518.774,110.844,109.487,1.357,93481.226,0,0.000,0,3,1048576,0,0.000
26,2132491078.194,2132491150.696,2132497470.636,6318.516,6392.442,73.926,72.502,1.424,93607.558,0,0.000,0,3,1048576,0,0.000
27,2132591078.194,2132591161.965,2132597690.791,6527.392,6612.597,85.205,83.771,1.434,93387.403,0,0.000,0,3,1048576,0,0.000
28,2132691078.194,2132691161.029,2132697456.912,6294.570,6378.718,84.148,82.835,1.313,93621.282,0,0.000,0,3,1048576,0,0.000
29,2132791078.194,2132791183.014,2132797549.438,6365.352,6471.244,105.892,104.820,1.072,93528.756,0,0.000,0,3,1048576,0,0.000
30,2132891078.194,2132891183.751,2132897205.378,6020.360,6127.184,106.824,105.557,1.267,93872.816,0,0.000,0,3,1048576,0,0.000
31,2132991078.194,2132991161.759,2132997498.435,6335.451,6420.241,84.790,83.565,1.225,93579.759,0,0.000,0,3,1048576,0,0.000
32,2133091078.194,2133091154.820,2133097606.077,6450.181,6527.883,77.702,76.626,1.076,93472.117,0,0.000,0,3,1048576,0,0.000
33,2133191078.194,2133191139.711,2133197462.761,6321.856,6384.567,62.711,61.517,1.194,93615.433,0,0.000,0,3,1048576,0,0.000
34,2133291078.194,2133291137.442,2133297364.390,6225.743,6286.196,60.453,59.248,1.205,93713.804,0,0.000,0,3,1048576,0,0.000
35,2133391078.194,2133391146.560,2133397360.878,6213.021,6282.684,69.663,68.366,1.297,93717.316,0,0.000,0,3,1048576,0,0.000
36,2133491078.194,2133491134.066,2133497458.082,6323.058,6379.888,56.830,55.872,0.958,93620.112,0,0.000,0,3,1048576,0,0.000
37,2133591078.194,2133591153.726,2133597431.218,6276.425,6353.024,76.599,75.532,1.067,93646.976,0,0.000,0,3,1048576,0,0.000
38,2133691078.194,2133691132.705,2133697351.127,6217.267,6272.933,55.666,54.511,1.155,93727.067,0,0.000,0,3,1048576,0,0.000
39,2133791078.194,2133791143.868,2133797478.703,6333.631,6400.509,66.878,65.674,1.204,93599.491,0,0.000,0,3,1048576,0,0.000
40,2133891078.194,2133891170.438,2133897622.475,6450.820,6544.281,93.461,92.244,1.217,93455.719,0,0.000,0,3,1048576,0,0.000
41,2133991078.194,2133991164.559,2133997404.683,6238.834,6326.489,87.655,86.365,1.290,93673.511,0,0.000,0,3,1048576,0,0.000
42,2134091078.194,2134091170.260,2134097268.976,6097.486,6190.782,93.296,92.066,1.230,93809.218,0,0.000,0,3,1048576,0,0.000
43,2134191078.194,2134191165.821,2134197479.454,6312.372,6401.260,88.888,87.627,1.261,93598.740,0,0.000,0,3,1048576,0,0.000
44,2134291078.194,2134291168.640,2134297481.553,6311.656,6403.359,91.703,90.446,1.257,93596.641,0,0.000,0,3,1048576,0,0.000
45,2134391078.194,2134391185.464,2134398358.482,7171.291,7280.288,108.997,107.270,1.727,92719.712,0,0.000,0,3,1048576,0,0.000
46,2134491078.194,2134491171.522,2134497370.748,6197.834,6292.554,94.720,93.328,1.392,93707.446,0,0.000,0,3,1048576,0,0.000
47,2134591078.194,2134591153.392,2134597805.480,6650.508,6727.286,76.778,75.198,1.580,93272.714,0,0.000,0,3,1048576,0,0.000
48,2134691078.194,2134691160.249,2134697519.166,6357.596,6440.972,83.376,82.055,1.321,93559.028,0,0.000,0,3,1048576,0,0.000
49,2134791078.194,2134791185.711,2134797653.470,6466.627,6575.276,108.649,107.517,1.132,93424.724,0,0.000,0,3,1048576,0,0.000
50,2134891078.194,2134891179.762,2134897574.185,6393.280,6495.991,102.711,101.568,1.143,93504.009,0,0.000,0,3,1048576,0,0.000
51,2134991078.194,2134991157.974,2134997403.573,6244.357,6325.379,81.022,79.780,1.242,93674.621,0,0.000,0,3,1048576,0,0.000
52,2135091078.194,2135091148.775,2135097348.008,6198.149,6269.814,71.665,70.581,1.084,93730.186,0,0.000,0,3,1048576,0,0.000
53,2135191078.194,2135191176.811,2135197595.003,6416.860,6516.809,99.949,98.617,1.332,93483.191,0,0.000,0,3,1048576,0,0.000
54,2135291078.194,2135291139.870,2135297502.732,6361.923,6424.538,62.615,61.676,0.939,93575.462,0,0.000,0,3,1048576,0,0.000
55,2135391078.194,2135391167.328,2135397322.617,6153.780,6244.423,90.643,89.134,1.509,93755.577,0,0.000,0,3,1048576,0,0.000
56,2135491078.194,2135491159.395,2135497597.945,6437.173,6519.751,82.578,81.201,1.377,93480.249,0,0.000,0,3,1048576,0,0.000
57,2135591078.194,2135591156.873,2135596995.944,5837.438,5917.750,80.312,78.679,1.633,94082.250,0,0.000,0,3,1048576,0,0.000
58,2135691078.194,2135691138.819,2135697358.935,6218.976,6280.741,61.765,60.625,1.140,93719.259,0,0.000,0,3,1048576,0,0.000
59,2135791078.194,2135791157.885,2135797449.002,6289.948,6370.808,80.860,79.691,1.169,93629.192,0,0.000,0,3,1048576,0,0.000
60,2135891078.194,2135891173.633,2135897541.606,6366.714,6463.412,96.698,95.439,1.259,93536.588,0,0.000,0,3,1048576,0,0.000
61,2135991078.194,2135991165.973,2135997510.559,6343.412,6432.365,88.953,87.779,1.174,93567.635,0,0.000,0,3,1048576,0,0.000
62,2136091078.194,2136091155.022,2136097449.648,6293.499,6371.454,77.955,76.828,1.127,93628.546,0,0.000,0,3,1048576,0,0.000
63,2136191078.194,2136191150.657,2136197503.119,6351.337,6424.925,73.588,72.463,1.125,93575.075,0,0.000,0,3,1048576,0,0.000
64,2136291078.194,2136291187.993,2136297513.197,6323.978,6435.003,111.025,109.799,1.226,93564.997,0,0.000,0,3,1048576,0,0.000
65,2136391078.194,2136391166.425,2136397543.668,6376.093,6465.474,89.381,88.231,1.150,93534.526,0,0.000,0,3,1048576,0,0.000
66,2136491078.194,2136491145.396,2136497510.435,6363.552,6432.241,68.689,67.202,1.487,93567.759,0,0.000,0,3,1048576,0,0.000
67,2136591078.194,2136591158.960,2136597520.445,6360.350,6442.251,81.901,80.766,1.135,93557.749,0,0.000,0,3,1048576,0,0.000
68,2136691078.194,2136691148.089,2136697479.113,6329.749,6400.919,71.170,69.895,1.275,93599.081,0,0.000,0,3,1048576,0,0.000
69,2136791078.194,2136791166.650,2136797511.661,6343.833,6433.467,89.634,88.456,1.178,93566.533,0,0.000,0,3,1048576,0,0.000
70,2136891078.194,2136891179.340,2136897541.380,6360.774,6463.186,102.412,101.146,1.266,93536.814,0,0.000,0,3,1048576,0,0.000
71,2136991078.194,2136991152.405,2136997052.472,5899.148,5974.278,75.130,74.211,0.919,94025.722,0,0.000,0,3,1048576,0,0.000
72,2137091078.194,2137091169.836,2137097449.866,6278.721,6371.672,92.951,91.642,1.309,93628.328,0,0.000,0,3,1048576,0,0.000
73,2137191078.194,2137191157.187,2137197399.859,6241.513,6321.665,80.152,78.993,1.159,93678.335,0,0.000,0,3,1048576,0,0.000
74,2137291078.194,2137291163.915,2137297448.429,6283.444,6370.235,86.791,85.721,1.070,93629.765,0,0.000,0,3,1048576,0,0.000
75,2137391078.194,2137391141.864,2137397464.732,6322.163,6386.538,64.375,63.670,0.705,93613.462,0,0.000,0,3,1048576,0,0.000
76,2137491078.194,2137491182.295,2137497525.464,6341.745,6447.270,105.525,104.101,1.424,93552.730,0,0.000,0,3,1048576,0,0.000
77,2137591078.194,2137591141.564,2137597356.660,6214.065,6278.466,64.401,63.370,1.031,93721.534,0,0.000,0,3,1048576,0,0.000
78,2137691078.194,2137691149.918,2137697478.854,6327.834,6400.660,72.826,71.724,1.102,93599.340,0,0.000,0,3,1048576,0,0.000
79,2137791078.194,2137791149.449,2137797176.442,6025.827,6098.248,72.421,71.255,1.166,93901.752,0,0.000,0,3,1048576,0,0.000
80,2137891078.194,2137891149.397,2137897678.372,6526.535,6600.178,73.643,71.203,2.440,93399.822,0,0.000,0,3,1048576,0,0.000
81,2137991078.194,2137991158.111,2137998100.045,6940.150,7021.851,81.701,79.917,1.784,92978.149,0,0.000,0,3,1048576,0,0.000
82,2138091078.194,2138091164.487,2138097348.538,6183.035,6270.344,87.309,86.293,1.016,93729.656,0,0.000,0,3,1048576,0,0.000
83,2138191078.194,2138191152.739,2138197567.321,6413.229,6489.127,75.898,74.545,1.353,93510.873,0,0.000,0,3,1048576,0,0.000
84,2138291078.194,2138291146.153,2138297285.008,6137.976,6206.814,68.838,67.959,0.879,93793.186,0,0.000,0,3,1048576,0,0.000
85,2138391078.194,2138391169.129,2138397515.270,6344.840,6437.076,92.236,90.935,1.301,93562.924,0,0.000,0,3,1048576,0,0.000
86,2138491078.194,2138491165.923,2138497614.625,6447.400,6536.431,89.031,87.729,1.302,93463.569,0,0.000,0,3,1048576,0,0.000
87,2138591078.194,2138591174.285,2138597530.314,6354.847,6452.120,97.273,96.091,1.182,93547.880,0,0.000,0,3,1048576,0,0.000
88,2138691078.194,2138691144.601,2138697342.599,6196.846,6264.405,67.559,66.407,1.152,93735.595,0,0.000,0,3,1048576,0,0.000
89,2138791078.194,2138791149.978,2138797403.525,6252.427,6325.331,72.904,71.784,1.120,93674.669,0,0.000,0,3,1048576,0,0.000
90,2138891078.194,2138891135.862,2138897380.258,6242.628,6302.064,59.436,57.668,1.768,93697.936,0,0.000,0,3,1048576,0,0.000
91,2138991078.194,2138991141.547,2138996979.015,5836.452,5900.821,64.369,63.353,1.016,94099.179,0,0.000,0,3,1048576,0,0.000
92,2139091078.194,2139091155.506,2139097467.067,6310.454,6388.873,78.419,77.312,1.107,93611.127,0,0.000,0,3,1048576,0,0.000
93,2139191078.194,2139191170.377,2139197671.526,6499.554,6593.332,93.778,92.183,1.595,93406.668,0,0.000,0,3,1048576,0,0.000
94,2139291078.194,2139291150.606,2139297419.540,6267.645,6341.346,73.701,72.412,1.289,93658.654,0,0.000,0,3,1048576,0,0.000
95,2139391078.194,2139391179.870,2139397558.202,6376.947,6480.008,103.061,101.676,1.385,93519.992,0,0.000,0,3,1048576,0,0.000
96,2139491078.194,2139491150.097,2139497445.309,6293.712,6367.115,73.403,71.903,1.500,93632.885,0,0.000,0,3,1048576,0,0.000
97,2139591078.194,2139591134.923,2139597421.849,6285.853,6343.655,57.802,56.729,1.073,93656.345,0,0.000,0,3,1048576,0,0.000
98,2139691078.194,2139691149.811,2139697398.673,6247.282,6320.479,73.197,71.617,1.580,93679.521,0,0.000,0,3,1048576,0,0.000
99,2139791078.194,2139791141.725,2139797490.970,6348.096,6412.776,64.680,63.531,1.149,93587.224,0,0.000,0,3,1048576,0,0.000
100,2139891078.194,2139891134.187,2139897849.789,6713.805,6771.595,57.790,55.993,1.797,93228.405,0,0.000,0,3,1048576,0,0.000
101,2139991078.194,2139991152.872,2139997551.393,6396.976,6473.199,76.223,74.678,1.545,93526.801,0,0.000,0,3,1048576,0,0.000
102,2140091078.194,2140091136.110,2140097497.127,6359.742,6418.933,59.191,57.916,1.275,93581.067,0,0.000,0,3,1048576,0,0.000
103,2140191078.194,2140191145.531,2140197491.903,6345.038,6413.709,68.671,67.337,1.334,93586.291,0,0.000,0,3,1048576,0,0.000
104,2140291078.194,2140291177.471,2140297624.054,6445.191,6545.860,100.669,99.277,1.392,93454.140,0,0.000,0,3,1048576,0,0.000
105,2140391078.194,2140391174.128,2140397655.007,6479.517,6576.813,97.296,95.934,1.362,93423.187,0,0.000,0,3,1048576,0,0.000
106,2140491078.194,2140491139.841,2140497464.212,6323.281,6386.018,62.737,61.647,1.090,93613.982,0,0.000,0,3,1048576,0,0.000
107,2140591078.194,2140591158.955,2140597469.978,6309.662,6391.784,82.122,80.761,1.361,93608.216,0,0.000,0,3,1048576,0,0.000
108,2140691078.194,2140691146.432,2140697400.112,6252.618,6321.918,69.300,68.238,1.062,93678.082,0,0.000,0,3,1048576,0,0.000
109,2140791078.194,2140791158.160,2140797559.254,6399.774,6481.060,81.286,79.966,1.320,93518.940,0,0.000,0,3,1048576,0,0.000
110,2140891078.194,2140891153.921,2140897726.151,6570.255,6647.957,77.702,75.727,1.975,93352.043,0,0.000,0,3,1048576,0,0.000
111,2140991078.194,2140991174.445,2140997590.576,6414.945,6512.382,97.437,96.251,1.186,93487.618,0,0.000,0,3,1048576,0,0.000
112,2141091078.194,2141091155.502,2141097556.703,6399.860,6478.509,78.649,77.308,1.341,93521.491,0,0.000,0,3,1048576,0,0.000
113,2141191078.194,2141191148.963,2141197434.643,6284.610,6356.449,71.839,70.769,1.070,93643.551,0,0.000,0,3,1048576,0,0.000
114,2141291078.194,2141291173.481,2141297400.739,6226.060,6322.545,96.485,95.287,1.198,93677.455,0,0.000,0,3,1048576,0,0.000
115,2141391078.194,2141391153.902,2141397518.473,6363.302,6440.279,76.977,75.708,1.269,93559.721,0,0.000,0,3,1048576,0,0.000
116,2141491078.194,2141491143.933,2141497265.089,6119.881,6186.895,67.014,65.739,1.275,93813.105,0,0.000,0,3,1048576,0,0.000
117,2141591078.194,2141591180.790,2141597495.563,6313.093,6417.369,104.276,102.596,1.680,93582.631,0,0.000,0,3,1048576,0,0.000
118,2141691078.194,2141691143.418,2141697485.970,6341.474,6407.776,66.302,65.224,1.078,93592.224,0,0.000,0,3,1048576,0,0.000
119,2141791078.194,2141791133.048,2141797270.301,6136.353,6192.107,55.754,54.854,0.900,93807.893,0,0.000,0,3,1048576,0,0.000
120,2141891078.194,2141891159.225,2141897535.355,6374.900,6457.161,82.261,81.031,1.230,93542.839,0,0.000,0,3,1048576,0,0.000
121,2141991078.194,2141991168.551,2141997556.011,6386.378,6477.817,91.439,90.357,1.082,93522.183,0,0.000,0,3,1048576,0,0.000
122,2142091078.194,2142091162.115,2142097565.138,6401.976,6486.944,84.968,83.921,1.047,93513.056,0,0.000,0,3,1048576,0,0.000
123,2142191078.194,2142191153.047,2142197474.948,6320.581,6396.754,76.173,74.853,1.320,93603.246,0,0.000,0,3,1048576,0,0.000
124,2142291078.194,2142291166.160,2142297522.368,6355.060,6444.174,89.114,87.966,1.148,93555.826,0,0.000,0,3,1048576,0,0.000
125,2142391078.194,2142391170.013,2142397477.524,6306.340,6399.330,92.990,91.819,1.171,93600.670,0,0.000,0,3,1048576,0,0.000
126,2142491078.194,2142491163.755,2142497484.433,6319.212,6406.239,87.027,85.561,1.466,93593.761,0,0.000,0,3,1048576,0,0.000
127,2142591078.194,2142591148.526,2142597420.522,6270.949,6342.328,71.379,70.332,1.047,93657.672,0,0.000,0,3,1048576,0,0.000
128,2142691078.194,2142691148.568,2142697520.790,6371.078,6442.596,71.518,70.374,1.144,93557.404,0,0.000,0,3,1048576,0,0.000
129,2142791078.194,2142791147.307,2142797560.777,6412.352,6482.583,70.231,69.113,1.118,93517.417,0,0.000,0,3,1048576,0,0.000
130,2142891078.194,2142891148.092,2142897516.853,6367.623,6438.659,71.036,69.898,1.138,93561.341,0,0.000,0,3,1048576,0,0.000
131,2142991078.194,2142991170.478,2142997463.119,6291.394,6384.925,93.531,92.284,1.247,93615.075,0,0.000,0,3,1048576,0,0.000
132,2143091078.194,2143091148.908,2143097356.330,6206.456,6278.136,71.680,70.714,0.966,93721.864,0,0.000,0,3,1048576,0,0.000
133,2143191078.194,2143191147.806,2143197474.305,6325.224,6396.111,70.887,69.612,1.275,93603.889,0,0.000,0,3,1048576,0,0.000
134,2143291078.194,2143291161.949,2143297548.547,6385.398,6470.353,84.955,83.755,1.200,93529.647,0,0.000,0,3,1048576,0,0.000
135,2143391078.194,2143391149.094,2143397427.717,6277.310,6349.523,72.213,70.900,1.313,93650.477,0,0.000,0,3,1048576,0,0.000
136,2143491078.194,2143491139.758,2143497504.656,6363.849,6426.462,62.613,61.564,1.049,93573.538,0,0.000,0,3,1048576,0,0.000
137,2143591078.194,2143591135.042,2143597425.480,6289.546,6347.286,57.740,56.848,0.892,93652.714,0,0.000,0,3,1048576,0,0.000
138,2143691078.194,2143691137.171,2143697420.814,6282.586,6342.620,60.034,58.977,1.057,93657.380,0,0.000,0,3,1048576,0,0.000
139,2143791078.194,2143791155.371,2143797546.271,6389.831,6468.077,78.246,77.177,1.069,93531.923,0,0.000,0,3,1048576,0,0.000
140,2143891078.194,2143891142.770,2143897500.890,6356.658,6422.696,66.038,64.576,1.462,93577.304,0,0.000,0,3,1048576,0,0.000
141,2143991078.194,2143991163.894,2143997268.013,6102.899,6189.819,86.920,85.700,1.220,93810.181,0,0.000,0,3,1048576,0,0.000
142,2144091078.194,2144091172.304,2144097451.842,6277.838,6373.648,95.810,94.110,1.700,93626.352,0,0.000,0,3,1048576,0,0.000
143,2144191078.194,2144191162.927,2144197480.230,6316.221,6402.036,85.815,84.733,1.082,93597.964,0,0.000,0,3,1048576,0,0.000
144,2144291078.194,2144291160.247,2144297349.795,6188.369,6271.601,83.232,82.053,1.179,93728.399,0,0.000,0,3,1048576,0,0.000
145,2144391078.194,2144391192.296,2144397559.405,6365.900,6481.211,115.311,114.102,1.209,93518.789,0,0.000,0,3,1048576,0,0.000
146,2144491078.194,2144491147.805,2144497489.990,6341.056,6411.796,70.740,69.611,1.129,93588.204,0,0.000,0,3,1048576,0,0.000
147,2144591078.194,2144591134.280,2144597240.837,6105.482,6162.643,57.161,56.086,1.075,93837.357,0,0.000,0,3,1048576,0,0.000
148,2144691078.194,2144691140.673,2144697314.982,6173.501,6236.788,63.287,62.479,0.808,93763.212,0,0.000,0,3,1048576,0,0.000
149,2144791078.194,2144791148.370,2144797411.173,6261.883,6332.979,71.096,70.176,0.920,93667.021,0,0.000,0,3,1048576,0,0.000
150,2144891078.194,2144891171.828,2144897536.144,6363.060,6457.950,94.890,93.634,1.256,93542.050,0,0.000,0,3,1048576,0,0.000
151,2144991078.194,2144991172.495,2144997423.573,6250.035,6345.379,95.344,94.301,1.043,93654.621,0,0.000,0,3,1048576,0,0.000
152,2145091078.194,2145091141.393,2145097319.495,6177.116,6241.301,64.185,63.199,0.986,93758.699,0,0.000,0,3,1048576,0,0.000
153,2145191078.194,2145191181.039,2145197607.554,6424.921,6529.360,104.439,102.845,1.594,93470.640,0,0.000,0,3,1048576,0,0.000
154,2145291078.194,2145291139.340,2145297452.753,6312.307,6374.559,62.252,61.146,1.106,93625.441,0,0.000,0,3,1048576,0,0.000
155,2145391078.194,2145391154.653,2145397267.750,6112.199,6189.556,77.357,76.459,0.898,93810.444,0,0.000,0,3,1048576,0,0.000
156,2145491078.194,2145491152.086,2145497507.621,6354.373,6429.427,75.054,73.892,1.162,93570.573,0,0.000,0,3,1048576,0,0.000
157,2145591078.194,2145591136.857,2145597390.623,6252.626,6312.429,59.803,58.663,1.140,93687.571,0,0.000,0,3,1048576,0,0.000
158,2145691078.194,2145691147.559,2145697539.351,6390.720,6461.157,70.437,69.365,1.072,93538.843,0,0.000,0,3,1048576,0,0.000
159,2145791078.194,2145791170.725,2145797500.918,6328.667,6422.724,94.057,92.531,1.526,93577.276,0,0.000,0,3,1048576,0,0.000
160,2145891078.194,2145891150.271,2145897494.800,6343.457,6416.606,73.149,72.077,1.072,93583.394,0,0.000,0,3,1048576,0,0.000
161,2145991078.194,2145991169.160,2145997558.579,6388.284,6480.385,92.101,90.966,1.135,93519.615,0,0.000,0,3,1048576,0,0.000
162,2146091078.194,2146091136.878,2146097341.281,6203.216,6263.087,59.871,58.684,1.187,93736.913,0,0.000,0,3,1048576,0,0.000
163,2146191078.194,2146191148.344,2146197395.238,6245.772,6317.044,71.272,70.150,1.122,93682.956,0,0.000,0,3,1048576,0,0.000
164,2146291078.194,2146291158.681,2146297475.211,6315.161,6397.017,81.856,80.487,1.369,93602.983,0,0.000,0,3,1048576,0,0.000
165,2146391078.194,2146391167.863,2146397560.953,6391.410,6482.759,91.349,89.669,1.680,93517.241,0,0.000,0,3,1048576,0,0.000
166,2146491078.194,2146491152.094,2146497487.492,6334.361,6409.298,74.937,73.900,1.037,93590.702,0,0.000,0,3,1048576,0,0.000
