# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=10 period_us=100000 priority=90 cpu=-1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,4773948160.991,4773948440.160,4773968852.626,20410.839,20691.635,280.796,279.169,1.627,79308.365,0,0.000,0,10,1048576,0,0.000
1,4774048160.991,4774048268.197,4774068647.424,20377.779,20486.433,108.654,107.206,1.448,79513.567,0,0.000,0,10,1048576,0,0.000
2,4774148160.991,4774148388.109,4774168547.251,20157.758,20386.260,228.502,227.118,1.384,79613.740,0,0.000,0,10,1048576,0,0.000
3,4774248160.991,4774248439.742,4774268753.472,20312.520,20592.481,279.961,278.751,1.210,79407.519,0,0.000,0,10,1048576,0,0.000
4,4774348160.991,4774348382.392,4774368559.313,20175.781,20398.322,222.541,221.401,1.140,79601.678,0,0.000,0,10,1048576,0,0.000
5,4774448160.991,4774448378.221,4774468738.461,20359.075,20577.470,218.395,217.230,1.165,79422.530,0,0.000,0,10,1048576,0,0.000
6,4774548160.991,4774548372.606,4774568487.285,20113.365,20326.294,212.929,211.615,1.314,79673.706,0,0.000,0,10,1048576,0,0.000
7,4774648160.991,4774648418.954,4774668904.752,20484.426,20743.761,259.335,257.963,1.372,79256.239,0,0.000,0,10,1048576,0,0.000
8,4774748160.991,4774748428.869,4774768856.366,20426.352,20695.375,269.023,267.878,1.145,79304.625,0,0.000,0,10,1048576,0,0.000
9,4774848160.991,4774848390.293,4774868554.415,20162.828,20393.424,230.596,229.302,1.294,79606.576,0,0.000,0,10,1048576,0,0.000
10,4774948160.991,4774948380.466,4774968513.217,20131.374,20352.226,220.852,219.475,1.377,79647.774,0,0.000,0,10,1048576,0,0.000
11,4775048160.991,4775048446.188,4775068939.251,20491.578,20778.260,286.682,285.197,1.485,79221.740,0,0.000,0,10,1048576,0,0.000
12,4775148160.991,4775148396.744,4775168729.199,20331.121,20568.208,237.087,235.753,1.334,79431.792,0,0.000,0,10,1048576,0,0.000
13,4775248160.991,4775248411.066,4775269026.696,20613.869,20865.705,251.836,250.075,1.761,79134.295,0,0.000,0,10,1048576,0,0.000
14,4775348160.991,4775348381.024,4775368776.127,20393.636,20615.136,221.500,220.033,1.467,79384.864,0,0.000,0,10,1048576,0,0.000
15,4775448160.991,4775448381.487,4775468806.120,20423.363,20645.129,221.766,220.496,1.270,79354.871,0,0.000,0,10,1048576,0,0.000
16,4775548160.991,4775548381.905,4775568540.818,20157.503,20379.827,222.324,220.914,1.410,79620.173,0,0.000,0,10,1048576,0,0.000
17,4775648160.991,4775648378.963,4775668690.055,20309.591,20529.064,219.473,217.972,1.501,79470.936,0,0.000,0,10,1048576,0,0.000
18,4775748160.991,4775748424.047,4775768608.838,20183.111,20447.847,264.736,263.056,1.680,79552.153,0,0.000,0,10,1048576,0,0.000
19,4775848160.991,4775848388.844,4775868647.827,20257.623,20486.836,229.213,227.853,1.360,79513.164,0,0.000,0,10,1048576,0,0.000
20,4775948160.991,4775948381.228,4775968791.954,20409.297,20630.963,221.666,220.237,1.429,79369.037,0,0.000,0,10,1048576,0,0.000
21,4776048160.991,4776048393.624,4776069067.010,20671.770,20906.019,234.249,232.633,1.616,79093.981,0,0.000,0,10,1048576,0,0.000
22,4776148160.991,4776148394.028,4776168601.705,20206.458,20440.714,234.256,233.037,1.219,79559.286,0,0.000,0,10,1048576,0,0.000
23,4776248160.991,4776248445.406,4776268648.734,20202.055,20487.743,285.688,284.415,1.273,79512.257,0,0.000,0,10,1048576,0,0.000
24,4776348160.991,4776348382.594,4776368773.897,20389.762,20612.906,223.144,221.603,1.541,79387.094,0,0.000,0,10,1048576,0,0.000
25,4776448160.991,4776448384.896,4776468675.113,20288.865,20514.122,225.257,223.905,1.352,79485.878,0,0.000,0,10,1048576,0,0.000
26,4776548160.991,4776548388.461,4776568629.139,20239.200,20468.148,228.948,227.470,1.478,79531.852,0,0.000,0,10,1048576,0,0.000
27,4776648160.991,4776648382.979,4776668531.687,20147.410,20370.696,223.286,221.988,1.298,79629.304,0,0.000,0,10,1048576,0,0.000
28,4776748160.991,4776748465.644,4776768629.530,20162.443,20468.539,306.096,304.653,1.443,79531.461,0,0.000,0,10,1048576,0,0.000
29,4776848160.991,4776848387.604,4776868369.171,19980.256,20208.180,227.924,226.613,1.311,79791.820,0,0.000,0,10,1048576,0,0.000
30,4776948160.991,4776948400.602,4776968577.143,20175.236,20416.152,240.916,239.611,1.305,79583.848,0,0.000,0,10,1048576,0,0.000
31,4777048160.991,4777048385.823,4777069204.621,20817.358,21043.630,226.272,224.832,1.440,78956.370,0,0.000,0,10,1048576,0,0.000
32,4777148160.991,4777148396.548,4777168689.516,20291.737,20528.525,236.788,235.557,1.231,79471.475,0,0.000,0,10,1048576,0,0.000
33,4777248160.991,4777248452.953,4777268859.478,20405.188,20698.487,293.299,291.962,1.337,79301.513,0,0.000,0,10,1048576,0,0.000
34,4777348160.991,4777348411.605,4777368683.678,20270.839,20522.687,251.848,250.614,1.234,79477.313,0,0.000,0,10,1048576,0,0.000
