# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=530 period_us=10000 priority=90 cpu=-1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,9501688905.113,9501689031.694,9501694624.514,5590.958,5719.401,128.443,126.581,1.862,4280.599,0,0.000,0,530,8192,0,0.000
1,9501698905.113,9501698938.919,9501704456.798,5517.219,5551.685,34.466,33.806,0.660,4448.315,0,0.000,0,530,8192,0,0.000
2,9501708905.113,9501708946.389,9501714515.434,5568.553,5610.321,41.768,41.276,0.492,4389.679,0,0.000,0,530,8192,0,0.000
3,9501718905.113,9501718955.819,9501724430.152,5473.470,5525.039,51.569,50.706,0.863,4474.961,0,0.000,0,530,8192,0,0.000
4,9501728905.113,9501728953.347,9501734408.217,5454.358,5503.104,48.746,48.234,0.512,4496.896,0,0.000,0,530,8192,0,0.000
5,9501738905.113,9501738944.312,9501744497.272,5552.001,5592.159,40.158,39.199,0.959,4407.841,0,0.000,0,530,8192,0,0.000
6,9501748905.113,9501748958.853,9501754463.421,5503.701,5558.308,54.607,53.740,0.867,4441.692,0,0.000,0,530,8192,0,0.000
7,9501758905.113,9501758965.137,9501764491.230,5525.473,5586.117,60.644,60.024,0.620,4413.883,0,0.000,0,530,8192,0,0.000
8,9501768905.113,9501768961.658,9501774517.589,5555.223,5612.476,57.253,56.545,0.708,4387.524,0,0.000,0,530,8192,0,0.000
9,9501778905.113,9501778948.671,9501784450.482,5500.641,5545.369,44.728,43.558,1.170,4454.631,0,0.000,0,530,8192,0,0.000
10,9501788905.113,9501788948.532,9501794440.739,5491.263,5535.626,44.363,43.419,0.944,4464.374,0,0.000,0,530,8192,0,0.000
11,9501798905.113,9501798963.736,9501804434.168,5469.406,5529.055,59.649,58.623,1.026,4470.945,0,0.000,0,530,8192,0,0.000
12,9501808905.113,9501808970.133,9501814475.799,5504.418,5570.686,66.268,65.020,1.248,4429.314,0,0.000,0,530,8192,0,0.000
13,9501818905.113,9501818951.972,9501824596.962,5643.962,5691.849,47.887,46.859,1.028,4308.151,0,0.000,0,530,8192,0,0.000
14,9501828905.113,9501828951.868,9501834465.019,5512.331,5559.906,47.575,46.755,0.820,4440.094,0,0.000,0,530,8192,0,0.000
15,9501838905.113,9501838944.877,9501844429.256,5483.344,5524.143,40.799,39.764,1.035,4475.857,0,0.000,0,530,8192,0,0.000
16,9501848905.113,9501848952.287,9501854624.421,5670.998,5719.308,48.310,47.174,1.136,4280.692,0,0.000,0,530,8192,0,0.000
17,9501858905.113,9501858958.705,9501864283.574,5323.943,5378.461,54.518,53.592,0.926,4621.539,0,0.000,0,530,8192,0,0.000
