# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=20 period_us=100000 priority=90 cpu=-1 seed=20260714 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,10529654729.636,10529654813.187,10529697379.446,42565.419,42649.810,84.391,83.551,0.840,57350.190,0,0.000,0,20,1048576,0,0.000
1,10529754729.636,10529754838.340,10529796846.638,42007.336,42117.002,109.666,108.704,0.962,57882.998,0,0.000,0,20,1048576,0,0.000
2,10529854729.636,10529854817.638,10529896842.893,42024.166,42113.257,89.091,88.002,1.089,57886.743,0,0.000,0,20,1048576,0,0.000
3,10529954729.636,10529954824.562,10529996843.472,42017.660,42113.836,96.176,94.926,1.250,57886.164,0,0.000,0,20,1048576,0,0.000
4,10530054729.636,10530054833.036,10530096067.186,41233.379,41337.550,104.171,103.400,0.771,58662.450,0,0.000,0,20,1048576,0,0.000
5,10530154729.636,10530154814.263,10530196369.547,41554.716,41639.911,85.195,84.627,0.568,58360.089,0,0.000,0,20,1048576,0,0.000
6,10530254729.636,10530254797.514,10530296316.578,41518.086,41586.942,68.856,67.878,0.978,58413.058,0,0.000,0,20,1048576,0,0.000
7,10530354729.636,10530354804.586,10530396025.514,41219.865,41295.878,76.013,74.950,1.063,58704.122,0,0.000,0,20,1048576,0,0.000
8,10530454729.636,10530454808.542,10530495778.194,40969.277,41048.558,79.281,78.906,0.375,58951.442,0,0.000,0,20,1048576,0,0.000
9,10530554729.636,10530554818.013,10530596585.980,41767.239,41856.344,89.105,88.377,0.728,58143.656,0,0.000,0,20,1048576,0,0.000
10,10530654729.636,10530654843.270,10530696793.434,41948.671,42063.798,115.127,113.634,1.493,57936.202,0,0.000,0,20,1048576,0,0.000
11,10530754729.636,10530754815.716,10530796203.621,41386.935,41473.985,87.050,86.080,0.970,58526.015,0,0.000,0,20,1048576,0,0.000
12,10530854729.636,10530854840.207,10530895638.820,40797.566,40909.184,111.618,110.571,1.047,59090.816,0,0.000,0,20,1048576,0,0.000
13,10530954729.636,10530954826.693,10530995246.924,40419.163,40517.288,98.125,97.057,1.068,59482.712,0,0.000,0,20,1048576,0,0.000
14,10531054729.636,10531054827.857,10531096418.768,41589.628,41689.132,99.504,98.221,1.283,58310.868,0,0.000,0,20,1048576,0,0.000
15,10531154729.636,10531154821.655,10531196630.388,41807.458,41900.752,93.294,92.019,1.275,58099.248,0,0.000,0,20,1048576,0,0.000
16,10531254729.636,10531254819.877,10531295794.987,40973.510,41065.351,91.841,90.241,1.600,58934.649,0,0.000,0,20,1048576,0,0.000
17,10531354729.636,10531354826.910,10531397375.841,42547.288,42646.205,98.917,97.274,1.643,57353.795,0,0.000,0,20,1048576,0,0.000
18,10531454729.636,10531454830.735,10531496714.888,41882.988,41985.252,102.264,101.099,1.165,58014.748,0,0.000,0,20,1048576,0,0.000
19,10531554729.636,10531554825.500,10531596270.064,41443.417,41540.428,97.011,95.864,1.147,58459.572,0,0.000,0,20,1048576,0,0.000
20,10531654729.636,10531654854.170,10531702562.848,47706.643,47833.212,126.569,124.534,2.035,52166.788,0,0.000,0,20,1048576,0,0.000
21,10531754729.636,10531754846.012,10531796377.753,41530.541,41648.117,117.576,116.376,1.200,58351.883,0,0.000,0,20,1048576,0,0.000
22,10531854729.636,10531854810.828,10531896296.771,41484.785,41567.135,82.350,81.192,1.158,58432.865,0,0.000,0,20,1048576,0,0.000
23,10531954729.636,10531954808.826,10531996170.162,41360.675,41440.526,79.851,79.190,0.661,58559.474,0,0.000,0,20,1048576,0,0.000
24,10532054729.636,10532054806.462,10532095669.885,40862.561,40940.249,77.688,76.826,0.862,59059.751,0,0.000,0,20,1048576,0,0.000
25,10532154729.636,10532154806.097,10532196248.411,41441.633,41518.775,77.142,76.461,0.681,58481.225,0,0.000,0,20,1048576,0,0.000
26,10532254729.636,10532254823.312,10532296787.964,41963.955,42058.328,94.373,93.676,0.697,57941.672,0,0.000,0,20,1048576,0,0.000
27,10532354729.636,10532354824.600,10532396537.090,41711.814,41807.454,95.640,94.964,0.676,58192.546,0,0.000,0,20,1048576,0,0.000
28,10532454729.636,10532454848.857,10532497018.488,42168.393,42288.852,120.459,119.221,1.238,57711.148,0,0.000,0,20,1048576,0,0.000
29,10532554729.636,10532554814.008,10532596763.190,41947.695,42033.554,85.859,84.372,1.487,57966.446,0,0.000,0,20,1048576,0,0.000
30,10532654729.636,10532654859.564,10532696766.194,41905.328,42036.558,131.230,129.928,1.302,57963.442,0,0.000,0,20,1048576,0,0.000
31,10532754729.636,10532754822.724,10532796562.523,41738.516,41832.887,94.371,93.088,1.283,58167.113,0,0.000,0,20,1048576,0,0.000
