# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=265 period_us=10000 priority=90 cpu=-1 seed=20260714 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,13383961140.491,13383961208.172,13383964007.104,2790.594,2866.613,76.019,67.681,8.338,7133.387,0,0.000,0,265,8192,0,0.000
1,13383971140.491,13383971197.296,13383973986.906,2788.241,2846.415,58.174,56.805,1.369,7153.585,0,0.000,0,265,8192,0,0.000
2,13383981140.491,13383981198.299,13383983987.454,2787.162,2846.963,59.801,57.808,1.993,7153.037,0,0.000,0,265,8192,0,0.000
3,13383991140.491,13383991197.318,13383993982.623,2783.951,2842.132,58.181,56.827,1.354,7157.868,0,0.000,0,265,8192,0,0.000
4,13384001140.491,13384001197.111,13384003986.992,2788.190,2846.501,58.311,56.620,1.691,7153.499,0,0.000,0,265,8192,0,0.000
5,13384011140.491,13384011201.953,13384013991.640,2788.184,2851.149,62.965,61.462,1.503,7148.851,0,0.000,0,265,8192,0,0.000
6,13384021140.491,13384021197.380,13384023983.821,2784.666,2843.330,58.664,56.889,1.775,7156.670,0,0.000,0,265,8192,0,0.000
7,13384031140.491,13384031192.228,13384033980.177,2786.422,2839.686,53.264,51.737,1.527,7160.314,0,0.000,0,265,8192,0,0.000
8,13384041140.491,13384041196.788,13384043987.182,2788.723,2846.691,57.968,56.297,1.671,7153.309,0,0.000,0,265,8192,0,0.000
9,13384051140.491,13384051199.090,13384053987.958,2787.030,2847.467,60.437,58.599,1.838,7152.533,0,0.000,0,265,8192,0,0.000
10,13384061140.491,13384061194.605,13384063982.314,2786.160,2841.823,55.663,54.114,1.549,7158.177,0,0.000,0,265,8192,0,0.000
11,13384071140.491,13384071196.393,13384073986.963,2788.848,2846.472,57.624,55.902,1.722,7153.528,0,0.000,0,265,8192,0,0.000
12,13384081140.491,13384081195.713,13384083985.081,2787.383,2844.590,57.207,55.222,1.985,7155.410,0,0.000,0,265,8192,0,0.000
