# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=10 period_us=100000 priority=90 cpu=-1 seed=20260714 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,1370015281.787,1370015420.198,1370039481.538,24058.560,24199.751,141.191,138.411,2.780,75800.249,0,0.000,0,10,1048576,0,0.000
1,1370115281.787,1370115409.747,1370140065.865,24653.656,24784.078,130.422,127.960,2.462,75215.922,0,0.000,0,10,1048576,0,0.000
2,1370215281.787,1370215409.786,1370239902.987,24490.481,24621.200,130.719,127.999,2.720,75378.800,0,0.000,0,10,1048576,0,0.000
3,1370315281.787,1370315408.353,1370339664.454,24253.496,24382.667,129.171,126.566,2.605,75617.333,0,0.000,0,10,1048576,0,0.000
4,1370415281.787,1370415413.642,1370439400.825,23984.584,24119.038,134.454,131.855,2.599,75880.962,0,0.000,0,10,1048576,0,0.000
5,1370515281.787,1370515401.890,1370539650.725,24246.482,24368.938,122.456,120.103,2.353,75631.062,0,0.000,0,10,1048576,0,0.000
6,1370615281.787,1370615414.804,1370639691.404,24273.942,24409.617,135.675,133.017,2.658,75590.383,0,0.000,0,10,1048576,0,0.000
7,1370715281.787,1370715415.552,1370739759.252,24341.203,24477.465,136.262,133.765,2.497,75522.535,0,0.000,0,10,1048576,0,0.000
8,1370815281.787,1370815409.617,1370839846.512,24434.361,24564.725,130.364,127.830,2.534,75435.275,0,0.000,0,10,1048576,0,0.000
9,1370915281.787,1370915414.589,1370939668.438,24250.889,24386.651,135.762,132.802,2.960,75613.349,0,0.000,0,10,1048576,0,0.000
10,1371015281.787,1371015412.560,1371039680.131,24264.582,24398.344,133.762,130.773,2.989,75601.656,0,0.000,0,10,1048576,0,0.000
11,1371115281.787,1371115414.459,1371139715.867,24298.775,24434.080,135.305,132.672,2.633,75565.920,0,0.000,0,10,1048576,0,0.000
12,1371215281.787,1371215411.085,1371239805.725,24391.854,24523.938,132.084,129.298,2.786,75476.062,0,0.000,0,10,1048576,0,0.000
13,1371315281.787,1371315403.015,1371339977.678,24572.006,24695.891,123.885,121.228,2.657,75304.109,0,0.000,0,10,1048576,0,0.000
14,1371415281.787,1371415411.580,1371439755.519,24340.891,24473.732,132.841,129.793,3.048,75526.268,0,0.000,0,10,1048576,0,0.000
15,1371515281.787,1371515401.535,1371539771.480,24367.459,24489.693,122.234,119.748,2.486,75510.307,0,0.000,0,10,1048576,0,0.000
16,1371615281.787,1371615420.061,1371639932.086,24509.295,24650.299,141.004,138.274,2.730,75349.701,0,0.000,0,10,1048576,0,0.000
17,1371715281.787,1371715423.237,1371739855.091,24429.022,24573.304,144.282,141.450,2.832,75426.696,0,0.000,0,10,1048576,0,0.000
18,1371815281.787,1371815409.997,1371839559.627,24147.173,24277.840,130.667,128.210,2.457,75722.160,0,0.000,0,10,1048576,0,0.000
19,1371915281.787,1371915417.062,1371939849.931,24430.242,24568.144,137.902,135.275,2.627,75431.856,0,0.000,0,10,1048576,0,0.000
20,1372015281.787,1372015408.723,1372040030.372,24619.319,24748.585,129.266,126.936,2.330,75251.415,0,0.000,0,10,1048576,0,0.000
21,1372115281.787,1372115412.382,1372139878.623,24463.102,24596.836,133.734,130.595,3.139,75403.164,0,0.000,0,10,1048576,0,0.000
22,1372215281.787,1372215423.779,1372239618.763,24192.034,24336.976,144.942,141.992,2.950,75663.024,0,0.000,0,10,1048576,0,0.000
23,1372315281.787,1372315392.926,1372339870.820,24475.811,24589.033,113.222,111.139,2.083,75410.967,0,0.000,0,10,1048576,0,0.000
24,1372415281.787,1372415420.564,1372439819.029,24395.662,24537.242,141.580,138.777,2.803,75462.758,0,0.000,0,10,1048576,0,0.000
25,1372515281.787,1372515421.150,1372539583.972,24160.335,24302.185,141.850,139.363,2.487,75697.815,0,0.000,0,10,1048576,0,0.000
26,1372615281.787,1372615413.508,1372639793.607,24377.796,24511.820,134.024,131.721,2.303,75488.180,0,0.000,0,10,1048576,0,0.000
27,1372715281.787,1372715418.406,1372739912.996,24491.622,24631.209,139.587,136.619,2.968,75368.791,0,0.000,0,10,1048576,0,0.000
28,1372815281.787,1372815415.558,1372839914.096,24495.840,24632.309,136.469,133.771,2.698,75367.691,0,0.000,0,10,1048576,0,0.000
29,1372915281.787,1372915422.992,1372939578.451,24153.065,24296.664,143.599,141.205,2.394,75703.336,0,0.000,0,10,1048576,0,0.000
30,1373015281.787,1373015538.998,1373039599.639,24057.977,24317.852,259.875,257.211,2.664,75682.148,0,0.000,0,10,1048576,0,0.000
31,1373115281.787,1373115528.757,1373139723.064,24191.795,24441.277,249.482,246.970,2.512,75558.723,0,0.000,0,10,1048576,0,0.000
32,1373215281.787,1373215532.361,1373239920.792,24385.728,24639.005,253.277,250.574,2.703,75360.995,0,0.000,0,10,1048576,0,0.000
33,1373315281.787,1373315408.830,1373339870.590,24459.228,24588.803,129.575,127.043,2.532,75411.197,0,0.000,0,10,1048576,0,0.000
34,1373415281.787,1373415412.010,1373439790.641,24376.201,24508.854,132.653,130.223,2.430,75491.146,0,0.000,0,10,1048576,0,0.000
35,1373515281.787,1373515421.705,1373539882.818,24458.361,24601.031,142.670,139.918,2.752,75398.969,0,0.000,0,10,1048576,0,0.000
36,1373615281.787,1373615412.343,1373639378.228,23963.438,24096.441,133.003,130.556,2.447,75903.559,0,0.000,0,10,1048576,0,0.000
37,1373715281.787,1373715414.025,1373739866.453,24449.850,24584.666,134.816,132.238,2.578,75415.334,0,0.000,0,10,1048576,0,0.000
38,1373815281.787,1373815418.655,1373840016.110,24594.772,24734.323,139.551,136.868,2.683,75265.677,0,0.000,0,10,1048576,0,0.000
39,1373915281.787,1373915406.666,1373939914.501,24505.393,24632.714,127.321,124.879,2.442,75367.286,0,0.000,0,10,1048576,0,0.000
40,1374015281.787,1374015410.119,1374039625.841,24213.202,24344.054,130.852,128.332,2.520,75655.946,0,0.000,0,10,1048576,0,0.000
41,1374115281.787,1374115404.676,1374139659.853,24251.978,24378.066,126.088,122.889,3.199,75621.934,0,0.000,0,10,1048576,0,0.000
42,1374215281.787,1374215410.046,1374239731.407,24318.890,24449.620,130.730,128.259,2.471,75550.380,0,0.000,0,10,1048576,0,0.000
43,1374315281.787,1374315528.733,1374339812.879,24282.010,24531.092,249.082,246.946,2.136,75468.908,0,0.000,0,10,1048576,0,0.000
44,1374415281.787,1374415408.700,1374439781.355,24369.870,24499.568,129.698,126.913,2.785,75500.432,0,0.000,0,10,1048576,0,0.000
45,1374515281.787,1374515412.384,1374539624.596,24209.581,24342.809,133.228,130.597,2.631,75657.191,0,0.000,0,10,1048576,0,0.000
46,1374615281.787,1374615413.661,1374639907.252,24491.088,24625.465,134.377,131.874,2.503,75374.535,0,0.000,0,10,1048576,0,0.000
47,1374715281.787,1374715411.797,1374739769.831,24355.313,24488.044,132.731,130.010,2.721,75511.956,0,0.000,0,10,1048576,0,0.000
48,1374815281.787,1374815418.395,1374839948.939,24527.611,24667.152,139.541,136.608,2.933,75332.848,0,0.000,0,10,1048576,0,0.000
49,1374915281.787,1374915413.172,1374939731.459,24315.338,24449.672,134.334,131.385,2.949,75550.328,0,0.000,0,10,1048576,0,0.000
50,1375015281.787,1375015414.707,1375039971.933,24554.573,24690.146,135.573,132.920,2.653,75309.854,0,0.000,0,10,1048576,0,0.000
51,1375115281.787,1375115414.906,1375140074.714,24657.077,24792.927,135.850,133.119,2.731,75207.073,0,0.000,0,10,1048576,0,0.000
52,1375215281.787,1375215416.806,1375239577.577,24158.218,24295.790,137.572,135.019,2.553,75704.210,0,0.000,0,10,1048576,0,0.000
53,1375315281.787,1375315414.464,1375339980.872,24564.035,24699.085,135.050,132.677,2.373,75300.915,0,0.000,0,10,1048576,0,0.000
54,1375415281.787,1375415413.515,1375439890.619,24474.435,24608.832,134.397,131.728,2.669,75391.168,0,0.000,0,10,1048576,0,0.000
55,1375515281.787,1375515415.478,1375539474.118,24056.340,24192.331,135.991,133.691,2.300,75807.669,0,0.000,0,10,1048576,0,0.000
56,1375615281.787,1375615423.803,1375639591.722,24165.347,24309.935,144.588,142.016,2.572,75690.065,0,0.000,0,10,1048576,0,0.000
57,1375715281.787,1375715406.989,1375740198.625,24789.062,24916.838,127.776,125.202,2.574,75083.162,0,0.000,0,10,1048576,0,0.000
58,1375815281.787,1375815418.982,1375839964.400,24542.975,24682.613,139.638,137.195,2.443,75317.387,0,0.000,0,10,1048576,0,0.000
59,1375915281.787,1375915420.812,1375939862.033,24438.582,24580.246,141.664,139.025,2.639,75419.754,0,0.000,0,10,1048576,0,0.000
60,1376015281.787,1376015530.288,1376039825.136,24292.021,24543.349,251.328,248.501,2.827,75456.651,0,0.000,0,10,1048576,0,0.000
61,1376115281.787,1376115532.971,1376139796.859,24261.121,24515.072,253.951,251.184,2.767,75484.928,0,0.000,0,10,1048576,0,0.000
62,1376215281.787,1376215420.501,1376239638.760,24215.724,24356.973,141.249,138.714,2.535,75643.027,0,0.000,0,10,1048576,0,0.000
63,1376315281.787,1376315415.093,1376340168.035,24749.636,24886.248,136.612,133.306,3.306,75113.752,0,0.000,0,10,1048576,0,0.000
64,1376415281.787,1376415409.953,1376439487.203,24075.075,24205.416,130.341,128.166,2.175,75794.584,0,0.000,0,10,1048576,0,0.000
65,1376515281.787,1376515415.298,1376539649.806,24232.047,24368.019,135.972,133.511,2.461,75631.981,0,0.000,0,10,1048576,0,0.000
66,1376615281.787,1376615417.417,1376639917.148,24496.596,24635.361,138.765,135.630,3.135,75364.639,0,0.000,0,10,1048576,0,0.000
67,1376715281.787,1376715412.606,1376739604.918,24189.623,24323.131,133.508,130.819,2.689,75676.869,0,0.000,0,10,1048576,0,0.000
68,1376815281.787,1376815417.296,1376839789.840,24370.059,24508.053,137.994,135.509,2.485,75491.947,0,0.000,0,10,1048576,0,0.000
69,1376915281.787,1376915409.993,1376939808.016,24395.691,24526.229,130.538,128.206,2.332,75473.771,0,0.000,0,10,1048576,0,0.000
70,1377015281.787,1377015407.380,1377039774.641,24364.677,24492.854,128.177,125.593,2.584,75507.146,0,0.000,0,10,1048576,0,0.000
71,1377115281.787,1377115415.157,1377139804.208,24385.914,24522.421,136.507,133.370,3.137,75477.579,0,0.000,0,10,1048576,0,0.000
72,1377215281.787,1377215414.127,1377239831.736,24415.251,24549.949,134.698,132.340,2.358,75450.051,0,0.000,0,10,1048576,0,0.000
73,1377315281.787,1377315411.425,1377339683.732,24269.903,24401.945,132.042,129.638,2.404,75598.055,0,0.000,0,10,1048576,0,0.000
74,1377415281.787,1377415409.169,1377440054.956,24643.570,24773.169,129.599,127.382,2.217,75226.831,0,0.000,0,10,1048576,0,0.000
75,1377515281.787,1377515411.362,1377539700.495,24286.635,24418.708,132.073,129.575,2.498,75581.292,0,0.000,0,10,1048576,0,0.000
76,1377615281.787,1377615420.887,1377640041.343,24618.212,24759.556,141.344,139.100,2.244,75240.444,0,0.000,0,10,1048576,0,0.000
77,1377715281.787,1377715414.246,1377739975.324,24558.098,24693.537,135.439,132.459,2.980,75306.463,0,0.000,0,10,1048576,0,0.000
78,1377815281.787,1377815419.115,1377839769.846,24348.368,24488.059,139.691,137.328,2.363,75511.941,0,0.000,0,10,1048576,0,0.000
79,1377915281.787,1377915414.968,1377939673.150,24255.940,24391.363,135.423,133.181,2.242,75608.637,0,0.000,0,10,1048576,0,0.000
80,1378015281.787,1378015407.209,1378039836.016,24425.984,24554.229,128.245,125.422,2.823,75445.771,0,0.000,0,10,1048576,0,0.000
81,1378115281.787,1378115414.878,1378140105.526,24688.319,24823.739,135.420,133.091,2.329,75176.261,0,0.000,0,10,1048576,0,0.000
82,1378215281.787,1378215528.997,1378239828.410,24296.855,24546.623,249.768,247.210,2.558,75453.377,0,0.000,0,10,1048576,0,0.000
83,1378315281.787,1378315487.440,1378339841.159,24350.959,24559.372,208.413,205.653,2.760,75440.628,0,0.000,0,10,1048576,0,0.000
84,1378415281.787,1378415410.998,1378439022.049,23608.678,23740.262,131.584,129.211,2.373,76259.738,0,0.000,0,10,1048576,0,0.000
85,1378515281.787,1378515413.774,1378540033.079,24616.862,24751.292,134.430,131.987,2.443,75248.708,0,0.000,0,10,1048576,0,0.000
86,1378615281.787,1378615408.750,1378639572.307,24160.839,24290.520,129.681,126.963,2.718,75709.480,0,0.000,0,10,1048576,0,0.000
87,1378715281.787,1378715413.453,1378739880.086,24464.378,24598.299,133.921,131.666,2.255,75401.701,0,0.000,0,10,1048576,0,0.000
88,1378815281.787,1378815414.420,1378839487.147,24070.345,24205.360,135.015,132.633,2.382,75794.640,0,0.000,0,10,1048576,0,0.000
89,1378915281.787,1378915410.852,1378939872.750,24459.601,24590.963,131.362,129.065,2.297,75409.037,0,0.000,0,10,1048576,0,0.000
90,1379015281.787,1379015412.964,1379039875.111,24459.976,24593.324,133.348,131.177,2.171,75406.676,0,0.000,0,10,1048576,0,0.000
91,1379115281.787,1379115414.930,1379139934.028,24516.365,24652.241,135.876,133.143,2.733,75347.759,0,0.000,0,10,1048576,0,0.000
92,1379215281.787,1379215408.324,1379239923.225,24512.187,24641.438,129.251,126.537,2.714,75358.562,0,0.000,0,10,1048576,0,0.000
93,1379315281.787,1379315436.791,1379339959.440,24519.861,24677.653,157.792,155.004,2.788,75322.347,0,0.000,0,10,1048576,0,0.000
94,1379415281.787,1379415419.899,1379439774.224,24351.724,24492.437,140.713,138.112,2.601,75507.563,0,0.000,0,10,1048576,0,0.000
95,1379515281.787,1379515413.826,1379540098.182,24681.834,24816.395,134.561,132.039,2.522,75183.605,0,0.000,0,10,1048576,0,0.000
96,1379615281.787,1379615410.907,1379640010.785,24596.760,24728.998,132.238,129.120,3.118,75271.002,0,0.000,0,10,1048576,0,0.000
97,1379715281.787,1379715418.539,1379739733.323,24312.124,24451.536,139.412,136.752,2.660,75548.464,0,0.000,0,10,1048576,0,0.000
98,1379815281.787,1379815422.441,1379840048.277,24623.374,24766.490,143.116,140.654,2.462,75233.510,0,0.000,0,10,1048576,0,0.000
99,1379915281.787,1379915413.260,1379939901.940,24485.260,24620.153,134.893,131.473,3.420,75379.847,0,0.000,0,10,1048576,0,0.000
100,1380015281.787,1380015414.724,1380039706.224,24288.877,24424.437,135.560,132.937,2.623,75575.563,0,0.000,0,10,1048576,0,0.000
101,1380115281.787,1380115407.684,1380139791.409,24381.381,24509.622,128.241,125.897,2.344,75490.378,0,0.000,0,10,1048576,0,0.000
102,1380215281.787,1380215530.742,1380239997.393,24464.192,24715.606,251.414,248.955,2.459,75284.394,0,0.000,0,10,1048576,0,0.000
103,1380315281.787,1380315551.425,1380339951.323,24397.653,24669.536,271.883,269.638,2.245,75330.464,0,0.000,0,10,1048576,0,0.000
104,1380415281.787,1380415527.704,1380439769.039,24239.307,24487.252,247.945,245.917,2.028,75512.748,0,0.000,0,10,1048576,0,0.000
105,1380515281.787,1380515414.144,1380539517.352,24100.960,24235.565,134.605,132.357,2.248,75764.435,0,0.000,0,10,1048576,0,0.000
106,1380615281.787,1380615412.994,1380639916.854,24501.284,24635.067,133.783,131.207,2.576,75364.933,0,0.000,0,10,1048576,0,0.000
107,1380715281.787,1380715415.954,1380739822.173,24403.043,24540.386,137.343,134.167,3.176,75459.614,0,0.000,0,10,1048576,0,0.000
108,1380815281.787,1380815422.576,1380839834.988,24410.139,24553.201,143.062,140.789,2.273,75446.799,0,0.000,0,10,1048576,0,0.000
109,1380915281.787,1380915420.228,1380939810.802,24387.546,24529.015,141.469,138.441,3.028,75470.985,0,0.000,0,10,1048576,0,0.000
110,1381015281.787,1381015415.726,1381039952.151,24534.008,24670.364,136.356,133.939,2.417,75329.636,0,0.000,0,10,1048576,0,0.000
111,1381115281.787,1381115416.709,1381139772.318,24353.002,24490.531,137.529,134.922,2.607,75509.469,0,0.000,0,10,1048576,0,0.000
112,1381215281.787,1381215405.198,1381239981.259,24573.823,24699.472,125.649,123.411,2.238,75300.528,0,0.000,0,10,1048576,0,0.000
113,1381315281.787,1381315529.755,1381339641.184,24108.353,24359.397,251.044,247.968,3.076,75640.603,0,0.000,0,10,1048576,0,0.000
114,1381415281.787,1381415402.948,1381439995.737,24590.479,24713.950,123.471,121.161,2.310,75286.050,0,0.000,0,10,1048576,0,0.000
115,1381515281.787,1381515411.290,1381539759.465,24345.163,24477.678,132.515,129.503,3.012,75522.322,0,0.000,0,10,1048576,0,0.000
116,1381615281.787,1381615413.400,1381639717.292,24301.147,24435.505,134.358,131.613,2.745,75564.495,0,0.000,0,10,1048576,0,0.000
117,1381715281.787,1381715414.605,1381739937.459,24520.197,24655.672,135.475,132.818,2.657,75344.328,0,0.000,0,10,1048576,0,0.000
118,1381815281.787,1381815421.286,1381858078.038,30153.173,42796.251,12643.078,139.499,12503.579,57203.749,0,0.000,1,10,1048576,0,0.000
119,1381915281.787,1381915426.528,1381939373.833,23937.380,24092.046,154.666,144.741,9.925,75907.954,0,0.000,1,10,1048576,0,0.000
120,1382015281.787,1382015415.022,1382039460.416,24042.696,24178.629,135.933,133.235,2.698,75821.371,0,0.000,0,10,1048576,0,0.000
121,1382115281.787,1382115418.647,1382139792.188,24370.749,24510.401,139.652,136.860,2.792,75489.599,0,0.000,0,10,1048576,0,0.000
122,1382215281.787,1382215411.193,1382239641.513,24227.773,24359.726,131.953,129.406,2.547,75640.274,0,0.000,0,10,1048576,0,0.000
123,1382315281.787,1382315529.822,1382339650.522,24118.481,24368.735,250.254,248.035,2.219,75631.265,0,0.000,0,10,1048576,0,0.000
124,1382415281.787,1382415534.695,1382439779.237,24241.843,24497.450,255.607,252.908,2.699,75502.550,0,0.000,0,10,1048576,0,0.000
125,1382515281.787,1382515413.839,1382539699.910,24283.462,24418.123,134.661,132.052,2.609,75581.877,0,0.000,0,10,1048576,0,0.000
126,1382615281.787,1382615415.598,1382639694.592,24276.566,24412.805,136.239,133.811,2.428,75587.195,0,0.000,0,10,1048576,0,0.000
127,1382715281.787,1382715416.221,1382739390.331,23971.504,24108.544,137.040,134.434,2.606,75891.456,0,0.000,0,10,1048576,0,0.000
128,1382815281.787,1382815422.156,1382839751.039,24326.474,24469.252,142.778,140.369,2.409,75530.748,0,0.000,0,10,1048576,0,0.000
129,1382915281.787,1382915416.628,1382939956.216,24536.898,24674.429,137.531,134.841,2.690,75325.571,0,0.000,0,10,1048576,0,0.000
130,1383015281.787,1383015415.507,1383040025.328,24607.566,24743.541,135.975,133.720,2.255,75256.459,0,0.000,0,10,1048576,0,0.000
131,1383115281.787,1383115532.250,1383140096.076,24560.896,24814.289,253.393,250.463,2.930,75185.711,0,0.000,0,10,1048576,0,0.000
132,1383215281.787,1383215534.698,1383240075.942,24539.109,24794.155,255.046,252.911,2.135,75205.845,0,0.000,0,10,1048576,0,0.000
133,1383315281.787,1383315419.690,1383339831.529,24408.959,24549.742,140.783,137.903,2.880,75450.258,0,0.000,0,10,1048576,0,0.000
134,1383415281.787,1383415407.204,1383440897.002,25486.613,25615.215,128.602,125.417,3.185,74384.785,0,0.000,0,10,1048576,0,0.000
135,1383515281.787,1383515407.723,1383539888.741,24478.842,24606.954,128.112,125.936,2.176,75393.046,0,0.000,0,10,1048576,0,0.000
136,1383615281.787,1383615415.892,1383639902.573,24484.256,24620.786,136.530,134.105,2.425,75379.214,0,0.000,0,10,1048576,0,0.000
137,1383715281.787,1383715420.146,1383739854.458,24431.705,24572.671,140.966,138.359,2.607,75427.329,0,0.000,0,10,1048576,0,0.000
138,1383815281.787,1383815417.908,1383839778.650,24357.705,24496.863,139.158,136.121,3.037,75503.137,0,0.000,0,10,1048576,0,0.000
139,1383915281.787,1383915412.164,1383939770.573,24355.987,24488.786,132.799,130.377,2.422,75511.214,0,0.000,0,10,1048576,0,0.000
140,1384015281.787,1384015414.609,1384039741.900,24324.912,24460.113,135.201,132.822,2.379,75539.887,0,0.000,0,10,1048576,0,0.000
141,1384115281.787,1384115414.822,1384139686.654,24269.348,24404.867,135.519,133.035,2.484,75595.133,0,0.000,0,10,1048576,0,0.000
142,1384215281.787,1384215411.724,1384240015.479,24600.475,24733.692,133.217,129.937,3.280,75266.308,0,0.000,0,10,1048576,0,0.000
143,1384315281.787,1384315413.594,1384339162.795,23746.642,23881.008,134.366,131.807,2.559,76118.992,0,0.000,0,10,1048576,0,0.000
144,1384415281.787,1384415414.026,1384439835.690,24418.709,24553.903,135.194,132.239,2.955,75446.097,0,0.000,0,10,1048576,0,0.000
145,1384515281.787,1384515409.752,1384543565.782,28152.787,28283.995,131.208,127.965,3.243,71716.005,0,0.000,0,10,1048576,0,0.000
146,1384615281.787,1384615414.155,1384639670.511,24253.531,24388.724,135.193,132.368,2.825,75611.276,0,0.000,0,10,1048576,0,0.000
147,1384715281.787,1384715408.312,1384739868.719,24457.808,24586.932,129.124,126.525,2.599,75413.068,0,0.000,0,10,1048576,0,0.000
148,1384815281.787,1384815415.974,1384839830.824,24412.371,24549.037,136.666,134.187,2.479,75450.963,0,0.000,0,10,1048576,0,0.000
149,1384915281.787,1384915416.550,1384939568.145,24148.541,24286.358,137.817,134.763,3.054,75713.642,0,0.000,0,10,1048576,0,0.000
150,1385015281.787,1385015408.937,1385039609.921,24198.722,24328.134,129.412,127.150,2.262,75671.866,0,0.000,0,10,1048576,0,0.000
