# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=24 period_us=100000 priority=90 cpu=-1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,21441828017.283,21441828129.581,21441876145.736,48015.129,48128.453,113.324,112.298,1.026,51871.547,0,0.000,0,24,1048576,0,0.000
1,21441928017.283,21441928078.664,21442037387.846,80786.802,109370.563,28583.761,61.381,28522.380,-9370.563,1,9370.563,1,24,1048576,1,0.000
2,21442128017.283,21442128082.818,21442236992.685,80290.270,108975.402,28685.132,65.535,28619.597,-8975.402,1,8975.402,1,24,1048576,1,0.000
3,21442328017.283,21442328136.407,21442418963.670,70541.880,90946.387,20404.507,119.124,20285.383,9053.613,0,0.000,1,24,1048576,0,0.000
4,21442428017.283,21442428090.469,21442475986.402,47894.678,47969.119,74.441,73.186,1.255,52030.881,0,0.000,0,24,1048576,0,0.000
5,21442528017.283,21442528129.281,21442596654.269,68524.747,68636.986,112.239,111.998,0.241,31363.014,0,0.000,0,24,1048576,0,0.000
6,21442628017.283,21442628074.277,21442736057.386,79835.112,108040.103,28204.991,56.994,28147.997,-8040.103,1,8040.103,1,24,1048576,1,0.000
7,21442828017.283,21442828082.532,21442936868.132,80159.571,108850.849,28691.278,65.249,28626.029,-8850.849,1,8850.849,1,24,1048576,1,0.000
8,21443028017.283,21443028087.470,21443135988.881,79953.166,107971.598,28018.432,70.187,27948.245,-7971.598,1,7971.598,1,24,1048576,1,0.000
9,21443228017.283,21443228086.517,21443337219.112,80419.254,109201.829,28782.575,69.234,28713.341,-9201.829,1,9201.829,1,24,1048576,1,0.000
10,21443428017.283,21443428099.991,21443536966.810,80337.373,108949.527,28612.154,82.708,28529.446,-8949.527,1,8949.527,1,24,1048576,1,0.000
11,21443628017.283,21443628087.170,21443737044.218,80214.617,109026.935,28812.318,69.887,28742.431,-9026.935,1,9026.935,1,24,1048576,1,0.000
12,21443828017.283,21443828088.618,21443937246.185,80452.172,109228.902,28776.730,71.335,28705.395,-9228.902,1,9228.902,1,24,1048576,1,0.000
13,21444028017.283,21444028093.592,21444136515.025,80001.091,108497.742,28496.651,76.309,28420.342,-8497.742,1,8497.742,1,24,1048576,1,0.000
14,21444228017.283,21444228090.534,21444336342.336,79985.759,108325.053,28339.294,73.251,28266.043,-8325.053,1,8325.053,1,24,1048576,1,0.000
15,21444428017.283,21444428093.428,21444535777.221,79888.720,107759.938,27871.218,76.145,27795.073,-7759.938,1,7759.938,1,24,1048576,1,0.000
16,21444628017.283,21444628098.192,21444736870.116,80251.220,108852.833,28601.613,80.909,28520.704,-8852.833,1,8852.833,1,24,1048576,1,0.000
17,21444828017.283,21444828094.478,21444936078.269,79927.770,108060.986,28133.216,77.195,28056.021,-8060.986,1,8060.986,1,24,1048576,1,0.000
18,21445028017.283,21445028090.684,21445137293.141,80471.343,109275.858,28804.515,73.401,28731.114,-9275.858,1,9275.858,1,24,1048576,1,0.000
19,21445228017.283,21445228106.926,21445295884.194,67777.116,67866.911,89.795,89.643,0.152,32133.089,0,0.000,0,24,1048576,0,0.000
20,21445328017.283,21445328076.885,21445436492.055,79980.069,108474.772,28494.703,59.602,28435.101,-8474.772,1,8474.772,1,24,1048576,1,0.000
21,21445528017.283,21445528084.478,21445595199.544,67114.924,67182.261,67.337,67.195,0.142,32817.739,0,0.000,0,24,1048576,0,0.000
22,21445628017.283,21445628084.285,21445735106.541,79379.614,107089.258,27709.644,67.002,27642.642,-7089.258,1,7089.258,1,24,1048576,1,0.000
23,21445828017.283,21445828080.240,21445936998.420,80349.363,108981.137,28631.774,62.957,28568.817,-8981.137,1,8981.137,1,24,1048576,1,0.000
24,21446028017.283,21446028101.375,21446136636.870,80152.629,108619.587,28466.958,84.092,28382.866,-8619.587,1,8619.587,1,24,1048576,1,0.000
