# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=548 period_us=10000 priority=90 cpu=-1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,6826597666.033,6826597747.603,6826606339.310,8585.189,8673.277,88.088,81.570,6.518,1326.723,0,0.000,1,548,8192,0,0.000
1,6826607666.033,6826607754.604,6826613861.867,6105.632,6195.834,90.202,88.571,1.631,3804.166,0,0.000,0,548,8192,0,0.000
2,6826617666.033,6826617720.026,6826629858.578,10450.307,12192.545,1742.238,53.993,1688.245,-2192.545,1,2192.545,1,548,8192,1,0.000
3,6826637666.033,6826637730.317,6826649508.616,10098.659,11842.583,1743.924,64.284,1679.640,-1842.583,1,1842.583,1,548,8192,1,0.000
4,6826657666.033,6826657737.788,6826666254.922,8512.770,8588.889,76.119,71.755,4.364,1411.111,0,0.000,1,548,8192,0,0.000
5,6826667666.033,6826667711.386,6826673549.147,5837.112,5883.114,46.002,45.353,0.649,4116.886,0,0.000,0,548,8192,0,0.000
6,6826677666.033,6826677712.349,6826689360.145,9965.535,11694.112,1728.577,46.316,1682.261,-1694.112,1,1694.112,1,548,8192,1,0.000
7,6826697666.033,6826697711.191,6826706124.046,8409.436,8458.013,48.577,45.158,3.419,1541.987,0,0.000,1,548,8192,0,0.000
8,6826707666.033,6826707704.101,6826714056.523,6351.642,6390.490,38.848,38.068,0.780,3609.510,0,0.000,0,548,8192,0,0.000
9,6826717666.033,6826717715.496,6826730383.004,9983.499,12716.971,2733.472,49.463,2684.009,-2716.971,1,2716.971,1,548,8192,1,0.000
10,6826737666.033,6826737706.606,6826746220.593,8511.418,8554.560,43.142,40.573,2.569,1445.440,0,0.000,1,548,8192,0,0.000
11,6826747666.033,6826747702.081,6826753554.816,5851.686,5888.783,37.097,36.048,1.049,4111.217,0,0.000,0,548,8192,0,0.000
12,6826757666.033,6826757714.399,6826769223.077,9826.320,11557.044,1730.724,48.366,1682.358,-1557.044,1,1557.044,1,548,8192,1,0.000
13,6826777666.033,6826777706.132,6826786199.166,8490.256,8533.133,42.877,40.099,2.778,1466.867,0,0.000,1,548,8192,0,0.000
14,6826787666.033,6826787699.374,6826792817.243,5117.087,5151.210,34.123,33.341,0.782,4848.790,0,0.000,0,548,8192,0,0.000
15,6826797666.033,6826797711.205,6826806257.358,8543.145,8591.325,48.180,45.172,3.008,1408.675,0,0.000,1,548,8192,0,0.000
16,6826807666.033,6826807714.799,6826813539.689,5824.068,5873.656,49.588,48.766,0.822,4126.344,0,0.000,0,548,8192,0,0.000
17,6826817666.033,6826817712.264,6826829358.433,9965.246,11692.400,1727.154,46.231,1680.923,-1692.400,1,1692.400,1,548,8192,1,0.000
18,6826837666.033,6826837709.232,6826846214.835,8502.270,8548.802,46.532,43.199,3.333,1451.198,0,0.000,1,548,8192,0,0.000
19,6826847666.033,6826847702.520,6826853499.055,5795.863,5833.022,37.159,36.487,0.672,4166.978,0,0.000,0,548,8192,0,0.000
20,6826857666.033,6826857711.600,6826869378.510,9984.039,11712.477,1728.438,45.567,1682.871,-1712.477,1,1712.477,1,548,8192,1,0.000
21,6826877666.033,6826877710.357,6826886204.041,8490.702,8538.008,47.306,44.324,2.982,1461.992,0,0.000,1,548,8192,0,0.000
22,6826887666.033,6826887700.364,6826893494.620,5793.507,5828.587,35.080,34.331,0.749,4171.413,0,0.000,0,548,8192,0,0.000
23,6826897666.033,6826897712.385,6826909352.778,9959.315,11686.745,1727.430,46.352,1681.078,-1686.745,1,1686.745,1,548,8192,1,0.000
24,6826917666.033,6826917708.126,6826926251.713,8540.835,8585.680,44.845,42.093,2.752,1414.320,0,0.000,1,548,8192,0,0.000
25,6826927666.033,6826927701.204,6826933488.868,5786.728,5822.835,36.107,35.171,0.936,4177.165,0,0.000,0,548,8192,0,0.000
26,6826937666.033,6826937711.029,6826949929.391,10537.334,12263.358,1726.024,44.996,1681.028,-2263.358,1,2263.358,1,548,8192,1,0.000
27,6826957666.033,6826957708.087,6826969389.646,10003.002,11723.613,1720.611,42.054,1678.557,-1723.613,1,1723.613,1,548,8192,1,0.000
28,6826977666.033,6826977711.069,6826986140.769,8426.966,8474.736,47.770,45.036,2.734,1525.264,0,0.000,1,548,8192,0,0.000
29,6826987666.033,6826987700.703,6826993498.060,5796.637,5832.027,35.390,34.670,0.720,4167.973,0,0.000,0,548,8192,0,0.000
30,6826997666.033,6826997713.435,6827010714.224,11318.237,13048.191,1729.954,47.402,1682.552,-3048.191,1,3048.191,1,548,8192,1,0.000
31,6827017666.033,6827017710.323,6827029424.309,10036.714,11758.276,1721.562,44.290,1677.272,-1758.276,1,1758.276,1,548,8192,1,0.000
32,6827037666.033,6827037709.845,6827046205.793,8493.488,8539.760,46.272,43.812,2.460,1460.240,0,0.000,1,548,8192,0,0.000
33,6827047666.033,6827047700.721,6827053485.791,5784.202,5819.758,35.556,34.688,0.868,4180.242,0,0.000,0,548,8192,0,0.000
34,6827057666.033,6827057714.689,6827070628.086,11233.200,12962.053,1728.853,48.656,1680.197,-2962.053,1,2962.053,1,548,8192,1,0.000
35,6827077666.033,6827077710.278,6827089400.564,10014.075,11734.531,1720.456,44.245,1676.211,-1734.531,1,1734.531,1,548,8192,1,0.000
36,6827097666.033,6827097739.544,6827106338.307,8581.005,8672.274,91.269,73.511,17.758,1327.726,0,0.000,1,548,8192,0,0.000
37,6827107666.033,6827107740.280,6827113514.094,5772.340,5848.061,75.721,74.247,1.474,4151.939,0,0.000,0,548,8192,0,0.000
38,6827117666.033,6827117714.672,6827129402.292,9999.323,11736.259,1736.936,48.639,1688.297,-1736.259,1,1736.259,1,548,8192,1,0.000
39,6827137666.033,6827137743.367,6827146277.319,8529.021,8611.286,82.265,77.334,4.931,1388.714,0,0.000,1,548,8192,0,0.000
40,6827147666.033,6827147757.523,6827153532.555,5773.626,5866.522,92.896,91.490,1.406,4133.478,0,0.000,0,548,8192,0,0.000
41,6827157666.033,6827157714.650,6827169377.092,9980.386,11711.059,1730.673,48.617,1682.056,-1711.059,1,1711.059,1,548,8192,1,0.000
42,6827177666.033,6827177716.265,6827186225.189,8505.375,8559.156,53.781,50.232,3.549,1440.844,0,0.000,1,548,8192,0,0.000
43,6827187666.033,6827187707.288,6827193456.648,5748.090,5790.615,42.525,41.255,1.270,4209.385,0,0.000,0,548,8192,0,0.000
44,6827197666.033,6827197715.543,6827209320.891,9920.486,11654.858,1734.372,49.510,1684.862,-1654.858,1,1654.858,1,548,8192,1,0.000
45,6827217666.033,6827217714.611,6827226178.179,8460.332,8512.146,51.814,48.578,3.236,1487.854,0,0.000,1,548,8192,0,0.000
46,6827227666.033,6827227707.188,6827233516.939,5808.953,5850.906,41.953,41.155,0.798,4149.094,0,0.000,0,548,8192,0,0.000
47,6827237666.033,6827237710.722,6827249353.886,9961.266,11687.853,1726.587,44.689,1681.898,-1687.853,1,1687.853,1,548,8192,1,0.000
48,6827257666.033,6827257708.836,6827266230.825,8519.143,8564.792,45.649,42.803,2.846,1435.208,0,0.000,1,548,8192,0,0.000
49,6827267666.033,6827267704.610,6827274027.747,6322.547,6361.714,39.167,38.577,0.590,3638.286,0,0.000,0,548,8192,0,0.000
50,6827277666.033,6827277713.296,6827290338.344,9940.728,12672.311,2731.583,47.263,2684.320,-2672.311,1,2672.311,1,548,8192,1,0.000
51,6827297666.033,6827297714.408,6827306329.353,8611.854,8663.320,51.466,48.375,3.091,1336.680,0,0.000,1,548,8192,0,0.000
52,6827307666.033,6827307701.045,6827313542.979,5840.991,5876.946,35.955,35.012,0.943,4123.054,0,0.000,0,548,8192,0,0.000
53,6827317666.033,6827317712.807,6827329383.287,9988.126,11717.254,1729.128,46.774,1682.354,-1717.254,1,1717.254,1,548,8192,1,0.000
54,6827337666.033,6827337708.505,6827346251.497,8540.523,8585.464,44.941,42.472,2.469,1414.536,0,0.000,1,548,8192,0,0.000
55,6827347666.033,6827347700.147,6827354144.413,6443.749,6478.380,34.631,34.114,0.517,3521.620,0,0.000,0,548,8192,0,0.000
56,6827357666.033,6827357711.816,6827370377.626,9984.985,12711.593,2726.608,45.783,2680.825,-2711.593,1,2711.593,1,548,8192,1,0.000
57,6827377666.033,6827377711.052,6827386230.156,8515.826,8564.123,48.297,45.019,3.278,1435.877,0,0.000,1,548,8192,0,0.000
58,6827387666.033,6827387701.911,6827393497.290,5794.674,5831.257,36.583,35.878,0.705,4168.743,0,0.000,0,548,8192,0,0.000
59,6827397666.033,6827397713.415,6827409425.733,10029.183,11759.700,1730.517,47.382,1683.135,-1759.700,1,1759.700,1,548,8192,1,0.000
60,6827417666.033,6827417707.147,6827426219.378,8508.945,8553.345,44.400,41.114,3.286,1446.655,0,0.000,1,548,8192,0,0.000
61,6827427666.033,6827427702.083,6827433530.193,5827.288,5864.160,36.872,36.050,0.822,4135.840,0,0.000,0,548,8192,0,0.000
62,6827437666.033,6827437709.808,6827449298.460,9907.130,11632.427,1725.297,43.775,1681.522,-1632.427,1,1632.427,1,548,8192,1,0.000
