# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=343 period_us=10000 priority=90 cpu=-1 seed=20260714 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,15176763341.494,15176763390.197,15176774058.811,6314.457,10717.317,4402.860,48.703,4354.157,-717.317,1,717.317,1,343,8192,1,0.000
1,15176783341.494,15176783439.420,15176794370.166,6577.242,11028.672,4451.430,97.926,4353.504,-1028.672,1,1028.672,1,343,8192,1,0.000
2,15176803341.494,15176803378.051,15176814222.608,6492.648,10881.114,4388.466,36.557,4351.909,-881.114,1,881.114,1,343,8192,1,0.000
3,15176823341.494,15176823449.206,15176834403.415,6597.813,11061.921,4464.108,107.712,4356.396,-1061.921,1,1061.921,1,343,8192,1,0.000
4,15176843341.494,15176843421.493,15176854360.899,6583.805,11019.405,4435.600,79.999,4355.601,-1019.405,1,1019.405,1,343,8192,1,0.000
5,15176863341.494,15176863378.611,15176874265.565,6531.647,10924.071,4392.424,37.117,4355.307,-924.071,1,924.071,1,343,8192,1,0.000
6,15176883341.494,15176883433.151,15176894357.860,6572.264,11016.366,4444.102,91.657,4352.445,-1016.366,1,1016.366,1,343,8192,1,0.000
7,15176903341.494,15176903375.281,15176914149.612,6422.963,10808.118,4385.155,33.787,4351.368,-808.118,1,808.118,1,343,8192,1,0.000
8,15176923341.494,15176923386.257,15176934116.412,6373.572,10774.918,4401.346,44.763,4356.583,-774.918,1,774.918,1,343,8192,1,0.000
9,15176943341.494,15176943374.370,15176954188.272,6464.533,10846.778,4382.245,32.876,4349.369,-846.778,1,846.778,1,343,8192,1,0.000
10,15176963341.494,15176963540.089,15176974570.231,6677.311,11228.737,4551.426,198.595,4352.831,-1228.737,1,1228.737,1,343,8192,1,0.000
11,15176983341.494,15176983416.439,15176994376.405,6590.473,11034.911,4444.438,74.945,4369.493,-1034.911,1,1034.911,1,343,8192,1,0.000
12,15177003341.494,15177003534.199,15177014563.990,6678.665,11222.496,4543.831,192.705,4351.126,-1222.496,1,1222.496,1,343,8192,1,0.000
13,15177023341.494,15177023418.496,15177034354.872,6578.798,11013.378,4434.580,77.002,4357.578,-1013.378,1,1013.378,1,343,8192,1,0.000
14,15177043341.494,15177043535.032,15177054503.975,6617.088,11162.481,4545.393,193.538,4351.855,-1162.481,1,1162.481,1,343,8192,1,0.000
15,15177063341.494,15177063418.762,15177074343.880,6573.113,11002.386,4429.273,77.268,4352.005,-1002.386,1,1002.386,1,343,8192,1,0.000
16,15177083341.494,15177083374.603,15177094162.537,6435.163,10821.043,4385.880,33.109,4352.771,-821.043,1,821.043,1,343,8192,1,0.000
17,15177103341.494,15177103374.701,15177114285.974,6546.179,10944.480,4398.301,33.207,4365.094,-944.480,1,944.480,1,343,8192,1,0.000
18,15177123341.494,15177123375.477,15177134240.411,6513.211,10898.917,4385.706,33.983,4351.723,-898.917,1,898.917,1,343,8192,1,0.000
19,15177143341.494,15177143432.978,15177154364.283,6579.882,11022.789,4442.907,91.484,4351.423,-1022.789,1,1022.789,1,343,8192,1,0.000
20,15177163341.494,15177163376.378,15177174192.616,6460.997,10851.122,4390.125,34.884,4355.241,-851.122,1,851.122,1,343,8192,1,0.000
21,15177183341.494,15177183381.875,15177194504.954,6751.239,11163.460,4412.221,40.381,4371.840,-1163.460,1,1163.460,1,343,8192,1,0.000
22,15177203341.494,15177203396.922,15177214297.143,6546.377,10955.649,4409.272,55.428,4353.844,-955.649,1,955.649,1,343,8192,1,0.000
23,15177223341.494,15177223422.596,15177234283.898,6506.654,10942.404,4435.750,81.102,4354.648,-942.404,1,942.404,1,343,8192,1,0.000
24,15177243341.494,15177243382.331,15177254264.469,6528.308,10922.975,4394.667,40.837,4353.830,-922.975,1,922.975,1,343,8192,1,0.000
25,15177263341.494,15177263382.547,15177274279.733,6540.814,10938.239,4397.425,41.053,4356.372,-938.239,1,938.239,1,343,8192,1,0.000
26,15177283341.494,15177283698.860,15177295008.022,6892.478,11666.528,4774.050,357.366,4416.684,-1666.528,1,1666.528,1,343,8192,1,0.000
27,15177303341.494,15177303382.131,15177314196.336,6461.298,10854.842,4393.544,40.637,4352.907,-854.842,1,854.842,1,343,8192,1,0.000
28,15177323341.494,15177323378.081,15177334246.535,6514.451,10905.041,4390.590,36.587,4354.003,-905.041,1,905.041,1,343,8192,1,0.000
29,15177343341.494,15177343436.519,15177354319.527,6515.306,10978.033,4462.727,95.025,4367.702,-978.033,1,978.033,1,343,8192,1,0.000
30,15177363341.494,15177363378.730,15177374432.385,6693.319,11090.891,4397.572,37.236,4360.336,-1090.891,1,1090.891,1,343,8192,1,0.000
31,15177383341.494,15177383378.089,15177394281.101,6551.652,10939.607,4387.955,36.595,4351.360,-939.607,1,939.607,1,343,8192,1,0.000
32,15177403341.494,15177403389.925,15177414292.039,6546.088,10950.545,4404.457,48.431,4356.026,-950.545,1,950.545,1,343,8192,1,0.000
