label,scale,U,Q_budget_us,expected_C_us,observed_C_p50_us,inflation_vs_calibrated,pct_over_budget,exceeds_budget
model1,tight,0.1,1000.0,700.0,745.9590000000001,1.0656557142857144,-25.404099999999996,False
model1,tight,0.2,2000.0,1400.0,1492.388,1.0659914285714285,-25.38060000000001,False
model1,tight,0.3,3000.0,2100.0,2248.6535000000003,1.0707873809523811,-25.044883333333324,False
model1,tight,0.4,4000.0,2800.0,2867.8265,1.02422375,-28.3043375,False
model1,tight,0.5,5000.0,3500.0,3650.388,1.042968,-26.992240000000002,False
model1,tight,0.6,6000.0,4200.0,4454.886,1.060687142857143,-25.751899999999996,False
model1,tight,0.7,7000.0,4900.0,5265.8815,1.074669693877551,-24.77312142857142,False
model1,tight,0.8,8000.0,5600.0,6034.5015,1.0775895535714286,-24.56873125,False
model1,tight,0.9,9000.0,6300.0,6549.6815,1.039631984126984,-27.22576111111111,False
model1,tight,0.94,9400.0,6580.0,6845.6825,1.0403772796352584,-27.173590425531913,False
model1,soft,0.1,10000.0,7000.0,7263.677,1.0376681428571428,-27.363230000000005,False
model1,soft,0.2,20000.0,14000.0,14206.412,1.0147437142857143,-28.967940000000002,False
model1,soft,0.3,30000.0,21000.0,21506.7905,1.0241328809523809,-28.310698333333338,False
model1,soft,0.4,40000.0,28000.0,28325.342,1.0116193571428571,-29.186645,False
model1,soft,0.5,50000.0,35000.0,35577.1675,1.0164905000000002,-28.845664999999997,False
model1,soft,0.6,60000.0,42000.0,43072.2395,1.025529511904762,-28.21293416666666,False
model1,soft,0.7,70000.0,49000.0,51102.84,1.0429151020408163,-26.995942857142865,False
model1,soft,0.8,80000.0,56000.0,57260.109,1.0225019464285714,-28.424863750000007,False
model1,soft,0.9,90000.0,62999.99999999999,64173.5755,1.0186281825396826,-28.69602722222222,False
model1,soft,0.94,94000.0,65800.0,67308.6375,1.0229276215805472,-28.39506648936171,False
model2,tight,0.1,1000.0,700.0,730.9335,1.0441907142857143,-26.90665,False
model2,tight,0.2,2000.0,1400.0,1614.902,1.1535014285714287,-19.254899999999996,False
model2,tight,0.3,3000.0,2100.0,2444.496,1.1640457142857144,-18.5168,False
model2,tight,0.4,4000.0,2800.0,3120.0405,1.1143001785714286,-21.9989875,False
model2,tight,0.5,5000.0,3500.0,3704.1755,1.0583358571428572,-25.916490000000003,False
model2,soft,0.1,10000.0,7000.0,7343.609,1.049087,-26.56391,False
model2,soft,0.2,20000.0,14000.0,14243.8845,1.0174203214285715,-28.780577500000003,False
model2,soft,0.3,30000.0,21000.0,32642.297,1.5543950952380952,8.807656666666652,True
model2,soft,0.4,40000.0,28000.0,28564.2625,1.020152232142857,-28.589343749999998,False
model2,soft,0.5,50000.0,35000.0,46739.9635,1.3354275285714285,-6.520073000000004,False
