label,scale,U,n,mean_C_cputime_us,mean_dispatch_latency_us,mean_mid_job_preempt_us,mean_nonvol_ctxt
model1,soft,0.1,20000,7256.4849039,104.52506330000001,59.711859049999994,0.00065
model1,soft,0.2,20000,14204.974121149999,19.797171099999996,1.7301538499999998,0.00625
model1,soft,0.3,20000,21458.890006399997,27.801086600000005,8.5964437,0.0001
model1,soft,0.4,20000,28235.015767,111.87841025,1.85636015,0.0
model1,soft,0.5,20000,35658.6675451,90.32502294999999,9.05733245,0.00015
model1,soft,0.6,20000,43141.958985950005,29.995814000000003,69.0824502,0.0017
model1,soft,0.7,20000,50755.855849650005,74.9856796,0.9901730999999998,5e-05
model1,soft,0.8,20000,57169.469145150004,88.8627845,0.8794944499999999,0.0
model1,soft,0.9,20000,63728.46893739999,17.88013725,0.03494045,0.0125
model1,soft,0.94,20000,67064.32535545001,24.799373899999996,4.800836400000001,0.00085
model1,tight,0.1,20000,743.1601114,9.774048549999998,2.21701315,0.00025
model1,tight,0.2,20000,1486.833294,11.49036045,3.3345471,0.0004
model1,tight,0.3,20000,2239.7598495,18.50695405,20.876005600000003,0.0032
model1,tight,0.4,20000,2861.72565785,11.2952438,11.1866304,0.0025
model1,tight,0.5,20000,3630.1767402,18.3185972,1.0226263999999998,0.0001
model1,tight,0.6,20000,4476.3496194,16.4743585,14.530671400000001,0.0035
model1,tight,0.7,20000,5235.50703715,13.5423886,0.5038418,0.00065
model1,tight,0.8,20000,6015.38240865,12.26554165,3.0328923999999997,0.0028
model1,tight,0.9,20000,6511.71718115,13.8278588,0.49063054999999994,0.0
model1,tight,0.94,20000,6804.9073716,16.082560700000002,0.5858919,0.0006
model2,soft,0.1,25000,9355.512149400001,140.33573764,24939.18095704,0.27844
model2,soft,0.2,25000,16893.71929332,151.5978946,15947.504781560001,0.2
model2,soft,0.3,25000,28442.89322068,129.07444148,27875.133753199996,0.4012
model2,soft,0.4,20000,34542.489498049996,178.56151985,26674.127783399996,0.44795
model2,soft,0.5,20000,45801.053157099996,69.21356975,12431.55826435,0.24925
model2,tight,0.1,25000,739.1954084,19.43867296,6.68006416,0.00072
model2,tight,0.2,25000,2070.557167,20.76623748,4179.454364480001,0.60008
model2,tight,0.3,25000,2767.7603739199994,19.3786662,2658.7111256800004,0.40004
model2,tight,0.4,25000,3809.5697121599997,19.125498959999998,3373.2301523599995,0.59964
model2,tight,0.5,20000,3919.74076165,18.34319675,37.9768233,0.00765
