model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model2_pooled,tight,0.1,20000,0.0006,749.9165,817.5991099999998,874.3712530000039,21629.564,730.9335,794.8111899999997,0.07499165,0.08175991099999998,0.08743712530000038,0.7309334999999999,0.7948111899999997,0.0010194722222222228,0.0014202716666666569
model2_pooled,tight,0.2,20000,0.3327,6903.09,10338.74217,10415.087019999999,20401.168,1614.902,2653.1210099999994,0.6903090000000001,1.033874217,1.0415087019999998,0.8074509999999999,1.3265605049999996,0.30122412500000006,0.4813915912499999
model2_pooled,tight,0.3,20000,0.5,7046.239,10527.18071,10548.783174999999,14911.11,2444.496,3951.27709,0.7046239,1.052718071,1.0548783174999998,0.814832,1.3170923633333333,0.30027203571428573,0.4854574292857143
model2_pooled,tight,0.4,20000,0.49915,3146.4415,10100.59118,10192.399486000002,19909.48,3120.0405,4930.56114,0.31464415,1.010059118,1.0192399486000001,0.780010125,1.232640285,0.0027652499999999804,0.4985084658333334
model2_pooled,tight,0.5,20000,0.00765,3722.587,4782.30018,10253.627989,17898.284,3704.1755,4762.440589999999,0.3722587,0.47823001800000003,1.0253627989,0.7408351,0.9524881179999999,0.0017929999999999609,0.0030322450000000584
model2_pooled,soft,0.1,20000,0.0978,7522.5425,100552.78899,100827.11418399999,102118.0,7343.609,10314.856809999997,0.075225425,1.0055278899,1.00827114184,0.7343609,1.031485681,0.0009608083333333347,0.5019333236666667
model2_pooled,soft,0.2,20000,0.25,14422.975,107673.05325000001,108062.521261,108291.429,14243.8845,27899.26277,0.14422975,1.0767305325,1.08062521261,0.712194225,1.3949631385,0.0011016968749999988,0.4986906700625
model2_pooled,soft,0.3,20000,0.50145,102423.6535,106883.83449,107344.06058,112520.174,32642.297,37390.32153,1.024236535,1.0688383449,1.0734406058,1.0880765666666665,1.2463440510000001,0.49465921071428576,0.49970278907142857
model2_pooled,soft,0.4,15000,0.33333,28745.9415,101427.52476,101666.019843,103725.163,28564.2625,41696.89652,0.28745941500000005,1.0142752475999999,1.01666019843,0.7141065625,1.0424224130000002,0.0015038624999999988,0.49851287358333335
model2_pooled,soft,0.5,20000,0.24925,46767.876000000004,101749.43241000001,101925.268932,102288.19,46739.9635,51685.99677,0.46767875999999997,1.0174943241,1.01925268932,0.9347992700000001,1.0337199354,0.00023631999999997787,0.5020567396
