model,scale,U,n,miss_count,miss_rate,longest_consecutive_miss_run_max_across_sources,alpha_p99,alpha_max,delta_p99,delta_max
model2_pooled,soft,0.1,20000,1956,0.0978,0,1.0315,1.2606,0.5019,0.5028
model2_pooled,soft,0.2,20000,5000,0.25,0,1.395,1.4256,0.4987,0.4997
model2_pooled,soft,0.3,20000,10029,0.50145,0,1.2463,1.3057,0.4997,0.5437
model2_pooled,soft,0.4,15000,5000,0.33333,0,1.0424,1.06,0.4985,0.511
model2_pooled,soft,0.5,20000,4985,0.24925,0,1.0337,1.0471,0.5021,0.5035
model2_pooled,tight,0.1,20000,12,0.0006,0,0.7948,2.0265,0.0014,1.1257
model2_pooled,tight,0.2,20000,6654,0.3327,0,1.3266,1.7632,0.4814,1.112
model2_pooled,tight,0.3,20000,10000,0.5,0,1.3171,1.3541,0.4855,0.8311
model2_pooled,tight,0.4,20000,9983,0.49915,0,1.2326,1.4347,0.4985,1.1809
model2_pooled,tight,0.5,20000,153,0.00765,0,0.9525,1.529,0.003,1.1871
