model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model2_round2,tight,0.1,5000,0.0014,771.8445,842.80599,10023.153145,20024.165,751.828,820.98749,0.07718445,0.084280599,1.0023153145,0.7518279999999999,0.8209874899999999,0.0011093055555555572,0.0018889394444444529
model2_round2,tight,0.2,5000,0.0002,1499.7910000000002,1577.14887,1590.6475320000013,20401.168,1479.9744999999998,1557.7069700000002,0.1499791,0.157714887,0.15906475320000016,0.73998725,0.7788534850000001,0.0011960625000000107,0.001619305625000012
model2_round2,tight,0.3,5000,0.9998,10414.2955,10540.40514,10559.69675,10677.232,3839.7075,3961.6254,1.04142955,1.054040514,1.055969675,1.2799025,1.3205418,0.46948117857142857,0.47092173
model2_round2,tight,0.4,5000,0.999,10021.733,10079.71479,10162.48852900001,19909.48,4802.081,4944.8175200000005,1.0021733,1.007971479,1.0162488529000009,1.2005202499999998,1.23620438,0.4350147083333333,0.4442391666666666
model2_round2,tight,0.5,5000,0.0002,3752.062,3898.38504,3939.4437210000015,17582.455,3733.6395,3879.81174,0.37520620000000005,0.38983850400000003,0.39394437210000016,0.7467279,0.7759623480000001,0.0018234500000000255,0.00223348700000003
model2_round2,soft,0.1,5000,0.0,7607.754,7856.45524,8062.118134000005,18678.375,7420.2735,7652.444750000001,0.07607754,0.0785645524,0.08062118134000004,0.7420273500000001,0.765244475,0.0009905333333333323,0.0015377566666666673
model2_round2,soft,0.2,5000,1.0,107062.42850000001,107927.56028,108167.67801,108291.429,27284.843,28145.30098,1.070624285,1.0792756028,1.0816767801,1.36424215,1.4072650489999998,0.49860604374999995,0.49871331912499994
model2_round2,soft,0.3,5000,1.0,105898.928,107166.70198,107543.44242000006,112520.174,36412.8785,37711.75356,1.05898928,1.0716670197999998,1.0754344242000007,1.2137626166666666,1.257058452,0.4963265821428572,0.49736763764285713
model2_round2,soft,0.4,5000,0.0,28742.9765,29179.96502,29396.173280000043,49970.926,28562.6695,28988.051040000002,0.287429765,0.29179965020000004,0.29396173280000043,0.7140667375,0.724701276,0.001431520833333343,0.002233085999999979
model2_round2,soft,0.5,5000,0.0,46741.869999999995,47878.42646,48117.383995,48238.635,46713.614499999996,47847.23888,0.46741869999999996,0.4787842646,0.48117383995,0.93427229,0.9569447776,0.000232345000000023,0.0022705665999999745
