model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model2_round2,soft,0.1,5000,0,0.0,0.0,0.0,0,0.7652,0.7968,0.0015,0.0614
model2_round2,soft,0.2,5000,5000,1.0,8291.4,7071.2,5000,1.4073,1.4256,0.4987,0.4997
model2_round2,soft,0.3,5000,5000,1.0,12520.2,5927.1,5000,1.2571,1.3057,0.4974,0.5437
model2_round2,soft,0.4,5000,0,0.0,0.0,0.0,0,0.7247,0.7556,0.0022,0.1758
model2_round2,soft,0.5,5000,0,0.0,0.0,0.0,0,0.9569,0.9643,0.0023,0.0413
model2_round2,tight,0.1,5000,7,0.0014,10024.2,1452.2,1,0.821,2.0265,0.0019,0.9999
model2_round2,tight,0.2,5000,1,0.0002,10401.2,10401.2,1,0.7789,1.3045,0.0016,1.112
model2_round2,tight,0.3,5000,4999,0.9998,677.2,425.2,4167,1.3205,1.3422,0.4709,0.5587
model2_round2,tight,0.4,5000,4995,0.999,9909.5,28.5,3878,1.2362,1.4347,0.4442,1.1809
model2_round2,tight,0.5,5000,1,0.0002,7582.5,7582.5,1,0.776,1.2328,0.0022,1.1419
