round,round_time,scale,U,n,median_C,cv,miss_rate
round1,2026-08-03 09:09:35.944397,soft,0.1,5000,9718.771499999999,0.032127776835674096,0.391
round1,2026-08-03 09:09:35.944397,soft,0.2,5000,14255.913,0.008342242649952385,0.0
round1,2026-08-03 09:09:35.944397,soft,0.3,5000,33137.44,0.006235474430835362,1.0
round1,2026-08-03 09:09:35.944397,soft,0.4,5000,28116.536,0.005404644922056417,0.0
round1,2026-08-03 09:09:35.944397,soft,0.5,5000,46081.816,0.02124118322737188,0.0
round1,2026-08-03 09:09:35.944397,tight,0.1,5000,732.654,0.019764227271997448,0.0002
round1,2026-08-03 09:09:35.944397,tight,0.2,5000,1543.5875,0.02443988006965854,0.0004
round1,2026-08-03 09:09:35.944397,tight,0.3,5000,2188.599,0.016242490333924973,0.0002
round1,2026-08-03 09:09:35.944397,tight,0.4,5000,4135.254,0.015623190898152183,0.9972
round1,2026-08-03 09:09:35.944397,tight,0.5,5000,3686.2785000000003,0.015614920921437543,0.0002
round2,2026-08-03 11:07:46.649526,soft,0.1,5000,7420.2735,0.013067897430892933,0.0
round2,2026-08-03 11:07:46.649526,soft,0.2,5000,27284.843,0.012192569608311705,1.0
round2,2026-08-03 11:07:46.649526,soft,0.3,5000,36412.8785,0.013446326794365315,1.0
round2,2026-08-03 11:07:46.649526,soft,0.4,5000,28562.6695,0.006589769133154961,0.0
round2,2026-08-03 11:07:46.649526,soft,0.5,5000,46713.614499999996,0.10326455204062074,0.0
round2,2026-08-03 11:07:46.649526,tight,0.1,5000,751.828,0.041179789769756586,0.0014
round2,2026-08-03 11:07:46.649526,tight,0.2,5000,1479.9744999999998,0.021632394998460928,0.0002
round2,2026-08-03 11:07:46.649526,tight,0.3,5000,3839.7075,0.017372914909513256,0.9998
round2,2026-08-03 11:07:46.649526,tight,0.4,5000,4802.081,0.016914486301994144,0.999
round2,2026-08-03 11:07:46.649526,tight,0.5,5000,3733.6395,0.01846168346306572,0.0002
round3,2026-08-04 12:19:25.248986,soft,0.1,5000,7281.965,0.012267301293899698,0.0002
round3,2026-08-04 12:19:25.248986,soft,0.2,5000,14222.342499999999,0.006584502358101604,0.0
round3,2026-08-04 12:19:25.248986,soft,0.3,5000,21644.273999999998,0.008809763904307611,0.0
round3,2026-08-04 12:19:25.248986,soft,0.5,5000,48096.398499999996,0.14659606692284977,0.0002
round3,2026-08-04 12:19:25.248986,tight,0.1,5000,726.044,0.021643671712885053,0.0006
round3,2026-08-04 12:19:25.248986,tight,0.2,5000,2111.983,0.15738281280076716,0.3304
round3,2026-08-04 12:19:25.248986,tight,0.3,5000,3276.9305,0.007429034911577052,1.0
round3,2026-08-04 12:19:25.248986,tight,0.4,5000,2920.9295,0.014381099991834482,0.0002
round3,2026-08-04 12:19:25.248986,tight,0.5,5000,3690.4025,0.011904834952167046,0.0002
round4,2026-08-04 12:19:25.311986,soft,0.1,5000,7305.32,0.009737607394922495,0.0
round4,2026-08-04 12:19:25.311986,soft,0.2,5000,14143.202000000001,0.005721335960550243,0.0
round4,2026-08-04 12:19:25.311986,soft,0.3,5000,29202.128,0.007034062530855422,0.0058
round4,2026-08-04 12:19:25.311986,soft,0.4,5000,41466.699,0.0023931366376126156,1.0
round4,2026-08-04 12:19:25.311986,soft,0.5,5000,50935.614,0.013191159543793145,0.9968
round4,2026-08-04 12:19:25.311986,tight,0.1,5000,730.505,0.018145415657851965,0.0002
round4,2026-08-04 12:19:25.311986,tight,0.2,5000,2502.962,0.033727637592577214,0.9998
round4,2026-08-04 12:19:25.311986,tight,0.3,5000,2236.5395,0.017503930777549727,0.0
round4,2026-08-04 12:19:25.311986,tight,0.4,5000,2978.834,0.018195126811738842,0.0002
round4,2026-08-04 12:19:25.311986,tight,0.5,5000,4562.5605,0.0378034248909462,0.03
round5,2026-08-04 20:06:44.974912,soft,0.1,5000,14765.733499999998,0.05179640104325057,1.0
round5,2026-08-04 20:06:44.974912,soft,0.2,5000,14554.0595,0.00811898618076127,0.0
round5,2026-08-04 20:06:44.974912,soft,0.3,5000,21738.6115,0.011857729084749509,0.0002
round5,2026-08-04 20:06:44.974912,soft,0.4,5000,40274.8615,0.0410242645275105,0.791
round5,2026-08-04 20:06:44.974912,tight,0.1,5000,750.1685,0.022023896105541552,0.0002
round5,2026-08-04 20:06:44.974912,tight,0.2,5000,2699.818,0.023878393489646706,0.9996
round5,2026-08-04 20:06:44.974912,tight,0.3,5000,2303.2405,0.02879173851978043,0.0004
round5,2026-08-04 20:06:44.974912,tight,0.4,5000,4237.882,0.011115082249316894,1.0
